,SG_Off-the-Tee_RANK THIS WEEK,SG_Off-the-Tee_RANK LAST WEEK,SG_Off-the-Tee_PLAYER NAME,SG_Off-the-Tee_ROUNDS,SG_Off-the-Tee_AVERAGE,SG_Off-the-Tee_TOTAL SG:OTT,SG_Off-the-Tee_MEASURED ROUNDS
0,1,1,Rory McIlroy,66,1.367,65.623,48
1,2,2,Bubba Watson,76,0.9670000000000001,54.141999999999996,56
2,3,3,Ryan Palmer,85,0.76,50.908,67
3,4,4,Boo Weekley,73,0.732,40.978,56
4,5,5,Dustin Johnson,58,0.73,29.941,41
5,6,6,Adam Scott,68,0.725,40.578,56
6,7,7,Louis Oosthuizen,50,0.7240000000000001,21.712,30
7,8,8,Hunter Mahan,88,0.687,49.474,72
8,9,9,Henrik Stenson,56,0.65,24.701,38
9,10,10,Jhonattan Vegas,77,0.628,40.175,64
10,11,11,Gary Woodland,93,0.581,42.425,73
11,12,12,Ángel Cabrera,69,0.5539999999999999,33.78,61
12,13,13,Charl Schwartzel,64,0.55,29.711,54
13,14,14,Charlie Beljan,76,0.523,35.066,67
14,15,15,J.B. Holmes,86,0.509,39.22,77
15,16,16,Kevin Stadler,90,0.505,32.801,65
16,17,17,Charles Howell III,106,0.498,47.349,95
17,18,18,Jason Day,54,0.495,16.326,33
18,19,19,Willy Wilcox,51,0.48700000000000004,19.477999999999998,40
19,20,20,Billy Horschel,92,0.473,32.665,69
20,21,21,Kevin Streelman,79,0.47100000000000003,28.276,60
21,22,22,Robert Streb,75,0.461,29.513,64
22,23,23,Justin Hicks,103,0.456,41.022,90
23,24,24,Kyle Stanley,87,0.44,31.663,72
24,25,25,Keegan Bradley,89,0.43,28.811999999999998,67
25,26,26,Brooks Koepka,56,0.425,17.854,42
26,T27,T27,Charley Hoffman,93,0.415,31.568,76
27,T27,T27,John Peterson,62,0.415,22.835,55
28,29,29,Shawn Stefani,60,0.41200000000000003,23.493000000000002,57
29,30,30,Justin Rose,70,0.402,20.906,52
30,31,31,Kevin Chappell,100,0.386,33.606,87
31,32,32,Sergio Garcia,61,0.382,15.283,40
32,33,33,Jamie Lovemark,64,0.374,17.567,47
33,34,34,Robert Garrigus,80,0.36200000000000004,26.433000000000003,73
34,35,35,Graham DeLaet,80,0.36,23.013,64
35,36,36,Brendon de Jonge,109,0.33899999999999997,31.213,92
36,37,37,Lucas Glover,68,0.335,15.755999999999998,47
37,38,38,Lee Westwood,57,0.33399999999999996,14.349,43
38,39,39,Hideki Matsuyama,82,0.325,20.828000000000003,64
39,40,40,Jason Dufner,57,0.316,13.284,42
40,41,41,Derek Ernst,80,0.312,19.636,63
41,42,42,Hudson Swafford,75,0.305,17.702,58
42,43,43,Jim Herman,62,0.302,14.478,48
43,44,44,Nick Watney,80,0.298,16.662,56
44,45,45,Bill Haas,107,0.29600000000000004,24.302,82
45,46,46,Carl Pettersson,91,0.294,25.022,85
46,47,47,Jason Kokrak,65,0.284,17.329,61
47,48,48,Martin Kaymer,65,0.27899999999999997,13.411,48
48,49,49,Scott Brown,100,0.27699999999999997,23.021,83
49,50,50,Rickie Fowler,91,0.264,16.34,62
50,51,51,Tommy Gainey,73,0.257,15.395,60
51,52,52,Ryan Moore,86,0.253,15.687000000000001,62
52,53,53,Josh Teater,90,0.239,17.941,75
53,54,54,Martin Laird,66,0.23800000000000002,13.113,55
54,55,55,Brendan Steele,89,0.237,16.624000000000002,70
55,56,56,Matt Jones,83,0.23600000000000002,14.137,60
56,57,57,John Senden,99,0.22399999999999998,18.168,81
57,58,58,Russell Knox,92,0.221,18.35,83
58,59,59,Andrew Loupe,65,0.22,10.982999999999999,50
59,60,60,Ben Martin,80,0.213,13.41,63
60,61,61,Matt Kuchar,91,0.21,15.931,76
61,62,62,Russell Henley,92,0.205,15.359000000000002,75
62,63,63,Heath Slocum,71,0.203,12.581,62
63,64,64,Phil Mickelson,71,0.201,10.068,50
64,65,65,Harris English,95,0.193,14.315,74
