,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Rory McIlroy,51,11.7,596.6,-262.71,540.87,NIR
1,2,2.0,Adam Scott,41,8.84,362.45,-241.99,211.01,AUS
2,3,3.0,Sergio Garcia,48,7.66,367.6,-178.7,281.0,ESP
3,4,4.0,Jim Furyk,46,7.52,345.92,-152.45,280.17,USA
4,5,5.0,Henrik Stenson,52,7.33,381.41,-250.17,156.06,SWE
5,6,6.0,Justin Rose,50,7.12,355.78,-242.37,225.65,ENG
6,7,7.0,Bubba Watson,47,6.98,327.83,-156.21,321.71,USA
7,8,8.0,Jason Day,41,6.72,275.7,-147.28,190.33,AUS
8,9,9.0,Matt Kuchar,52,6.28,326.65,-217.24,224.33,USA
9,10,10.0,Rickie Fowler,52,5.78,300.38,-100.63,267.89,USA
10,11,11.0,Phil Mickelson,47,5.59,262.79,-220.34,137.21,USA
11,12,12.0,Martin Kaymer,52,5.06,262.88,-104.37,231.51,GER
12,13,14.0,Billy Horschel,52,4.99,259.33,-85.94,209.42,USA
13,14,13.0,Jordan Spieth,52,4.98,258.77,-112.05,204.77,USA
14,15,17.0,Dustin Johnson,44,4.68,205.73,-162.07,137.25,USA
15,16,15.0,Zach Johnson,52,4.66,242.12,-179.32,138.21,USA
16,17,16.0,Tiger Woods,40,4.57,182.88,-303.17,6.57,USA
17,18,18.0,Graeme McDowell,48,4.46,213.96,-174.09,127.73,NIR
18,19,19.0,Jimmy Walker,52,4.22,219.49,-107.07,197.19,USA
19,20,20.0,Hideki Matsuyama,49,4.07,199.45,-94.0,138.43,JPN
20,21,22.0,Chris Kirk,52,4.03,209.8,-77.7,180.16,USA
21,22,21.0,Hunter Mahan,52,4.03,209.55,-118.66,160.42,USA
22,23,23.0,Victor Dubuisson,42,3.95,165.83,-78.08,111.71,FRA
23,24,24.0,Charl Schwartzel,52,3.79,196.83,-160.12,110.04,RSA
24,25,25.0,Jamie Donaldson,51,3.7,188.53,-115.08,124.27,WAL
25,26,27.0,Patrick Reed,52,3.62,188.49,-70.3,183.43,USA
26,27,26.0,Keegan Bradley,52,3.62,188.09,-161.58,126.86,USA
27,28,28.0,Steve Stricker,40,3.57,142.64,-143.53,57.24,USA
28,29,29.0,Bill Haas,52,3.46,179.75,-117.29,124.7,USA
29,30,30.0,Thomas Bjørn,52,3.39,176.06,-103.09,87.21,DEN
30,31,31.0,Jason Dufner,48,3.35,160.68,-174.44,76.29,USA
31,32,32.0,Luke Donald,49,3.31,162.03,-171.05,99.6,ENG
32,33,33.0,Webb Simpson,52,3.27,170.19,-144.61,95.69,USA
33,34,35.0,Kevin Na,40,3.25,129.9,-42.08,139.34,USA
34,35,34.0,Stephen Gallacher,52,3.21,166.76,-83.39,151.45,SCO
35,36,37.0,Miguel Angel Jiménez,44,3.12,137.24,-84.71,91.0,ESP
36,37,36.0,Joost Luiten,52,3.09,160.49,-75.62,116.02,NED
37,38,40.0,Graham DeLaet,50,3.01,150.3,-95.23,96.89,CAN
38,39,41.0,Ryan Palmer,49,2.99,146.36,-60.89,142.35,USA
39,40,38.0,Ian Poulter,48,2.96,142.13,-160.53,45.99,ENG
40,41,39.0,Brandt Snedeker,50,2.95,147.5,-185.26,78.87,USA
41,42,43.0,Ryan Moore,47,2.91,136.75,-104.25,80.04,USA
42,43,42.0,Thongchai Jaidee,52,2.9,150.65,-90.23,108.14,THA
43,44,45.0,Marc Leishman,52,2.84,147.6,-72.85,125.82,AUS
44,45,44.0,Lee Westwood,52,2.82,146.52,-141.34,95.8,ENG
45,46,46.0,Brendon Todd,52,2.76,143.55,-36.65,131.77,USA
46,47,47.0,Gary Woodland,52,2.67,138.84,-65.45,91.07,USA
47,48,48.0,Kevin Streelman,52,2.6,135.43,-87.82,88.64,USA
48,49,49.0,Francesco Molinari,52,2.59,134.61,-100.66,91.31,ITA
49,50,50.0,John Senden,52,2.57,133.6,-67.37,122.87,AUS
50,51,51.0,Ernie Els,52,2.56,132.91,-136.83,85.25,RSA
51,52,52.0,Mikko Ilonen,46,2.5,114.9,-55.0,95.8,FIN
52,53,55.0,Shane Lowry,51,2.49,126.91,-64.01,101.27,IRL
53,54,53.0,Russell Henley,52,2.43,126.41,-74.71,125.19,USA
54,55,54.0,Kevin Stadler,52,2.41,125.37,-64.95,116.19,USA
55,56,56.0,Ángel Cabrera,50,2.37,118.72,-57.8,81.78,ARG
56,57,57.0,Jonas Blixt,52,2.31,119.92,-91.72,76.12,SWE
57,58,62.0,Louis Oosthuizen,48,2.3,110.2,-143.0,99.13,RSA
58,59,58.0,Matt Every,52,2.26,117.3,-60.25,110.74,USA
59,60,61.0,J.B. Holmes,40,2.25,90.02,-22.98,99.83,USA
60,61,59.0,Harris English,52,2.24,116.65,-77.18,76.29,USA
61,62,60.0,Matt Jones,52,2.24,116.51,-55.24,92.69,AUS
62,63,73.0,Tommy Fleetwood,52,2.22,115.28,-44.59,88.6,ENG
63,64,66.0,Brooks Koepka,48,2.17,104.15,-43.42,82.88,USA
64,65,64.0,Marc Warren,52,2.11,109.74,-46.36,82.6,SCO
65,66,63.0,Paul Casey,52,2.09,108.88,-50.38,79.97,ENG
66,67,67.0,Bernd Wiesberger,52,2.08,108.15,-77.69,67.01,AUT
67,68,65.0,Koumei Oda,48,2.06,99.08,-55.59,56.24,JPN
68,69,69.0,Pablo Larrazabal,52,1.98,103.12,-65.63,89.55,ESP
69,70,68.0,Brian Harman,52,1.97,102.54,-42.94,93.01,USA
70,71,76.0,Richard Sterne,46,1.96,90.35,-75.52,48.91,RSA
71,72,70.0,Cameron Tringale,52,1.96,101.91,-39.49,95.8,USA
72,73,72.0,Charley Hoffman,48,1.93,92.53,-56.42,70.36,USA
73,74,71.0,Gonzalo Fernandez-Castaño,52,1.91,99.5,-93.73,42.7,ESP
74,75,74.0,Freddie Jacobson,46,1.88,86.45,-47.81,70.3,SWE
75,76,75.0,Geoff Ogilvy,51,1.83,93.34,-47.66,78.66,AUS
76,77,77.0,Erik Compton,52,1.8,93.71,-24.79,93.36,USA
77,78,78.0,Tim Clark,47,1.78,83.53,-57.85,56.87,RSA
78,79,79.0,George McNeill,46,1.74,80.08,-28.04,76.04,USA
79,80,91.0,Hyung-Sung Kim,52,1.71,89.07,-62.73,46.06,KOR
80,81,81.0,K.J. Choi,51,1.7,86.94,-53.67,74.62,KOR
81,82,80.0,Chris Stroud,52,1.7,88.16,-51.9,50.32,USA
82,83,83.0,Ryo Ishikawa,52,1.66,86.49,-62.39,56.83,JPN
83,84,86.0,Ben Martin,51,1.66,84.82,-35.54,64.89,USA
84,85,82.0,Rafa Cabrera Bello,52,1.66,86.06,-56.4,75.53,ESP
85,86,84.0,Anirban Lahiri,44,1.65,72.42,-37.75,47.78,IND
86,87,89.0,George Coetzee,51,1.64,83.67,-72.07,77.65,RSA
87,88,85.0,Nick Watney,52,1.63,84.59,-121.8,36.34,USA
88,89,87.0,Kevin Chappell,52,1.62,84.17,-48.84,57.16,USA
89,90,88.0,Chesson Hadley,52,1.62,83.99,-37.29,60.92,USA
90,91,90.0,Matteo Manassero,52,1.58,82.04,-95.68,45.21,ITA
91,92,92.0,Edoardo Molinari,45,1.57,70.52,-21.02,66.55,ITA
92,93,150.0,Richie Ramsay,44,1.56,68.42,-47.59,58.32,SCO
93,94,93.0,Seung-Yul Noh,52,1.54,80.2,-46.01,74.81,KOR
94,95,94.0,Fabrizio Zanotti,50,1.54,77.08,-15.19,77.47,PAR
95,96,95.0,Danny Willett,49,1.53,74.86,-51.28,58.34,ENG
96,97,98.0,Morgan Hoffmann,52,1.51,78.37,-32.74,68.7,USA
97,98,96.0,Brendon de Jonge,52,1.5,78.25,-74.21,46.96,ZIM
98,99,100.0,Simon Dyson,52,1.5,78.09,-37.69,62.37,ENG
99,100,97.0,Charles Howell III,52,1.5,77.97,-64.65,57.7,USA
100,101,99.0,Daniel Summerhays,52,1.5,77.82,-45.36,57.52,USA
101,102,101.0,Russell Knox,52,1.48,76.79,-32.75,72.89,SCO
102,103,116.0,Chris Wood,49,1.46,71.74,-63.07,44.7,ENG
103,104,113.0,David Howell,52,1.45,75.25,-48.42,42.7,ENG
104,105,104.0,Jerry Kelly,48,1.44,69.32,-34.15,60.24,USA
105,106,108.0,Hideto Tanihara,48,1.43,68.87,-44.14,35.44,JPN
106,107,103.0,Stuart Appleby,52,1.43,74.6,-25.13,66.28,AUS
107,108,117.0,Robert Karlsson,49,1.43,69.99,-23.44,61.44,SWE
108,109,102.0,Ben Crane,48,1.43,68.5,-30.96,63.32,USA
109,110,114.0,Alexander Levy,52,1.41,73.21,-23.09,58.96,FRA
110,111,105.0,David Hearn,52,1.4,73.01,-44.67,52.53,CAN
111,112,106.0,Hennie Otto,51,1.4,71.48,-38.11,41.78,RSA
112,113,111.0,Camilo Villegas,52,1.39,72.16,-22.04,62.11,COL
113,114,110.0,Romain Wattel,49,1.38,67.73,-38.27,54.44,FRA
114,115,109.0,Scott Stallings,52,1.38,71.59,-64.99,62.67,USA
115,116,112.0,Boo Weekley,52,1.36,70.91,-70.07,23.65,USA
116,117,121.0,Branden Grace,52,1.36,70.46,-95.97,43.86,RSA
117,118,120.0,Jason Kokrak,47,1.35,63.61,-40.58,47.12,USA
118,119,122.0,Will MacKenzie,50,1.35,67.61,-26.12,66.35,USA
119,120,118.0,Shawn Stefani,47,1.34,62.82,-26.55,58.19,USA
120,121,115.0,Ross Fisher,52,1.34,69.49,-60.26,36.0,ENG
121,122,119.0,Brendan Steele,52,1.33,69.18,-36.3,56.69,USA
122,123,123.0,Steven Bowditch,52,1.31,68.23,-22.76,64.64,AUS
123,124,107.0,Thorbjørn Olesen,52,1.3,67.64,-85.45,51.06,DEN
124,125,124.0,Andrew Johnston,40,1.3,51.95,-5.89,49.27,ENG
125,126,125.0,Justin Thomas,40,1.27,50.9,-5.83,54.78,USA
126,127,126.0,John Huh,52,1.25,64.86,-56.52,39.46,USA
127,128,127.0,Hiroyuki Fujita,51,1.25,63.56,-54.51,51.73,JPN
128,129,129.0,David Horsey,50,1.24,61.91,-25.71,48.43,ENG
129,130,130.0,Carlos Ortiz,40,1.24,49.45,-6.7,56.15,MEX
130,131,132.0,Hiroshi Iwata,42,1.23,51.75,-10.95,47.99,JPN
131,131,136.0,Peter Uihlein,52,1.23,64.07,-54.72,15.97,USA
132,133,131.0,William McGirt,52,1.23,64.03,-37.6,52.93,USA
133,134,128.0,Kiradech Aphibarnrat,52,1.22,63.6,-62.91,16.25,THA
134,135,138.0,David Lipsky,43,1.22,52.48,-11.07,50.68,USA
135,136,165.0,Antonio Lascuna,40,1.22,48.7,-16.72,40.37,PHI
136,137,133.0,Roberto Castro,52,1.21,62.67,-55.27,24.2,USA
137,138,134.0,David Lingmerth,52,1.18,61.43,-52.39,40.68,SWE
138,139,135.0,Thomas Aiken,52,1.18,61.3,-50.28,54.37,RSA
139,140,140.0,Michael Thompson,48,1.18,56.42,-65.24,31.91,USA
140,141,137.0,Alejandro Cañizares,49,1.17,57.53,-41.05,38.35,ESP
141,142,158.0,Marcel Siem,51,1.17,59.83,-61.26,39.23,GER
142,143,141.0,Kristoffer Broberg,52,1.17,60.64,-32.33,60.09,SWE
143,144,142.0,Carl Pettersson,52,1.16,60.28,-67.46,51.99,SWE
144,145,143.0,Brian Stuard,52,1.16,60.11,-37.15,48.96,USA
145,146,139.0,Tyrrell Hatton,47,1.15,54.1,-13.05,48.88,ENG
