,Short_Game_Rating_RANK THIS WEEK,Short_Game_Rating_RANK LAST WEEK,Short_Game_Rating_PLAYER NAME,Short_Game_Rating_EVENTS,Short_Game_Rating_RATING
0,1,1,Chris Williams,1,8.1
1,2,2,Matteo Manassero,3,8.0
2,3,3,Scott Hend,1,7.6
3,4,4,Jason Day,7,7.5
4,5,5,Jon Curran,1,7.4
5,T6,T6,Patrick Cantlay,2,7.3
6,T6,T6,Austin Cook,1,7.3
7,T6,T6,Robert Karlsson,2,7.3
8,T6,T6,Spencer Levin,7,7.3
9,T6,T6,Steve Stricker,8,7.3
10,T6,T6,Brady Watt,1,7.3
11,T12,T12,Thomas Bjørn,2,7.2
12,T12,T12,Keegan Bradley,12,7.2
13,T12,T12,George Coetzee,1,7.2
14,T12,T12,Brad Fritsch,6,7.2
15,T12,T12,Matt Kuchar,17,7.2
16,T12,T12,Justin Leonard,12,7.2
17,T12,T12,Bryce Molder,12,7.2
18,T12,T12,Scottie Scheffler,1,7.2
19,T20,T20,Rafa Cabrera Bello,1,7.1
20,T20,T20,Kevin Na,15,7.1
21,T20,T20,Patrick Rodgers,3,7.1
22,T20,T20,Justin Rose,11,7.1
23,T20,T20,Mike Weir,6,7.1
24,T25,T25,Stuart Appleby,16,7.0
25,T25,T25,Bill Haas,19,7.0
26,T25,T25,Chesson Hadley,9,7.0
27,T25,T25,David Howell,1,7.0
28,T25,T25,Vijay Singh,15,7.0
29,T25,T25,Charlie Wi,8,7.0
30,T31,T31,Joe Durant,3,6.9
31,T31,T31,Mikko Ilonen,2,6.9
32,T31,T31,Jin Jeong,1,6.9
33,T31,T31,Shane Lowry,1,6.9
34,T31,T31,Willy Wilcox,6,6.9
35,T36,T36,Sangmoon Bae,12,6.8
36,T36,T36,Josh Broadaway,1,6.8
37,T36,T36,Bud Cauley,7,6.8
38,T36,T36,Graham DeLaet,12,6.8
39,T36,T36,Jason Dufner,10,6.8
40,T36,T36,Jim Furyk,16,6.8
41,T36,T36,Lee Janzen,2,6.8
42,T36,T36,Zach Johnson,18,6.8
43,T36,T36,Chris Kirk,20,6.8
44,T36,T36,Pablo Larrazabal,1,6.8
45,T36,T36,Alexander Levy,2,6.8
46,T36,T36,Graeme McDowell,12,6.8
47,T36,T36,Sean O'Hair,12,6.8
48,T36,T36,"Ted Potter, Jr.",7,6.8
49,T36,T36,Webb Simpson,15,6.8
50,T36,T36,Jordan Spieth,19,6.8
51,T36,T36,Hideto Tanihara,1,6.8
52,T36,T36,Chris Wood,1,6.8
53,T36,T36,Fabrizio Zanotti,1,6.8
54,T55,T55,Mark Anderson,2,6.7
55,T55,T55,Jonas Blixt,6,6.7
56,T55,T55,Roberto Castro,10,6.7
57,T55,T55,K.J. Choi,14,6.7
58,T55,T55,Jeff Curl,1,6.7
59,T55,T55,Brian Davis,16,6.7
60,T55,T55,Luke Donald,10,6.7
61,T55,T55,Victor Dubuisson,5,6.7
62,T55,T55,Retief Goosen,17,6.7
63,T55,T55,Padraig Harrington,5,6.7
64,T55,T55,Tim Herron,6,6.7
65,T55,T55,Freddie Jacobson,16,6.7
66,T55,T55,Thongchai Jaidee,2,6.7
67,T55,T55,Richard Lee,9,6.7
68,T55,T55,Phil Mickelson,10,6.7
69,T55,T55,Francesco Molinari,5,6.7
70,T55,T55,Geoff Ogilvy,12,6.7
71,T55,T55,Patrick Reed,14,6.7
72,T55,T55,Brandt Snedeker,14,6.7
73,T55,T55,Justin Thomas,2,6.7
74,T55,T55,Johnson Wagner,7,6.7
75,T55,T55,Nick Watney,9,6.7
76,T77,T77,Scott Brown,13,6.6
77,T77,T77,Paul Casey,8,6.6
78,T77,T77,David Duval,2,6.6
79,T77,T77,Sergio Garcia,10,6.6
80,T77,T77,Luke Guthrie,11,6.6
81,T77,T77,Ryuji Imada,1,6.6
82,T77,T77,Matt Jones,13,6.6
83,T77,T77,Scott Langley,15,6.6
84,T77,T77,Marc Leishman,15,6.6
85,T77,T77,Rory McIlroy,11,6.6
86,T77,T77,Seung-Yul Noh,13,6.6
87,T77,T77,D.A. Points,6,6.6
88,T77,T77,Dicky Pride,3,6.6
89,T77,T77,Adam Scott,14,6.6
90,T77,T77,Bernd Wiesberger,1,6.6
91,T92,T92,Robert Allenby,8,6.5
92,T92,T92,Alex Aragon,1,6.5
93,T92,T92,Jonathan Byrd,9,6.5
94,T92,T92,Greg Chalmers,13,6.5
95,T92,T92,Bubba Dickerson,1,6.5
96,T92,T92,Ernie Els,12,6.5
97,T92,T92,Brice Garnett,14,6.5
98,T92,T92,Brian Harman,20,6.5
99,T92,T92,Ryo Ishikawa,10,6.5
100,T92,T92,Miguel Angel Jiménez,2,6.5
101,T92,T92,Jerry Kelly,14,6.5
102,T92,T92,Kevin Kisner,12,6.5
103,T92,T92,D.H. Lee,6,6.5
104,T92,T92,Edward Loar,2,6.5
105,T92,T92,Hunter Mahan,16,6.5
106,T92,T92,Ben Martin,10,6.5
107,T92,T92,Ian Poulter,9,6.5
108,T92,T92,Josh Teater,13,6.5
109,T92,T92,Derek Tolan,1,6.5
110,T92,T92,Tyrone Van Aswegen,11,6.5
111,T92,T92,Mark Wilson,7,6.5
112,T113,T113,Briny Baird,8,6.4
113,T113,T113,Kevin Chappell,18,6.4
114,T113,T113,Tim Clark,8,6.4
115,T113,T113,Ben Crane,15,6.4
116,T113,T113,Jamie Donaldson,6,6.4
117,T113,T113,James Driscoll,8,6.4
118,T113,T113,Brian Gay,11,6.4
119,T113,T113,Jason Gore,4,6.4
120,T113,T113,Todd Hamilton,1,6.4
121,T113,T113,Max Homa,3,6.4
122,T113,T113,Hyung-Sung Kim,3,6.4
123,T113,T113,Russell Knox,16,6.4
124,T113,T113,Andrew Loupe,8,6.4
125,T113,T113,Steve Marino,7,6.4
126,T113,T113,Ryan Moore,13,6.4
127,T113,T113,Chez Reavie,1,6.4
128,T113,T113,Charl Schwartzel,13,6.4
129,T113,T113,Robert Streb,13,6.4
130,T113,T113,Chris Stroud,14,6.4
131,T132,T132,Jason Bohn,14,6.3
132,T132,T132,Steven Bowditch,14,6.3
133,T132,T132,Alex Cejka,1,6.3
134,T132,T132,Stewart Cink,14,6.3
135,T132,T132,Chad Collins,8,6.3
136,T132,T132,Martin Flores,12,6.3
137,T132,T132,Rickie Fowler,12,6.3
138,T132,T132,Robert Garrigus,14,6.3
139,T132,T132,David Hearn,17,6.3
140,T132,T132,J.B. Holmes,17,6.3
141,T132,T132,Charles Howell III,20,6.3
142,T132,T132,Trevor Immelman,11,6.3
143,T132,T132,Jason Kokrak,13,6.3
144,T132,T132,David Lynn,4,6.3
145,T132,T132,John Mallinger,4,6.3
146,T132,T132,Peter Malnati,2,6.3
147,T132,T132,Hideki Matsuyama,14,6.3
148,T132,T132,Thorbjørn Olesen,2,6.3
149,T132,T132,Andres Romero,13,6.3
150,T132,T132,Sam Saunders,1,6.3
151,T132,T132,John Senden,17,6.3
152,T132,T132,Brian Stuard,13,6.3
153,T132,T132,Brendon Todd,21,6.3
154,T132,T132,Camilo Villegas,16,6.3
155,T132,T132,Tim Wilkinson,13,6.3
156,T157,T157,Jason Allred,4,6.2
157,T157,T157,Erik Compton,12,6.2
158,T157,T157,Ben Curtis,12,6.2
159,T157,T157,Ken Duke,10,6.2
160,T157,T157,Matt Every,13,6.2
161,T157,T157,Morgan Hoffmann,16,6.2
162,T157,T157,John Huh,8,6.2
163,T157,T157,Billy Hurley III,12,6.2
164,T157,T157,Bronson La'Cassie,5,6.2
165,T157,T157,Danny Lee,11,6.2
166,T157,T157,Jeff Maggert,5,6.2
167,T157,T157,William McGirt,15,6.2
168,T157,T157,George McNeill,15,6.2
169,T157,T157,Jeff Overton,13,6.2
170,T157,T157,Ryan Palmer,14,6.2
171,T157,T157,Pat Perez,15,6.2
172,T157,T157,Michael Putnam,19,6.2
173,T157,T157,Jim Renner,6,6.2
174,T157,T157,Heath Slocum,11,6.2
175,T157,T157,Vaughn Taylor,1,6.2
176,T157,T157,Nicholas Thompson,10,6.2
177,T157,T157,Tom Watson,1,6.2
178,T157,T157,Y.E. Yang,8,6.2
179,T180,T180,Stephen Ames,5,6.1
180,T180,T180,Gonzalo Fernandez-Castaño,14,6.1
181,T180,T180,Russell Henley,14,6.1
182,T180,T180,Justin Hicks,18,6.1
183,T180,T180,Brooks Koepka,8,6.1
184,T180,T180,Jamie Lovemark,7,6.1
185,T180,T180,Will MacKenzie,12,6.1
186,T180,T180,Troy Merritt,10,6.1
187,T180,T180,Colin Montgomerie,1,6.1
188,T180,T180,Greg Owen,5,6.1
189,T180,T180,Scott Piercy,5,6.1
190,T180,T180,Shawn Stefani,13,6.1
191,T180,T180,Jhonattan Vegas,12,6.1
192,T180,T180,Jimmy Walker,13,6.1
193,T180,T180,Lee Westwood,9,6.1
194,T195,T195,Blake Adams,5,6.0
195,T195,T195,Eric Axley,3,6.0
196,T195,T195,Mark Calcavecchia,3,6.0
197,T195,T195,Steve Flesch,1,6.0
198,T195,T195,Branden Grace,3,6.0
199,T195,T195,Joost Luiten,3,6.0
200,T195,T195,Joe Ogilvie,3,6.0
201,T195,T195,Rod Pampling,2,6.0
202,T195,T195,Carl Pettersson,15,6.0
203,T195,T195,Alex Prugh,2,6.0
204,T195,T195,Brett Rumford,1,6.0
205,T195,T195,Scott Stallings,8,6.0
206,T195,T195,Brendan Steele,14,6.0
207,T195,T195,Hudson Swafford,7,6.0
208,T195,T195,Cameron Tringale,23,6.0
209,T195,T195,Marc Turnesa,1,6.0
210,T195,T195,Bo Van Pelt,12,6.0
211,T195,T195,Bubba Watson,13,6.0
212,T213,T213,Darren Clarke,1,5.9
213,T213,T213,Matthew Fitzpatrick,1,5.9
214,T213,T213,Oliver Goss,1,5.9
215,T213,T213,Charley Hoffman,16,5.9
216,T213,T213,Billy Horschel,15,5.9
217,T213,T213,David Lingmerth,12,5.9
218,T213,T213,Taylor Pendrith,1,5.9
219,T213,T213,Michael Thompson,11,5.9
220,T213,T213,Boo Weekley,10,5.9
221,T213,T213,Danny Willett,1,5.9
222,T213,T213,Gary Woodland,17,5.9
223,T224,T224,Matt Bettencourt,3,5.8
224,T224,T224,Chad Campbell,9,5.8
225,T224,T224,Brendon de Jonge,18,5.8
226,T224,T224,Derek Fathauer,1,5.8
227,T224,T224,Paul Goydos,4,5.8
228,T224,T224,James Hahn,11,5.8
229,T224,T224,Edoardo Molinari,1,5.8
230,T224,T224,Brett Quigley,1,5.8
231,T224,T224,Kyle Reifers,1,5.8
232,T224,T224,Daniel Summerhays,18,5.8
233,T234,T234,Ricky Barnes,14,5.7
234,T234,T234,Cameron Beckman,2,5.7
235,T234,T234,Harris English,11,5.7
236,T234,T234,Derek Ernst,7,5.7
237,T234,T234,Lucas Glover,3,5.7
238,T234,T234,Doug LaBelle II,3,5.7
239,T234,T234,Martin Laird,10,5.7
240,T234,T234,Troy Matteson,5,5.7
241,T234,T234,Jordan Niebrugge,1,5.7
242,T234,T234,Kenny Perry,1,5.7
243,T234,T234,Kevin Stadler,12,5.7
244,T234,T234,Kyle Stanley,12,5.7
245,T234,T234,Richard Sterne,3,5.7
246,T234,T234,Kevin Streelman,12,5.7
247,T248,T248,Woody Austin,8,5.6
248,T248,T248,Aaron Baddeley,9,5.6
249,T248,T248,Charlie Beljan,9,5.6
250,T248,T248,Joel Dahmen,1,5.6
251,T248,T248,Tano Goya,1,5.6
252,T248,T248,Peter Hanson,4,5.6
253,T248,T248,Dustin Johnson,9,5.6
254,T248,T248,Martin Kaymer,9,5.6
255,T248,T248,John Peterson,5,5.6
256,T248,T248,John Rollins,9,5.6
257,T248,T248,Henrik Stenson,9,5.6
258,T248,T248,Andrew Svoboda,12,5.6
259,T248,T248,Chris Thompson,1,5.6
260,T248,T248,David Toms,10,5.6
261,T248,T248,Lee Williams,3,5.6
262,T263,T263,Fred Funk,2,5.5
263,T263,T263,Stephen Gallacher,2,5.5
264,T263,T263,Rory Sabbatini,11,5.5
265,T263,T263,Kevin Tway,6,5.5
266,T267,T267,Glen Day,1,5.4
267,T267,T267,Harrison Frazar,3,5.4
268,T267,T267,Scott Gardiner,2,5.4
269,T267,T267,Carlos Ortiz,1,5.4
270,T267,T267,Tiger Woods,1,5.4
271,T272,T272,Ángel Cabrera,11,5.3
272,T272,T272,Will Claxton,3,5.3
273,T272,T272,Tommy Gainey,9,5.3
274,T272,T272,Andres Gonzales,1,5.3
275,T272,T272,J.J. Henry,13,5.3
276,T272,T272,Jim Herman,8,5.3
277,T272,T272,Mark Hubbard,1,5.3
278,T279,T279,Miguel Angel Carballo,3,5.2
279,T279,T279,José Coceres,1,5.2
280,T279,T279,Darren Fichardt,1,5.2
281,T279,T279,Davis Love III,11,5.2
282,T279,T279,John Merrick,13,5.2
283,T279,T279,Zachary Olsen,1,5.2
284,T285,T285,John Daly,3,5.1
285,T285,T285,Bobby Wyatt,2,5.1
286,287,287,Koumei Oda,1,5.0
287,288,288,Tag Ridings,2,4.9
288,T289,T289,Wes Roach,7,4.8
289,T289,T289,Marc Warren,1,4.8
290,T291,T291,Nicolas Colsaerts,3,4.7
291,T291,T291,Kevin Foley,3,4.7
292,T291,T291,Fabián Gómez,1,4.7
