,Birdie_Average_RANK THIS WEEK,Birdie_Average_RANK LAST WEEK,Birdie_Average_PLAYER NAME,Birdie_Average_ROUNDS,Birdie_Average_AVG,Birdie_Average_# OF BIRDIES,Birdie_Average_TOTAL ROUNDS
0,1,1,Rory McIlroy,66,4.58,293,64
1,2,2,Adam Scott,68,4.24,288,68
2,3,3,Jimmy Walker,98,4.18,401,96
3,4,4,Dustin Johnson,58,4.05,231,57
4,5,5,Charl Schwartzel,64,4.02,249,62
5,6,6,Jordan Spieth,102,3.97,389,98
6,T7,T7,Henrik Stenson,56,3.96,214,54
7,T7,T7,Bubba Watson,76,3.96,289,73
8,9,9,Ryan Palmer,85,3.93,334,85
9,T10,T10,Charley Hoffman,93,3.89,362,93
10,T10,T10,Ryo Ishikawa,75,3.89,292,75
11,T10,T10,Hideki Matsuyama,82,3.89,311,80
12,T10,T10,Chris Stroud,88,3.89,342,88
13,14,14,Rickie Fowler,91,3.88,330,85
14,15,15,Sergio Garcia,61,3.86,224,58
15,T16,T16,Robert Garrigus,80,3.84,307,80
16,T16,T16,Brooks Koepka,56,3.84,215,56
17,T18,T18,Keegan Bradley,89,3.82,336,88
18,T18,T18,Kevin Chappell,100,3.82,367,96
19,T18,T18,Matt Kuchar,91,3.82,336,88
20,21,21,Ryan Moore,86,3.8,319,84
21,22,22,Harris English,95,3.79,349,92
22,23,23,Jason Kokrak,65,3.78,246,65
23,24,24,Graham DeLaet,80,3.77,298,79
24,25,25,Justin Rose,70,3.76,256,68
25,T26,T26,Phil Mickelson,71,3.75,266,71
26,T26,T26,Webb Simpson,87,3.75,315,84
27,T28,T28,J.B. Holmes,86,3.73,321,86
28,T28,T28,Wes Roach,67,3.73,235,63
29,T30,T30,Andrew Loupe,65,3.72,227,61
30,T30,T30,George McNeill,79,3.72,294,79
31,T30,T30,Camilo Villegas,95,3.72,353,95
32,T33,T33,Paul Casey,56,3.71,208,56
33,T33,T33,Danny Lee,84,3.71,297,80
34,T35,T35,Morgan Hoffmann,103,3.7,366,99
35,T35,T35,Brian Stuard,91,3.7,322,87
36,T35,T35,Lee Westwood,57,3.7,207,56
37,T38,T38,Martin Kaymer,65,3.69,236,64
38,T38,T38,Kevin Na,94,3.69,347,94
39,T40,T40,Sangmoon Bae,76,3.68,280,76
40,T40,T40,Ángel Cabrera,69,3.68,254,69
41,T40,T40,Chris Kirk,105,3.68,383,104
42,T40,T40,Robert Streb,75,3.68,261,71
43,44,44,Chesson Hadley,84,3.67,308,84
44,T45,T45,Jerry Kelly,80,3.66,293,80
45,T45,T45,Michael Thompson,74,3.66,271,74
46,T47,T47,Luke Guthrie,85,3.65,310,85
47,T47,T47,Charles Howell III,106,3.65,387,106
48,T47,T47,Gary Woodland,93,3.65,336,92
49,50,50,Kevin Kisner,85,3.64,309,85
50,T51,T51,Jason Dufner,57,3.63,196,54
51,T51,T51,Ian Poulter,57,3.63,203,56
52,53,53,Matt Every,85,3.62,308,85
53,T54,T54,Scott Brown,100,3.61,361,100
54,T54,T54,Zach Johnson,97,3.61,347,96
55,T54,T54,Graeme McDowell,66,3.61,224,62
56,T54,T54,Kevin Stadler,90,3.61,321,89
57,T58,T58,Stuart Appleby,92,3.6,324,90
58,T58,T58,Brendan Steele,89,3.6,306,85
59,T58,T58,Kevin Streelman,79,3.6,281,78
60,T61,T61,Billy Horschel,92,3.59,323,90
61,T61,T61,Jeff Overton,80,3.59,273,76
62,63,63,Jason Day,54,3.58,172,48
63,64,64,Will MacKenzie,82,3.57,293,82
64,T65,T65,Bill Haas,107,3.56,374,105
65,T65,T65,David Toms,64,3.56,221,62
66,T67,T67,Tommy Gainey,73,3.55,245,69
67,T67,T67,Brendon Todd,108,3.55,383,108
68,T67,T67,Nick Watney,80,3.55,266,75
69,T70,T70,Aaron Baddeley,74,3.54,255,72
70,T70,T70,Marc Leishman,81,3.54,283,80
71,T70,T70,Rory Sabbatini,82,3.54,276,78
72,T73,T73,Russell Henley,92,3.53,325,92
73,T73,T73,Jamie Lovemark,64,3.53,212,60
74,T75,T75,Brad Fritsch,50,3.52,169,48
75,T75,T75,Andres Romero,81,3.52,271,77
76,T77,T77,Ricky Barnes,92,3.5,308,88
77,T77,T77,Brian Harman,111,3.5,389,111
78,T77,T77,Ben Martin,80,3.5,280,80
79,T80,T80,William McGirt,96,3.49,335,96
80,T80,T80,Seung-Yul Noh,92,3.49,321,92
81,T80,T80,Patrick Reed,92,3.49,314,90
82,T83,T83,Freddie Jacobson,91,3.48,317,91
83,T83,T83,Martin Laird,66,3.48,216,62
84,T83,T83,Carl Pettersson,91,3.48,317,91
85,T83,T83,Brandt Snedeker,89,3.48,303,87
86,T87,T87,Charlie Beljan,76,3.47,250,72
87,T87,T87,Scott Langley,95,3.47,323,93
88,T87,T87,Hunter Mahan,88,3.47,295,85
89,T87,T87,Tyrone Van Aswegen,79,3.47,271,78
90,91,91,David Hearn,97,3.46,336,97
91,T92,T92,Justin Hicks,103,3.45,342,99
92,T92,T92,Daniel Summerhays,98,3.45,338,98
93,T92,T92,Jhonattan Vegas,77,3.45,259,75
94,T95,T95,Jim Furyk,84,3.44,275,80
95,T95,T95,John Senden,99,3.44,341,99
96,T97,T97,Bud Cauley,56,3.43,192,56
97,T97,T97,Luke Donald,57,3.43,192,56
98,T97,T97,Andrew Svoboda,77,3.43,264,77
99,T100,T100,Jason Bohn,81,3.42,277,81
100,T100,T100,Greg Chalmers,85,3.42,277,81
101,T102,T102,Matt Jones,83,3.41,283,83
102,T102,T102,Louis Oosthuizen,50,3.41,157,46
103,T102,T102,Bo Van Pelt,83,3.41,283,83
104,T105,T105,Jonas Blixt,64,3.4,211,62
105,T105,T105,Troy Merritt,62,3.4,211,62
106,T105,T105,Pat Perez,84,3.4,286,84
107,T108,T108,Steven Bowditch,93,3.39,315,93
108,T108,T108,Russell Knox,92,3.39,312,92
109,110,110,Jonathan Byrd,76,3.38,243,72
110,111,111,Brian Davis,93,3.37,313,93
111,112,112,David Lingmerth,80,3.36,255,76
112,T113,T113,K.J. Choi,80,3.35,268,80
113,T113,T113,Gonzalo Fernandez-Castaño,83,3.35,275,82
114,T113,T113,Cameron Tringale,111,3.35,372,111
115,T116,T116,Erik Compton,88,3.34,294,88
116,T116,T116,Martin Flores,85,3.34,284,85
117,T116,T116,Michael Putnam,106,3.34,341,102
118,T116,T116,Hudson Swafford,75,3.34,237,71
119,T120,T120,Stewart Cink,91,3.33,303,91
120,T120,T120,Tim Clark,75,3.33,250,75
121,T120,T120,Ken Duke,80,3.33,260,78
122,T120,T120,Brice Garnett,92,3.33,293,88
123,124,124,James Driscoll,71,3.32,236,71
124,125,125,Davis Love III,74,3.31,238,72
125,T126,T126,Retief Goosen,94,3.3,297,90
126,T126,T126,Geoff Ogilvy,84,3.3,264,80
127,T128,T128,Brendon de Jonge,109,3.29,359,109
128,T128,T128,Troy Matteson,62,3.29,191,58
129,T128,T128,Kyle Stanley,87,3.29,273,83
130,T131,T131,Ernie Els,85,3.28,259,79
131,T131,T131,Shawn Stefani,60,3.28,197,60
132,T133,T133,Richard Lee,80,3.27,255,78
133,T133,T133,Bryce Molder,77,3.27,239,73
134,T133,T133,Willy Wilcox,51,3.27,160,49
135,T136,T136,Robert Allenby,83,3.26,264,81
136,T136,T136,Ben Crane,81,3.26,264,81
137,T136,T136,Ben Curtis,77,3.26,238,73
138,139,139,Spencer Levin,59,3.25,192,59
139,T140,T140,Woody Austin,63,3.24,191,59
140,T140,T140,John Merrick,87,3.24,269,83
141,T140,T140,Vijay Singh,83,3.24,269,83
142,T143,T143,Lucas Glover,68,3.23,213,66
143,T143,T143,Heath Slocum,71,3.23,223,69
144,T145,T145,Jim Renner,61,3.22,190,59
145,T145,T145,Josh Teater,90,3.22,283,88
146,147,147,Justin Leonard,75,3.19,239,75
147,T148,T148,Chad Campbell,57,3.17,168,53
148,T148,T148,Jim Herman,62,3.17,184,58
149,T148,T148,John Huh,87,3.17,263,83
150,T151,T151,Briny Baird,50,3.16,158,50
151,T151,T151,Chad Collins,78,3.16,234,74
152,T151,T151,Billy Hurley III,86,3.16,272,86
153,T151,T151,Scott Stallings,77,3.16,240,76
154,T151,T151,Charlie Wi,72,3.16,221,70
155,T151,T151,Tim Wilkinson,86,3.16,259,82
156,T157,T157,James Hahn,82,3.14,251,80
157,T157,T157,Sean O'Hair,77,3.14,242,77
158,159,159,John Peterson,62,3.12,187,60
159,160,160,Y.E. Yang,79,3.09,241,78
160,161,161,Bronson La'Cassie,51,3.06,144,47
