,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Adam Scott,68,68.81,1445,21
1,2,2,Dustin Johnson,58,69.1,1451,21
2,3,3,Rory McIlroy,66,69.52,1460,21
3,4,4,Matt Kuchar,91,69.55,2156,31
4,5,5,Justin Rose,70,69.59,1879,27
5,6,6,Russell Knox,92,69.6,3480,50
6,7,7,Jimmy Walker,98,69.64,3064,44
7,8,8,Brooks Koepka,56,69.73,2301,33
8,T9,T9,Keegan Bradley,89,69.83,2514,36
9,T9,T9,Harris English,95,69.83,3282,47
10,T11,T11,Kevin Chappell,100,69.86,3493,50
11,T11,T11,Sergio Garcia,61,69.86,1537,22
12,13,13,Charles Howell III,106,69.89,3844,55
13,14,14,Michael Thompson,74,69.9,2936,42
14,15,15,Brad Fritsch,50,69.91,1608,23
15,16,16,Graeme McDowell,66,69.93,2098,30
16,17,17,Hudson Swafford,75,70.03,2521,36
17,18,18,Bud Cauley,56,70.08,1682,24
18,19,19,Ryan Moore,86,70.09,2383,34
19,T20,T20,Henrik Stenson,56,70.1,1402,20
20,T20,T20,Bubba Watson,76,70.1,2173,31
21,T22,T22,Jeff Overton,80,70.11,3155,45
22,T22,T22,Charl Schwartzel,64,70.11,1893,27
23,24,24,Jason Day,54,70.12,1192,17
24,25,25,Chris Kirk,105,70.13,3296,47
25,26,26,Jim Furyk,84,70.14,1964,28
26,27,27,Patrick Reed,92,70.15,3227,46
27,28,28,Scott Langley,95,70.17,3228,46
28,T29,T29,Jordan Spieth,102,70.18,2737,39
29,T29,T29,David Toms,64,70.18,2316,33
30,T31,T31,Danny Lee,84,70.21,2738,39
31,T31,T31,Kevin Na,94,70.21,3019,43
32,T31,T31,John Senden,99,70.21,3370,48
33,34,34,Luke Guthrie,85,70.22,3160,45
34,T35,T35,George McNeill,79,70.24,2880,41
35,T35,T35,Gary Woodland,93,70.24,3231,46
36,37,37,Graham DeLaet,80,70.26,2459,35
37,38,38,Brendan Steele,89,70.31,3445,49
38,39,39,Paul Casey,56,70.35,2181,31
39,T40,T40,Hideki Matsuyama,82,70.36,2744,39
40,T40,T40,Brian Stuard,91,70.36,2955,42
41,T40,T40,Daniel Summerhays,98,70.36,3729,53
42,T43,T43,Retief Goosen,94,70.37,3237,46
43,T43,T43,Jason Kokrak,65,70.37,1900,27
44,45,45,Tim Wilkinson,86,70.38,2604,37
45,46,46,Webb Simpson,87,70.39,3238,46
46,T47,T47,Will MacKenzie,82,70.43,2817,40
47,T47,T47,William McGirt,96,70.43,3451,49
48,T47,T47,Cameron Tringale,111,70.43,4437,63
49,50,50,Ryo Ishikawa,75,70.44,2536,36
50,51,51,Camilo Villegas,95,70.46,3805,54
51,T52,T52,Ricky Barnes,92,70.48,3383,48
52,T52,T52,Bill Haas,107,70.48,3665,52
53,T52,T52,Brendon Todd,108,70.48,3665,52
54,T55,T55,Erik Compton,88,70.49,3031,43
55,T55,T55,Rickie Fowler,91,70.49,3031,43
56,57,57,Morgan Hoffmann,103,70.5,3384,48
57,T58,T58,Aaron Baddeley,74,70.53,2398,34
58,T58,T58,Phil Mickelson,71,70.53,2539,36
59,60,60,Ben Curtis,77,70.54,2751,39
60,T61,T61,Ryan Palmer,85,70.56,2752,39
61,T61,T61,Andrew Svoboda,77,70.56,2752,39
62,T63,T63,Stuart Appleby,92,70.57,3599,51
63,T63,T63,Michael Putnam,106,70.57,3811,54
64,65,65,Charley Hoffman,93,70.61,3460,49
65,T66,T66,Jerry Kelly,80,70.62,3178,45
66,T66,T66,Heath Slocum,71,70.62,2613,37
67,T68,T68,Chad Campbell,57,70.63,1907,27
68,T68,T68,Andrew Loupe,65,70.63,2119,30
69,T70,T70,Ken Duke,80,70.64,3179,45
70,T70,T70,Chris Stroud,88,70.64,2967,42
71,T72,T72,David Hearn,97,70.65,3886,55
72,T72,T72,Kevin Kisner,85,70.65,2826,40
73,74,74,J.J. Henry,91,70.66,3533,50
74,T75,T75,Stewart Cink,91,70.67,3392,48
75,T75,T75,Robert Streb,75,70.67,2332,33
76,T77,T77,Billy Hurley III,86,70.7,3111,44
77,T77,T77,Seung-Yul Noh,92,70.7,3535,50
78,T79,T79,Matt Jones,83,70.72,3041,43
79,T79,T79,Pat Perez,84,70.72,2758,39
80,T81,T81,Zach Johnson,97,70.73,3183,45
81,T81,T81,Brandt Snedeker,89,70.73,2829,40
82,83,83,Robert Allenby,83,70.74,3042,43
83,84,84,Brice Garnett,92,70.75,3396,48
84,T85,T85,K.J. Choi,80,70.76,3184,45
85,T85,T85,Marc Leishman,81,70.76,2689,38
86,T85,T85,Vijay Singh,83,70.76,3184,45
87,88,88,Tyrone Van Aswegen,79,70.77,3043,43
88,T89,T89,Brian Harman,111,70.78,4105,58
89,T89,T89,Bo Van Pelt,83,70.78,2831,40
90,T91,T91,Greg Chalmers,85,70.79,2761,39
91,T91,T91,Troy Merritt,62,70.79,2407,34
92,93,93,Kevin Stadler,90,70.8,3540,50
93,T94,T94,Robert Garrigus,80,70.81,3045,43
94,T94,T94,Ben Martin,80,70.81,2620,37
95,96,96,Charlie Beljan,76,70.82,2408,34
96,97,97,Jonathan Byrd,76,70.83,2550,36
97,98,98,Steven Bowditch,93,70.85,3401,48
98,99,99,Ben Crane,81,70.86,2976,42
99,T100,T100,Martin Flores,85,70.87,3189,45
100,T100,T100,Andres Romero,81,70.87,3189,45
101,102,102,Sangmoon Bae,76,70.88,2835,40
102,103,103,Kevin Streelman,79,70.89,2481,35
103,T104,T104,Matt Every,85,70.9,2907,41
104,T104,T104,Hunter Mahan,88,70.9,2836,40
105,106,106,Freddie Jacobson,91,70.91,3262,46
106,T107,T107,Chad Collins,78,70.92,2695,38
107,T107,T107,"Ted Potter, Jr.",68,70.92,2553,36
108,T109,T109,Scott Brown,100,70.94,3689,52
109,T109,T109,Spencer Levin,59,70.94,2483,35
110,111,111,Justin Leonard,75,71.0,2982,42
111,112,112,Billy Horschel,92,71.02,3054,43
112,113,113,Luke Donald,57,71.03,2344,33
113,T114,T114,Ernie Els,85,71.05,2984,42
114,T114,T114,Justin Hicks,103,71.05,3908,55
115,T114,T114,Jhonattan Vegas,77,71.05,2700,38
116,T114,T114,Willy Wilcox,51,71.05,1492,21
117,118,118,Charlie Wi,72,71.06,2487,35
118,119,119,Sean O'Hair,77,71.07,3269,46
119,120,120,Nick Watney,80,71.09,2417,34
120,121,121,Brian Davis,93,71.1,3413,48
121,T122,T122,Martin Laird,66,71.11,2489,35
122,T122,T122,Carl Pettersson,91,71.11,3342,47
123,124,124,Brendon de Jonge,109,71.13,4268,60
124,125,125,J.B. Holmes,86,71.14,2632,37
125,T126,T126,Rory Sabbatini,82,71.17,2918,41
126,T126,T126,Josh Teater,90,71.17,3345,47
127,128,128,Shawn Stefani,60,71.2,2492,35
128,129,129,James Driscoll,71,71.22,2635,37
129,130,130,Ian Poulter,57,71.23,2137,30
130,131,131,John Huh,87,71.27,3421,48
131,T132,T132,Jason Bohn,81,71.28,2851,40
132,T132,T132,Jamie Lovemark,64,71.28,2281,32
133,T134,T134,Brian Gay,81,71.29,3422,48
134,T134,T134,Bryce Molder,77,71.29,2994,42
135,T134,T134,Johnson Wagner,69,71.29,2424,34
136,137,137,Wes Roach,67,71.31,2496,35
137,T138,T138,Ángel Cabrera,69,71.32,2710,38
138,T138,T138,Martin Kaymer,65,71.32,2211,31
139,140,140,Trevor Immelman,84,71.35,3639,51
140,141,141,Tim Clark,75,71.37,2712,38
141,T142,T142,John Peterson,62,71.38,2070,29
142,T142,T142,Lee Westwood,57,71.38,2284,32
143,144,144,Tommy Gainey,73,71.39,2356,33
144,T145,T145,David Lingmerth,80,71.4,2999,42
145,T145,T145,John Rollins,84,71.4,3213,45
146,147,147,Chesson Hadley,84,71.41,2642,37
147,148,148,Gonzalo Fernandez-Castaño,83,71.42,3214,45
148,T149,T149,Jonas Blixt,64,71.46,2501,35
149,T149,T149,James Hahn,82,71.46,2930,41
150,151,151,Richard Lee,80,71.53,2861,40
151,152,152,Y.E. Yang,79,71.57,3149,44
152,153,153,Russell Henley,92,71.58,3722,52
153,154,154,Louis Oosthuizen,50,71.59,1575,22
154,155,155,Nicholas Thompson,85,71.65,3081,43
155,T156,T156,Jason Dufner,57,71.7,1936,27
156,T156,T156,Geoff Ogilvy,84,71.7,3083,43
157,158,158,Mark Wilson,69,71.72,2582,36
158,159,159,John Merrick,87,71.75,3659,51
159,160,160,Bronson La'Cassie,51,71.76,1794,25
160,161,161,Davis Love III,74,71.79,3087,43
161,162,162,Scott Stallings,77,71.86,3018,42
162,163,163,Derek Ernst,80,71.9,2948,41
163,164,164,Woody Austin,63,71.91,2373,33
164,165,165,Briny Baird,50,72.0,2232,31
165,166,166,Kyle Stanley,87,72.02,3457,48
166,167,167,Jeff Maggert,54,72.04,2017,28
167,168,168,Kevin Tway,64,72.06,2234,31
168,169,169,Jim Herman,62,72.1,2235,31
169,170,170,Lucas Glover,68,72.15,2453,34
170,171,171,Boo Weekley,73,72.23,3178,44
171,172,172,D.H. Lee,54,72.24,2095,29
172,173,173,D.A. Points,75,72.27,2963,41
173,T174,T174,Roberto Castro,76,72.28,2819,39
174,T174,T174,Mike Weir,69,72.28,2313,32
175,176,176,Troy Matteson,62,72.35,2243,31
176,177,177,Jim Renner,61,72.9,2114,29
