,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Charl Schwartzel,68.57,960,14
1,2,2,David Toms,68.82,757,11
2,3,3,Henrik Stenson,68.92,896,13
3,4,4,Harris English,69.05,1312,19
4,5,5,Sergio Garcia,69.07,967,14
5,6,6,Graeme McDowell,69.2,1038,15
6,7,7,Will MacKenzie,69.21,969,14
7,8,8,Rickie Fowler,69.29,1178,17
8,9,9,Johnson Wagner,69.33,624,9
9,10,10,Webb Simpson,69.44,1250,18
10,11,11,Jimmy Walker,69.45,1528,22
11,12,12,Adam Scott,69.47,1181,17
12,13,13,Brad Fritsch,69.57,487,7
13,14,14,Brian Stuard,69.6,1044,15
14,T15,T15,Dustin Johnson,69.62,905,13
15,T15,T15,Matt Kuchar,69.62,1462,21
16,T17,T17,Graham DeLaet,69.63,1114,16
17,T17,T17,Rory McIlroy,69.63,1114,16
18,T19,T19,Tim Clark,69.64,766,11
19,T19,T19,Heath Slocum,69.64,766,11
20,T21,T21,Kevin Na,69.65,1393,20
21,T21,T21,Bubba Watson,69.65,1184,17
22,T23,T23,William McGirt,69.67,1254,18
23,T23,T23,Jeff Overton,69.67,1045,15
24,T25,T25,Ernie Els,69.69,1115,16
25,T25,T25,Ryo Ishikawa,69.69,906,13
26,27,27,Jim Furyk,69.7,1394,20
27,28,28,Brooks Koepka,69.75,837,12
28,29,29,Camilo Villegas,69.78,1256,18
29,T30,T30,Jason Day,69.8,698,10
30,T30,T30,Russell Knox,69.8,1396,20
31,32,32,Kevin Kisner,69.88,1118,16
32,33,33,Ángel Cabrera,69.92,839,12
33,34,34,Stuart Appleby,69.94,1189,17
34,T35,T35,Charlie Beljan,70.0,770,11
35,T35,T35,Luke Guthrie,70.0,1050,15
36,T35,T35,Marc Leishman,70.0,1190,17
37,T35,T35,Carl Pettersson,70.0,1190,17
38,T39,T39,Jerry Kelly,70.06,1191,17
39,T39,T39,George McNeill,70.06,1121,16
40,T39,T39,Chris Stroud,70.06,1261,18
41,42,42,Jason Bohn,70.07,1051,15
42,T43,T43,James Hahn,70.08,911,13
43,T43,T43,Brendon Todd,70.08,1752,25
44,45,45,Hudson Swafford,70.1,701,10
45,46,46,Charles Howell III,70.13,1683,24
46,47,47,Robert Allenby,70.17,842,12
47,48,48,Roberto Castro,70.18,772,11
48,T49,T49,Erik Compton,70.19,1123,16
49,T49,T49,Charley Hoffman,70.19,1474,21
50,51,51,Chad Campbell,70.22,632,9
51,52,52,Brendan Steele,70.25,1124,16
52,53,53,Charlie Wi,70.3,703,10
53,54,54,Billy Hurley III,70.31,1125,16
54,55,55,Phil Mickelson,70.36,985,14
55,56,56,K.J. Choi,70.38,1126,16
56,57,57,Zach Johnson,70.39,1619,23
57,58,58,Troy Merritt,70.4,704,10
58,59,59,John Senden,70.41,1549,22
59,T60,T60,Paul Casey,70.42,845,12
60,T60,T60,Billy Horschel,70.42,1338,19
61,T62,T62,Brian Harman,70.43,1620,23
62,T62,T62,Jordan Spieth,70.43,1620,23
63,T64,T64,John Huh,70.46,916,13
64,T64,T64,Ben Martin,70.46,916,13
65,T66,T66,Jonas Blixt,70.5,705,10
66,T66,T66,Patrick Reed,70.5,1269,18
67,68,68,Keegan Bradley,70.53,1340,19
68,69,69,Sangmoon Bae,70.54,917,13
69,70,70,Tyrone Van Aswegen,70.57,988,14
70,71,71,Danny Lee,70.58,847,12
71,72,72,Brian Davis,70.61,1271,18
72,73,73,Kevin Chappell,70.62,1483,21
73,74,74,Steven Bowditch,70.63,1130,16
74,T75,T75,Chris Kirk,70.64,1766,25
75,T75,T75,Lee Westwood,70.64,777,11
76,77,77,Bill Haas,70.65,1837,26
77,78,78,Ryan Moore,70.68,1343,19
78,T79,T79,Ken Duke,70.69,919,13
79,T79,T79,Justin Rose,70.69,1131,16
80,81,81,David Hearn,70.7,1414,20
81,82,82,Hideki Matsuyama,70.72,1273,18
82,T83,T83,Bryce Molder,70.77,920,13
83,T83,T83,Shawn Stefani,70.77,920,13
84,85,85,Chad Collins,70.78,637,9
85,86,86,Wes Roach,70.8,708,10
86,87,87,Daniel Summerhays,70.82,1558,22
87,T88,T88,Luke Donald,70.83,850,12
88,T88,T88,Scott Langley,70.83,1275,18
89,T88,T88,Jeff Maggert,70.83,425,6
90,T88,T88,Hunter Mahan,70.83,1275,18
91,T88,T88,Troy Matteson,70.83,425,6
92,93,93,Jason Kokrak,70.85,921,13
93,94,94,Andrew Svoboda,70.86,992,14
94,95,95,Scott Stallings,70.91,780,11
95,96,96,Boo Weekley,70.93,993,14
96,T97,T97,Ricky Barnes,70.94,1206,17
97,T97,T97,Scott Brown,70.94,1277,18
98,99,99,Justin Hicks,70.95,1419,20
99,T100,T100,Matt Every,71.0,1136,16
100,T100,T100,Brice Garnett,71.0,1065,15
101,T100,T100,Michael Putnam,71.0,1562,22
102,T100,T100,Mark Wilson,71.0,497,7
103,T104,T104,Russell Henley,71.06,1208,17
