,Late_Lowest_Round_RANK THIS WEEK,Late_Lowest_Round_RANK LAST WEEK,Late_Lowest_Round_PLAYER NAME,Late_Lowest_Round_LOW RND
0,T1,T1,Sergio Garcia,61
1,T1,T1,George McNeill,61
2,T3,T3,Chad Campbell,62
3,T3,T3,Tim Clark,62
4,T3,T3,Morgan Hoffmann,62
5,T3,T3,Ryo Ishikawa,62
6,T3,T3,Zach Johnson,62
7,T3,T3,Russell Knox,62
8,T3,T3,Ben Martin,62
9,T10,T10,Kevin Chappell,63
10,T10,T10,Stewart Cink,63
11,T10,T10,Ben Crane,63
12,T10,T10,James Driscoll,63
13,T10,T10,Brad Fritsch,63
14,T10,T10,Billy Horschel,63
15,T10,T10,Dustin Johnson,63
16,T10,T10,Martin Kaymer,63
17,T10,T10,David Lingmerth,63
18,T10,T10,Jamie Lovemark,63
19,T10,T10,Rory McIlroy,63
20,T10,T10,Phil Mickelson,63
21,T10,T10,Bryce Molder,63
22,T10,T10,Ryan Moore,63
23,T10,T10,Jeff Overton,63
24,T10,T10,Ryan Palmer,63
25,T10,T10,Ian Poulter,63
26,T10,T10,Patrick Reed,63
27,T10,T10,Richard Sterne,63
28,T10,T10,Brendon Todd,63
29,T10,T10,Camilo Villegas,63
30,T10,T10,Jimmy Walker,63
31,T32,T32,Eric Axley,64
32,T32,T32,Charlie Beljan,64
33,T32,T32,Jason Bohn,64
34,T32,T32,Ángel Cabrera,64
35,T32,T32,Roberto Castro,64
36,T32,T32,John Daly,64
37,T32,T32,Jason Day,64
38,T32,T32,Brendon de Jonge,64
39,T32,T32,Joe Durant,64
40,T32,T32,Paul Goydos,64
41,T32,T32,Luke Guthrie,64
42,T32,T32,Bill Haas,64
43,T32,T32,Russell Henley,64
44,T32,T32,Justin Hicks,64
45,T32,T32,Charley Hoffman,64
46,T32,T32,Freddie Jacobson,64
47,T32,T32,Chris Kirk,64
48,T32,T32,Kevin Kisner,64
49,T32,T32,Matt Kuchar,64
50,T32,T32,Scott Langley,64
51,T32,T32,Marc Leishman,64
52,T32,T32,Jeff Maggert,64
53,T32,T32,Troy Matteson,64
54,T32,T32,Graeme McDowell,64
55,T32,T32,William McGirt,64
56,T32,T32,Kevin Na,64
57,T32,T32,Louis Oosthuizen,64
58,T32,T32,Tim Petrovic,64
59,T32,T32,Michael Putnam,64
60,T32,T32,Charl Schwartzel,64
61,T32,T32,John Senden,64
62,T32,T32,Webb Simpson,64
63,T32,T32,Shawn Stefani,64
64,T32,T32,Kevin Streelman,64
65,T32,T32,Steve Stricker,64
66,T32,T32,Daniel Summerhays,64
67,T32,T32,Andrew Svoboda,64
68,T32,T32,Justin Thomas,64
69,T32,T32,Cameron Tringale,64
70,T32,T32,Nick Watney,64
71,T32,T32,Bubba Watson,64
72,T32,T32,Willy Wilcox,64
73,T74,T74,Stephen Ames,65
74,T74,T74,Mark Anderson,65
75,T74,T74,Stuart Appleby,65
76,T74,T74,Aaron Baddeley,65
77,T74,T74,Keegan Bradley,65
78,T74,T74,Josh Broadaway,65
79,T74,T74,Scott Brown,65
80,T74,T74,Jonathan Byrd,65
81,T74,T74,Paul Casey,65
82,T74,T74,Greg Chalmers,65
83,T74,T74,K.J. Choi,65
84,T74,T74,Will Claxton,65
85,T74,T74,Chad Collins,65
86,T74,T74,Austin Cook,65
87,T74,T74,Brian Davis,65
88,T74,T74,Glen Day,65
89,T74,T74,Graham DeLaet,65
90,T74,T74,Jamie Donaldson,65
91,T74,T74,Ken Duke,65
92,T74,T74,Ernie Els,65
93,T74,T74,Harris English,65
94,T74,T74,Matt Every,65
95,T74,T74,Martin Flores,65
96,T74,T74,Jim Furyk,65
97,T74,T74,Tommy Gainey,65
98,T74,T74,Scott Gardiner,65
99,T74,T74,Robert Garrigus,65
100,T74,T74,Retief Goosen,65
101,T74,T74,Chesson Hadley,65
102,T74,T74,James Hahn,65
