,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Rory McIlroy,66,26.22,302,1152
1,2,2,Adam Scott,68,24.18,296,1224
2,3,3,Jimmy Walker,98,23.5,406,1728
3,4,4,Dustin Johnson,58,23.39,240,1026
4,5,5,Charl Schwartzel,64,22.85,255,1116
5,6,6,Bubba Watson,76,22.83,300,1314
6,7,7,Ryan Palmer,85,22.68,347,1530
7,8,8,Henrik Stenson,56,22.33,217,972
8,9,9,Jordan Spieth,102,22.28,393,1764
9,T10,T10,Ryo Ishikawa,75,22.15,299,1350
10,T10,T10,Hideki Matsuyama,82,22.15,319,1440
11,12,12,Brooks Koepka,56,22.02,222,1008
12,13,13,Robert Garrigus,80,22.01,317,1440
13,14,14,Charley Hoffman,93,21.98,368,1674
14,15,15,Sergio Garcia,61,21.93,229,1044
15,16,16,Justin Rose,70,21.9,268,1224
16,17,17,Rickie Fowler,91,21.83,334,1530
17,18,18,Chris Stroud,88,21.72,344,1584
18,19,19,Jason Kokrak,65,21.71,254,1170
19,20,20,Ryan Moore,86,21.69,328,1512
20,21,21,Harris English,95,21.68,359,1656
21,22,22,Kevin Chappell,100,21.64,374,1728
22,T23,T23,Keegan Bradley,89,21.59,342,1584
23,T23,T23,Matt Kuchar,91,21.59,342,1584
24,25,25,Graham DeLaet,80,21.38,304,1422
25,26,26,Paul Casey,56,21.33,215,1008
26,27,27,George McNeill,79,21.24,302,1422
27,28,28,Webb Simpson,87,21.23,321,1512
28,29,29,Phil Mickelson,71,21.13,270,1278
29,30,30,Kevin Na,94,21.1,357,1692
30,T31,T31,Morgan Hoffmann,103,21.04,375,1782
31,T31,T31,Andrew Loupe,65,21.04,231,1098
32,33,33,Lee Westwood,57,21.03,212,1008
33,34,34,Charles Howell III,106,21.02,401,1908
34,35,35,Martin Kaymer,65,21.01,242,1152
35,36,36,Wes Roach,67,20.99,238,1134
36,37,37,Sangmoon Bae,76,20.98,287,1368
37,T38,T38,Chris Kirk,105,20.94,392,1872
38,T38,T38,Camilo Villegas,95,20.94,358,1710
39,40,40,Robert Streb,75,20.89,267,1278
40,41,41,Brian Stuard,91,20.88,327,1566
41,42,42,J.B. Holmes,86,20.87,323,1548
42,43,43,Danny Lee,84,20.83,300,1440
43,T44,T44,Billy Horschel,92,20.8,337,1620
44,T44,T44,Will MacKenzie,82,20.8,307,1476
45,T46,T46,Jason Dufner,57,20.78,202,972
46,T46,T46,Luke Guthrie,85,20.78,318,1530
47,T48,T48,Ángel Cabrera,69,20.77,258,1242
48,T48,T48,Gary Woodland,93,20.77,344,1656
49,50,50,Kevin Stadler,90,20.72,332,1602
50,51,51,Brendan Steele,89,20.65,316,1530
51,52,52,Graeme McDowell,66,20.61,230,1116
52,T53,T53,Chesson Hadley,84,20.57,311,1512
53,T53,T53,Michael Thompson,74,20.57,274,1332
54,55,55,Jerry Kelly,80,20.56,296,1440
55,T56,T56,Jeff Overton,80,20.54,281,1368
56,T56,T56,Ian Poulter,57,20.54,207,1008
57,58,58,Matt Every,85,20.52,314,1530
58,59,59,Kevin Streelman,79,20.51,288,1404
59,60,60,Marc Leishman,81,20.49,295,1440
60,61,61,Scott Brown,100,20.44,368,1800
61,62,62,Zach Johnson,97,20.43,353,1728
62,63,63,Kevin Kisner,85,20.39,312,1530
63,64,64,Andres Romero,81,20.27,281,1386
64,65,65,Bill Haas,107,20.26,383,1890
65,T66,T66,Stuart Appleby,92,20.25,328,1620
66,T66,T66,Patrick Reed,92,20.25,328,1620
67,68,68,Rory Sabbatini,82,20.23,284,1404
68,69,69,Brian Harman,111,20.17,403,1998
69,70,70,Martin Laird,66,20.16,225,1116
70,71,71,David Toms,64,20.07,224,1116
71,72,72,Charlie Beljan,76,20.06,260,1296
72,73,73,Tommy Gainey,73,20.05,249,1242
73,74,74,Jason Day,54,20.02,173,864
74,T75,T75,Matt Jones,83,20.01,299,1494
75,T75,T75,Brendon Todd,108,20.01,389,1944
76,T77,T77,Ben Martin,80,20.0,288,1440
77,T77,T77,Nick Watney,80,20.0,270,1350
78,79,79,Russell Henley,92,19.99,331,1656
79,80,80,Jamie Lovemark,64,19.91,215,1080
80,81,81,Seung-Yul Noh,92,19.87,329,1656
81,T82,T82,Carl Pettersson,91,19.84,325,1638
82,T82,T82,Daniel Summerhays,98,19.84,350,1764
83,84,84,Aaron Baddeley,74,19.83,257,1296
84,85,85,Ricky Barnes,92,19.82,314,1584
85,86,86,Brandt Snedeker,89,19.8,310,1566
86,87,87,Brad Fritsch,50,19.79,171,864
87,88,88,Steven Bowditch,93,19.77,331,1674
88,89,89,William McGirt,96,19.73,341,1728
89,90,90,Freddie Jacobson,91,19.66,322,1638
90,91,91,John Senden,99,19.64,350,1782
91,92,92,Bo Van Pelt,83,19.54,292,1494
92,93,93,Scott Langley,95,19.53,327,1674
93,94,94,Tyrone Van Aswegen,79,19.52,274,1404
94,T95,T95,Hunter Mahan,88,19.48,298,1530
95,T95,T95,Jhonattan Vegas,77,19.48,263,1350
96,T97,T97,Bud Cauley,56,19.44,196,1008
97,T97,T97,Jim Furyk,84,19.44,280,1440
98,99,99,Justin Hicks,103,19.42,346,1782
99,T100,T100,Jason Bohn,81,19.41,283,1458
100,T100,T100,Andrew Svoboda,77,19.41,269,1386
101,T102,T102,Russell Knox,92,19.38,321,1656
102,T102,T102,Pat Perez,84,19.38,293,1512
103,104,104,David Hearn,97,19.36,338,1746
104,105,105,Troy Merritt,62,19.35,216,1116
105,106,106,Stewart Cink,91,19.29,316,1638
106,107,107,Jonas Blixt,64,19.27,215,1116
107,108,108,Luke Donald,57,19.25,194,1008
