,Best_Rounds_in_60s_Streak_RANK THIS WEEK,Best_Rounds_in_60s_Streak_RANK LAST WEEK,Best_Rounds_in_60s_Streak_PLAYER NAME,Best_Rounds_in_60s_Streak_CAREER BEST STREAK,Best_Rounds_in_60s_Streak_BEST YTD STREAK,Best_Rounds_in_60s_Streak_CURRENT STREAK
0,1,1,Bob Estes,17,4.0,
1,2,2,Charles Howell III,16,5.0,
2,T3,T3,Chris DiMarco,14,1.0,
3,T3,T3,Scott Hoch,14,,
4,T3,T3,Tiger Woods,14,2.0,
5,T6,T6,Brendon de Jonge,13,6.0,
6,T6,T6,Harrison Frazar,13,3.0,
7,T6,T6,Chris Kirk,13,5.0,
8,T6,T6,Davis Love III,13,4.0,
9,T6,T6,Scott Piercy,13,3.0,
10,T6,T6,Webb Simpson,13,6.0,
11,T12,T12,Briny Baird,12,2.0,
12,T12,T12,Joe Durant,12,3.0,
13,T12,T12,Billy Horschel,12,12.0,
14,T12,T12,Shigeki Maruyama,12,,
15,T12,T12,Mark O'Meara,12,,
16,T12,T12,Tim Petrovic,12,2.0,
17,T12,T12,Chris Riley,12,,
18,T12,T12,Kevin Sutherland,12,,
19,T12,T12,David Toms,12,7.0,
20,T12,T12,Johnson Wagner,12,5.0,
21,T22,T22,Brian Bateman,11,,
22,T22,T22,Steven Bowditch,11,4.0,
23,T22,T22,Jonathan Byrd,11,3.0,
24,T22,T22,Ben Crane,11,4.0,
25,T22,T22,David Edwards,11,,
26,T22,T22,Jim Furyk,11,11.0,
27,T22,T22,J.P. Hayes,11,,
28,T22,T22,Jerry Kelly,11,8.0,
29,T22,T22,Bernhard Langer,11,1.0,
30,T22,T22,Bruce Lietzke,11,,
31,T22,T22,Mark McCumber,11,,
32,T22,T22,Rory McIlroy,11,8.0,
33,T22,T22,Jerry Pate,11,,
34,T22,T22,Kenny Perry,11,3.0,
35,T22,T22,John Senden,11,4.0,
36,T22,T22,Scott Verplank,11,1.0,
37,T38,T38,Woody Austin,10,1.0,
38,T38,T38,Chad Campbell,10,4.0,
39,T38,T38,Fred Couples,10,1.0,
40,T38,T38,Brian Davis,10,2.0,
41,T38,T38,Steve Flesch,10,1.0,
42,T38,T38,Carlos Franco,10,,
43,T38,T38,David Frost,10,,
44,T38,T38,Fred Funk,10,1.0,
45,T38,T38,Robert Gamez,10,,
46,T38,T38,Lucas Glover,10,2.0,
47,T38,T38,Retief Goosen,10,10.0,
48,T38,T38,Zach Johnson,10,10.0,
49,T38,T38,Matt Kuchar,10,6.0,
50,T38,T38,Rocco Mediate,10,,
51,T38,T38,James Nitties,10,,
52,T38,T38,Corey Pavin,10,,
53,T38,T38,David Peoples,10,,
54,T38,T38,Tom Pernice Jr.,10,,
55,T38,T38,Carl Pettersson,10,8.0,
56,T38,T38,Mike Reid,10,,
57,T38,T38,Loren Roberts,10,,
58,T38,T38,Gene Sauers,10,,
59,T38,T38,Tom Sieckmann,10,,
60,T38,T38,Joey Sindelar,10,,
61,T38,T38,Chris Smith,10,1.0,
62,T38,T38,Brandt Snedeker,10,7.0,
63,T38,T38,Kevin Streelman,10,4.0,
64,T38,T38,Jhonattan Vegas,10,5.0,
65,T38,T38,Grant Waite,10,,
66,T67,T67,Billy Andrade,9,,
67,T67,T67,Stuart Appleby,9,5.0,
68,T67,T67,Tommy Armour III,9,,
69,T67,T67,Aaron Baddeley,9,4.0,
70,T67,T67,Cameron Beckman,9,2.0,
71,T67,T67,Notah Begay III,9,,
72,T67,T67,Bart Bryant,9,,
73,T67,T67,Brad Bryant,9,,
74,T67,T67,Mark Calcavecchia,9,1.0,
75,T67,T67,Bud Cauley,9,4.0,
76,T67,T67,K.J. Choi,9,6.0,
77,T67,T67,Stewart Cink,9,4.0,
78,T67,T67,Lennie Clements,9,,
79,T67,T67,Ernie Els,9,4.0,
80,T67,T67,Rickie Fowler,9,6.0,
81,T67,T67,Sergio Garcia,9,5.0,
82,T67,T67,Brian Gay,9,4.0,
83,T67,T67,Paul Goydos,9,1.0,
84,T67,T67,Jay Haas,9,,
85,T67,T67,Bill Haas,9,4.0,
86,T67,T67,Padraig Harrington,9,3.0,
87,T67,T67,Justin Hicks,9,6.0,
88,T67,T67,John Huston,9,,
89,T67,T67,Tom Lehman,9,,
90,T67,T67,Justin Leonard,9,6.0,
91,T67,T67,Steve Marino,9,4.0,
92,T67,T67,Troy Matteson,9,4.0,
93,T67,T67,Blaine McCallister,9,,
94,T67,T67,Phil Mickelson,9,6.0,
95,T67,T67,Gil Morgan,9,,
96,T67,T67,Kevin Na,9,6.0,
97,T67,T67,Greg Norman,9,,
98,T67,T67,Jesper Parnevik,9,1.0,
99,T67,T67,Chris Perry,9,,
100,T67,T67,Heath Slocum,9,5.0,
101,T67,T67,Jeff Sluman,9,,
102,T67,T67,Steve Stricker,9,4.0,
103,T67,T67,Hal Sutton,9,,
104,T67,T67,Nicholas Thompson,9,5.0,
105,T67,T67,Brendon Todd,9,9.0,
106,T67,T67,Kirk Triplett,9,,
107,T67,T67,Bob Tway,9,,
108,T67,T67,Mike Weir,9,4.0,
109,T67,T67,Mark Wilson,9,2.0,
110,T111,T111,John Adams,8,,
111,T111,T111,Robert Allenby,8,3.0,
112,T111,T111,Paul Azinger,8,,
113,T111,T111,Ian Baker-Finch,8,,
114,T111,T111,Andy Bean,8,,
115,T111,T111,Matt Bettencourt,8,3.0,
116,T111,T111,Jason Bohn,8,7.0,
117,T111,T111,Keegan Bradley,8,8.0,
118,T111,T111,Bill Britton,8,,
119,T111,T111,Rex Caldwell,8,,
120,T111,T111,Jim Carter,8,,
121,T111,T111,Bobby Clampett,8,,
122,T111,T111,Tim Clark,8,7.0,
123,T111,T111,Russ Cochran,8,,
124,T111,T111,Chad Collins,8,7.0,
125,T111,T111,John Cook,8,,
126,T111,T111,Ken Duke,8,3.0,
127,T111,T111,David Duval,8,2.0,
128,T111,T111,Matt Every,8,8.0,
129,T111,T111,Bob Gilder,8,,
130,T111,T111,Bill Glasson,8,,
131,T111,T111,Hubert Green,8,,
132,T111,T111,Ken Green,8,,
133,T111,T111,Donnie Hammond,8,,
134,T111,T111,Dudley Hart,8,1.0,
135,T111,T111,Mark Hayes,8,,
136,T111,T111,Jim Herman,8,3.0,
137,T111,T111,Charley Hoffman,8,6.0,
138,T111,T111,Mike Hulbert,8,,
139,T111,T111,Hale Irwin,8,,
140,T111,T111,Dustin Johnson,8,5.0,
141,T111,T111,Steve Jones,8,,
142,T111,T111,Matt Jones,8,4.0,
143,T111,T111,Tom Kite,8,,
144,T111,T111,Jeff Klauk,8,,
145,T111,T111,Greg Kraft,8,,
146,T111,T111,Martin Laird,8,5.0,
147,T111,T111,Ian Leggatt,8,,
148,T111,T111,Marc Leishman,8,8.0,
149,T111,T111,Michael Letzig,8,,
150,T111,T111,Spencer Levin,8,7.0,
151,T111,T111,David Lingmerth,8,4.0,
152,T111,T111,Steve Lowery,8,,
153,T111,T111,Bill Lunde,8,1.0,
154,T111,T111,George McNeill,8,3.0,
155,T111,T111,Larry Mize,8,,
156,T111,T111,Bryce Molder,8,4.0,
157,T111,T111,Ryan Moore,8,5.0,
158,T111,T111,Arron Oberholser,8,,
159,T111,T111,Jeff Overton,8,5.0,
160,T111,T111,Greg Owen,8,2.0,
161,T111,T111,Craig Parry,8,,
162,T111,T111,Calvin Peete,8,,
163,T111,T111,D.A. Points,8,2.0,
164,T111,T111,Nick Price,8,,
165,T111,T111,John Rollins,8,3.0,
166,T111,T111,Rory Sabbatini,8,4.0,
167,T111,T111,Vijay Singh,8,6.0,
168,T111,T111,Craig Stadler,8,,
169,T111,T111,Kevin Stadler,8,5.0,
170,T111,T111,Curtis Strange,8,,
171,T111,T111,Josh Teater,8,3.0,
172,T111,T111,Jim Thorpe,8,,
173,T111,T111,Bobby Wadkins,8,,
174,T111,T111,Jimmy Walker,8,4.0,
175,T111,T111,Bubba Watson,8,6.0,
176,T111,T111,D.A. Weibring,8,,
177,T111,T111,Charlie Wi,8,6.0,
178,T179,T179,Michael Allen,7,,
179,T179,T179,Stephen Ames,7,3.0,
180,T179,T179,Ricky Barnes,7,5.0,
181,T179,T179,Scott Brown,7,7.0,
182,T179,T179,Tom Byrum,7,,
183,T179,T179,Greg Chalmers,7,6.0,
184,T179,T179,Daniel Chopra,7,2.0,
185,T179,T179,Rod Curl,7,,
186,T179,T179,Robert Damron,7,,
187,T179,T179,Glen Day,7,3.0,
188,T179,T179,Jason Day,7,6.0,
189,T179,T179,Luke Donald,7,3.0,
190,T179,T179,James Driscoll,7,4.0,
191,T179,T179,Jason Dufner,7,5.0,
192,T179,T179,Joel Edwards,7,,
193,T179,T179,Steve Elkington,7,,
194,T179,T179,Harris English,7,7.0,
195,T179,T179,Dan Forsman,7,,
196,T179,T179,"Jim Gallagher, Jr.",7,,
197,T179,T179,Robert Garrigus,7,3.0,
198,T179,T179,Brent Geiberger,7,,
199,T179,T179,Kelly Gibson,7,,
200,T179,T179,Matt Gogel,7,,
201,T179,T179,Chesson Hadley,7,7.0,
202,T179,T179,Gary Hallberg,7,,
203,T179,T179,Tim Herron,7,2.0,
204,T179,T179,Lon Hinkle,7,,
205,T179,T179,J.B. Holmes,7,4.0,
206,T179,T179,Peter Jacobsen,7,,
207,T179,T179,Richard Johnson,7,,
208,T179,T179,Kent Jones,7,1.0,
209,T179,T179,Jonathan Kaye,7,,
210,T179,T179,Kevin Kisner,7,7.0,
211,T179,T179,Kenny Knox,7,,
212,T179,T179,Russell Knox,7,6.0,
213,T179,T179,Gary Koch,7,,
214,T179,T179,Cliff Kresge,7,,
215,T179,T179,Neal Lancaster,7,,
216,T179,T179,Wayne Levi,7,,
217,T179,T179,J.L. Lewis,7,,
218,T179,T179,Frank Lickliter II,7,1.0,
219,T179,T179,Sandy Lyle,7,,
220,T179,T179,Andrew Magee,7,,
221,T179,T179,Jeff Maggert,7,3.0,
222,T179,T179,John Mahaffey,7,,
223,T179,T179,Hunter Mahan,7,4.0,
224,T179,T179,Roger Maltbie,7,,
225,T179,T179,David Mathis,7,,
226,T179,T179,Bob May,7,,
227,T179,T179,Scott McCarron,7,2.0,
228,T179,T179,William McGirt,7,4.0,
229,T179,T179,Garth Mulroy,7,,
230,T179,T179,Larry Nelson,7,,
231,T179,T179,Sean O'Hair,7,3.0,
232,T179,T179,Geoff Ogilvy,7,3.0,
233,T179,T179,Rod Pampling,7,1.0,
234,T179,T179,Pat Perez,7,6.0,
235,T179,T179,Don Pooley,7,,
236,T179,T179,"Ted Potter, Jr.",7,3.0,
237,T179,T179,Chez Reavie,7,4.0,
238,T179,T179,Jack Renner,7,,
239,T179,T179,Clarence Rose,7,,
240,T179,T179,Adam Scott,7,5.0,
241,T179,T179,"Wes Short, Jr.",7,,
242,T179,T179,Tony Sills,7,,
243,T179,T179,Scott Simpson,7,,
244,T179,T179,Mike Springer,7,,
