,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,T1,T1,Jason Day,146,12
1,T1,T1,Billy Horschel,100,12
2,3,3,Jim Furyk,506,11
3,T4,T4,Steve Marino,171,9
4,T4,T4,Francesco Molinari,48,9
5,T6,T6,Paul Casey,138,8
6,T6,T6,Willy Wilcox,17,8
7,T8,T8,Victor Dubuisson,10,7
8,T8,T8,Brad Fritsch,47,7
9,T8,T8,Martin Laird,163,7
10,T8,T8,D.A. Points,231,7
11,T12,T12,Graham DeLaet,104,6
12,T12,T12,Chesson Hadley,31,6
13,T12,T12,Fabrizio Zanotti,4,6
14,T15,T15,Ernie Els,357,5
15,T15,T15,Emiliano Grillo,2,5
16,T15,T15,J.J. Henry,404,5
17,T15,T15,Alexander Levy,2,5
18,T15,T15,Scott Piercy,161,5
19,T15,T15,Johnson Wagner,212,5
20,T15,T15,Y.E. Yang,167,5
21,T22,T22,Byeong Hun An,9,4
22,T22,T22,Justin Bolli,102,4
23,T22,T22,Mark Brown,7,4
24,T22,T22,Ben Crane,298,4
25,T22,T22,Jamie Donaldson,26,4
26,T22,T22,Derek Ernst,49,4
27,T22,T22,Bob Estes,616,4
28,T22,T22,Jason Gore,218,4
29,T22,T22,Max Homa,9,4
30,T22,T22,Mikko Ilonen,16,4
31,T22,T22,Andrew Loupe,22,4
32,T22,T22,Joost Luiten,14,4
33,T22,T22,John Merrick,210,4
34,T22,T22,Jordan Niebrugge,2,4
35,T22,T22,Thorbjørn Olesen,25,4
36,T22,T22,Ryan Palmer,291,4
37,T22,T22,Heath Slocum,355,4
38,T22,T22,Steve Stricker,420,4
39,T22,T22,Marc Warren,5,4
40,T41,T41,Eric Axley,153,3
41,T41,T41,Rafael Campos,7,3
42,T41,T41,Roberto Castro,82,3
43,T41,T41,Oscar Fraustro,3,3
44,T41,T41,J.B. Holmes,195,3
45,T41,T41,Steven Ihm,2,3
46,T41,T41,Doug LaBelle II,93,3
47,T41,T41,George McNeill,208,3
48,T41,T41,Ryan Moore,229,3
49,T41,T41,Koumei Oda,8,3
50,T41,T41,Kenny Perry,611,3
51,T41,T41,Carl Pettersson,336,3
52,T41,T41,Siddikur Rahman,1,3
53,T41,T41,Justin Rose,237,3
54,T41,T41,Charl Schwartzel,97,3
55,T41,T41,Vijay Singh,524,3
56,T41,T41,David Skinns,2,3
57,T41,T41,Brendan Steele,100,3
58,T41,T41,Robert Streb,44,3
59,T41,T41,D.J. Trahan,256,3
60,T61,T61,Steven Bowditch,124,2
61,T61,T61,Kristoffer Broberg,1,2
62,T61,T61,Ángel Cabrera,213,2
63,T61,T61,Bud Cauley,79,2
64,T61,T61,Alex Cejka,265,2
65,T61,T61,Kevin Chappell,112,2
66,T61,T61,Stewart Cink,449,2
67,T61,T61,Austin Cook,1,2
68,T61,T61,Marco Dawson,404,2
69,T61,T61,James Driscoll,236,2
70,T61,T61,David Duval,393,2
71,T61,T61,Harris English,80,2
72,T61,T61,Darren Fichardt,12,2
73,T61,T61,Nicholas Fung,1,2
74,T61,T61,Sergio Garcia,257,2
75,T61,T61,Wenyi Huang,1,2
76,T61,T61,Billy Hurley III,63,2
77,T61,T61,Trevor Immelman,233,2
78,T61,T61,Matt Jones,168,2
79,T61,T61,Jerry Kelly,551,2
80,T61,T61,Jason Kokrak,72,2
81,T61,T61,Matt Kuchar,319,2
82,T61,T61,Billy Mayfair,731,2
83,T61,T61,Graeme McDowell,124,2
84,T61,T61,Seung-Yul Noh,88,2
85,T61,T61,Taylor Pendrith,1,2
86,T61,T61,Ian Poulter,170,2
87,T61,T61,Brett Quigley,394,2
88,T61,T61,Adam Scott,217,2
89,T61,T61,Jaco Van Zyl,25,2
90,T61,T61,Camilo Villegas,223,2
91,T61,T61,Lee Westwood,182,2
92,T61,T61,Gary Woodland,121,2
