,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Graeme McDowell,17,303
1,2,2,Billy Horschel,27,175
2,3,3,Paul Casey,16,169
3,4,4,Josh Teater,28,141
4,5,5,Zach Johnson,26,137
5,6,6,Tim Clark,26,132
6,7,7,Morgan Hoffmann,32,127
7,8,8,Greg Chalmers,27,126
8,9,9,Gary Woodland,25,114
9,10,10,Phil Mickelson,21,105
10,11,11,Russell Knox,26,100
11,12,12,John Senden,27,99
12,13,13,Jonas Blixt,21,97
13,T14,T14,Woody Austin,22,94
14,T14,T14,Justin Leonard,22,94
15,T14,T14,Troy Merritt,20,94
16,17,17,Y.E. Yang,28,92
17,18,18,Dustin Johnson,17,90
18,19,19,Jerry Kelly,23,87
19,20,20,William McGirt,29,82
20,21,21,Brian Stuard,29,78
21,22,22,Kevin Chappell,28,77
22,T23,T23,Jason Day,15,70
23,T23,T23,Webb Simpson,25,70
24,T23,T23,Michael Thompson,22,70
25,26,26,Ben Curtis,24,69
26,T27,T27,James Hahn,27,67
27,T27,T27,Mike Weir,25,67
28,29,29,Tim Wilkinson,25,63
29,30,30,Hunter Mahan,25,61
30,31,31,Mark Wilson,25,58
31,32,32,Kevin Kisner,26,57
32,T33,T33,Danny Lee,28,56
33,T33,T33,Ben Martin,26,56
34,35,35,Bill Haas,28,54
35,36,36,Trevor Immelman,28,52
36,T37,T37,David Hearn,28,50
37,T37,T37,Camilo Villegas,29,50
38,39,39,Cameron Tringale,31,49
39,40,40,Derek Ernst,28,47
40,41,41,George McNeill,24,46
41,T42,T42,Ben Crane,25,44
42,T42,T42,Jhonattan Vegas,23,44
43,T44,T44,Chris Kirk,28,43
44,T44,T44,Martin Laird,20,43
45,46,46,Matt Jones,25,41
46,T47,T47,Chesson Hadley,29,40
47,T47,T47,Shawn Stefani,17,40
48,T49,T49,Freddie Jacobson,27,39
49,T49,T49,Jason Kokrak,19,39
50,51,51,Matt Kuchar,24,37
51,T52,T52,Charlie Beljan,26,35
52,T52,T52,Justin Rose,19,35
53,T54,T54,Billy Hurley III,26,34
54,T54,T54,Brendon Todd,29,34
55,56,56,Sangmoon Bae,24,33
56,57,57,Keegan Bradley,26,32
57,T58,T58,Stewart Cink,25,31
58,T58,T58,James Driscoll,25,31
59,T58,T58,D.A. Points,27,31
60,T61,T61,Luke Donald,17,30
61,T61,T61,Sergio Garcia,16,30
62,T61,T61,Brendan Steele,26,30
63,64,64,Scott Stallings,28,29
64,T65,T65,Russell Henley,29,28
65,T65,T65,Ryan Palmer,23,28
66,T67,T67,Bryce Molder,25,27
67,T67,T67,Jimmy Walker,27,27
68,T67,T67,Lee Westwood,18,27
69,T70,T70,Aaron Baddeley,24,26
70,T70,T70,Ernie Els,24,26
71,T70,T70,Michael Putnam,30,26
72,T70,T70,Jordan Spieth,27,26
73,74,74,Retief Goosen,26,25
74,T75,T75,J.J. Henry,28,24
75,T75,T75,Jamie Lovemark,20,24
76,T77,T77,Harris English,28,23
77,T77,T77,Brian Harman,32,23
78,T77,T77,Martin Kaymer,19,23
79,T80,T80,Brendon de Jonge,31,22
80,T80,T80,John Merrick,25,22
81,T80,T80,Patrick Reed,28,22
82,T80,T80,Charlie Wi,25,22
83,T84,T84,Stuart Appleby,29,21
84,T84,T84,Tommy Gainey,26,21
85,T84,T84,Davis Love III,22,21
86,T84,T84,Ian Poulter,17,21
87,T84,T84,Nick Watney,25,21
88,T89,T89,Jim Herman,21,20
89,T89,T89,Spencer Levin,20,20
90,T89,T89,Bo Van Pelt,25,20
91,T92,T92,Graham DeLaet,24,19
92,T92,T92,Luke Guthrie,26,19
93,T92,T92,Chris Stroud,25,19
94,T92,T92,Daniel Summerhays,27,19
95,T96,T96,Matt Every,26,18
96,T96,T96,Charles Howell III,29,18
97,T96,T96,Will MacKenzie,27,18
98,T99,T99,Brian Davis,28,17
99,T99,T99,David Lingmerth,26,17
100,T99,T99,Sean O'Hair,25,17
101,T99,T99,Vijay Singh,25,17
102,T103,T103,Erik Compton,28,16
103,T103,T103,Bronson La'Cassie,18,16
104,T103,T103,Rory Sabbatini,26,16
105,T103,T103,Andrew Svoboda,24,16
106,T107,T107,Steven Bowditch,30,15
107,T107,T107,K.J. Choi,23,15
108,T107,T107,Martin Flores,26,15
109,110,110,Jonathan Byrd,24,14
110,T111,T111,Justin Hicks,30,13
111,T111,T111,Andres Romero,26,13
112,T111,T111,Kevin Stadler,26,13
113,T114,T114,Ricky Barnes,27,12
114,T114,T114,J.B. Holmes,24,12
115,T114,T114,John Huh,28,12
116,T114,T114,Hideki Matsuyama,24,12
117,T118,T118,Scott Brown,30,11
118,T118,T118,Richard Lee,27,11
119,T118,T118,Kevin Streelman,24,11
120,T121,T121,Jason Bohn,25,10
121,T121,T121,Bud Cauley,19,10
122,T121,T121,Ryan Moore,24,10
123,T121,T121,David Toms,20,10
124,T125,T125,Charley Hoffman,25,9
125,T125,T125,Troy Matteson,23,9
126,T127,T127,Brooks Koepka,16,8
127,T127,T127,D.H. Lee,20,8
128,T127,T127,Rory McIlroy,17,8
129,T127,T127,Henrik Stenson,15,8
130,T131,T131,Robert Allenby,29,7
131,T131,T131,Brice Garnett,28,7
132,T131,T131,Geoff Ogilvy,26,7
133,T131,T131,Wes Roach,22,7
134,T131,T131,Tyrone Van Aswegen,25,7
135,T131,T131,Johnson Wagner,24,7
136,T131,T131,Willy Wilcox,16,7
137,138,138,John Rollins,28,6
138,T139,T139,Chad Collins,28,5
139,T139,T139,Ken Duke,25,5
140,T139,T139,Rickie Fowler,26,5
141,T139,T139,Lucas Glover,26,5
142,T139,T139,Robert Streb,21,5
143,T139,T139,Nicholas Thompson,30,5
144,T145,T145,Scott Langley,29,4
145,T145,T145,Marc Leishman,24,4
146,T145,T145,Kevin Na,27,4
147,T145,T145,Carl Pettersson,28,4
148,T145,T145,Charl Schwartzel,18,4
149,T150,T150,Ángel Cabrera,23,3
150,T150,T150,Gonzalo Fernandez-Castaño,25,3
151,T150,T150,Brad Fritsch,18,3
152,T150,T150,Brian Gay,26,3
153,T150,T150,Ryo Ishikawa,24,3
154,T150,T150,Louis Oosthuizen,16,3
155,T156,T156,Jason Dufner,17,2
156,T156,T156,Andrew Loupe,22,2
157,T156,T156,Jeff Overton,24,2
158,T156,T156,Jim Renner,25,2
159,T160,T160,Briny Baird,17,1
160,T160,T160,Chad Campbell,18,1
161,T160,T160,Roberto Castro,27,1
162,T160,T160,Pat Perez,25,1
163,T160,T160,John Peterson,25,1
164,T160,T160,Adam Scott,17,1
165,T160,T160,Brandt Snedeker,25,1
166,T160,T160,Bubba Watson,21,1
167,T160,T160,Boo Weekley,24,1
