,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Bubba Watson,71,-.075
1,2,2,Stewart Cink,77,-.046
2,3,3,Jordan Spieth,91,-.034
3,4,4,Matt Kuchar,97,-.029
4,5,5,Dustin Johnson,75,-.025
5,6,6,Keegan Bradley,87,-.010
6,7,7,Boo Weekley,79,-.009
7,8,8,Tony Finau,106,-.004
8,T9,T9,Russell Henley,87,E
9,T9,T9,Webb Simpson,81,E
10,11,11,Jason Kokrak,88,+.006
11,12,12,Morgan Hoffmann,85,+.007
12,13,13,Bill Haas,89,+.008
13,14,14,Brendan Steele,88,+.015
14,15,15,Henrik Stenson,63,+.019
15,16,16,Jason Day,75,+.024
16,17,17,D.A. Points,72,+.025
17,18,18,Patrick Reed,103,+.031
18,19,19,Francesco Molinari,56,+.036
19,20,20,Pat Perez,96,+.037
20,21,21,Ryo Ishikawa,90,+.041
21,22,22,Jason Dufner,76,+.042
22,T23,T23,Jim Furyk,71,+.047
23,T23,T23,Brooks Koepka,84,+.047
24,T23,T23,Robert Streb,110,+.047
25,26,26,Justin Thomas,106,+.048
26,27,27,Willy Wilcox,58,+.051
27,28,28,Jerry Kelly,79,+.052
28,29,29,Jonathan Byrd,69,+.053
29,30,30,Chad Collins,79,+.056
30,T31,T31,Paul Casey,87,+.057
31,T31,T31,Rory Sabbatini,81,+.057
32,T33,T33,Louis Oosthuizen,68,+.060
33,T33,T33,Mark Wilson,89,+.060
34,35,35,Blayne Barber,76,+.061
35,36,36,Brandt Snedeker,98,+.063
36,T37,T37,Martin Flores,95,+.065
37,T37,T37,Johnson Wagner,68,+.065
38,39,39,Bill Lunde,50,+.066
39,T40,T40,Robert Allenby,63,+.070
40,T40,T40,Scott Stallings,60,+.070
41,42,42,Steven Bowditch,103,+.073
42,T43,T43,Jamie Donaldson,50,+.074
43,T43,T43,Chris Kirk,76,+.074
44,T45,T45,J.B. Holmes,89,+.075
45,T45,T45,Ryan Palmer,80,+.075
46,47,47,Brian Harman,90,+.076
47,48,48,Daniel Summerhays,101,+.077
48,49,49,Hideki Matsuyama,95,+.080
49,50,50,Luke Guthrie,84,+.081
50,51,51,Charley Hoffman,97,+.083
51,52,52,Jason Bohn,95,+.085
52,53,53,Andres Romero,69,+.087
53,54,54,Oscar Fraustro,58,+.089
54,55,55,Charl Schwartzel,67,+.093
55,T56,T56,Jon Curran,83,+.094
56,T56,T56,Charles Howell III,105,+.094
57,T56,T56,Sean O'Hair,86,+.094
58,T59,T59,Jonas Blixt,78,+.098
59,T59,T59,Tyrone Van Aswegen,58,+.098
60,61,61,Scott Langley,94,+.102
61,T62,T62,Shawn Stefani,94,+.103
62,T62,T62,Jimmy Walker,89,+.103
63,T64,T64,Brendon de Jonge,106,+.104
64,T64,T64,Danny Lee,120,+.104
65,T66,T66,Erik Compton,86,+.105
66,T66,T66,Kevin Kisner,104,+.105
67,T66,T66,Bryce Molder,91,+.105
68,T69,T69,Scott Brown,97,+.106
69,T69,T69,Scott Pinckney,88,+.106
70,T69,T69,Alex Prugh,84,+.106
71,T72,T72,Derek Ernst,75,+.107
72,T72,T72,Andrew Putnam,68,+.107
73,74,74,Sung Joon Park,79,+.109
74,75,75,Brendon Todd,96,+.110
75,76,76,Gary Woodland,81,+.111
76,77,77,Daniel Berger,97,+.112
77,78,78,Patrick Rodgers,57,+.113
78,T79,T79,Ricky Barnes,82,+.114
79,T79,T79,Ben Crane,62,+.114
80,T79,T79,James Hahn,94,+.114
81,T79,T79,Cameron Percy,72,+.114
82,T83,T83,Padraig Harrington,60,+.116
83,T83,T83,Matt Jones,89,+.116
84,T83,T83,Marc Leishman,74,+.116
85,86,86,George McNeill,93,+.117
86,87,87,Greg Chalmers,58,+.118
87,T88,T88,Ken Duke,93,+.119
88,T88,T88,Derek Fathauer,81,+.119
89,90,90,Hudson Swafford,97,+.120
90,T91,T91,Colt Knost,90,+.123
91,T91,T91,Martin Laird,77,+.123
92,93,93,Tom Hoge,83,+.124
93,94,94,Luke Donald,71,+.126
94,T95,T95,Aaron Baddeley,76,+.127
95,T95,T95,Chad Campbell,97,+.127
96,97,97,John Peterson,84,+.128
97,T98,T98,Billy Hurley III,83,+.129
98,T98,T98,Carlos Ortiz,100,+.129
99,100,100,Eric Axley,57,+.131
100,101,101,Michael Thompson,83,+.134
101,102,102,Phil Mickelson,70,+.135
102,T103,T103,Jim Herman,88,+.136
103,T103,T103,Russell Knox,96,+.136
104,T105,T105,Jason Gore,76,+.138
105,T105,T105,Carl Pettersson,106,+.138
106,T107,T107,J.J. Henry,94,+.140
107,T107,T107,Troy Merritt,91,+.140
108,T109,T109,Brian Davis,86,+.141
109,T109,T109,Gonzalo Fernandez-Castaño,81,+.141
110,111,111,Charlie Beljan,76,+.143
111,112,112,Zach Johnson,90,+.146
112,T113,T113,Alex Cejka,94,+.147
113,T113,T113,Michael Putnam,87,+.147
114,T113,T113,Jonathan Randolph,72,+.147
115,T116,T116,Harris English,105,+.149
116,T116,T116,Hunter Mahan,88,+.149
117,T118,T118,Zac Blair,108,+.151
118,T118,T118,William McGirt,103,+.151
119,T118,T118,Ryan Moore,81,+.151
120,T118,T118,Vijay Singh,78,+.151
121,T118,T118,Steve Wheatcroft,87,+.151
122,T123,T123,Bo Van Pelt,81,+.152
123,T123,T123,Camilo Villegas,83,+.152
124,T125,T125,Max Homa,78,+.153
125,T125,T125,Kevin Streelman,95,+.153
126,T127,T127,K.J. Choi,66,+.155
