,Approaches_from_100-125_yards_RANK THIS WEEK,Approaches_from_100-125_yards_RANK LAST WEEK,Approaches_from_100-125_yards_PLAYER NAME,Approaches_from_100-125_yards_ROUNDS,Approaches_from_100-125_yards_AVG,Approaches_from_100-125_yards_TOTAL DISTANCE (FEET),Approaches_from_100-125_yards_# OF ATTEMPTS,Approaches_from_100-125_yards_RELATIVE TO PAR
0,1,1,Tom Hoge,83,"15' 6""",1691.75,109,-26
1,2,2,Francesco Molinari,56,"15' 8""",953.3330000000001,61,-18
2,T3,T3,Roberto Castro,54,"15' 9""",1100.75,70,-5
3,T3,T3,Greg Owen,58,"15' 9""",1193.833,76,-23
4,5,5,Chad Collins,79,"16' 1""",1482.75,92,-25
5,6,6,Whee Kim,71,"16' 4""",1503.9170000000001,92,-15
6,7,7,Justin Leonard,61,"16' 5""",1448.25,88,-21
7,T8,T8,Robert Allenby,63,"16' 6""",1502.75,91,-13
8,T8,T8,Bo Van Pelt,81,"16' 6""",1884.4170000000001,114,-11
9,T10,T10,Ryo Ishikawa,90,"16' 8""",1833.8329999999999,110,-16
10,T10,T10,Tim Wilkinson,73,"16' 8""",1530.5829999999999,92,-14
11,12,12,James Hahn,94,"16' 10""",2308.5,137,-28
12,13,13,Mark Wilson,89,"17' 0""",1891.3329999999999,111,-25
13,T14,T14,Jason Dufner,76,"17' 1""",1558.0,91,-8
14,T14,T14,Chris Kirk,76,"17' 1""",1403.3329999999999,82,-16
15,T16,T16,Kevin Na,98,"17' 2""",1579.0,92,-26
16,T16,T16,Jimmy Walker,89,"17' 2""",1874.0,109,-26
17,T18,T18,Jason Bohn,95,"17' 3""",2556.417,148,-37
18,T18,T18,Scott Piercy,90,"17' 3""",2412.167,140,-28
19,20,20,K.J. Choi,66,"17' 4""",1337.6670000000001,77,-18
20,21,21,Stewart Cink,77,"17' 5""",1876.75,108,-13
21,T22,T22,Brendon de Jonge,106,"17' 6""",2730.667,156,-29
22,T22,T22,Tyrone Van Aswegen,58,"17' 6""",1049.667,60,-5
23,T24,T24,Oscar Fraustro,58,"17' 7""",985.1669999999999,56,-8
24,T24,T24,Jim Furyk,71,"17' 7""",1967.5829999999999,112,-23
25,T24,T24,Ben Martin,93,"17' 7""",1885.75,107,-24
26,T24,T24,John Merrick,78,"17' 7""",1403.5,80,-15
27,T24,T24,Jeff Overton,94,"17' 7""",2078.417,118,-20
28,29,29,Zach Johnson,90,"17' 10""",1802.25,101,-27
29,30,30,Ryan Moore,81,"17' 11""",1670.0829999999999,93,-25
30,T31,T31,Danny Lee,120,"18' 0""",2342.25,130,-11
31,T31,T31,George McNeill,93,"18' 0""",2410.833,134,-20
32,T33,T33,Daniel Berger,97,"18' 1""",1665.5829999999999,92,-19
33,T33,T33,J.B. Holmes,89,"18' 1""",1624.75,90,-22
34,T33,T33,Ian Poulter,68,"18' 1""",1195.5,66,-13
35,T33,T33,Rory Sabbatini,81,"18' 1""",1916.9170000000001,106,-19
36,T33,T33,Brandt Snedeker,98,"18' 1""",2062.417,114,-25
37,T33,T33,Steve Wheatcroft,87,"18' 1""",1866.8329999999999,103,-17
38,T33,T33,Willy Wilcox,58,"18' 1""",1230.583,68,-13
39,T40,T40,Steven Alker,62,"18' 2""",1688.25,93,-11
40,T40,T40,Paul Casey,87,"18' 2""",1672.9170000000001,92,-21
41,T40,T40,Lucas Glover,79,"18' 2""",2103.333,116,-17
42,T40,T40,David Toms,62,"18' 2""",1758.25,97,-22
43,T44,T44,Steven Bowditch,103,"18' 3""",2152.833,118,-19
44,T44,T44,David Lingmerth,90,"18' 3""",2077.667,114,-18
45,T44,T44,Vijay Singh,78,"18' 3""",1894.1670000000001,104,-19
46,T47,T47,Ben Crane,62,"18' 4""",1410.5829999999999,77,-14
47,T47,T47,Jim Herman,88,"18' 4""",2270.333,124,-20
48,49,49,Hideki Matsuyama,95,"18' 5""",2004.8329999999999,109,-24
49,T50,T50,Billy Hurley III,83,"18' 6""",1686.5829999999999,91,-19
50,T50,T50,Nick Watney,91,"18' 6""",2872.167,155,-25
51,T52,T52,John Huh,102,"18' 7""",2171.667,117,-25
52,T52,T52,Matt Kuchar,97,"18' 7""",2066.917,111,-23
53,T52,T52,Ryan Palmer,80,"18' 7""",1506.0829999999999,81,-12
54,T55,T55,Brian Davis,86,"18' 8""",1845.25,99,-17
55,T55,T55,David Hearn,97,"18' 8""",2538.333,136,-27
56,T55,T55,Dustin Johnson,75,"18' 8""",1490.0829999999999,80,-14
57,T55,T55,Kyle Reifers,96,"18' 8""",2405.75,129,-21
58,T55,T55,Gary Woodland,81,"18' 8""",1192.833,64,-6
59,T60,T60,Eric Axley,57,"18' 9""",1441.5,77,-7
60,T60,T60,Greg Chalmers,58,"18' 9""",1123.667,60,-14
61,T60,T60,Sean O'Hair,86,"18' 9""",1984.5829999999999,106,-22
62,T60,T60,Jordan Spieth,91,"18' 9""",1763.4170000000001,94,-20
63,T60,T60,Justin Thomas,106,"18' 9""",2401.083,128,-22
64,T65,T65,Jon Curran,83,"18' 10""",2208.333,117,-25
65,T65,T65,Charley Hoffman,97,"18' 10""",2145.5,114,-16
66,T67,T67,Erik Compton,86,"18' 11""",1964.0,104,-17
67,T67,T67,Chesson Hadley,101,"18' 11""",2492.167,132,-11
68,T67,T67,Brendan Steele,88,"18' 11""",1724.0,91,-6
69,T70,T70,Ricky Barnes,82,"19' 0""",1595.75,84,E
70,T70,T70,Brian Harman,90,"19' 0""",2360.083,124,-20
71,T70,T70,Webb Simpson,81,"19' 0""",1921.0,101,-14
72,T73,T73,Kevin Kisner,104,"19' 1""",3032.667,159,-24
73,T73,T73,Heath Slocum,57,"19' 1""",1258.167,66,-10
74,T75,T75,Jonathan Byrd,69,"19' 2""",1459.4170000000001,76,-11
75,T75,T75,Ángel Cabrera,53,"19' 2""",1036.083,54,-14
