,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Justin Rose,69,"12' 5""",844.3330000000001,68,-0.38
1,T2,T2,Rickie Fowler,76,"13' 4""",722.0,54,-0.31
2,T2,T2,Francesco Molinari,56,"13' 4""",800.8330000000001,60,-0.25
3,T2,T2,Webb Simpson,81,"13' 4""",985.75,74,-0.05
4,5,5,Roberto Castro,54,"13' 7""",434.833,32,-0.28
5,6,6,Greg Owen,58,"13' 8""",575.0,42,-0.14
6,7,7,Stewart Cink,77,"13' 11""",1212.917,87,-0.22
7,8,8,Justin Leonard,61,"14' 1""",1015.25,72,-0.01
8,9,9,Ken Duke,93,"14' 2""",1589.4170000000001,112,-0.14
9,T10,T10,Michael Putnam,87,"14' 3""",1080.0,76,-0.18
10,T10,T10,Brandt Snedeker,98,"14' 3""",1396.6670000000001,98,-0.20
11,T12,T12,Phil Mickelson,70,"14' 4""",1058.917,74,-0.18
12,T12,T12,Jim Renner,68,"14' 4""",718.1669999999999,50,+0.08
13,T14,T14,Ryo Ishikawa,90,"14' 6""",899.6669999999999,62,-0.18
14,T14,T14,D.A. Points,72,"14' 6""",927.4169999999999,64,-0.16
15,16,16,Scott Pinckney,88,"14' 7""",1208.667,83,-0.05
16,17,17,Alex Prugh,84,"14' 8""",1233.667,84,-0.13
17,18,18,Jon Curran,83,"14' 9""",1271.083,86,-0.15
18,T19,T19,Ernie Els,57,"14' 10""",815.3330000000001,55,+0.05
19,T19,T19,Ryan Moore,81,"14' 10""",1157.917,78,-0.23
20,T21,T21,Chad Campbell,97,"14' 11""",1449.6670000000001,97,-0.10
21,T21,T21,Scott Langley,94,"14' 11""",1420.5829999999999,95,-0.19
22,T23,T23,Jason Day,75,"15' 0""",1367.5829999999999,91,-0.22
23,T23,T23,Sam Saunders,83,"15' 0""",872.0,58,-0.17
24,T25,T25,Jason Dufner,76,"15' 1""",769.3330000000001,51,-0.04
25,T25,T25,Russell Henley,87,"15' 1""",1420.0,94,-0.17
26,T25,T25,Danny Lee,120,"15' 1""",1972.4170000000001,131,-0.23
27,T28,T28,Nick Taylor,91,"15' 2""",1681.75,111,-0.21
