,Driving_Pct.__240_Measured_RANK THIS WEEK,Driving_Pct.__240_Measured_RANK LAST WEEK,Driving_Pct.__240_Measured_PLAYER NAME,Driving_Pct.__240_Measured_ROUNDS,Driving_Pct.__240_Measured_%,Driving_Pct.__240_Measured_TOTAL DRIVES FOR <= 240,Driving_Pct.__240_Measured_TOTAL DRVS - OVERALL,Driving_Pct.__240_Measured_RELATIVE TO PAR
0,1,1,Ricky Barnes,82,6.85,10.0,146,+0.60
1,2,2,Jon Curran,83,5.92,9.0,152,E
2,3,3,Kevin Na,98,5.33,8.0,150,+0.25
3,4,4,Billy Hurley III,83,4.93,7.0,142,+0.43
4,5,5,Jim Renner,68,4.62,6.0,130,+1.33
5,6,6,Tim Wilkinson,73,4.55,6.0,132,+0.83
6,7,7,Mark Hubbard,79,4.05,6.0,148,+0.50
7,8,8,Andrew Putnam,68,3.97,5.0,126,+1.00
8,9,9,Scott Stallings,60,3.85,4.0,104,+1.75
9,10,10,Ben Crane,62,3.64,4.0,110,+0.50
10,11,11,Roberto Castro,54,3.57,3.0,84,+1.00
11,12,12,Luke Donald,71,3.51,4.0,114,+0.25
12,13,13,Brian Stuard,97,3.41,6.0,176,+0.33
13,14,14,Justin Leonard,61,3.39,4.0,118,E
14,15,15,Francesco Molinari,56,3.33,3.0,90,+0.33
15,16,16,Chad Collins,79,3.29,5.0,152,+0.40
16,T17,T17,Chad Campbell,97,3.13,6.0,192,E
17,T17,T17,Chris Stroud,84,3.13,5.0,160,+0.20
18,19,19,Jason Dufner,76,3.0,3.0,100,+0.67
19,20,20,Zac Blair,108,2.97,6.0,202,+0.83
20,21,21,Mark Wilson,89,2.94,5.0,170,+0.60
21,22,22,Matt Jones,89,2.82,4.0,142,E
22,23,23,Kyle Reifers,96,2.81,5.0,178,E
23,T24,T24,Robert Allenby,63,2.78,3.0,108,+0.33
24,T24,T24,Jim Furyk,71,2.78,3.0,108,E
25,T24,T24,Sergio Garcia,59,2.78,2.0,72,+1.00
26,T24,T24,Byron Smith,59,2.78,3.0,108,+1.00
27,28,28,Bo Van Pelt,81,2.67,4.0,150,+0.75
28,29,29,Matt Every,73,2.63,3.0,114,+1.33
29,30,30,Daniel Summerhays,101,2.58,5.0,194,+0.60
30,31,31,Kevin Chappell,86,2.56,4.0,156,E
31,32,32,Kevin Kisner,104,2.55,5.0,196,E
32,33,33,Steve Wheatcroft,87,2.47,4.0,162,+0.25
33,34,34,Ken Duke,93,2.33,4.0,172,+0.25
34,T35,T35,Retief Goosen,81,2.24,3.0,134,+0.67
