,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
0,1,1,David Toms,21,31.6,62,196,2.42
1,2,2,Scott Piercy,28,33.6,152,453,1.38
2,3,3,Troy Merritt,29,35.5,147,414,1.5
3,T4,T4,Bill Lunde,18,35.6,64,180,4.38
4,T4,T4,Scott Pinckney,27,35.6,139,390,1.58
5,6,6,Charles Howell III,30,35.9,222,618,0.77
6,7,7,Bryce Molder,26,36.8,127,345,1.34
7,8,8,Ken Duke,30,36.9,125,339,0.96
8,9,9,Roger Sloan,20,38.1,83,218,3.98
9,T10,T10,Charley Hoffman,28,38.2,166,434,1.81
10,T10,T10,Mark Wilson,28,38.2,150,393,2.53
11,12,12,Brice Garnett,29,39.4,136,345,2.57
12,13,13,Gary Woodland,24,39.6,125,316,1.68
13,14,14,Aaron Baddeley,25,39.7,169,426,1.42
14,15,15,Scott Langley,28,40.6,167,411,1.38
15,16,16,Zac Blair,34,40.9,157,384,1.15
16,T17,T17,Gonzalo Fernandez-Castaño,28,41.2,127,308,1.97
17,T17,T17,Greg Owen,19,41.2,91,221,0.55
18,T19,T19,George McNeill,27,41.4,176,425,0.85
19,T19,T19,Cameron Tringale,28,41.4,146,353,1.44
20,T21,T21,Whee Kim,23,41.7,128,307,1.33
21,T21,T21,Byron Smith,21,41.7,101,242,2.18
22,23,23,Colt Knost,29,41.9,125,298,2.96
23,24,24,Jamie Donaldson,16,42.1,80,190,1.13
24,T25,T25,Oscar Fraustro,21,42.2,89,211,1.24
25,T25,T25,Lee Westwood,15,42.2,76,180,2.24
26,T27,T27,Nicholas Thompson,31,42.3,129,305,1.94
27,T27,T27,Willy Wilcox,17,42.3,74,175,0.27
28,29,29,Chez Reavie,19,42.5,79,186,2.03
29,30,30,Chad Collins,24,42.6,130,305,2.15
30,T31,T31,Steven Alker,22,42.7,88,206,3.3
31,T31,T31,Greg Chalmers,17,42.7,85,199,2.24
32,T31,T31,Heath Slocum,22,42.7,76,178,2.37
33,34,34,David Hearn,30,42.8,176,411,0.68
34,T35,T35,Martin Laird,24,42.9,172,401,1.05
35,T35,T35,Patrick Rodgers,17,42.9,111,259,1.8
36,37,37,Marc Leishman,23,43.1,146,339,1.3
37,38,38,Daniel Berger,31,43.3,185,427,0.97
38,39,39,Francesco Molinari,16,43.4,62,143,1.77
39,40,40,Tony Finau,31,43.9,243,553,1.19
40,41,41,John Huh,31,44.0,165,375,2.42
41,T42,T42,Sangmoon Bae,30,44.1,216,490,1.57
42,T42,T42,Michael Putnam,28,44.1,156,354,1.47
43,44,44,Max Homa,27,44.2,161,364,1.55
44,T45,T45,Jason Bohn,27,44.3,149,336,1.68
45,T45,T45,Camilo Villegas,27,44.3,198,447,0.61
46,T47,T47,Jonas Blixt,26,44.4,127,286,1.81
47,T47,T47,Mark Hubbard,25,44.4,127,286,2.83
48,T47,T47,Robert Streb,30,44.4,239,538,1.97
49,T50,T50,Tom Hoge,26,44.5,162,364,0.86
50,T50,T50,Kyle Reifers,31,44.5,185,416,0.65
51,52,52,K.J. Choi,19,44.6,131,294,1.83
52,T53,T53,James Hahn,28,45.0,193,429,1.19
53,T53,T53,Ian Poulter,19,45.0,109,242,1.01
54,55,55,Charlie Beljan,27,45.1,137,304,2.26
55,56,56,Sergio Garcia,15,45.4,93,205,1.51
56,57,57,Ricky Barnes,27,45.6,176,386,1.42
57,T58,T58,Harris English,29,45.9,222,484,0.54
58,T58,T58,Pat Perez,26,45.9,175,381,1.14
59,T58,T58,John Peterson,25,45.9,155,338,1.29
60,T58,T58,Alex Prugh,27,45.9,167,364,1.26
61,62,62,Brendan Steele,24,46.1,178,386,1.8
62,T63,T63,Matt Jones,25,46.2,169,366,0.65
63,T63,T63,Russell Knox,28,46.2,177,383,1.53
64,T63,T63,Sam Saunders,28,46.2,140,303,1.57
