,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
0,1,1,Colt Knost,90,0.78,8,1031,0.88
1,2,2,Heath Slocum,57,1.11,6,542,0.5
2,3,3,Francesco Molinari,56,1.18,7,595,0.43
3,4,4,Whee Kim,71,1.29,10,773,0.4
4,5,5,Bill Lunde,50,1.4,7,499,0.71
5,6,6,Ken Duke,93,1.67,18,1080,0.56
6,7,7,John Huh,102,1.7,21,1237,0.71
7,8,8,Spencer Levin,99,1.73,20,1155,0.6
8,9,9,Mark Hubbard,79,1.76,15,850,1.13
9,10,10,Nicholas Thompson,90,1.85,18,971,0.78
10,11,11,Ryan Moore,81,1.88,16,850,0.94
11,12,12,Jim Herman,88,1.96,21,1071,0.71
12,13,13,Henrik Stenson,63,1.97,12,609,0.17
13,14,14,Chad Campbell,97,1.98,25,1264,0.64
14,15,15,Chez Reavie,56,2.02,14,693,0.5
15,16,16,Zac Blair,108,2.04,25,1225,0.56
16,T17,T17,Jason Bohn,95,2.06,25,1211,0.68
17,T17,T17,Paul Casey,87,2.06,18,875,0.78
18,19,19,Brendon Todd,96,2.07,22,1061,0.41
19,20,20,Ben Crane,62,2.08,15,721,0.4
20,21,21,Brian Davis,86,2.13,21,984,0.9
21,22,22,Zach Johnson,90,2.15,21,977,0.38
22,23,23,Steven Alker,62,2.16,15,696,1.0
23,T24,T24,J.J. Henry,94,2.19,23,1052,0.83
24,T24,T24,Brian Stuard,97,2.19,24,1097,0.83
25,26,26,Vijay Singh,78,2.2,21,955,0.62
26,27,27,David Toms,62,2.22,17,765,0.71
27,28,28,Justin Leonard,61,2.26,17,751,1.24
28,T29,T29,David Hearn,97,2.29,27,1178,0.52
29,T29,T29,William McGirt,103,2.29,31,1352,0.29
30,31,31,Jim Furyk,71,2.36,17,721,0.29
31,32,32,Jerry Kelly,79,2.39,22,920,0.41
32,T33,T33,Roberto Castro,54,2.4,12,501,0.83
33,T33,T33,Russell Knox,96,2.4,29,1209,0.59
34,35,35,Mark Wilson,89,2.49,28,1123,0.5
35,T36,T36,Chad Collins,79,2.51,22,875,0.59
36,T36,T36,Byron Smith,59,2.51,15,597,1.13
37,38,38,David Lingmerth,90,2.52,26,1030,0.5
38,39,39,Marc Leishman,74,2.54,19,748,0.74
39,40,40,Brendon de Jonge,106,2.58,33,1279,0.24
40,41,41,Kevin Kisner,104,2.61,34,1304,0.26
41,42,42,John Peterson,84,2.62,28,1069,0.64
42,43,43,Willy Wilcox,58,2.64,15,568,0.27
43,T44,T44,Jon Curran,83,2.66,24,901,0.75
44,T44,T44,Kevin Streelman,95,2.66,27,1016,0.41
45,46,46,Oscar Fraustro,58,2.71,15,553,0.6
46,T47,T47,Davis Love III,51,2.74,16,585,0.44
47,T47,T47,Cameron Tringale,96,2.74,30,1094,0.47
48,49,49,Billy Hurley III,83,2.76,24,871,0.63
49,50,50,Sangmoon Bae,98,2.85,35,1229,0.6
50,51,51,Blayne Barber,76,2.86,25,873,0.68
51,52,52,Bryce Molder,91,2.9,31,1070,0.55
52,T53,T53,Jonas Blixt,78,2.95,21,712,0.33
53,T53,T53,Lee Westwood,56,2.95,13,440,0.62
54,55,55,Kyle Reifers,96,2.97,33,1111,0.3
55,56,56,Scott Langley,94,3.01,33,1098,0.55
56,57,57,Scott Brown,97,3.03,34,1123,0.35
57,T58,T58,Hideki Matsuyama,95,3.06,30,980,0.13
58,T58,T58,Greg Owen,58,3.06,17,556,0.47
59,60,60,Ben Martin,93,3.07,33,1075,0.45
60,61,61,Steve Wheatcroft,87,3.09,31,1002,0.81
61,62,62,Alex Prugh,84,3.12,31,994,0.55
62,63,63,Bill Haas,89,3.14,31,986,0.39
63,T64,T64,Keegan Bradley,87,3.16,28,886,0.43
64,T64,T64,K.J. Choi,66,3.16,25,790,0.64
65,T64,T64,Kevin Na,98,3.16,31,981,0.23
66,67,67,Lucas Glover,79,3.2,32,1000,0.38
67,68,68,Webb Simpson,81,3.26,29,889,0.28
68,69,69,Jason Dufner,76,3.3,22,666,1.09
69,70,70,Graham DeLaet,65,3.35,25,746,0.68
70,T71,T71,Jonathan Byrd,69,3.39,24,707,0.54
71,T71,T71,Adam Scott,51,3.39,15,442,0.47
72,73,73,Scott Pinckney,88,3.41,35,1027,0.66
73,74,74,Robert Streb,110,3.43,46,1341,0.3
74,T75,T75,Derek Ernst,75,3.44,30,872,0.3
75,T75,T75,Boo Weekley,79,3.44,32,931,0.41
76,77,77,Sam Saunders,83,3.45,30,870,0.57
77,T78,T78,Hudson Swafford,97,3.48,40,1151,0.33
78,T78,T78,Bubba Watson,71,3.48,27,776,0.37
79,T80,T80,Cameron Percy,72,3.5,28,800,0.82
80,T80,T80,Andrew Svoboda,80,3.5,34,972,0.65
81,82,82,Sung Joon Park,79,3.55,31,873,0.87
82,83,83,Daniel Summerhays,101,3.56,44,1236,0.2
83,T84,T84,Harris English,105,3.57,43,1205,0.42
84,T84,T84,Pat Perez,96,3.57,41,1148,0.54
85,T86,T86,Jason Gore,76,3.58,29,810,0.62
86,T86,T86,Brian Harman,90,3.58,39,1090,0.59
87,88,88,John Senden,80,3.64,26,714,0.38
88,89,89,Nick Watney,91,3.65,41,1124,0.73
89,90,90,Johnson Wagner,68,3.66,29,793,0.59
90,91,91,Charl Schwartzel,67,3.68,21,570,0.57
91,92,92,Troy Merritt,91,3.71,42,1132,0.55
92,T93,T93,Brice Garnett,81,3.72,33,888,0.88
93,T93,T93,Camilo Villegas,83,3.72,38,1022,0.68
94,95,95,George McNeill,93,3.73,46,1233,0.61
95,96,96,Ángel Cabrera,53,3.75,22,586,0.77
96,97,97,Ian Poulter,68,3.78,25,662,0.72
97,T98,T98,Alex Cejka,94,3.84,42,1093,0.52
98,T98,T98,Kevin Chappell,86,3.84,40,1041,0.75
99,T98,T98,Matt Kuchar,97,3.84,41,1069,0.41
100,T98,T98,John Merrick,78,3.84,31,808,0.52
101,T98,T98,Brandt Snedeker,98,3.84,40,1042,0.48
102,103,103,Max Homa,78,3.85,33,858,1.0
103,T104,T104,Ryan Palmer,80,3.89,29,745,0.55
104,T104,T104,D.A. Points,72,3.89,31,797,0.61
105,106,106,Chris Stroud,84,3.93,37,942,0.7
106,107,107,Martin Flores,95,3.94,43,1091,0.58
107,T108,T108,Fabián Gómez,83,3.95,38,961,0.66
108,T108,T108,Michael Putnam,87,3.95,37,936,0.27
109,110,110,Jonathan Randolph,72,3.98,31,778,0.35
110,111,111,Brendan Steele,88,4.0,42,1049,0.57
111,112,112,Bo Van Pelt,81,4.01,36,897,0.72
112,T113,T113,Gonzalo Fernandez-Castaño,81,4.02,35,870,0.66
113,T113,T113,Adam Hadwin,95,4.02,45,1119,0.58
114,115,115,Eric Axley,57,4.03,24,595,0.96
115,T116,T116,Billy Horschel,99,4.04,41,1016,0.41
116,T116,T116,Shawn Stefani,94,4.04,49,1213,0.59
117,118,118,Luke Guthrie,84,4.05,38,938,0.42
118,T119,T119,Charlie Beljan,76,4.06,32,788,0.56
119,T119,T119,Greg Chalmers,58,4.06,20,493,0.45
120,121,121,Rory Sabbatini,81,4.07,37,910,0.46
121,122,122,Tom Hoge,83,4.09,37,904,0.73
122,123,123,Hunter Mahan,88,4.1,37,902,0.57
123,124,124,James Hahn,94,4.16,45,1082,0.56
124,125,125,Jeff Overton,94,4.17,43,1032,0.56
