,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_-_Par_5s_TOTAL DISTANCE
0,1,1,Bubba Watson,71,56.66,53440.5,94317
1,2,2,Dustin Johnson,75,56.3,55212.9,98075
2,3,3,Patrick Rodgers,57,55.84,40127.0,71866
3,4,4,Jason Day,75,55.68,58402.4,104888
4,5,5,Tony Finau,106,55.5,91611.2,165077
5,6,6,Charlie Beljan,76,55.41,55092.2,99424
6,7,7,Jason Kokrak,88,55.27,75981.7,137485
7,8,8,Adam Scott,51,55.25,31124.6,56334
8,9,9,J.B. Holmes,89,55.17,65693.2,119075
9,10,10,Brooks Koepka,84,55.0,61316.3,111475
10,11,11,Ángel Cabrera,53,54.55,40014.9,73360
11,12,12,Justin Thomas,106,54.48,93309.4,171273
12,13,13,Ryan Palmer,80,54.36,48621.2,89436
13,14,14,Charles Howell III,105,54.32,97094.7,178750
14,15,15,Gary Woodland,81,54.24,52601.6,96988
15,16,16,Robert Garrigus,70,53.97,52507.9,97285
16,17,17,Daniel Berger,97,53.93,79357.6,147139
17,18,18,Brendan Steele,88,53.9,78729.4,146077
18,T19,T19,Harris English,105,53.89,80707.4,149758
19,T19,T19,Hudson Swafford,97,53.89,77135.4,143146
20,21,21,Martin Flores,95,53.88,71873.7,133389
21,22,22,Jhonattan Vegas,90,53.87,67724.6,125722
22,23,23,Keegan Bradley,87,53.67,62827.5,117056
23,24,24,Graham DeLaet,65,53.65,50645.9,94401
24,25,25,Morgan Hoffmann,85,53.64,63959.2,119240
25,26,26,Lucas Glover,79,53.63,67956.1,126716
26,27,27,Carlos Ortiz,100,53.61,80059.3,149347
27,28,28,Charley Hoffman,97,53.58,74145.5,138389
28,29,29,Martin Laird,77,53.56,70036.0,130767
29,30,30,Scott Piercy,90,53.55,76388.1,142644
30,31,31,Steven Bowditch,103,53.54,81040.7,151359
31,32,32,Aaron Baddeley,76,53.52,60282.3,112642
32,33,33,Sam Saunders,83,53.51,61575.5,115074
33,34,34,Roger Sloan,56,53.45,36481.9,68256
34,35,35,Jimmy Walker,89,53.44,59162.1,110705
35,36,36,Derek Ernst,75,53.37,56144.5,105196
36,T37,T37,Charl Schwartzel,67,53.36,38861.7,72828
37,T37,T37,Willy Wilcox,58,53.36,35284.1,66122
38,T39,T39,Seung-Yul Noh,65,53.31,49098.6,92105
39,T39,T39,Alex Prugh,84,53.31,67112.2,125888
40,41,41,Stewart Cink,77,53.3,59286.1,111222
41,42,42,Matt Jones,89,53.29,66300.7,124417
42,43,43,James Hahn,94,53.25,72305.1,135776
43,44,44,Byron Smith,59,53.24,36898.9,69310
44,45,45,Max Homa,78,53.18,58076.4,109206
45,46,46,Justin Rose,69,53.17,47647.9,89621
46,47,47,Camilo Villegas,83,52.97,65465.8,123590
47,T48,T48,Andres Romero,69,52.95,52841.3,99804
48,T48,T48,Robert Streb,110,52.95,87354.2,164971
49,50,50,Boo Weekley,79,52.94,61314.6,115822
50,51,51,Sean O'Hair,86,52.93,78189.3,147718
51,T52,T52,Scott Stallings,60,52.92,50810.4,96014
52,T52,T52,Nick Taylor,91,52.92,79835.1,150846
53,T54,T54,Andres Gonzales,90,52.9,71771.6,135676
54,T54,T54,Cameron Percy,72,52.9,52571.3,99378
55,56,56,Jim Herman,88,52.87,70552.3,133444
56,57,57,Shawn Stefani,94,52.76,83083.8,157466
57,58,58,Hunter Mahan,88,52.74,64450.7,122207
58,59,59,Ernie Els,57,52.73,38576.4,73158
59,T60,T60,Russell Henley,87,52.71,59722.7,113303
60,T60,T60,Nick Watney,91,52.71,75906.0,144014
61,62,62,Ryo Ishikawa,90,52.69,68289.1,129610
62,63,63,Billy Horschel,99,52.68,70526.3,133874
63,64,64,Marc Leishman,74,52.67,47687.5,90532
64,65,65,Hideki Matsuyama,95,52.66,66565.2,126403
65,66,66,Louis Oosthuizen,68,52.65,44574.3,84655
66,67,67,Rickie Fowler,76,52.64,54625.1,103773
67,T68,T68,Chesson Hadley,101,52.63,88912.0,168953
68,T68,T68,Davis Love III,51,52.63,35821.9,68064
69,70,70,Paul Casey,87,52.61,50768.9,96504
70,71,71,Johnson Wagner,68,52.58,49371.8,93897
71,72,72,J.J. Henry,94,52.55,69444.2,132152
72,73,73,Phil Mickelson,70,52.54,53391.6,101627
73,74,74,Kevin Chappell,86,52.53,70250.6,133727
74,75,75,Retief Goosen,81,52.5,62057.8,118212
75,76,76,Vijay Singh,78,52.48,62294.2,118694
76,77,77,Sergio Garcia,59,52.44,33270.7,63447
77,78,78,Rory Sabbatini,81,52.42,58626.2,111845
78,79,79,Tom Hoge,83,52.41,56942.1,108642
79,80,80,Gonzalo Fernandez-Castaño,81,52.37,57292.8,109406
80,81,81,Greg Owen,58,52.35,37897.4,72387
81,82,82,Bill Lunde,50,52.32,29655.9,56682
82,83,83,Scott Pinckney,88,52.29,66146.8,126503
83,84,84,Jason Gore,76,52.28,50254.1,96122
84,85,85,Geoff Ogilvy,50,52.24,34576.5,66191
85,86,86,Andrew Svoboda,80,52.23,63833.8,122217
86,87,87,Brian Harman,90,52.22,67366.3,129004
87,T88,T88,Derek Fathauer,81,52.16,61207.8,117356
88,T88,T88,Patrick Reed,103,52.16,70413.0,134994
89,90,90,Henrik Stenson,63,52.12,42449.6,81443
90,T91,T91,Jonathan Randolph,72,52.1,50786.6,97478
91,T91,T91,Tyrone Van Aswegen,58,52.1,37187.4,71382
92,93,93,Kevin Streelman,95,52.09,69189.7,132818
93,94,94,Oscar Fraustro,58,52.04,35680.9,68559
94,95,95,Erik Compton,86,52.03,66491.9,127804
95,96,96,Michael Putnam,87,51.97,64944.6,124971
96,T97,T97,Eric Axley,57,51.95,36501.0,70260
97,T97,T97,Carl Pettersson,106,51.95,87405.9,168250
98,99,99,Adam Hadwin,95,51.94,74848.7,144118
99,100,100,Blayne Barber,76,51.93,59554.5,114683
100,101,101,Jamie Donaldson,50,51.92,30549.7,58845
101,102,102,Michael Thompson,83,51.88,68085.0,131230
102,103,103,Sangmoon Bae,98,51.85,80113.7,154511
103,T104,T104,Padraig Harrington,60,51.77,45048.5,87017
104,T104,T104,Steve Wheatcroft,87,51.77,66925.9,129267
105,T106,T106,Ricky Barnes,82,51.73,57191.5,110552
106,T106,T106,Matt Every,73,51.73,51187.4,98959
107,T106,T106,Jeff Overton,94,51.73,65139.8,125911
108,109,109,Jordan Spieth,91,51.68,61919.1,119812
109,110,110,Brice Garnett,81,51.67,56554.4,109459
110,111,111,Nicholas Thompson,90,51.57,62750.4,121676
111,T112,T112,Chez Reavie,56,51.56,43845.6,85039
112,T112,T112,John Senden,80,51.56,49752.8,96502
113,T114,T114,Scott Brown,97,51.55,71815.4,139317
114,T114,T114,Bill Haas,89,51.55,63573.8,123318
115,T114,T114,Lee Westwood,56,51.55,30579.7,59326
116,117,117,Bo Van Pelt,81,51.54,61295.1,118928
117,118,118,Kyle Reifers,96,51.46,71235.9,138440
118,119,119,Ben Martin,93,51.43,65903.4,128140
119,120,120,John Peterson,84,51.42,70994.0,138061
120,121,121,John Merrick,78,51.4,53126.1,103352
121,122,122,Jonathan Byrd,69,51.39,45413.2,88363
122,123,123,Webb Simpson,81,51.38,54985.2,107026
123,124,124,Roberto Castro,54,51.37,28921.7,56300
124,T125,T125,Jonas Blixt,78,51.31,46608.4,90836
125,T125,T125,Chris Kirk,76,51.31,52051.2,101447
126,127,127,Matt Kuchar,97,51.3,72419.7,141173
127,128,128,George McNeill,93,51.26,77755.2,151692
128,T129,T129,Chad Campbell,97,51.23,79372.5,154938
129,T129,T129,Spencer Levin,99,51.23,72066.1,140672
130,131,131,David Lingmerth,90,51.17,64980.1,126998
