,Back_9_Par_4_Scoring_Average_RANK THIS WEEK,Back_9_Par_4_Scoring_Average_RANK LAST WEEK,Back_9_Par_4_Scoring_Average_PLAYER NAME,Back_9_Par_4_Scoring_Average_ROUNDS,Back_9_Par_4_Scoring_Average_AVG,Back_9_Par_4_Scoring_Average_TOTAL STROKES,Back_9_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Jason Day,75,3.9,1515,388
1,2,2,Rory Sabbatini,81,3.95,1661,421
2,T3,T3,Matt Kuchar,97,3.96,1981,500
3,T3,T3,Jordan Spieth,91,3.96,1849,467
4,T3,T3,Henrik Stenson,63,3.96,1271,321
5,6,6,Hideki Matsuyama,95,3.97,1941,489
6,T7,T7,Jason Bohn,95,3.98,1976,496
7,T7,T7,Jim Furyk,71,3.98,1337,336
8,T7,T7,Russell Henley,87,3.98,1817,456
9,T7,T7,Charley Hoffman,97,3.98,1980,498
10,T7,T7,Zach Johnson,90,3.98,1912,481
11,T7,T7,Russell Knox,96,3.98,2051,515
12,T7,T7,Louis Oosthuizen,68,3.98,1365,343
13,T7,T7,Robert Streb,110,3.98,2399,603
14,T7,T7,Willy Wilcox,58,3.98,1122,282
15,T16,T16,Steven Bowditch,103,3.99,2209,554
16,T16,T16,David Hearn,97,3.99,2006,503
17,T16,T16,Ryo Ishikawa,90,3.99,1829,458
18,T16,T16,Danny Lee,120,3.99,2543,637
19,T16,T16,William McGirt,103,3.99,2172,545
20,T16,T16,John Peterson,84,3.99,1760,441
21,T16,T16,Bubba Watson,71,3.99,1450,363
22,T23,T23,Jonathan Byrd,69,4.0,1355,339
23,T23,T23,Paul Casey,87,4.0,1806,451
24,T23,T23,Chad Collins,79,4.0,1656,414
25,T23,T23,Brendon de Jonge,106,4.0,2198,549
26,T23,T23,J.B. Holmes,89,4.0,1790,448
27,T23,T23,Marc Leishman,74,4.0,1527,382
28,T23,T23,Spencer Levin,99,4.0,2035,509
29,T23,T23,Kevin Streelman,95,4.0,1890,472
30,T31,T31,Zac Blair,108,4.01,2205,550
31,T31,T31,Jonas Blixt,78,4.01,1541,384
32,T31,T31,Martin Flores,95,4.01,1914,477
33,T31,T31,Brian Harman,90,4.01,1963,490
34,T31,T31,Matt Jones,89,4.01,1805,450
35,T31,T31,Chris Kirk,76,4.01,1567,391
36,T31,T31,Kevin Kisner,104,4.01,2216,553
37,T31,T31,Brooks Koepka,84,4.01,1751,437
38,T31,T31,Jason Kokrak,88,4.01,1867,466
39,T31,T31,Troy Merritt,91,4.01,1877,468
40,T31,T31,Sean O'Hair,86,4.01,1777,443
41,T31,T31,Ryan Palmer,80,4.01,1654,412
42,T31,T31,Carl Pettersson,106,4.01,2272,567
43,T31,T31,Ian Poulter,68,4.01,1399,349
44,T31,T31,Patrick Reed,103,4.01,2133,532
45,T31,T31,Justin Rose,69,4.01,1432,357
46,T31,T31,Daniel Summerhays,101,4.01,2146,535
47,T31,T31,Lee Westwood,56,4.01,1110,277
48,T49,T49,Blayne Barber,76,4.02,1549,385
49,T49,T49,Scott Brown,97,4.02,2076,517
50,T49,T49,Jason Dufner,76,4.02,1578,393
51,T49,T49,Tony Finau,106,4.02,2227,554
52,T49,T49,Sergio Garcia,59,4.02,1227,305
53,T49,T49,Billy Hurley III,83,4.02,1655,412
54,T49,T49,Dustin Johnson,75,4.02,1554,387
55,T49,T49,Ben Martin,93,4.02,2015,501
56,T49,T49,Kevin Na,98,4.02,2015,501
57,T49,T49,Carlos Ortiz,100,4.02,1996,497
58,T49,T49,Greg Owen,58,4.02,1231,306
59,T49,T49,David Toms,62,4.02,1214,302
60,T49,T49,Johnson Wagner,68,4.02,1451,361
61,T49,T49,Nick Watney,91,4.02,1889,470
62,T63,T63,Steven Alker,62,4.03,1260,313
63,T63,T63,Keegan Bradley,87,4.03,1773,440
64,T63,T63,Kevin Chappell,86,4.03,1812,450
65,T63,T63,Ben Crane,62,4.03,1237,307
66,T63,T63,Harris English,105,4.03,2202,547
67,T63,T63,Luke Guthrie,84,4.03,1725,428
68,T63,T63,Martin Laird,77,4.03,1626,403
69,T63,T63,George McNeill,93,4.03,1986,493
70,T63,T63,Michael Putnam,87,4.03,1756,436
71,T63,T63,Jonathan Randolph,72,4.03,1460,362
72,T63,T63,Adam Scott,51,4.03,1060,263
73,T63,T63,Brandt Snedeker,98,4.03,2038,506
74,T63,T63,Shawn Stefani,94,4.03,1975,490
75,T63,T63,Hudson Swafford,97,4.03,2017,501
76,T63,T63,Justin Thomas,106,4.03,2236,555
77,T63,T63,Nicholas Thompson,90,4.03,1816,451
78,T63,T63,Tyrone Van Aswegen,58,4.03,1121,278
79,T80,T80,Jon Curran,83,4.04,1673,414
80,T80,T80,Brian Davis,86,4.04,1723,427
81,T80,T80,James Hahn,94,4.04,1979,490
82,T80,T80,Tom Hoge,83,4.04,1694,419
83,T80,T80,Jerry Kelly,79,4.04,1711,424
84,T80,T80,Whee Kim,71,4.04,1464,362
85,T80,T80,David Lingmerth,90,4.04,1954,484
86,T80,T80,Hunter Mahan,88,4.04,1797,445
87,T80,T80,Bryce Molder,91,4.04,1836,455
88,T80,T80,Francesco Molinari,56,4.04,1146,284
89,T80,T80,Ryan Moore,81,4.04,1636,405
90,T80,T80,Seung-Yul Noh,65,4.04,1387,343
91,T80,T80,Pat Perez,96,4.04,1998,495
92,T80,T80,Scott Piercy,90,4.04,1897,470
93,T80,T80,Kyle Reifers,96,4.04,1958,485
94,T80,T80,John Senden,80,4.04,1626,402
95,T80,T80,Brendan Steele,88,4.04,1767,437
96,T80,T80,Brendon Todd,96,4.04,2036,504
97,T80,T80,Jhonattan Vegas,90,4.04,1815,449
98,T80,T80,Boo Weekley,79,4.04,1681,416
99,T80,T80,Steve Wheatcroft,87,4.04,1743,431
100,T80,T80,Mark Wilson,89,4.04,1800,446
101,T80,T80,Gary Woodland,81,4.04,1607,398
102,T103,T103,Daniel Berger,97,4.05,2100,519
103,T103,T103,K.J. Choi,66,4.05,1287,318
104,T103,T103,Stewart Cink,77,4.05,1657,409
105,T103,T103,Luke Donald,71,4.05,1564,386
106,T103,T103,Derek Ernst,75,4.05,1503,371
107,T103,T103,Gonzalo Fernandez-Castaño,81,4.05,1634,403
108,T103,T103,Bill Haas,89,4.05,1866,461
109,T103,T103,Jim Herman,88,4.05,1882,465
110,T103,T103,Billy Horschel,99,4.05,2088,516
111,T103,T103,Charles Howell III,105,4.05,2217,547
112,T103,T103,John Huh,102,4.05,2131,526
113,T103,T103,Colt Knost,90,4.05,1837,454
114,T103,T103,Sam Saunders,83,4.05,1693,418
115,T103,T103,Webb Simpson,81,4.05,1722,425
116,T103,T103,Vijay Singh,78,4.05,1643,406
117,T103,T103,Brian Stuard,97,4.05,1973,487
118,T103,T103,Michael Thompson,83,4.05,1720,425
119,T120,T120,Ken Duke,93,4.06,1887,465
120,T120,T120,Derek Fathauer,81,4.06,1610,397
121,T120,T120,Rickie Fowler,76,4.06,1587,391
122,T120,T120,Oscar Fraustro,58,4.06,1146,282
123,T120,T120,Brice Garnett,81,4.06,1687,416
124,T120,T120,Lucas Glover,79,4.06,1684,415
125,T120,T120,Andres Gonzales,90,4.06,1805,445
126,T120,T120,Max Homa,78,4.06,1585,390
127,T120,T120,Davis Love III,51,4.06,1103,272
128,T120,T120,John Merrick,78,4.06,1566,386
129,T120,T120,Patrick Rodgers,57,4.06,1165,287
130,T120,T120,Camilo Villegas,83,4.06,1837,452
131,T120,T120,Jimmy Walker,89,4.06,1903,469
132,T133,T133,Jason Gore,76,4.07,1546,380
133,T133,T133,Adam Hadwin,95,4.07,1958,481
134,T133,T133,Bill Lunde,50,4.07,968,238
135,T133,T133,Phil Mickelson,70,4.07,1527,375
136,T133,T133,Jeff Overton,94,4.07,1968,483
137,T133,T133,Sung Joon Park,79,4.07,1631,401
138,T133,T133,Cameron Percy,72,4.07,1488,366
139,T133,T133,Chez Reavie,56,4.07,1172,288
140,T133,T133,Andres Romero,69,4.07,1393,342
141,T133,T133,Nick Taylor,91,4.07,1931,475
142,T143,T143,Chad Campbell,97,4.08,2080,510
143,T143,T143,Erik Compton,86,4.08,1821,446
144,T143,T143,Ernie Els,57,4.08,1254,307
145,T143,T143,Fabián Gómez,83,4.08,1802,442
146,T143,T143,Morgan Hoffmann,85,4.08,1846,452
147,T143,T143,Mark Hubbard,79,4.08,1654,405
148,T143,T143,Scott Pinckney,88,4.08,1880,461
149,T143,T143,D.A. Points,72,4.08,1480,363
150,T143,T143,Alex Prugh,84,4.08,1690,414
151,T143,T143,Chris Stroud,84,4.08,1785,438
152,T143,T143,Cameron Tringale,96,4.08,2086,511
153,T143,T143,Bo Van Pelt,81,4.08,1689,414
154,T155,T155,Ricky Barnes,82,4.09,1646,402
155,T155,T155,Alex Cejka,94,4.09,1934,473
