,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
0,1,1,Brooks Koepka,84,23.33,42,180
1,2,2,Jason Day,75,21.95,36,164
2,3,3,J.B. Holmes,89,20.67,37,179
3,4,4,Harris English,105,20.43,57,279
4,5,5,Henrik Stenson,63,20.0,31,155
5,6,6,Hideki Matsuyama,95,19.82,45,227
6,7,7,Steve Wheatcroft,87,18.57,44,237
7,8,8,Lee Westwood,56,18.0,18,100
8,9,9,Adam Scott,51,17.65,15,85
9,10,10,Brendan Steele,88,17.23,41,238
10,11,11,Johnson Wagner,68,17.17,34,198
11,12,12,Dustin Johnson,75,17.16,23,134
12,T13,T13,Russell Henley,87,17.07,35,205
13,T13,T13,Charles Howell III,105,17.07,56,328
14,15,15,Greg Chalmers,58,16.92,22,130
15,16,16,Kevin Na,98,16.73,46,275
16,17,17,Aaron Baddeley,76,16.67,37,222
17,18,18,Tony Finau,106,16.61,49,295
18,19,19,David Hearn,97,16.56,50,302
19,T20,T20,Daniel Berger,97,16.55,47,284
20,T20,T20,Bubba Watson,71,16.55,23,139
21,22,22,Robert Streb,110,16.5,49,297
22,23,23,Justin Thomas,106,16.49,47,285
23,24,24,Willy Wilcox,58,16.42,22,134
24,25,25,Rory Sabbatini,81,16.37,37,226
25,26,26,Patrick Rodgers,57,16.33,24,147
26,27,27,Chez Reavie,56,16.25,26,160
27,28,28,Justin Rose,69,16.11,24,149
28,29,29,Chris Stroud,84,16.09,42,261
29,30,30,Byron Smith,59,16.06,22,137
30,31,31,Jason Gore,76,15.71,33,210
31,32,32,Gary Woodland,81,15.66,26,166
32,33,33,Jason Bohn,95,15.64,51,326
33,34,34,Ernie Els,57,15.52,18,116
34,35,35,Camilo Villegas,83,15.51,38,245
35,36,36,Brian Harman,90,15.48,37,239
36,37,37,Martin Flores,95,15.36,41,267
37,38,38,Scott Stallings,60,15.29,24,157
38,39,39,Ben Martin,93,15.28,44,288
39,40,40,David Lingmerth,90,15.18,39,257
40,41,41,Robert Garrigus,70,15.12,26,172
41,42,42,Charlie Beljan,76,15.08,27,179
42,43,43,Jim Furyk,71,15.03,26,173
43,44,44,Billy Horschel,99,14.85,30,202
44,45,45,Sangmoon Bae,98,14.77,44,298
45,46,46,Gonzalo Fernandez-Castaño,81,14.75,32,217
46,47,47,Patrick Reed,103,14.71,35,238
47,48,48,Phil Mickelson,70,14.69,26,177
48,49,49,Carlos Ortiz,100,14.65,40,273
49,50,50,Ken Duke,93,14.63,42,287
50,51,51,Sergio Garcia,59,14.56,15,103
51,52,52,Jordan Spieth,91,14.49,30,207
52,53,53,Jerry Kelly,79,14.47,34,235
53,54,54,Luke Guthrie,84,14.45,37,256
54,55,55,Brian Stuard,97,14.43,43,298
55,56,56,Kevin Chappell,86,14.4,35,243
56,T57,T57,Kyle Reifers,96,14.39,40,278
57,T57,T57,Hudson Swafford,97,14.39,39,271
58,59,59,Rickie Fowler,76,14.37,25,174
59,60,60,Ryan Moore,81,14.35,30,209
60,T61,T61,Ángel Cabrera,53,14.29,20,140
61,T61,T61,Ryo Ishikawa,90,14.29,37,259
62,T61,T61,Scott Pinckney,88,14.29,36,252
63,64,64,Retief Goosen,81,14.21,28,197
64,65,65,Adam Hadwin,95,14.19,41,289
65,66,66,Jason Kokrak,88,14.11,35,248
66,67,67,Lucas Glover,79,14.1,33,234
67,68,68,Shawn Stefani,94,14.02,38,271
68,69,69,Scott Piercy,90,14.01,36,257
69,70,70,Danny Lee,120,13.97,50,358
70,71,71,Roberto Castro,54,13.95,18,129
71,72,72,Nick Taylor,91,13.94,35,251
72,73,73,Blayne Barber,76,13.93,28,201
73,74,74,Russell Knox,96,13.88,44,317
74,75,75,George McNeill,93,13.85,50,361
75,T76,T76,Andres Gonzales,90,13.82,34,246
76,T76,T76,Matt Jones,89,13.82,30,217
77,T78,T78,Roger Sloan,56,13.74,18,131
78,T78,T78,Daniel Summerhays,101,13.74,43,313
79,80,80,Scott Brown,97,13.71,41,299
80,T81,T81,Max Homa,78,13.66,28,205
81,T81,T81,Ian Poulter,68,13.66,22,161
82,T83,T83,Charley Hoffman,97,13.62,29,213
83,T83,T83,Sam Saunders,83,13.62,32,235
84,85,85,Steven Alker,62,13.61,23,169
85,86,86,Geoff Ogilvy,50,13.56,16,118
86,87,87,Seung-Yul Noh,65,13.54,26,192
87,88,88,Jason Dufner,76,13.53,23,170
88,89,89,William McGirt,103,13.5,49,363
89,90,90,Colt Knost,90,13.45,37,275
90,91,91,Stewart Cink,77,13.41,33,246
91,92,92,Paul Casey,87,13.3,27,203
92,T93,T93,Troy Merritt,91,13.29,42,316
93,T93,T93,Louis Oosthuizen,68,13.29,19,143
94,T95,T95,Billy Hurley III,83,13.19,31,235
95,T95,T95,Kevin Streelman,95,13.19,31,235
96,97,97,Jim Herman,88,13.18,34,258
97,T98,T98,Padraig Harrington,60,13.17,22,167
98,T98,T98,Ryan Palmer,80,13.17,22,167
99,100,100,Andres Romero,69,13.16,25,190
100,101,101,John Senden,80,13.13,21,160
101,102,102,Carl Pettersson,106,13.11,40,305
102,103,103,Scott Langley,94,13.1,41,313
103,T104,T104,Pat Perez,96,13.02,41,315
104,T104,T104,Webb Simpson,81,13.02,28,215
105,106,106,Steven Bowditch,103,13.01,35,269
106,107,107,Morgan Hoffmann,85,12.98,27,208
107,108,108,Eric Axley,57,12.95,18,139
108,109,109,Nicholas Thompson,90,12.92,31,240
109,110,110,Bryce Molder,91,12.84,38,296
110,111,111,Brandt Snedeker,98,12.81,31,242
111,T112,T112,Tom Hoge,83,12.77,24,188
112,T112,T112,Sean O'Hair,86,12.77,35,274
113,114,114,Whee Kim,71,12.76,25,196
114,115,115,Andrew Svoboda,80,12.74,33,259
115,T116,T116,Zach Johnson,90,12.73,28,220
116,T116,T116,John Peterson,84,12.73,35,275
117,118,118,Ben Crane,62,12.68,26,205
118,119,119,Chad Collins,79,12.65,31,245
119,T120,T120,Chad Campbell,97,12.64,44,348
120,T120,T120,Jeff Overton,94,12.64,34,269
121,122,122,Brendon de Jonge,106,12.58,41,326
122,T123,T123,Erik Compton,86,12.5,29,232
123,T123,T123,Brice Garnett,81,12.5,27,216
124,T123,T123,Charl Schwartzel,67,12.5,17,136
125,T126,T126,Graham DeLaet,65,12.43,23,185
126,T126,T126,Hunter Mahan,88,12.43,23,185
127,128,128,James Hahn,94,12.41,34,274
128,129,129,Chesson Hadley,101,12.28,35,285
129,130,130,Fabián Gómez,83,12.24,30,245
130,131,131,Cameron Percy,72,12.22,22,180
131,132,132,Kevin Kisner,104,12.18,38,312
132,133,133,Matt Kuchar,97,12.17,32,263
133,134,134,Michael Thompson,83,12.16,31,255
134,135,135,John Merrick,78,12.15,26,214
135,136,136,Michael Putnam,87,12.13,29,239
