,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
0,1,1,Jordan Spieth,91,69.05,4143,60
1,2,2,Bubba Watson,71,69.09,3109,45
2,3,3,Jason Day,75,69.31,3119,45
3,4,4,Justin Thomas,106,69.5,4309,62
4,5,5,Justin Rose,69,69.54,2851,41
5,6,6,Zach Johnson,90,69.65,3622,52
6,7,7,Paul Casey,87,69.71,2928,42
7,8,8,Robert Streb,110,69.8,3909,56
8,9,9,Scott Piercy,90,69.82,3072,44
9,10,10,Jason Bohn,95,69.84,3562,51
10,11,11,Harris English,105,69.85,3353,48
11,12,12,Russell Knox,96,69.88,3494,50
12,T13,T13,Danny Lee,120,69.9,4334,62
13,T13,T13,Ryan Palmer,80,69.9,2726,39
14,T15,T15,Sergio Garcia,59,69.91,2377,34
15,T15,T15,Louis Oosthuizen,68,69.91,2447,35
16,17,17,Willy Wilcox,58,69.92,1818,26
17,T18,T18,Chad Collins,79,69.94,2448,35
18,T18,T18,Hideki Matsuyama,95,69.94,3567,51
19,20,20,Kevin Kisner,104,69.98,3639,52
20,21,21,Brooks Koepka,84,70.0,3080,44
21,22,22,Rickie Fowler,76,70.05,2802,40
22,T23,T23,Brendon de Jonge,106,70.08,3714,53
23,T23,T23,Brandt Snedeker,98,70.08,3364,48
24,T25,T25,Matt Kuchar,97,70.09,3715,53
25,T25,T25,Rory Sabbatini,81,70.09,3084,44
26,27,27,Vijay Singh,78,70.11,2524,36
27,28,28,Jason Kokrak,88,70.12,2875,41
28,29,29,Tom Hoge,83,70.14,2455,35
29,T30,T30,Scott Brown,97,70.16,3508,50
30,T30,T30,David Hearn,97,70.16,3157,45
31,32,32,Johnson Wagner,68,70.18,2316,33
32,T33,T33,Daniel Berger,97,70.19,3790,54
33,T33,T33,Bill Haas,89,70.19,2948,42
34,T33,T33,Bryce Molder,91,70.19,2948,42
35,36,36,Carl Pettersson,106,70.2,3440,49
36,T37,T37,Greg Chalmers,58,70.21,1685,24
37,T37,T37,Whee Kim,71,70.21,2387,34
38,39,39,Henrik Stenson,63,70.24,2669,38
39,40,40,Hudson Swafford,97,70.29,3585,51
40,41,41,Boo Weekley,79,70.3,3093,44
41,T42,T42,Dustin Johnson,75,70.31,2953,42
42,T42,T42,Daniel Summerhays,101,70.31,3445,49
43,44,44,Tony Finau,106,70.33,3868,55
44,T45,T45,Jonathan Byrd,69,70.36,2322,33
45,T45,T45,Patrick Reed,103,70.36,3870,55
46,47,47,Shawn Stefani,94,70.37,3237,46
47,T48,T48,Ryo Ishikawa,90,70.38,2745,39
48,T48,T48,Jerry Kelly,79,70.38,2815,40
49,T48,T48,Chris Stroud,84,70.38,2745,39
50,T48,T48,Jimmy Walker,89,70.38,2815,40
51,T52,T52,Zac Blair,108,70.39,3449,49
52,T52,T52,Jon Curran,83,70.39,2886,41
53,T52,T52,Jim Furyk,71,70.39,2675,38
54,55,55,David Lingmerth,90,70.4,3661,52
55,56,56,Cameron Tringale,96,70.41,3591,51
56,57,57,Martin Laird,77,70.42,2535,36
57,58,58,Kevin Na,98,70.44,3663,52
58,T59,T59,William McGirt,103,70.45,3100,44
59,T59,T59,Kyle Reifers,96,70.45,2677,38
60,T61,T61,Steven Alker,62,70.46,1973,28
61,T61,T61,John Huh,102,70.46,2607,37
62,T61,T61,Patrick Rodgers,57,70.46,1973,28
63,T64,T64,Webb Simpson,81,70.47,2678,38
64,T64,T64,Brendon Todd,96,70.47,3312,47
65,T66,T66,Stewart Cink,77,70.49,2749,39
66,T66,T66,John Peterson,84,70.49,2467,35
67,T66,T66,Nick Watney,91,70.49,3313,47
68,69,69,Colt Knost,90,70.5,2820,40
69,T70,T70,Chris Kirk,76,70.51,2609,37
70,T70,T70,Brendan Steele,88,70.51,2750,39
71,72,72,D.A. Points,72,70.53,2116,30
72,73,73,Mark Wilson,89,70.54,2610,37
73,74,74,Graham DeLaet,65,70.55,2187,31
74,75,75,Chad Campbell,97,70.56,3669,52
75,T76,T76,George McNeill,93,70.57,3458,49
76,T76,T76,Pat Perez,96,70.57,3105,44
77,T78,T78,Alex Cejka,94,70.58,3176,45
78,T78,T78,Sean O'Hair,86,70.58,3176,45
79,T78,T78,Ian Poulter,68,70.58,2682,38
80,T81,T81,Brian Harman,90,70.6,3389,48
81,T81,T81,Jim Herman,88,70.6,3036,43
82,T83,T83,Ryan Moore,81,70.61,3107,44
83,T83,T83,Alex Prugh,84,70.61,2542,36
84,T85,T85,Fabián Gómez,83,70.62,2613,37
85,T85,T85,J.B. Holmes,89,70.62,3178,45
86,T85,T85,Byron Smith,59,70.62,1836,26
87,T88,T88,Sangmoon Bae,98,70.64,3108,44
88,T88,T88,Adam Hadwin,95,70.64,3108,44
89,T90,T90,Steven Bowditch,103,70.65,3462,49
90,T90,T90,Martin Flores,95,70.65,3038,43
91,92,92,David Toms,62,70.66,2049,29
92,T93,T93,Ken Duke,93,70.68,2615,37
93,T93,T93,Luke Guthrie,84,70.68,2686,38
94,T95,T95,Jason Gore,76,70.69,2474,35
95,T95,T95,Morgan Hoffmann,85,70.69,2757,39
96,97,97,Luke Donald,71,70.71,2404,34
97,T98,T98,Blayne Barber,76,70.73,2617,37
98,T98,T98,Russell Henley,87,70.73,2829,40
99,T98,T98,Spencer Levin,99,70.73,3607,51
100,101,101,J.J. Henry,94,70.74,2971,42
101,102,102,Chesson Hadley,101,70.75,2830,40
102,103,103,Cameron Percy,72,70.76,2618,37
103,104,104,Oscar Fraustro,58,70.77,1840,26
104,T105,T105,Phil Mickelson,70,70.79,2336,33
105,T105,T105,Francesco Molinari,56,70.79,1699,24
106,T105,T105,Greg Owen,58,70.79,2053,29
107,108,108,Kevin Streelman,95,70.8,2903,41
108,T109,T109,Scott Pinckney,88,70.82,3116,44
109,T109,T109,Jonathan Randolph,72,70.82,2762,39
110,111,111,Troy Merritt,91,70.84,3471,49
111,112,112,Scott Langley,94,70.86,3047,43
112,113,113,Matt Jones,89,70.87,3260,46
113,T114,T114,Sung Joon Park,79,70.89,2481,35
114,T114,T114,Michael Thompson,83,70.89,2623,37
115,116,116,Aaron Baddeley,76,70.91,2269,32
116,117,117,Camilo Villegas,83,70.92,2624,37
117,T118,T118,Charley Hoffman,97,70.94,3405,48
118,T118,T118,Justin Leonard,61,70.94,2199,31
119,120,120,Mark Hubbard,79,70.95,2838,40
120,T121,T121,Carlos Ortiz,100,70.96,3335,47
121,T121,T121,Adam Scott,51,70.96,1916,27
122,T123,T123,James Hahn,94,70.98,2981,42
123,T123,T123,Jhonattan Vegas,90,70.98,2839,40
124,T123,T123,Steve Wheatcroft,87,70.98,3052,43
125,126,126,Brian Stuard,97,71.0,2911,41
126,127,127,Hunter Mahan,88,71.03,2486,35
127,128,128,Nicholas Thompson,90,71.05,2984,42
128,129,129,Marc Leishman,74,71.06,2345,33
129,130,130,Kevin Chappell,86,71.1,2915,41
130,T131,T131,Jeff Overton,94,71.12,3058,43
131,T131,T131,Nick Taylor,91,71.12,2987,42
132,T133,T133,Keegan Bradley,87,71.13,2845,40
133,T133,T133,Lucas Glover,79,71.13,2845,40
134,135,135,Bill Lunde,50,71.15,1423,20
135,T136,T136,Robert Allenby,63,71.16,1779,25
136,T136,T136,Charles Howell III,105,71.16,3487,49
137,T136,T136,Bo Van Pelt,81,71.16,2633,37
138,T139,T139,Billy Horschel,99,71.17,3345,47
139,T139,T139,Ben Martin,93,71.17,3345,47
140,141,141,Max Homa,78,71.19,2634,37
141,142,142,Sam Saunders,83,71.2,2919,41
142,143,143,John Senden,80,71.24,2422,34
143,144,144,Gonzalo Fernandez-Castaño,81,71.25,2850,40
144,T145,T145,Roberto Castro,54,71.26,1639,23
145,T145,T145,Erik Compton,86,71.26,2993,42
146,T145,T145,Davis Love III,51,71.26,1639,23
147,T145,T145,Tyrone Van Aswegen,58,71.26,1924,27
148,T145,T145,Gary Woodland,81,71.26,2423,34
149,150,150,Robert Garrigus,70,71.27,2352,33
150,151,151,Brice Garnett,81,71.28,2780,39
151,T152,T152,Jason Dufner,76,71.29,2495,35
152,T152,T152,Billy Hurley III,83,71.29,2424,34
153,T152,T152,Seung-Yul Noh,65,71.29,2210,31
154,T152,T152,Lee Westwood,56,71.29,1711,24
155,156,156,Ricky Barnes,82,71.35,3068,43
156,T157,T157,Michael Putnam,87,71.36,2783,39
157,T157,T157,Heath Slocum,57,71.36,1570,22
158,159,159,Derek Fathauer,81,71.41,2928,41
159,T160,T160,Eric Axley,57,71.42,1714,24
160,T160,T160,Andrew Svoboda,80,71.42,2714,38
161,162,162,John Merrick,78,71.45,2715,38
162,163,163,Charlie Beljan,76,71.46,2501,35
163,164,164,K.J. Choi,66,71.5,1859,26
164,165,165,Charl Schwartzel,67,71.53,2575,36
165,166,166,Chez Reavie,56,71.54,1717,24
166,T167,T167,Jonas Blixt,78,71.59,2792,39
167,T167,T167,Padraig Harrington,60,71.59,2076,29
168,169,169,Jamie Donaldson,50,71.6,1432,20
169,170,170,Ángel Cabrera,53,71.67,1720,24
170,171,171,Brian Davis,86,71.68,2437,34
171,172,172,Derek Ernst,75,71.71,2510,35
172,173,173,Andres Gonzales,90,71.78,3230,45
173,174,174,Retief Goosen,81,71.85,2802,39
174,175,175,Scott Stallings,60,71.9,2085,29
175,176,176,Andrew Putnam,68,71.91,2373,33
176,177,177,Ben Crane,62,71.92,1870,26
177,178,178,Andres Romero,69,71.97,2303,32
178,179,179,Jim Renner,68,72.03,2305,32
179,180,180,Geoff Ogilvy,50,72.1,1442,20
180,181,181,Ernie Els,57,72.15,1948,27
181,182,182,Roger Sloan,56,72.22,1950,27
182,183,183,Tim Wilkinson,73,72.23,2239,31
183,184,184,Matt Every,73,72.68,2035,28
