,Par_3_Performance_RANK THIS WEEK,Par_3_Performance_RANK LAST WEEK,Par_3_Performance_PLAYER NAME,Par_3_Performance_ROUNDS,Par_3_Performance_STATUS,Par_3_Performance_PAR 3 AVG,Par_3_Performance_TOTAL PAR
0,1,1,Jason Day,75,-16,2.94,831
1,2,2,Robert Streb,110,-14,2.97,1284
2,3,3,Danny Lee,120,-13,2.97,1458
3,T4,T4,Jerry Kelly,79,-9,2.97,966
4,T4,T4,Johnson Wagner,68,-9,2.97,822
5,T6,T6,Webb Simpson,81,-7,2.98,918
6,T6,T6,Chris Stroud,84,-7,2.98,1014
7,T6,T6,Willy Wilcox,58,-7,2.97,672
8,9,9,Byron Smith,59,-6,2.97,669
9,10,10,Billy Hurley III,83,-5,2.98,975
10,T11,T11,Graham DeLaet,65,-4,2.98,774
11,T11,T11,Bubba Watson,71,-4,2.98,792
12,T13,T13,Aaron Baddeley,76,-3,2.99,894
13,T13,T13,Chad Campbell,97,-3,2.99,1182
14,T13,T13,Tyrone Van Aswegen,58,-3,2.99,657
15,T16,T16,Scott Piercy,90,-2,2.99,1086
16,T16,T16,Jordan Spieth,91,-2,2.99,1056
17,T18,T18,Jonathan Byrd,69,-1,3.0,798
18,T18,T18,Whee Kim,71,-1,3.0,840
19,T18,T18,David Toms,62,-1,3.0,708
20,T21,T21,Steven Alker,62,E,3.0,732
21,T21,T21,Rickie Fowler,76,E,3.0,840
22,T21,T21,Kevin Na,98,E,3.0,1137
23,T24,T24,Jason Bohn,95,+1,3.0,1161
24,T24,T24,Jim Herman,88,+1,3.0,1068
25,T24,T24,Zach Johnson,90,+1,3.0,1020
26,T27,T27,Brendon de Jonge,106,+2,3.0,1299
27,T27,T27,Jim Furyk,71,+2,3.01,759
28,T27,T27,Henrik Stenson,63,+2,3.01,708
29,T30,T30,Mark Hubbard,79,+3,3.01,942
30,T30,T30,Justin Rose,69,+3,3.01,774
31,T32,T32,Chad Collins,79,+4,3.01,966
32,T32,T32,Michael Putnam,87,+4,3.01,1047
33,T32,T32,Brendon Todd,96,+4,3.01,1101
34,35,35,Retief Goosen,81,+5,3.02,918
35,T36,T36,Jason Gore,76,+6,3.02,873
36,T36,T36,Colt Knost,90,+6,3.02,1056
37,T36,T36,Jeff Overton,94,+6,3.02,1131
38,T39,T39,Eric Axley,57,+7,3.03,669
39,T39,T39,Ricky Barnes,82,+7,3.02,957
40,T39,T39,Russell Knox,96,+7,3.02,1155
41,T39,T39,Martin Laird,77,+7,3.02,945
42,T39,T39,Nick Taylor,91,+7,3.02,1098
43,T44,T44,Scott Brown,97,+8,3.02,1185
44,T44,T44,Greg Chalmers,58,+8,3.04,648
45,T44,T44,Brice Garnett,81,+8,3.03,960
46,T44,T44,David Hearn,97,+8,3.02,1170
47,T44,T44,Bill Lunde,50,+8,3.04,564
48,T44,T44,George McNeill,93,+8,3.02,1128
49,T50,T50,Sangmoon Bae,98,+9,3.02,1179
50,T50,T50,Zac Blair,108,+9,3.02,1269
51,T50,T50,Sergio Garcia,59,+9,3.04,648
52,T50,T50,Sung Joon Park,79,+9,3.03,954
53,T50,T50,Cameron Percy,72,+9,3.03,855
54,T50,T50,Alex Prugh,84,+9,3.03,978
55,T50,T50,Andrew Putnam,68,+9,3.03,777
56,T50,T50,Vijay Singh,78,+9,3.03,960
57,T58,T58,Jon Curran,83,+10,3.03,975
58,T58,T58,Tony Finau,106,+10,3.02,1293
59,T58,T58,Fabián Gómez,83,+10,3.03,1008
60,T58,T58,Luke Guthrie,84,+10,3.03,1008
61,T58,T58,Bryce Molder,91,+10,3.03,1065
62,T58,T58,Ryan Moore,81,+10,3.03,927
63,T58,T58,Bo Van Pelt,81,+10,3.03,966
64,T65,T65,Daniel Berger,97,+11,3.03,1173
65,T65,T65,Erik Compton,86,+11,3.03,1053
66,T65,T65,Luke Donald,71,+11,3.04,843
67,T65,T65,Kevin Kisner,104,+11,3.03,1254
68,T65,T65,Marc Leishman,74,+11,3.04,825
69,T65,T65,Ryan Palmer,80,+11,3.04,918
70,T65,T65,Patrick Reed,103,+11,3.03,1185
71,T65,T65,Kyle Reifers,96,+11,3.03,1125
72,T65,T65,Justin Thomas,106,+11,3.03,1299
73,T65,T65,Mark Wilson,89,+11,3.03,1038
74,T75,T75,Harris English,105,+12,3.03,1227
75,T75,T75,Russell Henley,87,+12,3.04,981
76,T75,T75,Ben Martin,93,+12,3.03,1044
77,T75,T75,Daniel Summerhays,101,+12,3.03,1230
78,T75,T75,Cameron Tringale,96,+12,3.03,1146
79,T80,T80,Ben Crane,62,+13,3.06,696
80,T80,T80,James Hahn,94,+13,3.03,1134
81,T80,T80,Max Homa,78,+13,3.04,903
82,T80,T80,Shawn Stefani,94,+13,3.03,1146
83,T80,T80,Jimmy Walker,89,+13,3.04,1008
84,T85,T85,John Huh,102,+14,3.03,1242
85,T85,T85,William McGirt,103,+14,3.03,1248
86,T85,T85,Louis Oosthuizen,68,+14,3.06,738
87,T85,T85,Chez Reavie,56,+14,3.06,687
88,T85,T85,Patrick Rodgers,57,+14,3.07,645
89,T85,T85,Roger Sloan,56,+14,3.07,633
90,T85,T85,Lee Westwood,56,+14,3.07,612
91,T92,T92,Alex Cejka,94,+15,3.04,1125
92,T92,T92,J.J. Henry,94,+15,3.04,1098
93,T92,T92,Troy Merritt,91,+15,3.04,1113
94,T92,T92,Andrew Svoboda,80,+15,3.05,945
95,T96,T96,Steven Bowditch,103,+16,3.04,1221
96,T96,T96,Paul Casey,87,+16,3.05,963
97,T96,T96,Roberto Castro,54,+16,3.08,615
98,T96,T96,K.J. Choi,66,+16,3.06,750
99,T96,T96,Stewart Cink,77,+16,3.05,915
100,T96,T96,Tom Hoge,83,+16,3.05,957
101,T96,T96,Davis Love III,51,+16,3.08,615
102,T96,T96,Brandt Snedeker,98,+16,3.04,1155
103,T104,T104,Gonzalo Fernandez-Castaño,81,+17,3.05,945
104,T104,T104,Dustin Johnson,75,+17,3.06,852
105,T104,T104,Matt Jones,89,+17,3.05,1014
106,T104,T104,Justin Leonard,61,+17,3.07,729
107,T104,T104,David Lingmerth,90,+17,3.05,1068
108,T104,T104,Hideki Matsuyama,95,+17,3.05,1056
