,Reverse_Bounce_Back_RANK THIS WEEK,Reverse_Bounce_Back_RANK LAST WEEK,Reverse_Bounce_Back_PLAYER NAME,Reverse_Bounce_Back_ROUNDS,Reverse_Bounce_Back_% UNDER THEN OVER PAR,Reverse_Bounce_Back_TOTAL UNDER THEN OVER PAR,Reverse_Bounce_Back_UNDER PAR
0,1,1,Francesco Molinari,56,9.64,16,166
1,2,2,Sung Joon Park,79,10.33,22,213
2,3,3,Jerry Kelly,79,11.66,33,283
3,4,4,David Toms,62,11.67,21,180
4,5,5,Steven Bowditch,103,11.86,44,371
5,6,6,Jeff Overton,94,12.46,38,305
6,T7,T7,K.J. Choi,66,12.5,25,200
7,T7,T7,Bill Haas,89,12.5,35,280
8,T7,T7,Greg Owen,58,12.5,23,184
9,10,10,Scott Brown,97,12.57,43,342
10,11,11,Stewart Cink,77,12.64,34,269
11,12,12,Matt Jones,89,12.69,41,323
12,13,13,John Peterson,84,12.73,34,267
13,14,14,Daniel Berger,97,12.81,46,359
14,15,15,Chad Collins,79,12.84,33,257
15,T16,T16,Zach Johnson,90,12.97,41,316
16,T16,T16,Bryce Molder,91,12.97,38,293
17,18,18,Paul Casey,87,12.99,40,308
18,19,19,Zac Blair,108,13.02,44,338
19,20,20,Jim Herman,88,13.07,40,306
20,21,21,Kevin Chappell,86,13.13,42,320
21,22,22,Scott Langley,94,13.23,41,310
22,23,23,Sergio Garcia,59,13.36,29,217
23,24,24,Jason Dufner,76,13.64,36,264
24,25,25,Rory Sabbatini,81,13.65,40,293
25,26,26,Johnson Wagner,68,13.66,31,227
26,27,27,Rickie Fowler,76,13.67,38,278
27,28,28,Hideki Matsuyama,95,13.69,49,358
28,29,29,Jason Day,75,13.85,45,325
29,30,30,Brendon de Jonge,106,13.88,54,389
30,T31,T31,Jason Bohn,95,13.93,51,366
31,T31,T31,Max Homa,78,13.93,34,244
32,33,33,Brian Harman,90,13.95,42,301
33,T34,T34,David Lingmerth,90,14.07,46,327
34,T34,T34,Patrick Rodgers,57,14.07,28,199
35,36,36,Robert Streb,110,14.08,59,419
36,37,37,Brian Stuard,97,14.09,42,298
37,38,38,Jordan Spieth,91,14.1,54,383
38,39,39,Colt Knost,90,14.14,42,297
39,40,40,John Huh,102,14.29,48,336
40,T41,T41,Bill Lunde,50,14.39,20,139
41,T41,T41,Justin Rose,69,14.39,40,278
42,T43,T43,Tony Finau,106,14.42,60,416
43,T43,T43,Brendon Todd,96,14.42,47,326
44,45,45,Tyrone Van Aswegen,58,14.45,25,173
45,T46,T46,Mark Hubbard,79,14.51,37,255
46,T46,T46,Lee Westwood,56,14.51,28,193
47,T48,T48,William McGirt,103,14.53,50,344
48,T48,T48,Henrik Stenson,63,14.53,34,234
49,T50,T50,Lucas Glover,79,14.55,40,275
50,T50,T50,Willy Wilcox,58,14.55,31,213
51,52,52,Ben Martin,93,14.59,48,329
52,53,53,Justin Leonard,61,14.61,26,178
53,54,54,John Merrick,78,14.62,37,253
54,55,55,Pat Perez,96,14.63,54,369
55,56,56,Kevin Streelman,95,14.65,46,314
56,57,57,Charley Hoffman,97,14.7,51,347
57,58,58,Russell Knox,96,14.71,50,340
58,T59,T59,Fabián Gómez,83,14.89,42,282
59,T59,T59,Cameron Tringale,96,14.89,46,309
60,T61,T61,Brooks Koepka,84,14.92,47,315
61,T61,T61,Kyle Reifers,96,14.92,47,315
62,63,63,Jason Kokrak,88,14.98,49,327
63,64,64,Andrew Putnam,68,15.02,32,213
64,65,65,Brandt Snedeker,98,15.04,51,339
65,66,66,Steven Alker,62,15.12,31,205
66,67,67,Carl Pettersson,106,15.16,57,376
67,68,68,Luke Donald,71,15.21,33,217
68,T69,T69,Matt Kuchar,97,15.25,54,354
69,T69,T69,Michael Putnam,87,15.25,43,282
70,71,71,Brendan Steele,88,15.29,50,327
71,72,72,George McNeill,93,15.34,50,326
72,73,73,Graham DeLaet,65,15.35,35,228
73,T74,T74,Jamie Donaldson,50,15.38,22,143
74,T74,T74,Jonathan Randolph,72,15.38,34,221
75,76,76,Daniel Summerhays,101,15.45,55,356
76,77,77,Alex Prugh,84,15.47,43,278
77,78,78,Eric Axley,57,15.48,26,168
78,79,79,Dustin Johnson,75,15.51,47,303
79,80,80,Carlos Ortiz,100,15.52,54,348
80,81,81,Chez Reavie,56,15.54,30,193
81,82,82,Cameron Percy,72,15.64,38,243
82,T83,T83,Keegan Bradley,87,15.65,49,313
83,T83,T83,Jonathan Byrd,69,15.65,36,230
84,T83,T83,Steve Wheatcroft,87,15.65,49,313
85,86,86,Boo Weekley,79,15.66,44,281
86,87,87,Hudson Swafford,97,15.7,57,363
87,88,88,Chris Stroud,84,15.71,49,312
88,89,89,Louis Oosthuizen,68,15.72,36,229
89,90,90,Charles Howell III,105,15.74,54,343
90,T91,T91,Scott Pinckney,88,15.77,47,298
91,T91,T91,Webb Simpson,81,15.77,44,279
92,93,93,Hunter Mahan,88,15.79,45,285
93,94,94,Harris English,105,15.88,57,359
94,95,95,Billy Horschel,99,15.99,55,344
95,96,96,Nick Watney,91,16.0,52,325
96,97,97,Jimmy Walker,89,16.06,53,330
97,98,98,Byron Smith,59,16.11,29,180
98,T99,T99,Jim Furyk,71,16.14,36,223
99,T99,T99,Patrick Reed,103,16.14,61,378
100,101,101,Bubba Watson,71,16.2,46,284
101,102,102,Martin Laird,77,16.24,44,271
102,103,103,Ryan Palmer,80,16.25,46,283
103,104,104,Kevin Kisner,104,16.29,58,356
104,105,105,Erik Compton,86,16.33,48,294
105,106,106,Kevin Na,98,16.34,58,355
106,T107,T107,Andres Gonzales,90,16.39,49,299
107,T107,T107,Justin Thomas,106,16.39,70,427
108,109,109,Ricky Barnes,82,16.41,43,262
109,110,110,Mark Wilson,89,16.43,46,280
110,111,111,Martin Flores,95,16.44,49,298
111,112,112,Spencer Levin,99,16.45,51,310
112,113,113,Scott Piercy,90,16.46,54,328
113,114,114,Aaron Baddeley,76,16.48,43,261
114,115,115,Nick Taylor,91,16.56,53,320
115,T116,T116,Ben Crane,62,16.57,29,175
116,T116,T116,David Hearn,97,16.57,56,338
117,118,118,Phil Mickelson,70,16.61,45,271
118,119,119,Danny Lee,120,16.63,76,457
119,120,120,Adam Scott,51,16.67,29,174
120,121,121,James Hahn,94,16.72,55,329
121,122,122,Adam Hadwin,95,16.82,54,321
122,123,123,Derek Fathauer,81,16.93,43,254
123,124,124,Troy Merritt,91,17.01,49,288
124,T125,T125,Brice Garnett,81,17.18,45,262
125,T125,T125,Tom Hoge,83,17.18,50,291
126,127,127,Jon Curran,83,17.2,43,250
127,T128,T128,Roberto Castro,54,17.22,26,151
