,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Steve Stricker,53,"15' 5""",169.25,11,+1
1,2,2,Chris Stroud,82,"16' 1""",498.333,31,E
2,3,3,Jason Bohn,67,"16' 10""",320.08299999999997,19,-3
3,4,4,Jordan Spieth,80,"16' 11""",388.833,23,-3
4,5,5,Lucas Glover,75,"17' 1""",324.91700000000003,19,+1
5,6,6,Padraig Harrington,54,"17' 10""",374.083,21,+3
6,T7,T7,Sergio Garcia,54,"18' 3""",109.333,6,+1
7,T7,T7,Jerry Kelly,76,"18' 3""",384.0,21,+2
8,T7,T7,Geoff Ogilvy,63,"18' 3""",455.75,25,E
9,10,10,Tim Wilkinson,72,"18' 4""",330.083,18,E
10,11,11,Brendon de Jonge,83,"18' 6""",553.9169999999999,30,+3
11,12,12,Ken Duke,58,"18' 7""",408.917,22,+4
12,T13,T13,Colt Knost,90,"18' 8""",466.833,25,-1
13,T13,T13,Rory Sabbatini,57,"18' 8""",410.083,22,+6
14,15,15,Dicky Pride,55,"19' 0""",304.0,16,E
15,16,16,Tyler Aldridge,83,"19' 1""",841.1669999999999,44,+2
16,17,17,Mark Wilson,66,"19' 2""",287.25,15,-1
17,18,18,Kelly Kraft,63,"19' 4""",406.583,21,-1
18,19,19,Seung-Yul Noh,85,"19' 6""",876.6669999999999,45,+7
19,20,20,Rory McIlroy,69,"19' 9""",256.25,13,-3
20,21,21,Brendan Steele,88,"19' 11""",437.667,22,-3
21,22,22,Ricky Barnes,97,"20' 0""",841.3330000000001,42,+5
22,23,23,Luke Donald,81,"20' 4""",528.0830000000001,26,+2
23,T24,T24,D.A. Points,55,"20' 6""",388.833,19,-2
24,T24,T24,Justin Rose,65,"20' 6""",389.583,19,+1
25,T24,T24,Dawie van der Walt,72,"20' 6""",718.1669999999999,35,+3
26,27,27,Luke List,79,"20' 8""",703.9169999999999,34,-1
27,28,28,Francesco Molinari,64,"20' 10""",332.667,16,-1
28,29,29,Gary Woodland,95,"20' 11""",670.0830000000001,32,+2
29,30,30,Rod Pampling,54,"21' 0""",398.25,19,+1
30,T31,T31,Graham DeLaet,70,"21' 1""",400.333,19,-1
31,T31,T31,Jamie Lovemark,91,"21' 1""",862.75,41,+1
32,T31,T31,Ben Martin,92,"21' 1""",633.4169999999999,30,-1
33,T31,T31,Hideki Matsuyama,76,"21' 1""",421.833,20,-2
34,T31,T31,Kevin Na,96,"21' 1""",528.0,25,-2
35,T31,T31,Rob Oppenheim,67,"21' 1""",570.0830000000001,27,+1
36,37,37,Abraham Ancer,51,"21' 3""",318.25,15,+1
37,38,38,Henrik Norlander,71,"21' 5""",363.5,17,-4
38,39,39,Nick Taylor,83,"21' 6""",967.0830000000001,45,+4
39,T40,T40,Chris Kirk,90,"21' 7""",539.0,25,+1
40,T40,T40,Jason Kokrak,89,"21' 7""",690.1669999999999,32,+1
41,42,42,Matt Jones,83,"21' 9""",499.667,23,+6
42,T43,T43,Patrick Reed,105,"22' 0""",946.6669999999999,43,+9
43,T43,T43,Daniel Summerhays,99,"22' 0""",659.5,30,-6
44,45,45,Alex Cejka,71,"22' 1""",573.4169999999999,26,-4
45,T46,T46,K.J. Choi,73,"22' 2""",355.083,16,+3
46,T46,T46,Scott Piercy,87,"22' 2""",442.917,20,+4
47,48,48,Kevin Kisner,97,"22' 3""",600.8330000000001,27,E
48,T49,T49,Hunter Mahan,61,"22' 4""",625.5,28,E
49,T49,T49,William McGirt,98,"22' 4""",580.4169999999999,26,+5
50,T51,T51,David Lingmerth,84,"22' 5""",538.9169999999999,24,+2
51,T51,T51,Robert Streb,87,"22' 5""",740.4169999999999,33,-4
52,T51,T51,Hudson Swafford,104,"22' 5""",626.5,28,+1
53,T51,T51,Bubba Watson,72,"22' 5""",716.75,32,E
54,55,55,Rhein Gibson,58,"22' 6""",405.667,18,+1
55,56,56,Vaughn Taylor,72,"22' 7""",586.4169999999999,26,+1
56,T57,T57,Patton Kizzire,93,"22' 8""",703.25,31,+3
57,T57,T57,Scott Langley,65,"22' 8""",476.583,21,+2
58,59,59,Billy Hurley III,66,"22' 9""",613.5,27,+6
59,T60,T60,Will MacKenzie,84,"22' 10""",571.75,25,+6
60,T60,T60,Brandt Snedeker,93,"22' 10""",891.8330000000001,39,-3
61,62,62,Patrick Rodgers,89,"22' 11""",941.0830000000001,41,+3
62,T63,T63,Sung Kang,89,"23' 2""",485.667,21,+2
63,T63,T63,Scott Stallings,74,"23' 2""",740.1669999999999,32,+4
64,T65,T65,Tony Finau,95,"23' 3""",882.5,38,+2
65,T65,T65,James Hahn,85,"23' 3""",698.1669999999999,30,+4
66,67,67,Si Woo Kim,113,"23' 5""",1406.3329999999999,60,+16
67,T68,T68,Justin Thomas,99,"23' 6""",962.6669999999999,41,+7
68,T68,T68,Steve Wheatcroft,85,"23' 6""",703.9169999999999,30,+9
