,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,Robert Garrigus,69,"26' 3""",648,17018.417,-98.00
1,2,2,Adam Scott,79,"27' 0""",710,19175.417,-132.00
2,3,3,Dustin Johnson,87,"27' 7""",767,21184.417,-149.00
3,T4,T4,Tom Hoge,81,"28' 4""",767,21762.583,-55.00
4,T4,T4,Vaughn Taylor,72,"28' 4""",873,24740.25,-37.00
5,6,6,Tim Wilkinson,72,"28' 6""",660,18818.583,-80.00
6,7,7,Jason Dufner,105,"28' 9""",1034,29747.583,-93.00
7,T8,T8,Ryan Moore,86,"28' 11""",898,25982.333,-116.00
8,T8,T8,Justin Thomas,99,"28' 11""",896,25942.25,-86.00
9,10,10,J.B. Holmes,77,"29' 1""",688,20020.167,-81.00
10,T11,T11,Michael Thompson,71,"29' 2""",696,20287.167,-77.00
11,T11,T11,Tyrone Van Aswegen,105,"29' 2""",1091,31848.583,-76.00
12,T13,T13,Daniel Berger,92,"29' 3""",906,26515.083,-112.00
13,T13,T13,Kelly Kraft,63,"29' 3""",573,16744.333,-76.00
14,15,15,David Hearn,95,"29' 4""",1135,33304.75,-125.00
15,T16,T16,Jim Furyk,52,"29' 5""",635,18656.333,-59.00
16,T16,T16,Hideki Matsuyama,76,"29' 5""",761,22405.667,-110.00
17,T16,T16,Henrik Norlander,71,"29' 5""",687,20189.917,-71.00
18,T16,T16,Hudson Swafford,104,"29' 5""",1193,35127.0,-126.00
19,T20,T20,Russell Knox,92,"29' 6""",919,27078.167,-87.00
20,T20,T20,Rory McIlroy,69,"29' 6""",613,18104.0,-91.00
21,T22,T22,Jason Gore,78,"29' 7""",792,23437.583,-26.00
22,T22,T22,Bubba Watson,72,"29' 7""",591,17465.333,-82.00
23,24,24,Brooks Koepka,75,"29' 8""",723,21474.083,-91.00
24,T25,T25,Keegan Bradley,82,"29' 9""",855,25413.5,-65.00
25,T25,T25,K.J. Choi,73,"29' 9""",914,27162.0,-94.00
26,T27,T27,Chesson Hadley,81,"29' 10""",823,24521.5,-77.00
27,T27,T27,Jerry Kelly,76,"29' 10""",859,25656.417,-55.00
28,T27,T27,Kevin Kisner,97,"29' 10""",959,28647.083,-135.00
29,30,30,Brendan Steele,88,"29' 11""",905,27067.083,-67.00
30,T31,T31,Emiliano Grillo,93,"30' 0""",1004,30142.833,-112.00
31,T31,T31,Billy Hurley III,66,"30' 0""",799,23971.583,-73.00
32,T31,T31,Phil Mickelson,75,"30' 0""",680,20408.667,-110.00
33,T31,T31,Rod Pampling,54,"30' 0""",501,15010.167,-28.00
34,T31,T31,Robert Streb,87,"30' 0""",821,24657.833,-49.00
35,T36,T36,Zach Johnson,90,"30' 1""",996,29953.083,-115.00
36,T36,T36,Webb Simpson,70,"30' 1""",763,22962.167,-77.00
37,T38,T38,Chez Reavie,90,"30' 2""",1054,31813.25,-109.00
38,T38,T38,Kyle Stanley,92,"30' 2""",1077,32497.667,-85.00
39,40,40,Ryan Palmer,86,"30' 3""",984,29788.75,-105.00
40,T41,T41,Chris Kirk,90,"30' 4""",975,29595.667,-96.00
41,T41,T41,Greg Owen,85,"30' 4""",844,25606.417,-55.00
42,T41,T41,Wes Roach,59,"30' 4""",564,17128.5,-37.00
43,T44,T44,Lucas Glover,75,"30' 5""",905,27531.583,-102.00
44,T44,T44,Russell Henley,76,"30' 5""",917,27924.5,-97.00
45,T46,T46,Derek Ernst,59,"30' 6""",552,16820.75,-30.00
46,T46,T46,Francesco Molinari,64,"30' 6""",773,23607.0,-41.00
47,T46,T46,D.A. Points,55,"30' 6""",503,15353.25,-20.00
48,T49,T49,Blayne Barber,84,"30' 7""",1006,30738.417,-94.00
49,T49,T49,Scott Stallings,74,"30' 7""",763,23321.333,-63.00
50,T49,T49,Brett Stegmaier,87,"30' 7""",981,29970.083,-62.00
51,T52,T52,Kevin Chappell,93,"30' 8""",1012,31067.917,-85.00
52,T52,T52,Andres Gonzales,80,"30' 8""",807,24722.0,-57.00
53,T52,T52,Luke Guthrie,57,"30' 8""",550,16852.333,-52.00
54,T52,T52,Jason Kokrak,89,"30' 8""",912,27998.083,-88.00
55,T52,T52,Will MacKenzie,84,"30' 8""",857,26264.333,-52.00
56,T52,T52,Troy Merritt,77,"30' 8""",810,24833.5,-93.00
