,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,1,1,Retief Goosen,55,"2' 6""",169.667,69,59
1,2,2,Michael Thompson,71,"2' 8""",236.0,89,116
2,3,3,Francesco Molinari,64,"2' 9""",276.91700000000003,100,53
3,T4,T4,Seung-Yul Noh,85,"2' 10""",247.417,88,118
4,T4,T4,Greg Owen,85,"2' 10""",288.58299999999997,102,181
5,T4,T4,Jordan Spieth,80,"2' 10""",328.917,115,9
6,T4,T4,Kevin Streelman,82,"2' 10""",240.667,84,174
7,T4,T4,Daniel Summerhays,99,"2' 10""",350.083,124,121
8,T9,T9,Stuart Appleby,71,"2' 11""",328.667,113,14
9,T9,T9,Ricky Barnes,97,"2' 11""",315.41700000000003,109,66
10,T9,T9,Alex Cejka,71,"2' 11""",239.25,83,3
11,T9,T9,Luke Donald,81,"2' 11""",239.5,83,6
12,T9,T9,Bill Haas,86,"2' 11""",242.333,82,12
13,T9,T9,Louis Oosthuizen,63,"2' 11""",181.167,62,167
14,T9,T9,Patrick Rodgers,89,"2' 11""",297.91700000000003,103,101
15,T16,T16,Thomas Aiken,70,"3' 0""",255.25,84,143
16,T16,T16,Jon Curran,99,"3' 0""",379.5,127,13
17,T16,T16,Ernie Els,66,"3' 0""",303.0,100,163
18,T16,T16,Michael Kim,100,"3' 0""",425.667,140,39
19,T16,T16,Martin Piller,59,"3' 0""",221.083,74,90
20,T21,T21,Keegan Bradley,82,"3' 1""",230.167,74,165
21,T21,T21,Ángel Cabrera,62,"3' 1""",273.66700000000003,88,156
22,T21,T21,Kevin Chappell,93,"3' 1""",397.0,129,79
23,T21,T21,Derek Ernst,59,"3' 1""",204.25,67,52
24,T21,T21,J.J. Henry,68,"3' 1""",254.25,82,173
25,T21,T21,Charley Hoffman,91,"3' 1""",382.75,124,111
26,T21,T21,John Huh,86,"3' 1""",428.167,140,25
27,T21,T21,Hideki Matsuyama,76,"3' 1""",266.5,87,46
28,T21,T21,Bryce Molder,80,"3' 1""",317.66700000000003,103,2
29,T21,T21,Ryan Moore,86,"3' 1""",381.417,123,61
30,T21,T21,Kevin Na,96,"3' 1""",383.667,123,89
31,T21,T21,Scott Piercy,87,"3' 1""",352.417,114,117
32,T21,T21,Steve Stricker,53,"3' 1""",216.333,70,1
33,T21,T21,Camilo Villegas,83,"3' 1""",355.417,115,73
34,T35,T35,Tyler Aldridge,83,"3' 2""",288.66700000000003,92,105
35,T35,T35,Jason Day,76,"3' 2""",248.833,78,26
36,T35,T35,Harris English,97,"3' 2""",368.417,116,63
37,T35,T35,Rhein Gibson,58,"3' 2""",193.917,62,160
38,T35,T35,Luke Guthrie,57,"3' 2""",263.0,82,50
39,T35,T35,Matt Jones,83,"3' 2""",318.33299999999997,101,140
40,T35,T35,Peter Malnati,85,"3' 2""",397.667,125,87
41,T42,T42,Chad Collins,73,"3' 3""",342.25,104,51
