,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
0,1,1,Colt Knost,90,73.39,717,977,-0.1
1,2,2,Thomas Aiken,70,71.36,476,667,-0.13
2,3,3,Brian Stuard,66,70.6,593,840,-0.1
3,4,4,Jerry Kelly,76,70.23,585,833,-0.12
4,5,5,Zac Blair,99,70.15,792,1129,-0.07
5,6,6,Jim Furyk,52,69.59,428,615,-0.16
6,7,7,Roberto Castro,97,69.27,852,1230,-0.18
7,8,8,John Huh,86,68.66,745,1085,-0.11
8,9,9,David Toms,62,67.9,512,754,-0.11
9,10,10,David Lingmerth,84,67.78,570,841,-0.14
10,11,11,Russell Knox,92,67.77,616,909,-0.17
11,12,12,Dicky Pride,55,67.72,386,570,-0.08
12,13,13,Boo Weekley,83,67.47,668,990,-0.13
13,14,14,Chez Reavie,90,67.42,714,1059,-0.15
14,T15,T15,Andrew Landry,53,67.1,310,462,-0.15
15,T15,T15,Spencer Levin,104,67.1,769,1146,-0.17
16,17,17,Graeme McDowell,63,66.98,422,630,-0.13
17,18,18,Jason Bohn,67,66.95,551,823,-0.14
18,19,19,Ryan Moore,86,66.34,601,906,-0.2
19,20,20,Mark Wilson,66,66.19,505,763,-0.07
20,21,21,David Hearn,95,66.14,754,1140,-0.18
21,22,22,Abraham Ancer,51,66.1,351,531,-0.1
22,23,23,Zach Johnson,90,66.05,675,1022,-0.19
23,24,24,Alex Cejka,71,65.97,471,714,-0.21
24,25,25,Emiliano Grillo,93,65.82,674,1024,-0.22
25,T26,T26,Rod Pampling,54,65.7,339,516,-0.09
26,T26,T26,Kyle Reifers,115,65.7,879,1338,-0.18
27,28,28,William McGirt,98,65.66,805,1226,-0.18
28,29,29,Billy Hurley III,66,65.57,539,822,-0.16
29,30,30,Chad Campbell,90,65.42,719,1099,-0.14
30,31,31,K.J. Choi,73,65.39,599,916,-0.17
31,32,32,Danny Lee,93,65.37,638,976,-0.18
32,33,33,Matt Kuchar,100,64.95,695,1070,-0.23
33,34,34,Kyle Stanley,92,64.61,701,1085,-0.16
34,35,35,Kevin Kisner,97,64.45,658,1021,-0.21
35,T36,T36,Lucas Glover,75,64.27,599,932,-0.19
36,T36,T36,Kevin Na,96,64.27,617,960,-0.18
37,38,38,Jon Curran,99,64.16,752,1172,-0.14
38,T39,T39,Adam Hadwin,93,64.11,777,1212,-0.2
39,T39,T39,Kevin Streelman,82,64.11,561,875,-0.12
40,41,41,Jim Herman,93,64.07,626,977,-0.14
41,42,42,Mark Hubbard,101,64.06,738,1152,-0.13
42,43,43,Paul Casey,77,63.9,508,795,-0.21
43,44,44,Ben Crane,80,63.72,576,904,-0.1
44,45,45,Scott Brown,88,63.71,611,959,-0.13
45,46,46,Keegan Bradley,82,63.66,557,875,-0.17
46,47,47,Sergio Garcia,54,63.49,273,430,-0.17
47,48,48,Scott Langley,65,63.33,468,739,-0.08
48,49,49,Francesco Molinari,64,63.26,501,792,-0.15
49,50,50,Jason Gore,78,63.16,516,817,-0.13
50,51,51,Russell Henley,76,62.88,603,959,-0.19
51,52,52,Chris Kirk,90,62.79,648,1032,-0.16
52,T53,T53,Blayne Barber,84,62.68,645,1029,-0.17
53,T53,T53,Brian Harman,104,62.68,796,1270,-0.14
54,55,55,Henrik Norlander,71,62.66,453,723,-0.17
55,56,56,Si Woo Kim,113,62.36,850,1363,-0.22
56,T57,T57,Stuart Appleby,71,62.34,571,916,-0.17
57,T57,T57,Scott Pinckney,87,62.34,614,985,-0.13
58,59,59,Billy Horschel,73,62.31,486,780,-0.2
59,60,60,Whee Kim,82,62.26,561,901,-0.08
60,T61,T61,Ken Duke,58,62.22,415,667,-0.06
61,T61,T61,Steve Stricker,53,62.22,387,622,-0.19
62,63,63,Kelly Kraft,63,62.03,379,611,-0.21
63,64,64,Webb Simpson,70,61.93,501,809,-0.21
64,65,65,Bill Haas,86,61.92,548,885,-0.15
65,66,66,Ben Martin,92,61.81,691,1118,-0.21
66,67,67,Steve Wheatcroft,85,61.73,600,972,-0.13
67,68,68,Rory Sabbatini,57,61.6,332,539,-0.04
68,69,69,Vaughn Taylor,72,61.4,571,930,-0.12
69,70,70,Hideki Matsuyama,76,61.31,496,809,-0.19
70,71,71,Fabián Gómez,82,61.27,628,1025,-0.15
71,72,72,Padraig Harrington,54,61.18,372,608,-0.15
72,73,73,Jason Dufner,105,61.17,671,1097,-0.17
73,74,74,Hudson Swafford,104,61.13,769,1258,-0.19
74,75,75,D.H. Lee,61,61.12,393,643,-0.09
75,76,76,Louis Oosthuizen,63,61.0,355,582,-0.16
76,77,77,Rory McIlroy,69,60.93,407,668,-0.25
77,78,78,Bryce Molder,80,60.9,567,931,-0.19
78,79,79,Shane Lowry,57,60.88,305,501,-0.13
79,80,80,James Hahn,85,60.86,583,958,-0.13
80,81,81,Peter Malnati,85,60.81,630,1036,-0.12
81,82,82,Geoff Ogilvy,63,60.75,421,693,-0.13
82,83,83,Johnson Wagner,86,60.74,642,1057,-0.19
83,84,84,D.A. Points,55,60.71,326,537,-0.13
84,85,85,Michael Thompson,71,60.43,446,738,-0.2
85,86,86,Derek Ernst,59,60.37,361,598,-0.17
86,87,87,Brendan Steele,88,60.34,572,948,-0.2
87,88,88,George McNeill,51,60.16,382,635,-0.09
88,89,89,Tim Wilkinson,72,60.14,418,695,-0.2
89,90,90,Brett Stegmaier,87,60.06,621,1034,-0.18
90,91,91,Graham DeLaet,70,60.02,482,803,-0.16
91,92,92,John Senden,88,59.94,651,1086,-0.16
92,93,93,Chris Stroud,82,59.92,571,953,-0.17
93,94,94,Kevin Chappell,93,59.91,650,1085,-0.18
94,95,95,Sean O'Hair,89,59.83,694,1160,-0.18
95,96,96,Brendon de Jonge,83,59.82,539,901,-0.15
96,97,97,Scott Piercy,87,59.8,534,893,-0.21
97,98,98,Wes Roach,59,59.67,358,600,-0.18
98,99,99,J.J. Henry,68,59.62,502,842,-0.14
99,100,100,Michael Kim,100,59.49,702,1180,-0.13
100,101,101,Rickie Fowler,80,59.44,532,895,-0.27
101,102,102,Steve Marino,72,59.42,454,764,-0.16
102,103,103,Marc Leishman,89,59.25,535,903,-0.19
103,104,104,Harold Varner III,92,59.23,648,1094,-0.17
104,105,105,Jeff Overton,69,59.03,474,803,-0.15
105,106,106,Will MacKenzie,84,59.02,540,915,-0.13
106,107,107,Cameron Tringale,81,58.97,572,970,-0.16
107,108,108,Troy Merritt,77,58.91,532,903,-0.17
108,109,109,Freddie Jacobson,86,58.9,579,983,-0.15
109,T110,T110,Greg Owen,85,58.83,553,940,-0.12
110,T110,T110,Sam Saunders,69,58.83,413,702,-0.16
111,T110,T110,Shawn Stefani,91,58.83,626,1064,-0.14
112,113,113,Sung Kang,89,58.73,592,1008,-0.18
113,114,114,Brandt Snedeker,93,58.65,607,1035,-0.21
114,115,115,Martin Piller,59,58.62,374,638,-0.12
115,116,116,Cameron Smith,73,58.58,372,635,-0.13
116,117,117,Ángel Cabrera,62,58.45,391,669,-0.1
117,T118,T118,Jonas Blixt,79,58.4,539,923,-0.18
118,T118,T118,Morgan Hoffmann,71,58.4,476,815,-0.19
119,120,120,Hiroshi Iwata,85,58.32,533,914,-0.1
120,121,121,Justin Rose,65,58.3,397,681,-0.2
121,122,122,Jamie Lovemark,91,58.29,661,1134,-0.23
122,123,123,Jordan Spieth,80,58.2,472,811,-0.26
123,124,124,Willy Wilcox,67,58.15,460,791,-0.21
124,125,125,Scott Stallings,74,57.94,496,856,-0.17
125,126,126,Brooks Koepka,75,57.84,483,835,-0.24
126,127,127,Ryan Palmer,86,57.79,623,1078,-0.19
127,T128,T128,Retief Goosen,55,57.69,379,657,-0.21
128,T128,T128,Jason Kokrak,89,57.69,589,1021,-0.19
129,130,130,Nick Taylor,83,57.63,529,918,-0.22
130,131,131,Robert Streb,87,57.46,520,905,-0.13
131,132,132,Patrick Rodgers,89,57.38,564,983,-0.22
132,133,133,Dustin Johnson,87,57.36,495,863,-0.31
133,134,134,Luke Donald,81,57.32,466,813,-0.14
134,135,135,Daniel Summerhays,99,57.23,629,1099,-0.18
135,136,136,Jhonattan Vegas,97,57.21,635,1110,-0.22
136,137,137,Aaron Baddeley,93,57.13,577,1010,-0.21
137,138,138,Gary Woodland,95,57.08,605,1060,-0.22
138,139,139,Matt Jones,83,57.04,490,859,-0.14
139,140,140,Tyler Aldridge,83,56.77,528,930,-0.14
140,T141,T141,Bronson Burgoon,83,56.42,501,888,-0.14
141,T141,T141,Patton Kizzire,93,56.42,576,1021,-0.18
142,143,143,Vijay Singh,72,56.4,507,899,-0.14
143,144,144,Dawie van der Walt,72,56.37,438,777,-0.15
144,145,145,Chad Collins,73,56.31,500,888,-0.1
145,146,146,Chesson Hadley,81,56.19,513,913,-0.17
146,147,147,Brendon Todd,66,56.13,421,750,-0.11
147,148,148,Charl Schwartzel,73,56.12,431,768,-0.21
148,149,149,Martin Laird,82,56.08,544,970,-0.21
149,150,150,Andres Gonzales,80,56.02,493,880,-0.2
150,T151,T151,Daniel Berger,92,55.9,559,1000,-0.23
151,T151,T151,Adam Scott,79,55.9,436,780,-0.29
152,153,153,Robert Allenby,51,55.65,315,566,-0.1
153,154,154,Hunter Mahan,61,55.6,377,678,-0.15
154,155,155,Rob Oppenheim,67,55.41,379,684,-0.13
155,156,156,Stewart Cink,61,55.38,376,679,-0.18
156,157,157,Ricky Barnes,97,55.17,608,1102,-0.21
157,158,158,Charley Hoffman,91,54.99,534,971,-0.2
158,159,159,Robert Garrigus,69,54.75,409,747,-0.22
159,160,160,Erik Compton,65,54.7,378,691,-0.15
160,161,161,Patrick Reed,105,54.63,590,1080,-0.24
161,162,162,Luke Guthrie,57,54.55,336,616,-0.17
162,163,163,Justin Thomas,99,54.36,561,1032,-0.2
163,164,164,Anirban Lahiri,72,54.35,362,666,-0.2
164,165,165,Branden Grace,63,54.22,315,581,-0.16
165,T166,T166,Harris English,97,54.02,537,994,-0.21
166,T166,T166,Tom Hoge,81,54.02,470,870,-0.17
167,168,168,Tyrone Van Aswegen,105,53.88,645,1197,-0.17
168,169,169,Phil Mickelson,75,53.83,436,810,-0.21
169,170,170,Ernie Els,66,53.45,411,769,-0.18
170,171,171,Carlos Ortiz,79,53.42,437,818,-0.14
171,172,172,Smylie Kaufman,91,52.71,516,979,-0.25
172,173,173,Bubba Watson,72,52.32,372,711,-0.23
173,174,174,J.B. Holmes,77,52.18,430,824,-0.25
174,175,175,Charles Howell III,91,51.81,557,1075,-0.23
175,176,176,Rhein Gibson,58,51.65,313,606,-0.17
176,177,177,Camilo Villegas,83,51.64,505,978,-0.18
177,178,178,Tony Finau,95,51.42,544,1058,-0.22
178,179,179,Derek Fathauer,94,51.31,530,1033,-0.18
179,180,180,Luke List,79,50.51,447,885,-0.17
180,181,181,Seung-Yul Noh,85,50.26,475,945,-0.19
181,182,182,Jason Day,76,50.13,377,752,-0.31
182,183,183,Jimmy Walker,85,47.82,461,964,-0.3
183,184,184,Andrew Loupe,75,46.42,415,894,-0.26
184,185,185,Steven Bowditch,71,43.24,320,740,-0.14
