,Last_15_Events_-_Accuracy_RANK THIS WEEK,Last_15_Events_-_Accuracy_RANK LAST WEEK,Last_15_Events_-_Accuracy_PLAYER NAME,Last_15_Events_-_Accuracy_EVENTS,Last_15_Events_-_Accuracy_RATING
0,1,1,Nick Mason,1,8.5
1,2,2,Aaron Wise,1,8.3
2,3,3,Ben Taylor,1,8.2
3,4,4,Joe Affrunti,1,8.1
4,T5,T5,Jerry Kelly,7,8.0
5,T5,T5,Omar Uresti,1,8.0
6,T7,T7,Graham DeLaet,7,7.9
7,T7,T7,Richard Lee,1,7.9
8,T7,T7,Adam Scott,11,7.9
9,T10,T10,David Hearn,11,7.8
10,T10,T10,Justin Hicks,5,7.8
11,T12,T12,Ryan Armour,1,7.7
12,T12,T12,Grégory Bourdy,1,7.7
13,T12,T12,Austin Connelly,1,7.7
14,T12,T12,Jason Dufner,12,7.7
15,T12,T12,Wes Homan,1,7.7
16,T12,T12,Colt Knost,9,7.7
17,T12,T12,Russell Knox,11,7.7
18,T12,T12,Henrik Stenson,6,7.7
19,T12,T12,Marc Turnesa,2,7.7
20,T12,T12,Boo Weekley,9,7.7
21,T22,T22,Paul Casey,9,7.6
22,T22,T22,Robert Garrigus,9,7.6
23,T22,T22,Lucas Glover,9,7.6
24,T22,T22,Ryo Ishikawa,3,7.6
25,T22,T22,Dustin Johnson,11,7.6
26,T22,T22,Michael Johnson,1,7.6
27,T22,T22,Ben Martin,7,7.6
28,T22,T22,Hideki Matsuyama,9,7.6
29,T22,T22,Chez Reavie,7,7.6
30,T31,T31,Thomas Aiken,6,7.5
31,T31,T31,Tim Clark,4,7.5
32,T31,T31,Kent Jones,1,7.5
33,T31,T31,Rory McIlroy,9,7.5
34,T31,T31,John Peterson,2,7.5
35,T31,T31,Michael Thompson,4,7.5
36,T31,T31,D.J. Trahan,2,7.5
37,T38,T38,Tyler Aldridge,6,7.4
38,T38,T38,K.J. Choi,9,7.4
39,T38,T38,Victor Dubuisson,1,7.4
40,T38,T38,Jim Furyk,10,7.4
41,T38,T38,Tyrrell Hatton,2,7.4
42,T38,T38,David Lingmerth,8,7.4
43,T38,T38,John Merrick,4,7.4
44,T38,T38,Ryan Moore,9,7.4
45,T38,T38,Pat Perez,4,7.4
46,T47,T47,Blayne Barber,9,7.3
47,T47,T47,Wesley Bryan,3,7.3
48,T47,T47,Roberto Castro,13,7.3
49,T47,T47,Andres Gonzales,7,7.3
50,T47,T47,Emiliano Grillo,10,7.3
51,T47,T47,James Hahn,8,7.3
52,T47,T47,Russell Henley,9,7.3
53,T47,T47,J.J. Henry,3,7.3
