,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,T1,T1,Matt Jones,83,"1' 11""",681,1281.333
1,T1,T1,Rod Pampling,54,"1' 11""",401,753.25
2,T3,T3,Ricky Barnes,97,"2' 0""",830,1668.25
3,T3,T3,Lucas Glover,75,"2' 0""",761,1542.75
4,T3,T3,Steve Stricker,53,"2' 0""",454,892.1669999999999
5,T3,T3,Bubba Watson,72,"2' 0""",579,1137.167
6,T3,T3,Tim Wilkinson,72,"2' 0""",510,1034.25
7,T8,T8,Jason Bohn,67,"2' 1""",634,1311.6670000000001
8,T8,T8,Alex Cejka,71,"2' 1""",545,1121.5
9,T8,T8,K.J. Choi,73,"2' 1""",686,1420.3329999999999
10,T8,T8,Ken Duke,58,"2' 1""",500,1041.083
11,T8,T8,William McGirt,98,"2' 1""",946,1984.6670000000001
12,T13,T13,Abraham Ancer,51,"2' 2""",419,902.3330000000001
13,T13,T13,Daniel Berger,92,"2' 2""",784,1703.6670000000001
14,T13,T13,Scott Brown,88,"2' 2""",744,1592.6670000000001
15,T13,T13,Chad Campbell,90,"2' 2""",871,1853.3329999999999
16,T13,T13,Paul Casey,77,"2' 2""",628,1365.6670000000001
17,T13,T13,Kevin Chappell,93,"2' 2""",847,1843.0829999999999
18,T13,T13,Stewart Cink,61,"2' 2""",580,1275.583
19,T13,T13,Luke Donald,81,"2' 2""",631,1356.4170000000001
20,T13,T13,Sergio Garcia,54,"2' 2""",350,772.0830000000001
21,T13,T13,Bill Haas,86,"2' 2""",722,1559.8329999999999
22,T13,T13,J.J. Henry,68,"2' 2""",723,1538.1670000000001
23,T13,T13,Charles Howell III,91,"2' 2""",851,1854.5
24,T13,T13,Billy Hurley III,66,"2' 2""",592,1298.917
25,T13,T13,Zach Johnson,90,"2' 2""",751,1600.75
26,T13,T13,Smylie Kaufman,91,"2' 2""",765,1652.4170000000001
27,T13,T13,Matt Kuchar,100,"2' 2""",805,1752.0829999999999
28,T13,T13,Marc Leishman,89,"2' 2""",690,1517.0
29,T13,T13,Spencer Levin,104,"2' 2""",890,1891.5829999999999
30,T13,T13,Shane Lowry,57,"2' 2""",389,846.6669999999999
31,T13,T13,Bryce Molder,80,"2' 2""",657,1407.0
32,T13,T13,Francesco Molinari,64,"2' 2""",619,1357.8329999999999
33,T13,T13,Ryan Moore,86,"2' 2""",670,1463.0829999999999
34,T13,T13,Seung-Yul Noh,85,"2' 2""",730,1573.8329999999999
35,T13,T13,Geoff Ogilvy,63,"2' 2""",550,1184.333
36,T13,T13,Dicky Pride,55,"2' 2""",414,906.4169999999999
37,T13,T13,Patrick Reed,105,"2' 2""",788,1734.75
38,T13,T13,Justin Rose,65,"2' 2""",528,1161.333
39,T13,T13,Charl Schwartzel,73,"2' 2""",591,1270.0
40,T13,T13,Adam Scott,79,"2' 2""",612,1313.9170000000001
41,T13,T13,Vijay Singh,72,"2' 2""",688,1503.1670000000001
42,T13,T13,Brett Stegmaier,87,"2' 2""",837,1796.5
43,T13,T13,Robert Streb,87,"2' 2""",745,1638.9170000000001
44,T13,T13,Kevin Streelman,82,"2' 2""",716,1561.6670000000001
45,T13,T13,Daniel Summerhays,99,"2' 2""",818,1788.0
46,T13,T13,Vaughn Taylor,72,"2' 2""",727,1598.0
47,T13,T13,Michael Thompson,71,"2' 2""",585,1253.75
48,T13,T13,David Toms,62,"2' 2""",577,1260.833
49,T13,T13,Tyrone Van Aswegen,105,"2' 2""",925,2037.0829999999999
50,T51,T51,Tyler Aldridge,83,"2' 3""",741,1693.0829999999999
51,T51,T51,Robert Allenby,51,"2' 3""",478,1080.167
52,T51,T51,Stuart Appleby,71,"2' 3""",654,1482.6670000000001
53,T51,T51,Aaron Baddeley,93,"2' 3""",737,1685.5
54,T51,T51,Keegan Bradley,82,"2' 3""",720,1644.0
55,T51,T51,Chad Collins,73,"2' 3""",672,1508.0829999999999
56,T51,T51,Ben Crane,80,"2' 3""",682,1515.9170000000001
57,T51,T51,Jon Curran,99,"2' 3""",852,1949.5
58,T51,T51,Brendon de Jonge,83,"2' 3""",722,1599.0829999999999
59,T51,T51,Jason Dufner,105,"2' 3""",886,1967.9170000000001
60,T51,T51,Tony Finau,95,"2' 3""",847,1889.9170000000001
61,T51,T51,Rickie Fowler,80,"2' 3""",706,1569.0
62,T51,T51,Jim Furyk,52,"2' 3""",506,1142.5
63,T51,T51,Robert Garrigus,69,"2' 3""",589,1335.75
64,T51,T51,Retief Goosen,55,"2' 3""",489,1087.583
65,T51,T51,Branden Grace,63,"2' 3""",453,1015.25
66,T51,T51,Brian Harman,104,"2' 3""",932,2059.667
67,T51,T51,Jim Herman,93,"2' 3""",771,1708.0
68,T51,T51,Charley Hoffman,91,"2' 3""",737,1667.6670000000001
69,T51,T51,Billy Horschel,73,"2' 3""",612,1382.0
70,T51,T51,Mark Hubbard,101,"2' 3""",872,1975.25
71,T51,T51,Hiroshi Iwata,85,"2' 3""",674,1500.4170000000001
72,T51,T51,Dustin Johnson,87,"2' 3""",617,1392.75
73,T51,T51,Jerry Kelly,76,"2' 3""",666,1471.6670000000001
74,T51,T51,Si Woo Kim,113,"2' 3""",1025,2340.25
75,T51,T51,Kevin Kisner,97,"2' 3""",765,1728.6670000000001
76,T51,T51,Colt Knost,90,"2' 3""",738,1681.3329999999999
77,T51,T51,Russell Knox,92,"2' 3""",707,1606.0829999999999
78,T51,T51,Jason Kokrak,89,"2' 3""",842,1891.75
79,T51,T51,Anirban Lahiri,72,"2' 3""",505,1148.917
80,T51,T51,Andrew Landry,53,"2' 3""",339,760.6669999999999
81,T51,T51,Luke List,79,"2' 3""",676,1527.4170000000001
82,T51,T51,Will MacKenzie,84,"2' 3""",733,1628.0829999999999
83,T51,T51,Peter Malnati,85,"2' 3""",755,1722.1670000000001
84,T51,T51,Kevin Na,96,"2' 3""",738,1662.25
85,T51,T51,Henrik Norlander,71,"2' 3""",569,1276.917
86,T51,T51,Carlos Ortiz,79,"2' 3""",663,1499.5
87,T51,T51,Greg Owen,85,"2' 3""",791,1803.0829999999999
88,T51,T51,Scott Piercy,87,"2' 3""",709,1596.5
89,T51,T51,D.A. Points,55,"2' 3""",421,964.25
90,T51,T51,Chez Reavie,90,"2' 3""",812,1822.5
91,T51,T51,Kyle Reifers,115,"2' 3""",1066,2389.5
92,T51,T51,John Senden,88,"2' 3""",873,1987.25
93,T51,T51,Jordan Spieth,80,"2' 3""",562,1241.417
94,T51,T51,Kyle Stanley,92,"2' 3""",859,1900.0829999999999
95,T51,T51,Shawn Stefani,91,"2' 3""",861,1921.1670000000001
96,T51,T51,Chris Stroud,82,"2' 3""",745,1663.0
97,T51,T51,Brian Stuard,66,"2' 3""",626,1429.8329999999999
98,T51,T51,Nick Taylor,83,"2' 3""",714,1617.75
99,T51,T51,Justin Thomas,99,"2' 3""",825,1843.25
100,T51,T51,Dawie van der Walt,72,"2' 3""",638,1426.0
101,T51,T51,Jhonattan Vegas,97,"2' 3""",887,1969.0
102,T51,T51,Johnson Wagner,86,"2' 3""",836,1849.6670000000001
103,T51,T51,Jimmy Walker,85,"2' 3""",717,1589.0
104,T51,T51,Boo Weekley,83,"2' 3""",780,1764.9170000000001
105,T51,T51,Mark Wilson,66,"2' 3""",609,1395.5
106,T107,T107,Blayne Barber,84,"2' 4""",816,1893.9170000000001
107,T107,T107,Jonas Blixt,79,"2' 4""",663,1562.9170000000001
108,T107,T107,Steven Bowditch,71,"2' 4""",555,1281.917
109,T107,T107,Ángel Cabrera,62,"2' 4""",527,1225.0
110,T107,T107,Roberto Castro,97,"2' 4""",979,2276.417
111,T107,T107,Jason Day,76,"2' 4""",523,1238.167
112,T107,T107,Graham DeLaet,70,"2' 4""",643,1497.0
113,T107,T107,Ernie Els,66,"2' 4""",574,1316.75
114,T107,T107,Luke Guthrie,57,"2' 4""",457,1048.917
115,T107,T107,Chesson Hadley,81,"2' 4""",712,1646.6670000000001
116,T107,T107,James Hahn,85,"2' 4""",769,1769.75
117,T107,T107,Padraig Harrington,54,"2' 4""",462,1063.0
118,T107,T107,David Hearn,95,"2' 4""",892,2090.667
119,T107,T107,Russell Henley,76,"2' 4""",758,1766.4170000000001
120,T107,T107,Tom Hoge,81,"2' 4""",647,1508.3329999999999
121,T107,T107,John Huh,86,"2' 4""",849,2009.75
122,T107,T107,Whee Kim,82,"2' 4""",717,1672.5829999999999
123,T107,T107,Chris Kirk,90,"2' 4""",756,1748.3329999999999
124,T107,T107,Scott Langley,65,"2' 4""",573,1336.1670000000001
125,T107,T107,Danny Lee,93,"2' 4""",748,1757.75
126,T107,T107,David Lingmerth,84,"2' 4""",627,1442.8329999999999
