,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Graeme McDowell,63,"48' 7""",48.583,1,49,49
1,2,2,Chad Collins,73,"41' 9""",83.417,2,46,38
2,3,3,Martin Piller,59,"40' 2""",80.333,2,70,11
3,4,4,Retief Goosen,55,"39' 1""",39.083,1,39,39
4,5,5,Luke Donald,81,"38' 7""",38.583,1,39,39
5,6,6,Mark Wilson,66,"36' 1""",72.167,2,36,36
6,7,7,Jim Furyk,52,"34' 7""",69.083,2,62,7
7,8,8,Dicky Pride,55,"34' 3""",34.25,1,34,34
8,9,9,Jim Herman,93,"34' 1""",34.083,1,34,34
9,10,10,Ángel Cabrera,62,"33' 11""",67.833,2,61,7
10,11,11,Steve Marino,72,"33' 1""",66.083,2,55,11
11,12,12,Zach Johnson,90,"31' 4""",94.0,3,68,4
12,13,13,Andrew Loupe,75,"31' 1""",93.25,3,43,14
13,14,14,Wes Roach,59,"31' 0""",93.083,3,56,11
14,15,15,Sergio Garcia,54,"30' 9""",61.5,2,58,3
15,16,16,Lucas Glover,75,"30' 6""",91.583,3,53,15
16,17,17,Webb Simpson,70,"29' 2""",87.583,3,55,6
17,18,18,Brendon de Jonge,83,"27' 5""",82.25,3,37,17
18,19,19,Robert Garrigus,69,"27' 4""",81.917,3,40,11
19,20,20,Steve Wheatcroft,85,"27' 2""",108.667,4,54,6
20,21,21,James Hahn,85,"27' 0""",53.917,2,51,3
21,22,22,David Hearn,95,"26' 9""",160.333,6,57,9
22,23,23,Kevin Kisner,97,"26' 8""",106.5,4,46,12
23,T24,T24,Sam Saunders,69,"25' 1""",125.25,5,56,6
24,T24,T24,Johnson Wagner,86,"25' 1""",100.417,4,53,12
25,26,26,Rickie Fowler,80,"24' 8""",123.5,5,79,5
26,T27,T27,Camilo Villegas,83,"24' 6""",147.083,6,65,7
27,T27,T27,Bubba Watson,72,"24' 6""",97.917,4,61,7
28,29,29,Jason Dufner,105,"24' 2""",121.0,5,45,4
29,30,30,Bryce Molder,80,"23' 8""",47.333,2,26,21
30,31,31,Padraig Harrington,54,"22' 8""",22.666999999999998,1,23,23
31,T32,T32,Scott Brown,88,"21' 5""",64.333,3,26,14
