,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
0,1,1,Jason Day,76,102.69,707,38,688
1,2,2,Jordan Spieth,80,102.37,802,40,781
2,3,3,Harris English,97,102.0,1002,39,983
3,4,4,Daniel Summerhays,99,101.74,1094,48,1065
4,T5,T5,Jim Furyk,52,101.43,631,18,622
5,T5,T5,Michael Kim,100,101.43,1189,46,1160
6,7,7,Luke Guthrie,57,101.41,639,27,621
7,8,8,Brendon Todd,66,101.35,740,25,725
8,9,9,Colt Knost,90,101.31,995,36,972
9,10,10,Ernie Els,66,101.28,780,29,761
10,11,11,Kevin Kisner,97,101.2,1001,36,977
11,12,12,Johnson Wagner,86,101.19,1088,47,1054
12,13,13,Peter Malnati,85,101.17,1024,33,1003
13,14,14,Charles Howell III,91,101.06,1130,48,1094
14,T15,T15,Marc Leishman,89,101.0,903,24,888
15,T15,T15,John Senden,88,101.0,1100,33,1078
16,17,17,Zach Johnson,90,100.98,1019,41,988
17,18,18,Retief Goosen,55,100.88,680,22,664
18,19,19,Martin Piller,59,100.79,631,19,617
19,20,20,Daniel Berger,92,100.69,1011,29,989
20,21,21,Kevin Na,96,100.63,960,36,930
21,22,22,Phil Mickelson,75,100.62,806,24,787
22,23,23,Sean O'Hair,89,100.6,1174,34,1147
23,24,24,David Lingmerth,84,100.59,846,25,826
24,T25,T25,Troy Merritt,77,100.56,894,20,879
25,T25,T25,Tim Wilkinson,72,100.56,710,24,690
26,27,27,Andres Gonzales,80,100.55,912,30,887
27,28,28,Jonas Blixt,79,100.54,926,30,901
28,29,29,Freddie Jacobson,86,100.51,983,36,952
29,T30,T30,Brian Harman,104,100.48,1262,33,1235
30,T30,T30,Patton Kizzire,93,100.48,1040,37,1008
31,32,32,Ben Martin,92,100.45,1120,46,1079
32,33,33,Russell Henley,76,100.42,961,37,928
33,T34,T34,Brett Stegmaier,87,100.37,1087,38,1053
