,GIR_Putting_-_Inside_5_RANK THIS WEEK,GIR_Putting_-_Inside_5_RANK LAST WEEK,GIR_Putting_-_Inside_5_PLAYER NAME,GIR_Putting_-_Inside_5_ROUNDS,GIR_Putting_-_Inside_5_%,GIR_Putting_-_Inside_5_ATTEMPTS,GIR_Putting_-_Inside_5_PUTTS MADE
0,1,1,Derek Ernst,59,100.0,17,17
1,2,2,Jon Curran,99,96.55,58,56
2,3,3,Marc Leishman,89,96.43,28,27
3,4,4,Kyle Stanley,92,95.83,48,46
4,5,5,Harris English,97,94.74,38,36
5,6,6,Billy Hurley III,66,94.12,34,32
6,7,7,Phil Mickelson,75,93.48,46,43
7,8,8,Dawie van der Walt,72,93.33,30,28
8,9,9,Troy Merritt,77,93.1,29,27
9,10,10,Jonas Blixt,79,92.31,52,48
10,11,11,Daniel Summerhays,99,92.11,38,35
11,12,12,Jhonattan Vegas,97,91.43,35,32
12,T13,T13,Retief Goosen,55,91.3,23,21
13,T13,T13,Brian Harman,104,91.3,46,42
14,T13,T13,Brendon Todd,66,91.3,23,21
15,T16,T16,Graham DeLaet,70,91.18,34,31
16,T16,T16,Jordan Spieth,80,91.18,34,31
17,18,18,Ben Crane,80,90.91,22,20
18,19,19,Colt Knost,90,90.7,43,39
19,20,20,Lucas Glover,75,90.48,42,38
20,21,21,Sean O'Hair,89,90.2,51,46
21,T22,T22,Danny Lee,93,90.0,30,27
22,T22,T22,Andrew Loupe,75,90.0,30,27
23,T22,T22,Will MacKenzie,84,90.0,40,36
24,T22,T22,Hunter Mahan,61,90.0,30,27
25,T22,T22,Hudson Swafford,104,90.0,50,45
26,27,27,Aaron Baddeley,93,89.74,39,35
27,28,28,Andres Gonzales,80,89.66,29,26
28,29,29,Jason Bohn,67,89.47,38,34
29,30,30,Charles Howell III,91,89.36,47,42
30,31,31,Kelly Kraft,63,89.19,37,33
31,32,32,Martin Piller,59,88.89,27,24
32,T33,T33,Dustin Johnson,87,88.68,53,47
33,T33,T33,Michael Kim,100,88.68,53,47
34,T35,T35,David Lingmerth,84,88.46,26,23
35,T35,T35,Graeme McDowell,63,88.46,26,23
36,T37,T37,Ricky Barnes,97,88.24,51,45
37,T37,T37,Henrik Norlander,71,88.24,17,15
38,T37,T37,Steve Stricker,53,88.24,17,15
39,40,40,John Senden,88,88.1,42,37
40,T41,T41,Scott Langley,65,88.0,25,22
41,T41,T41,David Toms,62,88.0,25,22
42,43,43,Bubba Watson,72,87.88,33,29
43,44,44,Emiliano Grillo,93,87.8,41,36
44,T45,T45,Daniel Berger,92,87.5,48,42
45,T45,T45,Rickie Fowler,80,87.5,48,42
46,T45,T45,Chesson Hadley,81,87.5,40,35
47,T45,T45,Francesco Molinari,64,87.5,32,28
48,49,49,Sung Kang,89,87.23,47,41
49,50,50,Whee Kim,82,87.1,31,27
50,T51,T51,Brendon de Jonge,83,86.96,23,20
51,T51,T51,Patrick Reed,105,86.96,46,40
52,53,53,Chris Kirk,90,86.89,61,53
53,54,54,Kevin Na,96,86.84,38,33
54,55,55,Martin Laird,82,86.67,45,39
55,56,56,Matt Kuchar,100,86.54,52,45
56,T57,T57,Ernie Els,66,86.36,22,19
57,T57,T57,Vijay Singh,72,86.36,44,38
58,T57,T57,Nick Taylor,83,86.36,44,38
59,T60,T60,Adam Hadwin,93,86.27,51,44
60,T60,T60,Gary Woodland,95,86.27,51,44
61,62,62,Morgan Hoffmann,71,86.21,29,25
62,T63,T63,Charley Hoffman,91,86.11,36,31
63,T63,T63,Kevin Streelman,82,86.11,36,31
64,65,65,Brandt Snedeker,93,86.05,43,37
65,66,66,Spencer Levin,104,86.0,50,43
66,T67,T67,Derek Fathauer,94,85.71,35,30
67,T67,T67,Cameron Smith,73,85.71,28,24
68,T67,T67,Michael Thompson,71,85.71,28,24
69,70,70,David Hearn,95,85.48,62,53
70,71,71,Keegan Bradley,82,85.42,48,41
71,72,72,Ryan Palmer,86,85.37,41,35
72,73,73,Stewart Cink,61,85.29,34,29
73,74,74,Padraig Harrington,54,85.19,27,23
74,T75,T75,Peter Malnati,85,85.0,40,34
