,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Brendon Todd,66,44.8,508,1134
1,2,2,Jordan Spieth,80,44.3,606,1368
2,3,3,Aaron Baddeley,93,43.88,703,1602
3,4,4,Jonas Blixt,79,43.86,600,1368
4,5,5,Stuart Appleby,71,43.8,544,1242
5,6,6,Jason Day,76,43.64,542,1242
6,7,7,Phil Mickelson,75,43.52,564,1296
7,8,8,Steve Stricker,53,43.5,415,954
8,9,9,Luke Guthrie,57,42.93,425,990
9,10,10,Bryce Molder,80,42.74,600,1404
10,11,11,Jon Curran,99,42.54,758,1782
11,12,12,Peter Malnati,85,42.35,648,1530
12,13,13,Billy Hurley III,66,42.34,503,1188
13,14,14,Derek Fathauer,94,42.14,713,1692
14,15,15,Hiroshi Iwata,85,41.97,627,1494
15,16,16,Steve Wheatcroft,85,41.91,611,1458
16,17,17,Dustin Johnson,87,41.8,617,1476
17,18,18,Ben Crane,80,41.74,571,1368
18,19,19,Brian Harman,104,41.61,779,1872
19,20,20,Tim Wilkinson,72,41.58,509,1224
20,21,21,Freddie Jacobson,86,41.54,643,1548
21,22,22,Steven Bowditch,71,41.47,530,1278
22,23,23,Michael Kim,100,41.44,716,1728
23,24,24,Andrew Loupe,75,41.41,559,1350
24,25,25,Adam Hadwin,93,41.4,693,1674
25,26,26,Dicky Pride,55,41.3,394,954
26,27,27,Jimmy Walker,85,41.26,609,1476
27,28,28,Hideki Matsuyama,76,41.25,542,1314
28,29,29,Zach Johnson,90,41.21,638,1548
29,30,30,J.B. Holmes,77,41.07,547,1332
30,31,31,Anirban Lahiri,72,41.06,510,1242
31,32,32,Retief Goosen,55,41.01,406,990
32,33,33,Daniel Summerhays,99,40.97,730,1782
33,34,34,Chris Kirk,90,40.92,626,1530
34,35,35,Morgan Hoffmann,71,40.88,493,1206
35,36,36,Ricky Barnes,97,40.86,684,1674
36,37,37,Brandt Snedeker,93,40.7,652,1602
37,38,38,Kevin Kisner,97,40.66,688,1692
38,39,39,Zac Blair,99,40.64,695,1710
39,40,40,Troy Merritt,77,40.62,563,1386
40,41,41,Brooks Koepka,75,40.56,511,1260
41,42,42,Mark Hubbard,101,40.55,708,1746
42,43,43,Si Woo Kim,113,40.47,794,1962
43,44,44,Alex Cejka,71,40.46,488,1206
44,45,45,Sean O'Hair,89,40.45,648,1602
45,46,46,Colt Knost,90,40.44,626,1548
46,T47,T47,Patrick Reed,105,40.43,735,1818
47,T47,T47,Willy Wilcox,67,40.43,473,1170
48,49,49,Brian Stuard,66,40.4,480,1188
49,50,50,Erik Compton,65,40.39,458,1134
50,T51,T51,K.J. Choi,73,40.33,530,1314
51,T51,T51,Ken Duke,58,40.33,392,972
52,T51,T51,Luke List,79,40.33,559,1386
53,T51,T51,Seung-Yul Noh,85,40.33,588,1458
54,55,55,Wes Roach,59,40.3,399,990
55,T56,T56,Jamie Lovemark,91,40.23,659,1638
56,T56,T56,Camilo Villegas,83,40.23,572,1422
57,58,58,Ryan Moore,86,40.19,586,1458
58,59,59,Ernie Els,66,40.15,477,1188
59,60,60,Fabián Gómez,82,40.08,570,1422
60,61,61,Sung Kang,89,40.04,627,1566
61,62,62,Cameron Smith,73,40.02,497,1242
62,63,63,Harris English,97,39.92,697,1746
63,64,64,Tom Hoge,81,39.9,553,1386
64,65,65,Hunter Mahan,61,39.89,438,1098
65,66,66,Cameron Tringale,81,39.83,552,1386
66,67,67,Matt Kuchar,100,39.81,688,1728
67,68,68,Ryan Palmer,86,39.79,616,1548
68,69,69,Patton Kizzire,93,39.76,637,1602
69,70,70,Kevin Na,96,39.73,665,1674
70,71,71,Jason Bohn,67,39.72,479,1206
71,T72,T72,Padraig Harrington,54,39.71,386,972
72,T72,T72,Tyrone Van Aswegen,105,39.71,729,1836
73,74,74,Rory McIlroy,69,39.7,443,1116
74,75,75,Danny Lee,93,39.69,643,1620
75,76,76,Jeff Overton,69,39.66,464,1170
76,77,77,Rob Oppenheim,67,39.59,449,1134
77,78,78,Vijay Singh,72,39.51,512,1296
78,79,79,Chad Collins,73,39.35,517,1314
79,80,80,Nick Taylor,83,39.24,558,1422
80,81,81,Sam Saunders,69,39.23,459,1170
81,82,82,Chez Reavie,90,39.21,607,1548
82,83,83,D.H. Lee,61,39.18,402,1026
83,84,84,David Lingmerth,84,39.16,571,1458
84,85,85,Andrew Landry,53,39.12,345,882
85,86,86,Vaughn Taylor,72,39.04,506,1296
