,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Jason Day,20,100.0,4
1,T1,T1,Dustin Johnson,22,100.0,3
2,T1,T1,Hideki Matsuyama,23,100.0,3
3,T1,T1,Phil Mickelson,22,100.0,6
4,T1,T1,Scott Stallings,27,100.0,6
5,T1,T1,Michael Thompson,23,100.0,7
6,T1,T1,Brendon Todd,29,100.0,2
7,8,8,Kevin Na,26,88.9,8
8,9,9,Blayne Barber,27,87.5,7
9,T10,T10,Shane Lowry,17,85.7,6
10,T10,T10,Louis Oosthuizen,17,85.7,6
11,T10,T10,Justin Rose,18,85.7,6
12,T10,T10,Jimmy Walker,25,85.7,6
13,T14,T14,Steven Bowditch,26,83.3,5
14,T14,T14,Alex Cejka,22,83.3,5
15,T14,T14,Ben Crane,27,83.3,5
16,T14,T14,Luke Guthrie,19,83.3,5
17,T14,T14,Brooks Koepka,21,83.3,5
18,T14,T14,Kelly Kraft,20,83.3,5
19,T14,T14,Luke List,27,83.3,5
20,T14,T14,Wes Roach,21,83.3,5
21,22,22,Chris Stroud,27,81.8,9
22,T23,T23,Chad Campbell,28,80.0,8
23,T23,T23,Russell Henley,25,80.0,4
24,T23,T23,William McGirt,28,80.0,8
25,T23,T23,Bryce Molder,26,80.0,4
26,T27,T27,Charles Howell III,25,77.8,7
27,T27,T27,Si Woo Kim,34,77.8,7
28,T27,T27,Russell Knox,25,77.8,7
29,T27,T27,Brandt Snedeker,27,77.8,7
30,T27,T27,Willy Wilcox,23,77.8,7
31,T32,T32,Stewart Cink,19,75.0,6
32,T32,T32,Chad Collins,26,75.0,6
33,T32,T32,Jordan Spieth,21,75.0,3
34,T32,T32,Jhonattan Vegas,27,75.0,9
35,T32,T32,Tim Wilkinson,22,75.0,6
36,T37,T37,Fabián Gómez,26,72.7,8
37,T37,T37,David Lingmerth,24,72.7,8
38,T37,T37,Seung-Yul Noh,28,72.7,8
39,T37,T37,Scott Piercy,24,72.7,8
40,T37,T37,Chez Reavie,27,72.7,8
41,T37,T37,Kyle Stanley,28,72.7,8
42,T37,T37,Justin Thomas,28,72.7,8
43,T44,T44,Paul Casey,22,71.4,5
44,T44,T44,Branden Grace,18,71.4,5
45,T44,T44,Chris Kirk,28,71.4,5
46,T44,T44,Francesco Molinari,18,71.4,5
47,T44,T44,Patrick Rodgers,28,71.4,5
48,T44,T44,Johnson Wagner,26,71.4,5
49,T44,T44,Gary Woodland,26,71.4,5
50,T51,T51,Bronson Burgoon,27,70.0,7
51,T51,T51,Robert Garrigus,21,70.0,7
52,T51,T51,Matt Jones,27,70.0,7
53,T51,T51,Brian Stuard,20,70.0,7
54,55,55,Spencer Levin,32,69.2,9
55,T56,T56,K.J. Choi,22,66.7,6
56,T56,T56,Graham DeLaet,21,66.7,4
57,T56,T56,Lucas Glover,23,66.7,6
58,T56,T56,Adam Hadwin,27,66.7,10
59,T56,T56,Brian Harman,31,66.7,10
60,T56,T56,David Hearn,29,66.7,6
61,T56,T56,Charley Hoffman,26,66.7,8
62,T56,T56,J.B. Holmes,22,66.7,4
63,T56,T56,Mark Hubbard,30,66.7,10
64,T56,T56,Zach Johnson,24,66.7,8
65,T56,T56,Jason Kokrak,28,66.7,6
66,T56,T56,Jamie Lovemark,27,66.7,4
67,T56,T56,Will MacKenzie,26,66.7,6
68,T56,T56,Rory McIlroy,18,66.7,2
69,T56,T56,Rory Sabbatini,20,66.7,4
70,T56,T56,Kevin Streelman,26,66.7,4
71,T56,T56,Daniel Summerhays,28,66.7,6
72,T56,T56,Dawie van der Walt,25,66.7,6
73,T74,T74,Ryan Palmer,23,63.6,7
74,T74,T74,John Senden,28,63.6,7
75,T76,T76,Kevin Chappell,27,62.5,5
76,T76,T76,Erik Compton,24,62.5,5
77,T76,T76,Retief Goosen,16,62.5,5
78,T76,T76,Rod Pampling,18,62.5,5
79,T76,T76,Vaughn Taylor,24,62.5,5
80,T76,T76,Bubba Watson,19,62.5,5
81,T82,T82,Patton Kizzire,27,61.5,8
82,T82,T82,Hudson Swafford,30,61.5,8
83,T84,T84,Jason Dufner,28,60.0,9
