,First_Tee_Late_Lowest_Round_RANK THIS WEEK,First_Tee_Late_Lowest_Round_RANK LAST WEEK,First_Tee_Late_Lowest_Round_PLAYER NAME,First_Tee_Late_Lowest_Round_ROUNDS,First_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Lucas Glover,75,61
1,T1,T1,Smylie Kaufman,91,61
2,T1,T1,Justin Thomas,99,61
3,T4,T4,Daniel Berger,92,62
4,T4,T4,Graham DeLaet,70,62
5,T4,T4,Fabián Gómez,82,62
6,T4,T4,Morgan Hoffmann,71,62
7,T4,T4,Ben Martin,92,62
8,T9,T9,Dustin Johnson,87,63
9,T9,T9,Si Woo Kim,113,63
10,T9,T9,Kevin Kisner,97,63
11,T9,T9,Patton Kizzire,93,63
12,T9,T9,Colt Knost,90,63
13,T9,T9,Brooks Koepka,75,63
14,T9,T9,Phil Mickelson,75,63
15,T9,T9,Adam Scott,79,63
16,T9,T9,Brandt Snedeker,93,63
17,T9,T9,Henrik Stenson,46,63
18,T19,T19,Zac Blair,99,64
19,T19,T19,Rafael Campos,8,64
20,T19,T19,Miguel Angel Carballo,48,64
21,T19,T19,Paul Casey,77,64
22,T19,T19,Bud Cauley,47,64
23,T19,T19,Kevin Chappell,93,64
24,T19,T19,Luke Donald,81,64
25,T19,T19,Harris English,97,64
26,T19,T19,Jim Furyk,52,64
27,T19,T19,Tom Gillis,34,64
28,T19,T19,Adam Hadwin,93,64
29,T19,T19,James Hahn,85,64
30,T19,T19,Billy Horschel,73,64
31,T19,T19,John Huh,86,64
32,T19,T19,Zach Johnson,90,64
33,T19,T19,Jerry Kelly,76,64
34,T19,T19,Russell Knox,92,64
35,T19,T19,Jason Kokrak,89,64
36,T19,T19,Andrew Loupe,75,64
37,T19,T19,Steve Marino,72,64
38,T19,T19,Hideki Matsuyama,76,64
39,T19,T19,Graeme McDowell,63,64
40,T19,T19,William McGirt,98,64
41,T19,T19,Rory McIlroy,69,64
42,T19,T19,Bryce Molder,80,64
43,T19,T19,Ryan Moore,86,64
44,T19,T19,Kevin Na,96,64
45,T19,T19,Thorbjørn Olesen,13,64
46,T19,T19,Charl Schwartzel,73,64
47,T19,T19,Cameron Smith,73,64
48,T19,T19,Jordan Spieth,80,64
49,T19,T19,Brett Stegmaier,87,64
50,T19,T19,Jhonattan Vegas,97,64
51,T19,T19,Gary Woodland,95,64
52,T19,T19,Bobby Wyatt,16,64
53,T54,T54,Kiradech Aphibarnrat,35,65
54,T54,T54,Shane Bertsch,30,65
55,T54,T54,Jason Bohn,67,65
56,T54,T54,Scott Brown,88,65
57,T54,T54,Rafa Cabrera Bello,41,65
58,T54,T54,Alex Cejka,71,65
59,T54,T54,Brian Davis,19,65
60,T54,T54,Jason Day,76,65
61,T54,T54,Jason Dufner,105,65
62,T54,T54,Ernie Els,66,65
63,T54,T54,Derek Fathauer,94,65
64,T54,T54,Ross Fisher,14,65
65,T54,T54,Rickie Fowler,80,65
66,T54,T54,Fred Funk,10,65
67,T54,T54,Sergio Garcia,54,65
68,T54,T54,Bill Haas,86,65
69,T54,T54,Russell Henley,76,65
70,T54,T54,Justin Hicks,42,65
71,T54,T54,Mark Hubbard,101,65
72,T54,T54,Billy Hurley III,66,65
73,T54,T54,Freddie Jacobson,86,65
74,T54,T54,Michael Johnson,10,65
75,T54,T54,Chris Kirk,90,65
76,T54,T54,Søren Kjeldsen,43,65
77,T54,T54,Matt Kuchar,100,65
78,T54,T54,Martin Laird,82,65
79,T54,T54,Richard Lee,25,65
80,T54,T54,David Lingmerth,84,65
81,T54,T54,Luke List,79,65
82,T54,T54,Jamie Lovemark,91,65
83,T54,T54,Shane Lowry,57,65
84,T54,T54,Francesco Molinari,64,65
85,T54,T54,Seung-Yul Noh,85,65
86,T54,T54,Henrik Norlander,71,65
87,T54,T54,Geoff Ogilvy,63,65
88,T54,T54,Rob Oppenheim,67,65
89,T54,T54,Scott Piercy,87,65
90,T54,T54,Martin Piller,59,65
91,T54,T54,Dicky Pride,55,65
92,T54,T54,Patrick Reed,105,65
93,T54,T54,Kyle Reifers,115,65
94,T54,T54,John Senden,88,65
95,T54,T54,Webb Simpson,70,65
96,T54,T54,Vijay Singh,72,65
97,T54,T54,Brendan Steele,88,65
98,T54,T54,Shawn Stefani,91,65
99,T54,T54,Steve Stricker,53,65
100,T54,T54,Daniel Summerhays,99,65
101,T54,T54,Vaughn Taylor,72,65
102,T54,T54,Michael Thompson,71,65
103,T54,T54,Tyrone Van Aswegen,105,65
104,T54,T54,Johnson Wagner,86,65
105,T54,T54,Steve Wheatcroft,85,65
106,T107,T107,Thomas Aiken,70,66
107,T107,T107,Robert Allenby,51,66
108,T107,T107,Aaron Baddeley,93,66
109,T107,T107,Blayne Barber,84,66
110,T107,T107,Jonas Blixt,79,66
111,T107,T107,Keegan Bradley,82,66
112,T107,T107,Wesley Bryan,14,66
113,T107,T107,Chad Campbell,90,66
114,T107,T107,Roberto Castro,97,66
115,T107,T107,Greg Chalmers,37,66
116,T107,T107,Jon Curran,99,66
117,T107,T107,Bryson DeChambeau,38,66
118,T107,T107,Tony Finau,95,66
119,T107,T107,Robert Garrigus,69,66
120,T107,T107,Brian Gay,34,66
121,T107,T107,Branden Grace,63,66
122,T107,T107,Brian Harman,104,66
123,T107,T107,Tyrrell Hatton,18,66
124,T107,T107,David Hearn,95,66
125,T107,T107,Charley Hoffman,91,66
126,T107,T107,Charles Howell III,91,66
127,T107,T107,Hiroshi Iwata,85,66
128,T107,T107,Sung Kang,89,66
129,T107,T107,Martin Kaymer,37,66
130,T107,T107,Michael Kim,100,66
131,T107,T107,Danny Lee,93,66
132,T107,T107,Marc Leishman,89,66
133,T107,T107,Spencer Levin,104,66
134,T107,T107,HaoTong Li,8,66
135,T107,T107,Davis Love III,46,66
136,T107,T107,Will MacKenzie,84,66
137,T107,T107,Peter Malnati,85,66
138,T107,T107,Troy Merritt,77,66
139,T107,T107,Sean O'Hair,89,66
140,T107,T107,Carlos Ortiz,79,66
141,T107,T107,Jeff Overton,69,66
142,T107,T107,Ryan Palmer,86,66
143,T107,T107,Rod Pampling,54,66
144,T107,T107,Cameron Percy,49,66
145,T107,T107,Scott Pinckney,87,66
146,T107,T107,D.A. Points,55,66
147,T107,T107,Alex Prugh,39,66
148,T107,T107,Jon Rahm,33,66
149,T107,T107,Chez Reavie,90,66
150,T107,T107,Patrick Rodgers,89,66
151,T107,T107,Justin Rose,65,66
152,T107,T107,Sam Saunders,69,66
153,T107,T107,Scott Stallings,74,66
154,T107,T107,Kyle Stanley,92,66
155,T107,T107,Darron Stiles,44,66
156,T107,T107,Robert Streb,87,66
157,T107,T107,Chris Stroud,82,66
158,T107,T107,Hudson Swafford,104,66
159,T107,T107,Hideto Tanihara,14,66
160,T107,T107,David Toms,62,66
161,T107,T107,Cameron Tringale,81,66
162,T107,T107,Dawie van der Walt,72,66
163,T107,T107,Jimmy Walker,85,66
164,T107,T107,Willy Wilcox,67,66
165,T166,T166,Tyler Aldridge,83,67
166,T166,T166,Abraham Ancer,51,67
167,T166,T166,Stuart Appleby,71,67
168,T166,T166,Ricky Barnes,97,67
169,T166,T166,Steven Bowditch,71,67
170,T166,T166,Bronson Burgoon,83,67
171,T166,T166,K.J. Choi,73,67
172,T166,T166,George Coetzee,26,67
173,T166,T166,Ben Crane,80,67
174,T166,T166,Charlie Danielson,14,67
175,T166,T166,Brendon de Jonge,83,67
176,T166,T166,Matt Dobyns,18,67
177,T166,T166,Jamie Donaldson,44,67
178,T166,T166,Derek Ernst,59,67
179,T166,T166,Trevor Fisher Jr,4,67
180,T166,T166,Matthew Fitzpatrick,37,67
181,T166,T166,Tommy Fleetwood,6,67
182,T166,T166,Rhein Gibson,58,67
183,T166,T166,Andres Gonzales,80,67
184,T166,T166,Retief Goosen,55,67
185,T166,T166,Emiliano Grillo,93,67
186,T166,T166,Padraig Harrington,54,67
187,T166,T166,Scott Hend,20,67
188,T166,T166,Jim Herman,93,67
189,T166,T166,J.B. Holmes,77,67
190,T166,T166,Yuta Ikeda,10,67
191,T166,T166,Ryo Ishikawa,17,67
192,T166,T166,Matt Jones,83,67
193,T166,T166,Whee Kim,82,67
194,T166,T166,Kelly Kraft,63,67
195,T166,T166,Anirban Lahiri,72,67
196,T166,T166,Andrew Landry,53,67
197,T166,T166,Scott Langley,65,67
198,T166,T166,Lucas Lee,42,67
199,T166,T166,Justin Leonard,40,67
200,T166,T166,John Merrick,33,67
201,T166,T166,Yusaku Miyazato,14,67
202,T166,T166,Louis Oosthuizen,63,67
203,T166,T166,Tim Petrovic,17,67
204,T166,T166,Wes Roach,59,67
205,T166,T166,Andres Romero,38,67
206,T166,T166,Ryan Ruffels,21,67
207,T166,T166,Kevin Streelman,82,67
208,T166,T166,Brian Stuard,66,67
209,T166,T166,Andy Sullivan,39,67
210,T166,T166,Nick Taylor,83,67
211,T166,T166,D.J. Trahan,41,67
212,T166,T166,Harold Varner III,92,67
213,T166,T166,Camilo Villegas,83,67
214,T166,T166,Nick Watney,17,67
215,T166,T166,Bubba Watson,72,67
216,T166,T166,Bernd Wiesberger,33,67
217,T166,T166,Danny Willett,33,67
218,T219,T219,Joe Affrunti,10,68
219,T219,T219,Byeong Hun An,47,68
220,T219,T219,Michael Bradley,24,68
221,T219,T219,Jonathan Byrd,20,68
222,T219,T219,Rodolfo Cazaubón,10,68
223,T219,T219,Tim Clark,19,68
224,T219,T219,Chad Collins,73,68
225,T219,T219,Erik Compton,65,68
226,T219,T219,Ben Curtis,12,68
227,T219,T219,Ken Duke,58,68
228,T219,T219,Matt Every,40,68
229,T219,T219,Jorge Fernández-Valdés,4,68
230,T219,T219,Steve Flesch,18,68
231,T219,T219,Brice Garnett,45,68
232,T219,T219,Jason Gore,78,68
233,T219,T219,Luke Guthrie,57,68
234,T219,T219,Tom Hoge,81,68
235,T219,T219,Thongchai Jaidee,27,68
236,T219,T219,Kent Jones,4,68
237,T219,T219,Robert Karlsson,3,68
238,T219,T219,D.H. Lee,61,68
239,T219,T219,Richard Lee,8,68
240,T219,T219,Jarrod Lyle,26,68
241,T219,T219,Hunter Mahan,61,68
242,T219,T219,Jin Park,3,68
243,T219,T219,Carl Pettersson,49,68
244,T219,T219,Thomas Pieters,19,68
245,T219,T219,Ian Poulter,45,68
246,T219,T219,John Rollins,26,68
247,T219,T219,Robby Shelton,12,68
248,T219,T219,Lee Slattery,4,68
249,T219,T219,Young-han Song,8,68
250,T219,T219,Hunter Stewart,23,68
251,T219,T219,Miguel Tabuena,4,68
252,T219,T219,Omar Uresti,10,68
253,T219,T219,Bo Van Pelt,14,68
254,T219,T219,Boo Weekley,83,68
255,T219,T219,Tim Wilkinson,72,68
256,T219,T219,Mark Wilson,66,68
257,T258,T258,Blake Adams,12,69
258,T258,T258,Matt Atkins,4,69
259,T258,T258,Eric Axley,19,69
260,T258,T258,Charlie Beljan,26,69
261,T258,T258,Grégory Bourdy,12,69
262,T258,T258,SSP Chawrasia,8,69
263,T258,T258,Daniel Chopra,2,69
264,T258,T258,Stewart Cink,61,69
265,T258,T258,Chesson Hadley,81,69
266,T258,T258,J.J. Henry,68,69
267,T258,T258,Tim Herron,45,69
268,T258,T258,Andrew Johnston,16,69
269,T258,T258,Zander Lombard,4,69
270,T258,T258,Lee McCoy,16,69
271,T258,T258,Maverick McNealy,4,69
272,T258,T258,George McNeill,51,69
273,T258,T258,Greg Owen,85,69
274,T258,T258,Pat Perez,28,69
275,T258,T258,Ted Purdy,25,69
276,T258,T258,Matthew Southgate,4,69
277,T258,T258,Ethan Tracy,10,69
278,T258,T258,Marc Turnesa,25,69
279,T258,T258,Lee Westwood,25,69
280,T281,T281,Ryan Armour,4,70
281,T281,T281,Arjun Atwal,16,70
282,T281,T281,Craig Barlow,6,70
283,T281,T281,Cameron Beckman,29,70
284,T281,T281,Ángel Cabrera,62,70
285,T281,T281,Yi Cao,4,70
286,T281,T281,Darren Clarke,10,70
287,T281,T281,Austin Connelly,10,70
288,T281,T281,Zecheng Dou,4,70
289,T281,T281,Jared du Toit,4,70
290,T281,T281,Derek Gillespie,2,70
291,T281,T281,David Howell,8,70
292,T281,T281,Trevor Immelman,25,70
293,T281,T281,K.T. Kim,22,70
294,T281,T281,Bernhard Langer,6,70
295,T281,T281,Frank Lickliter II,22,70
296,T281,T281,Dru Love,2,70
297,T281,T281,Trey Mullinax,8,70
298,T281,T281,Jordan Niebrugge,12,70
299,T281,T281,Alex Noren,14,70
300,T281,T281,Brian Norman,2,70
301,T281,T281,Paul Peterson,4,70
302,T281,T281,Rory Sabbatini,57,70
303,T281,T281,Ollie Schniederjans,23,70
304,T281,T281,Joel Stalter,3,70
305,T281,T281,Brendon Todd,66,70
306,T281,T281,Armando Villarreal,2,70
307,T281,T281,Charlie Wi,11,70
308,T281,T281,Aaron Wise,6,70
309,T281,T281,Chris Wood,25,70
310,T311,T311,Max Alverio,2,71
311,T311,T311,Matt Bettencourt,12,71
312,T311,T311,Danny Chia,8,71
313,T311,T311,John Daly,6,71
314,T311,T311,Paul Dunne,11,71
315,T311,T311,Ryan Evans,4,71
316,T311,T311,Brandon Harkins,4,71
317,T311,T311,Ryan Helminen,2,71
318,T311,T311,Miguel Angel Jiménez,8,71
319,T311,T311,Daisuke Kataoka,4,71
320,T311,T311,Rob Labritz,2,71
321,T311,T311,Ben Leong,4,71
322,T311,T311,Billy Mayfair,22,71
323,T311,T311,Parker McLachlin,6,71
324,T311,T311,Toshinori Muto,2,71
325,T311,T311,Jack Newman,2,71
326,T311,T311,Mark O'Meara,6,71
327,T311,T311,Rod Perry,4,71
328,T311,T311,Kyle Robbins,2,71
329,T311,T311,Brian Smock,4,71
330,T311,T311,Chad Sorensen,3,71
331,T311,T311,Yoshio Yamamoto,2,71
332,T311,T311,Greg Yates,4,71
333,T334,T334,"Rich Berberian, Jr.",2,72
334,T334,T334,Gavin Coles,4,72
