,Tenth_Tee_Late_Round_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Round_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Round_4_Scoring_Average_AVG,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Robert Garrigus,62.0,62,1
1,2,2,Boo Weekley,64.0,64,1
2,3,3,Tim Wilkinson,65.0,65,1
3,4,4,Shawn Stefani,65.5,131,2
4,T5,T5,Stewart Cink,66.0,66,1
5,T5,T5,Branden Grace,66.0,66,1
6,7,7,Vijay Singh,66.67,200,3
7,T8,T8,Zac Blair,67.0,67,1
8,T8,T8,Jason Bohn,67.0,67,1
9,T8,T8,K.J. Choi,67.0,134,2
10,T8,T8,Luke Guthrie,67.0,67,1
11,T8,T8,Marc Leishman,67.0,67,1
12,T8,T8,Patrick Rodgers,67.0,67,1
13,T8,T8,Rory Sabbatini,67.0,67,1
14,T8,T8,Kyle Stanley,67.0,67,1
15,T8,T8,Brendon Todd,67.0,67,1
16,17,17,Tom Hoge,67.67,203,3
17,T18,T18,Blayne Barber,68.0,136,2
18,T18,T18,Paul Casey,68.0,68,1
19,T18,T18,Chad Collins,68.0,68,1
20,T18,T18,Ben Crane,68.0,68,1
21,T18,T18,Zach Johnson,68.0,68,1
22,T23,T23,Retief Goosen,68.5,137,2
23,T23,T23,Brooks Koepka,68.5,137,2
24,T25,T25,Steven Bowditch,69.0,69,1
25,T25,T25,Chad Campbell,69.0,69,1
26,T25,T25,Patton Kizzire,69.0,207,3
27,T25,T25,Brandt Snedeker,69.0,69,1
28,T25,T25,Hudson Swafford,69.0,138,2
29,T25,T25,Justin Thomas,69.0,69,1
30,31,31,Derek Fathauer,69.33,208,3
31,T32,T32,Roberto Castro,69.5,139,2
32,T32,T32,Kelly Kraft,69.5,139,2
33,T32,T32,Spencer Levin,69.5,139,2
34,T32,T32,Jordan Spieth,69.5,139,2
35,T36,T36,Erik Compton,70.0,70,1
36,T36,T36,Jon Curran,70.0,70,1
37,T36,T36,J.J. Henry,70.0,70,1
38,T36,T36,William McGirt,70.0,70,1
39,T36,T36,Bryce Molder,70.0,70,1
40,T36,T36,Francesco Molinari,70.0,70,1
41,T36,T36,Sean O'Hair,70.0,70,1
42,T36,T36,Jeff Overton,70.0,70,1
43,T36,T36,Wes Roach,70.0,140,2
44,T36,T36,Adam Scott,70.0,140,2
45,T36,T36,Dawie van der Walt,70.0,140,2
46,47,47,Kyle Reifers,70.25,281,4
47,T48,T48,Jason Dufner,70.33,211,3
48,T48,T48,Jason Gore,70.33,211,3
49,T48,T48,Bill Haas,70.33,211,3
50,T48,T48,Brian Stuard,70.33,211,3
51,T52,T52,Chez Reavie,70.5,141,2
52,T52,T52,Nick Taylor,70.5,141,2
53,54,54,Luke Donald,70.67,212,3
54,T55,T55,Thomas Aiken,71.0,71,1
55,T55,T55,Daniel Berger,71.0,71,1
56,T55,T55,Jonas Blixt,71.0,71,1
57,T55,T55,Brendon de Jonge,71.0,71,1
58,T55,T55,Harris English,71.0,142,2
59,T55,T55,Dustin Johnson,71.0,71,1
60,T55,T55,Sung Kang,71.0,71,1
61,T55,T55,Martin Laird,71.0,71,1
62,T55,T55,Shane Lowry,71.0,142,2
63,T55,T55,Rod Pampling,71.0,71,1
64,T55,T55,Scott Stallings,71.0,71,1
65,T55,T55,Harold Varner III,71.0,142,2
66,T55,T55,Johnson Wagner,71.0,71,1
67,T68,T68,Charley Hoffman,71.5,143,2
68,T68,T68,Mark Hubbard,71.5,286,4
69,T68,T68,John Huh,71.5,143,2
70,T71,T71,Adam Hadwin,71.67,215,3
71,T71,T71,Greg Owen,71.67,215,3
72,T73,T73,David Hearn,72.0,72,1
73,T73,T73,Charles Howell III,72.0,144,2
74,T73,T73,Matt Jones,72.0,144,2
75,T73,T73,Colt Knost,72.0,72,1
76,T73,T73,Scott Pinckney,72.0,72,1
77,T73,T73,D.A. Points,72.0,72,1
78,T73,T73,Dicky Pride,72.0,144,2
79,T73,T73,Robert Streb,72.0,72,1
80,T73,T73,Chris Stroud,72.0,72,1
81,T73,T73,Tyrone Van Aswegen,72.0,216,3
