,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Adam Scott,20,2016030
1,2,2,Jason Day,18,2016150
2,3,3,Daniel Berger,17,2016180
3,T4,T4,Jason Dufner,14,2016250
4,T4,T4,Zach Johnson,14,2016250
5,6,6,Hudson Swafford,13,2016290
6,7,7,Russell Knox,12,2016250
7,T8,T8,Harris English,11,2016300
8,T8,T8,Jim Furyk,11,2016320
9,T8,T8,Emiliano Grillo,11,2016310
10,T8,T8,Ryan Moore,11,2016320
11,T8,T8,Charl Schwartzel,11,2016300
12,T8,T8,Jordan Spieth,11,2016300
13,T14,T14,Kevin Kisner,10,2016340
14,T14,T14,Patrick Reed,10,2016350
15,T16,T16,Brooks Koepka,9,2016290
16,T16,T16,Brandt Snedeker,9,2016370
17,T16,T16,Jhonattan Vegas,9,2016350
18,T19,T19,Blayne Barber,8,2016350
19,T19,T19,Rickie Fowler,8,2016350
20,T19,T19,Steve Stricker,8,2016270
21,T22,T22,Ricky Barnes,7,2016360
22,T22,T22,Keegan Bradley,7,2016350
23,T22,T22,Martin Kaymer,7,2016220
24,T25,T25,Sangmoon Bae,6,2015430
25,T25,T25,Grégory Bourdy,6,2013310
26,T25,T25,Paul Casey,6,2016420
27,T25,T25,Ryan Palmer,6,2016400
28,T25,T25,Justin Rose,6,2016370
29,T25,T25,Brian Stuard,6,2016420
30,T25,T25,Doug Tewell,6,1999230
31,T32,T32,Rafa Cabrera Bello,5,2016320
32,T32,T32,Bud Cauley,5,2016390
33,T32,T32,Scott Hend,5,2016030
34,T32,T32,Matt Kuchar,5,2016430
35,T32,T32,Steve LeBrun,5,2013290
36,T32,T32,Wayne Levi,5,2001300
37,T32,T32,David Lipsky,5,2015040
38,T32,T32,Sean O'Hair,5,2016460
39,T32,T32,Louis Oosthuizen,5,2016420
40,T32,T32,Thomas Pieters,5,2016050
41,T32,T32,Scott Pinckney,5,2016390
42,T32,T32,Alex Prugh,5,2016330
43,T44,T44,Kevin Chappell,4,2016470
44,T44,T44,SSP Chawrasia,4,2008140
45,T44,T44,Danny Chia,4,2010310
46,T44,T44,Luke Donald,4,2016460
47,T44,T44,Tony Finau,4,2016430
48,T44,T44,Martin Flores,4,2015420
49,T44,T44,Adam Hadwin,4,2016450
50,T44,T44,J.B. Holmes,4,2016470
51,T44,T44,John Huh,4,2016450
52,T44,T44,Billy Hurley III,4,2016450
53,T44,T44,Dustin Johnson,4,2016470
54,T44,T44,Andrew Johnston,4,2016340
55,T44,T44,Søren Kjeldsen,4,2016370
56,T44,T44,Jamie Lovemark,4,2016450
57,T44,T44,Rory McIlroy,4,2016470
58,T44,T44,Hennie Otto,4,2010350
59,T44,T44,Scott Piercy,4,2016460
60,T44,T44,Brendan Steele,4,2016430
61,T44,T44,Shawn Stefani,4,2016430
62,T44,T44,Johnson Wagner,4,2016450
63,T44,T44,Lee Westwood,4,2016240
64,T44,T44,Gary Woodland,4,2016470
65,T66,T66,Zac Blair,3,2016430
66,T66,T66,Roberto Castro,3,2016480
67,T66,T66,Jon Curran,3,2016470
68,T66,T66,Andrew Dodt,3,2015430
69,T66,T66,Bradley Dredge,3,2008090
70,T66,T66,Darren Fichardt,3,2014040
71,T66,T66,Tom Gillis,3,2016390
72,T66,T66,Lucas Glover,3,2016350
73,T66,T66,Fabián Gómez,3,2016470
74,T66,T66,Andres Gonzales,3,2016430
75,T66,T66,Brian Harman,3,2016470
76,T66,T66,Padraig Harrington,3,2016400
77,T66,T66,David Hearn,3,2016470
78,T66,T66,Mike Hendry,3,2013110
79,T66,T66,Jim Herman,3,2016470
80,T66,T66,Beau Hossler,3,2012260
81,T66,T66,Si Woo Kim,3,2016480
82,T66,T66,Jason Kokrak,3,2016470
83,T66,T66,Doug LaBelle II,3,2014420
84,T66,T66,Peter Malnati,3,2016450
85,T66,T66,Hideki Matsuyama,3,2016480
86,T66,T66,Maverick McNealy,3,2015360
87,T66,T66,Carl Paulson,3,2011450
88,T66,T66,Kyle Reifers,3,2016470
89,T66,T66,Alexandre Rocha,3,2013100
90,T66,T66,Bob Shearer,3,1984320
91,T66,T66,Lee Slattery,3,2012320
92,T66,T66,Kyle Stanley,3,2016450
93,T66,T66,Andre Stolz,3,2011300
94,T66,T66,Kevin Streelman,3,2016470
95,T66,T66,Andy Sullivan,3,2016340
96,T66,T66,Jimmy Walker,3,2016480
97,T66,T66,Danny Willett,3,2016340
98,T99,T99,Felipe Aguilar,2,2009110
99,T99,T99,Ashun Wu,2,2015060
100,T99,T99,Aaron Baddeley,2,2016480
101,T99,T99,Shane Bertsch,2,2016130
102,T99,T99,Thomas Bjørn,2,2015430
103,T99,T99,Jonas Blixt,2,2016460
104,T99,T99,Mark Brown,2,2013310
105,T99,T99,Rafael Campos,2,2016210
106,T99,T99,Alex Cejka,2,2016410
107,T99,T99,Greg Chalmers,2,2016430
108,T99,T99,Stewart Cink,2,2016450
109,T99,T99,George Coetzee,2,2016410
110,T99,T99,Charlie Danielson,2,2016360
111,T99,T99,Zecheng Dou,2,2015060
112,T99,T99,James Driscoll,2,2015180
113,T99,T99,Johan Edfors,2,2011260
114,T99,T99,Yoshinori Fujimoto,2,2012320
115,T99,T99,Nicholas Fung,2,2014030
116,T99,T99,Sergio Garcia,2,2016480
117,T99,T99,Branden Grace,2,2016480
118,T99,T99,Scott Gutschewski,2,2011450
119,T99,T99,Bill Haas,2,2016480
120,T99,T99,Brandon Hagy,2,2016130
121,T99,T99,James Hahn,2,2016480
122,T99,T99,Scott Hoch,2,2008100
123,T99,T99,David Howell,2,2016050
124,T99,T99,Charles Howell III,2,2016480
125,T99,T99,Mu Hu,2,2014040
126,T99,T99,Yuta Ikeda,2,2016400
127,T99,T99,Mikko Ilonen,2,2015430
128,T99,T99,Thongchai Jaidee,2,2016400
129,T99,T99,Steven Jeffress,2,2015190
130,T99,T99,Miguel Angel Jiménez,2,2016050
131,T99,T99,Kent Jones,2,2015420
132,T99,T99,Smylie Kaufman,2,2016480
133,T99,T99,Troy Kelly,2,2015420
134,T99,T99,Chris Kirk,2,2016480
135,T99,T99,Jason Knutzon,2,2015040
136,T99,T99,Kelly Kraft,2,2016450
137,T99,T99,Andrew Landry,2,2016450
138,T99,T99,Romain Langasque,2,2015390
139,T99,T99,Scott Langley,2,2016450
140,T99,T99,Antonio Lascuna,2,2015040
141,T99,T99,Paul Lawrie,2,2015390
142,T99,T99,Richard Lee,2,2016030
143,T99,T99,Marc Leishman,2,2016480
144,T99,T99,WC Liang,2,2015430
145,T99,T99,David Lingmerth,2,2016480
146,T99,T99,Prayad Marksaeng,2,2014030
147,T99,T99,Michio Matsumura,2,2011020
148,T99,T99,Billy Mayfair,2,2016360
149,T99,T99,William McGirt,2,2016490
150,T99,T99,Mac McLendon,2,1980430
151,T99,T99,Phil Mickelson,2,2016490
152,T99,T99,Trey Mullinax,2,2016040
153,T99,T99,Kevin Na,2,2016490
154,T99,T99,Jack Newton,2,1982420
155,T99,T99,Alex Noren,2,2016400
156,T99,T99,Koumei Oda,2,2015430
157,T99,T99,Geoff Ogilvy,2,2016450
158,T99,T99,C.T. Pan,2,2015340
