,YTD_Par_or_Better_Streak_RANK THIS WEEK,YTD_Par_or_Better_Streak_RANK LAST WEEK,YTD_Par_or_Better_Streak_PLAYER NAME,YTD_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Kevin Na,29
1,2,2,Fabián Gómez,25
2,3,3,Charles Howell III,22
3,T4,T4,Seung-Yul Noh,20
4,T4,T4,Cameron Tringale,20
5,T6,T6,Alex Cejka,19
6,T6,T6,Jason Dufner,19
7,T6,T6,Branden Grace,19
8,T9,T9,Zac Blair,18
9,T9,T9,Justin Thomas,18
10,T9,T9,Johnson Wagner,18
11,T12,T12,Kevin Kisner,17
12,T12,T12,Russell Knox,17
13,T12,T12,Ryan Moore,17
14,T12,T12,Patrick Reed,17
15,T12,T12,Webb Simpson,17
16,T17,T17,Tony Finau,16
17,T17,T17,Adam Scott,16
18,T19,T19,Marc Leishman,15
19,T19,T19,Jordan Spieth,15
20,T21,T21,Chad Campbell,14
21,T21,T21,Jason Day,14
22,T21,T21,Jerry Kelly,14
23,T21,T21,Jon Rahm,14
24,T25,T25,Bronson Burgoon,13
25,T25,T25,Austin Cook,13
26,T25,T25,Lucas Glover,13
27,T25,T25,Emiliano Grillo,13
28,T25,T25,Adam Hadwin,13
29,T25,T25,Jason Kokrak,13
30,T25,T25,Sean O'Hair,13
31,T25,T25,Camilo Villegas,13
32,T25,T25,Gary Woodland,13
33,T34,T34,Keegan Bradley,12
34,T34,T34,Scott Brown,12
35,T34,T34,Robert Garrigus,12
36,T34,T34,Mark Hubbard,12
37,T34,T34,John Huh,12
38,T34,T34,Si Woo Kim,12
39,T34,T34,Matt Kuchar,12
40,T34,T34,Kyle Reifers,12
41,T34,T34,John Senden,12
42,T34,T34,Shawn Stefani,12
43,T44,T44,Daniel Berger,11
44,T44,T44,Jason Bohn,11
45,T44,T44,K.J. Choi,11
46,T44,T44,Rickie Fowler,11
47,T44,T44,Brice Garnett,11
48,T44,T44,Luke Guthrie,11
49,T44,T44,Jim Herman,11
50,T44,T44,Dustin Johnson,11
51,T44,T44,Sung Kang,11
52,T44,T44,Danny Lee,11
53,T44,T44,Jamie Lovemark,11
54,T44,T44,Hideki Matsuyama,11
55,T44,T44,Rory McIlroy,11
56,T44,T44,Phil Mickelson,11
57,T44,T44,Patrick Rodgers,11
58,T44,T44,Brett Stegmaier,11
59,T44,T44,Hudson Swafford,11
60,T44,T44,David Toms,11
61,T44,T44,Jimmy Walker,11
62,T63,T63,Roberto Castro,10
63,T63,T63,Graham DeLaet,10
64,T63,T63,Derek Fathauer,10
65,T63,T63,Bill Haas,10
66,T63,T63,Brian Harman,10
67,T63,T63,Smylie Kaufman,10
68,T63,T63,Martin Laird,10
69,T63,T63,William McGirt,10
70,T63,T63,Bryce Molder,10
71,T63,T63,Charl Schwartzel,10
72,T63,T63,Henrik Stenson,10
73,T63,T63,Nick Taylor,10
74,T63,T63,Tim Wilkinson,10
75,T76,T76,Tyler Aldridge,9
76,T76,T76,Aaron Baddeley,9
77,T76,T76,Ricky Barnes,9
78,T76,T76,Paul Casey,9
79,T76,T76,Stewart Cink,9
80,T76,T76,Ben Crane,9
81,T76,T76,Jon Curran,9
82,T76,T76,Luke Donald,9
83,T76,T76,Harris English,9
84,T76,T76,Derek Ernst,9
85,T76,T76,Sergio Garcia,9
86,T76,T76,Rhein Gibson,9
87,T76,T76,Padraig Harrington,9
88,T76,T76,Russell Henley,9
89,T76,T76,J.J. Henry,9
90,T76,T76,Charley Hoffman,9
91,T76,T76,Billy Horschel,9
92,T76,T76,Thongchai Jaidee,9
93,T76,T76,Matt Jones,9
94,T76,T76,Brooks Koepka,9
95,T76,T76,Anirban Lahiri,9
96,T76,T76,Spencer Levin,9
97,T76,T76,Peter Malnati,9
98,T76,T76,Ben Martin,9
99,T76,T76,Thorbjørn Olesen,9
100,T76,T76,Louis Oosthuizen,9
101,T76,T76,Cameron Percy,9
102,T76,T76,Ian Poulter,9
103,T76,T76,Dicky Pride,9
104,T76,T76,Vaughn Taylor,9
105,T76,T76,D.J. Trahan,9
106,T76,T76,Harold Varner III,9
107,T76,T76,Boo Weekley,9
108,T109,T109,Thomas Aiken,8
109,T109,T109,Byeong Hun An,8
110,T109,T109,Blayne Barber,8
111,T109,T109,Ángel Cabrera,8
112,T109,T109,Bud Cauley,8
113,T109,T109,Kevin Chappell,8
114,T109,T109,George Coetzee,8
115,T109,T109,Chad Collins,8
116,T109,T109,Brendon de Jonge,8
