,Approach_100-125_yards_RTP_Score_RANK THIS WEEK,Approach_100-125_yards_RTP_Score_RANK LAST WEEK,Approach_100-125_yards_RTP_Score_PLAYER NAME,Approach_100-125_yards_RTP_Score_ROUNDS,Approach_100-125_yards_RTP_Score_AVG RTP
0,1,,Justin Thomas,86,-.348
1,2,,Jon Rahm,90,-.311
2,3,,Francesco Molinari,75,-.304
3,4,,Graeme McDowell,56,-.281
4,5,,Brendan Steele,89,-.258
5,6,,Xander Schauffele,96,-.256
6,7,,Matt Kuchar,95,-.254
7,8,,Ben Martin,86,-.248
8,9,,Ryan Blaum,100,-.246
9,10,,Chris Kirk,89,-.243
10,T11,,Brandt Snedeker,53,-.242
11,T11,,Vaughn Taylor,90,-.242
12,13,,Cameron Smith,86,-.241
13,14,,Tim Wilkinson,64,-.235
14,15,,Charl Schwartzel,63,-.234
15,16,,Billy Hurley III,80,-.231
16,17,,Dustin Johnson,77,-.225
17,18,,Jason Dufner,89,-.224
18,19,,Tom Hoge,54,-.219
19,T20,,Fabián Gómez,61,-.218
20,T20,,J.T. Poston,95,-.218
21,22,,Ken Duke,77,-.214
22,T23,,J.B. Holmes,83,-.211
23,T23,,Jamie Lovemark,98,-.211
24,25,,Bubba Watson,71,-.210
25,T26,,Byeong Hun An,77,-.209
26,T26,,Chez Reavie,98,-.209
27,T28,,Daniel Berger,91,-.208
28,T28,,Kevin Kisner,105,-.208
29,30,,Louis Oosthuizen,69,-.207
30,31,,Michael Kim,94,-.205
31,32,,Aaron Baddeley,61,-.204
32,33,,Lucas Glover,93,-.203
33,T34,,Brian Campbell,55,-.200
34,T34,,Cameron Percy,71,-.200
35,36,,Ryan Moore,82,-.198
36,T37,,Kevin Streelman,90,-.197
37,T37,,Harold Varner III,101,-.197
38,T39,,Keegan Bradley,104,-.196
39,T39,,Russell Henley,99,-.196
40,T39,,Adam Scott,58,-.196
41,42,,Stewart Cink,93,-.195
42,43,,Charles Howell III,86,-.194
43,44,,Adam Hadwin,98,-.193
44,T45,,Troy Merritt,82,-.192
45,T45,,Jordan Spieth,85,-.192
46,T47,,Wesley Bryan,95,-.191
47,T47,,Derek Fathauer,81,-.191
48,T47,,Sung Kang,104,-.191
49,50,,Johnson Wagner,71,-.190
50,51,,Brett Drewitt,57,-.189
51,T52,,Kelly Kraft,75,-.188
52,T52,,Anirban Lahiri,72,-.188
53,T54,,Gonzalo Fernandez-Castaño,63,-.186
54,T54,,Brooks Koepka,88,-.186
55,T54,,Webb Simpson,102,-.186
56,T57,,Jason Day,71,-.185
57,T57,,Sergio Garcia,65,-.185
58,T57,,Steve Wheatcroft,51,-.185
59,60,,Chad Campbell,97,-.183
60,T61,,Kyle Stanley,104,-.181
61,T61,,Shawn Stefani,72,-.181
62,63,,Andres Gonzales,73,-.178
63,64,,Morgan Hoffmann,92,-.176
64,65,,Ben Crane,86,-.174
65,66,,Scott Piercy,70,-.173
66,T67,,Tag Ridings,67,-.172
67,T67,,Patrick Rodgers,76,-.172
68,T69,,Blayne Barber,77,-.171
69,T69,,Patrick Reed,107,-.171
70,71,,Ollie Schniederjans,92,-.170
71,72,,Scott Stallings,81,-.169
72,T73,,Paul Casey,94,-.167
73,T73,,Whee Kim,74,-.167
74,T73,,Ian Poulter,72,-.167
75,T76,,Bud Cauley,92,-.165
76,T76,,Grayson Murray,94,-.165
77,T76,,Kevin Tway,96,-.165
78,T79,,Charley Hoffman,112,-.163
79,T79,,Trey Mullinax,88,-.163
80,81,,Ricky Barnes,100,-.162
81,T82,,Marc Leishman,94,-.160
82,T82,,Pat Perez,93,-.160
83,84,,Branden Grace,70,-.158
84,85,,Seamus Power,86,-.157
85,T86,,Kevin Chappell,95,-.156
86,T86,,Julián Etulain,68,-.156
87,T86,,James Hahn,96,-.156
88,T89,,Brandon Hagy,85,-.155
89,T89,,Tyrone Van Aswegen,105,-.155
90,91,,Jimmy Walker,68,-.154
91,92,,Bryson DeChambeau,91,-.153
92,T93,,Dominic Bozzelli,69,-.147
93,T93,,Spencer Levin,89,-.147
94,T95,,Zach Johnson,81,-.146
95,T95,,Martin Laird,83,-.146
96,T95,,Rory McIlroy,51,-.146
97,T95,,Sean O'Hair,84,-.146
98,T99,,Patrick Cantlay,52,-.145
99,T99,,Jason Kokrak,95,-.145
100,T101,,Robert Garrigus,78,-.144
101,T101,,Brian Harman,104,-.144
102,T103,,Alex Cejka,85,-.143
103,T103,,Luke Donald,50,-.143
104,T103,,Sebastián Muñoz,51,-.143
105,T103,,Kevin Na,86,-.143
106,107,,Mark Anderson,54,-.141
107,108,,Søren Kjeldsen,58,-.140
108,T109,,Mackenzie Hughes,106,-.139
109,T109,,Matt Jones,64,-.139
110,T109,,J.J. Spaun,92,-.139
111,T112,,Rickie Fowler,78,-.138
112,T112,,Chris Stroud,67,-.138
113,114,,Ryan Armour,63,-.133
114,T115,,Bill Haas,92,-.131
115,T115,,Sam Saunders,76,-.131
116,117,,Phil Mickelson,85,-.128
117,T118,,Steven Alker,69,-.126
118,T118,,Seung-Yul Noh,91,-.126
119,120,,Rory Sabbatini,71,-.125
120,121,,C.T. Pan,88,-.123
121,122,,Roberto Castro,70,-.122
122,123,,Camilo Villegas,76,-.120
123,T124,,John Huh,92,-.119
124,T124,,Richy Werenski,81,-.119
125,126,,Martin Flores,88,-.118
126,T127,,Hideki Matsuyama,83,-.117
127,T127,,Kyle Reifers,96,-.117
128,T129,,Nick Taylor,97,-.116
129,T129,,Gary Woodland,94,-.116
130,131,,Billy Horschel,88,-.115
131,132,,Rod Pampling,71,-.114
132,133,,Cameron Tringale,89,-.113
133,T134,,Jim Furyk,54,-.111
134,T134,,Ryo Ishikawa,56,-.111
135,136,,Jonathan Randolph,68,-.109
136,137,,Jim Herman,77,-.104
137,T138,,J.J. Henry,92,-.101
138,T138,,Danny Lee,93,-.101
139,T140,,Ryan Palmer,61,-.100
140,T140,,Hudson Swafford,94,-.100
141,142,,Peter Malnati,91,-.099
142,143,,David Lingmerth,79,-.098
143,144,,Tony Finau,106,-.093
144,145,,Andrew Loupe,55,-.092
145,T146,,Scott Brown,95,-.091
146,T146,,Ernie Els,52,-.091
147,148,,Greg Chalmers,75,-.090
148,149,,Jhonattan Vegas,95,-.089
149,T150,,Hunter Mahan,73,-.088
150,T150,,Carl Pettersson,63,-.088
151,152,,Brian Stuard,93,-.085
152,153,,Nick Watney,75,-.082
153,154,,Si Woo Kim,80,-.079
154,T155,,Harris English,84,-.078
155,T155,,William McGirt,89,-.078
156,T155,,Geoff Ogilvy,80,-.078
157,T158,,Ryan Brehm,83,-.077
