,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,,Jason Day,71,24.59,30,122
1,2,,Rory Sabbatini,71,23.64,26,110
2,3,,Jon Rahm,90,23.39,29,124
3,4,,Justin Thomas,86,22.14,29,131
4,5,,Brandon Hagy,85,21.38,34,159
5,6,,Danny Lee,93,20.77,27,130
6,7,,Sebastián Muñoz,51,20.73,17,82
7,8,,Kevin Na,86,20.54,23,112
8,9,,Jamie Lovemark,98,20.13,32,159
9,10,,Tony Finau,106,19.67,36,183
10,11,,Webb Simpson,102,19.49,23,118
11,12,,Miguel Angel Carballo,63,19.23,20,104
12,13,,Matt Every,76,18.75,21,112
13,14,,Jason Kokrak,95,18.66,25,134
14,15,,Adam Scott,58,18.37,18,98
15,16,,Luke List,102,18.28,34,186
16,17,,Shane Lowry,52,18.18,10,55
17,18,,James Hahn,96,18.12,25,138
18,19,,Aaron Baddeley,61,17.86,20,112
19,20,,Andres Gonzales,73,17.81,26,146
20,21,,J.B. Holmes,83,17.78,24,135
21,22,,Graeme McDowell,56,17.74,11,62
22,23,,Hideki Matsuyama,83,17.69,23,130
23,24,,Zac Blair,105,17.61,25,142
24,25,,Jordan Spieth,85,17.5,21,120
25,26,,Xander Schauffele,96,17.31,27,156
26,27,,Sean O'Hair,84,17.27,19,110
27,28,,Jim Herman,77,17.11,13,76
28,T29,,Martin Flores,88,16.87,28,166
29,T29,,Nick Taylor,97,16.87,28,166
30,31,,Ryan Palmer,61,16.81,19,113
31,T32,,Zach Johnson,81,16.67,14,84
32,T32,,Trey Mullinax,88,16.67,26,156
33,T32,,Louis Oosthuizen,69,16.67,14,84
34,T32,,Charl Schwartzel,63,16.67,15,90
35,T32,,Brendan Steele,89,16.67,21,126
36,37,,Bryson DeChambeau,91,16.55,24,145
37,T38,,Jason Dufner,89,16.54,21,127
38,T38,,Whee Kim,74,16.54,21,127
39,40,,J.T. Poston,95,16.47,28,170
40,41,,Kelly Kraft,75,16.42,22,134
41,42,,Marc Leishman,94,16.38,29,177
42,43,,David Lingmerth,79,16.33,16,98
43,44,,Kevin Chappell,95,16.3,22,135
44,45,,Tim Wilkinson,64,16.25,13,80
45,46,,Scott Brown,95,16.15,21,130
46,T47,,Harris English,84,16.13,25,155
47,T47,,Justin Rose,66,16.13,15,93
48,49,,Ollie Schniederjans,92,16.09,28,174
49,T50,,Michael Kim,94,16.0,24,150
50,T50,,Brooks Koepka,88,16.0,20,125
51,52,,Ken Duke,77,15.97,19,119
52,53,,Pat Perez,93,15.92,25,157
53,54,,Seamus Power,86,15.79,24,152
54,55,,Peter Malnati,91,15.75,23,146
55,56,,Brian Campbell,55,15.73,14,89
56,57,,Lucas Glover,93,15.71,22,140
57,58,,Graham DeLaet,82,15.65,18,115
58,59,,Grayson Murray,94,15.61,27,173
59,60,,Adam Hadwin,98,15.6,17,109
60,61,,Fabián Gómez,61,15.52,18,116
61,62,,Rickie Fowler,78,15.48,13,84
62,63,,Branden Grace,70,15.38,14,91
63,64,,Sam Saunders,76,15.32,19,124
64,65,,Robert Garrigus,78,15.24,16,105
65,66,,Gary Woodland,94,15.2,19,125
66,67,,Boo Weekley,75,15.19,12,79
67,68,,Kevin Streelman,90,15.15,20,132
68,69,,Roberto Castro,70,15.12,13,86
69,70,,Mackenzie Hughes,106,15.05,31,206
70,71,,Harold Varner III,101,15.0,24,160
71,72,,Anirban Lahiri,72,14.88,18,121
72,73,,Charley Hoffman,112,14.78,30,203
73,74,,Vaughn Taylor,90,14.74,14,95
74,75,,Cameron Tringale,89,14.66,17,116
75,76,,Jimmy Walker,68,14.63,18,123
76,77,,Bubba Watson,71,14.58,14,96
77,78,,Kevin Kisner,105,14.55,16,110
78,79,,Julián Etulain,68,14.43,14,97
79,80,,Hunter Mahan,73,14.41,17,118
80,T81,,Dominic Bozzelli,69,14.29,20,140
81,T81,,Chad Collins,66,14.29,15,105
82,T81,,Seung-Yul Noh,91,14.29,23,161
83,84,,Stewart Cink,93,14.19,21,148
84,85,,Nick Watney,75,14.17,17,120
85,T86,,Mark Anderson,54,14.13,13,92
86,T86,,Billy Hurley III,80,14.13,13,92
87,T88,,Rafa Cabrera Bello,63,14.12,12,85
88,T88,,Russell Knox,75,14.12,12,85
89,90,,Robert Streb,98,14.07,19,135
90,91,,Nicholas Lindheim,58,14.06,18,128
91,92,,Tyrone Van Aswegen,105,14.0,21,150
92,93,,D.A. Points,68,13.95,12,86
93,94,,Jhonattan Vegas,95,13.91,21,151
94,95,,Derek Fathauer,81,13.89,20,144
95,96,,Patrick Cantlay,52,13.83,13,94
96,97,,Daniel Summerhays,100,13.79,20,145
97,98,,Ricky Barnes,100,13.75,22,160
98,99,,Steven Bowditch,59,13.68,13,95
99,100,,Chez Reavie,98,13.64,15,110
100,101,,Patton Kizzire,84,13.61,20,147
101,102,,Luke Donald,50,13.58,11,81
102,103,,Geoff Ogilvy,80,13.53,18,133
103,104,,Kevin Tway,96,13.37,23,172
104,105,,Cameron Smith,86,13.33,20,150
105,106,,Dustin Johnson,77,13.27,15,113
106,107,,Jonathan Randolph,68,13.19,12,91
107,T108,,Matt Jones,64,13.16,15,114
108,T108,,Scott Piercy,70,13.16,15,114
109,110,,Chris Kirk,89,13.14,18,137
110,111,,Patrick Rodgers,76,13.1,19,145
111,112,,Kyle Stanley,104,13.01,19,146
112,113,,Hudson Swafford,94,12.78,17,133
113,114,,Kyle Reifers,96,12.73,14,110
114,115,,J.J. Spaun,92,12.69,17,134
115,T116,,Brett Stegmaier,78,12.62,13,103
116,T116,,Johnson Wagner,71,12.62,13,103
117,118,,Charles Howell III,86,12.58,20,159
118,119,,Chad Campbell,97,12.5,17,136
119,120,,Greg Chalmers,75,12.4,16,129
120,121,,Andrew Loupe,55,12.32,17,138
