,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,,Dustin Johnson,77,-0.19
1,2,,Jordan Spieth,85,-0.17
2,3,,Rickie Fowler,78,-0.165
3,T4,,Jason Day,71,-0.157
4,T4,,Justin Thomas,86,-0.157
5,6,,Phil Mickelson,85,-0.14800000000000002
6,7,,Marc Leishman,94,-0.145
7,8,,Jon Rahm,90,-0.14300000000000002
8,9,,Hideki Matsuyama,83,-0.142
9,10,,Justin Rose,66,-0.139
10,11,,Tony Finau,106,-0.135
11,12,,Cameron Smith,86,-0.134
12,13,,Francesco Molinari,75,-0.133
13,14,,Brooks Koepka,88,-0.129
14,15,,Russell Henley,99,-0.128
15,16,,Keegan Bradley,104,-0.127
16,17,,Daniel Berger,91,-0.124
17,T18,,Paul Casey,94,-0.122
18,T18,,Stewart Cink,93,-0.122
19,20,,Kevin Kisner,105,-0.12
20,21,,Brendan Steele,89,-0.11800000000000001
21,22,,Robert Garrigus,78,-0.11599999999999999
22,T23,,Lucas Glover,93,-0.114
23,T23,,Kyle Stanley,104,-0.114
24,25,,Matt Kuchar,95,-0.113
25,26,,Brian Harman,104,-0.11199999999999999
26,27,,Louis Oosthuizen,69,-0.11
27,28,,J.T. Poston,95,-0.109
28,29,,Ollie Schniederjans,92,-0.10800000000000001
29,T30,,Sergio Garcia,65,-0.107
30,T30,,Pat Perez,93,-0.107
31,T30,,Brandt Snedeker,53,-0.107
32,T33,,Charley Hoffman,112,-0.106
33,T33,,Chez Reavie,98,-0.106
34,T33,,Webb Simpson,102,-0.106
35,36,,Gary Woodland,94,-0.105
36,T37,,Chad Campbell,97,-0.10400000000000001
37,T37,,Scott Piercy,70,-0.10400000000000001
38,T39,,Tom Hoge,54,-0.10300000000000001
39,T39,,Kevin Na,86,-0.10300000000000001
40,T41,,Patrick Cantlay,52,-0.102
41,T41,,Bryson DeChambeau,91,-0.102
42,T41,,Patrick Reed,107,-0.102
43,T41,,Jimmy Walker,68,-0.102
44,T45,,Jason Dufner,89,-0.10099999999999999
45,T45,,Rory McIlroy,51,-0.10099999999999999
46,T45,,Xander Schauffele,96,-0.10099999999999999
47,T48,,Sebastián Muñoz,51,-0.099
48,T48,,Ian Poulter,72,-0.099
49,T50,,Graham DeLaet,82,-0.098
50,T50,,Seamus Power,86,-0.098
51,T50,,Rory Sabbatini,71,-0.098
52,T53,,Brian Campbell,55,-0.09699999999999999
53,T53,,J.B. Holmes,83,-0.09699999999999999
54,T53,,Charles Howell III,86,-0.09699999999999999
55,T53,,Zach Johnson,81,-0.09699999999999999
56,T53,,Smylie Kaufman,76,-0.09699999999999999
57,T58,,Blayne Barber,77,-0.096
58,T58,,Wesley Bryan,95,-0.096
59,T58,,Seung-Yul Noh,91,-0.096
60,T58,,Kevin Tway,96,-0.096
61,T62,,Martin Laird,83,-0.095
62,T62,,Shane Lowry,52,-0.095
63,T62,,Scott Stallings,81,-0.095
64,65,,Camilo Villegas,76,-0.094
