,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,,Dustin Johnson,77,74.66,766,1026,-235.0
1,2,,Kyle Stanley,104,74.35,1258,1692,-323.0
2,3,,Jordan Spieth,85,74.13,854,1152,-287.0
3,4,,Jon Rahm,90,73.7,849,1152,-254.0
4,5,,Cameron Percy,71,73.64,729,990,-152.0
5,6,,Graham DeLaet,82,73.55,940,1278,-238.0
6,7,,Lucas Glover,93,73.35,1109,1512,-286.0
7,8,,Justin Rose,66,73.2,672,918,-190.0
8,9,,Stewart Cink,93,73.02,1012,1386,-271.0
9,10,,Boo Weekley,75,72.86,800,1098,-162.0
10,11,,J.J. Henry,92,72.67,981,1350,-185.0
11,T12,,Chad Campbell,97,72.55,1110,1530,-247.0
12,T12,,Martin Flores,88,72.55,875,1206,-204.0
13,14,,Billy Horschel,88,72.51,1018,1404,-232.0
14,15,,Paul Casey,94,72.39,873,1206,-241.0
15,16,,Ryan Armour,63,72.34,638,882,-143.0
16,17,,Blayne Barber,77,72.31,872,1206,-220.0
17,18,,Andres Gonzales,73,72.03,739,1026,-183.0
18,19,,Keegan Bradley,104,71.97,1127,1566,-288.0
19,20,,Tony Finau,106,71.92,1178,1638,-360.0
20,21,,Luke List,102,71.9,1113,1548,-319.0
21,22,,Sergio Garcia,65,71.83,543,756,-133.0
22,23,,Robert Garrigus,78,71.76,775,1080,-208.0
23,24,,Patrick Cantlay,52,71.74,594,828,-170.0
24,25,,Rory McIlroy,51,71.73,439,612,-113.0
25,T26,,Francesco Molinari,75,71.64,735,1026,-198.0
26,T26,,Hudson Swafford,94,71.64,980,1368,-250.0
27,28,,Hideki Matsuyama,83,71.62,709,990,-210.0
28,T29,,Ryan Brehm,83,71.49,785,1098,-184.0
29,T29,,William McGirt,89,71.49,875,1224,-200.0
30,31,,Jim Herman,77,71.46,849,1188,-212.0
31,32,,Gary Woodland,94,71.35,822,1152,-220.0
32,33,,Bud Cauley,92,71.25,1026,1440,-250.0
33,34,,Russell Henley,99,71.21,1051,1476,-302.0
34,35,,Nick Watney,75,71.09,819,1152,-187.0
35,36,,Kevin Na,86,71.06,793,1116,-225.0
36,T37,,Scott Piercy,70,71.04,601,846,-159.0
37,T37,,Justin Thomas,86,71.04,780,1098,-269.0
38,39,,Kevin Kisner,105,70.93,932,1314,-244.0
39,40,,Rickie Fowler,78,70.81,752,1062,-243.0
40,41,,Shane Lowry,52,70.75,433,612,-127.0
41,T42,,Daniel Berger,91,70.73,853,1206,-246.0
42,T42,,Brendan Steele,89,70.73,853,1206,-228.0
43,T42,,Johnson Wagner,71,70.73,725,1025,-162.0
44,45,,Bill Haas,92,70.67,865,1224,-204.0
45,46,,Emiliano Grillo,90,70.66,814,1152,-193.0
46,47,,Ollie Schniederjans,92,70.58,1029,1458,-279.0
47,48,,Ben Martin,86,70.4,887,1260,-218.0
48,T49,,Trey Mullinax,88,70.37,836,1188,-213.0
49,T49,,Jhonattan Vegas,95,70.37,874,1242,-213.0
50,51,,C.T. Pan,88,70.35,937,1332,-194.0
51,52,,Rory Sabbatini,71,70.34,671,954,-190.0
52,53,,Sean O'Hair,84,70.26,860,1224,-230.0
53,T54,,Jason Dufner,89,70.24,885,1260,-244.0
54,T54,,Xander Schauffele,96,70.24,885,1260,-240.0
55,56,,Ryan Palmer,61,70.21,594,846,-126.0
56,57,,Bryson DeChambeau,91,70.19,897,1278,-225.0
57,T58,,Brandt Snedeker,53,70.18,480,684,-134.0
58,T58,,Scott Stallings,81,70.18,859,1224,-209.0
59,60,,J.J. Spaun,92,70.14,909,1296,-212.0
60,61,,Marc Leishman,94,70.13,871,1242,-256.0
61,62,,Chez Reavie,98,70.11,997,1422,-272.0
62,T63,,Jason Kokrak,95,70.04,996,1422,-236.0
63,T63,,Richy Werenski,81,70.04,769,1098,-177.0
64,65,,Charles Howell III,86,70.02,857,1224,-211.0
65,66,,Kevin Streelman,90,70.01,983,1404,-217.0
66,67,,Shawn Stefani,72,70.0,756,1080,-179.0
67,T68,,Vaughn Taylor,90,69.88,956,1368,-246.0
68,T68,,Nick Taylor,97,69.88,1044,1494,-231.0
69,70,,Matt Kuchar,95,69.86,918,1314,-233.0
70,T71,,Charley Hoffman,112,69.85,1119,1602,-325.0
71,T71,,Troy Merritt,82,69.85,855,1224,-215.0
72,73,,Ryan Moore,82,69.74,816,1170,-208.0
73,74,,Seamus Power,86,69.69,853,1224,-233.0
74,75,,Harold Varner III,101,69.64,1078,1548,-259.0
75,76,,James Hahn,96,69.55,1014,1458,-245.0
76,T77,,Branden Grace,70,69.51,538,774,-123.0
77,T77,,Webb Simpson,102,69.51,1001,1440,-273.0
78,T79,,Rick Lamb,54,69.44,475,684,-114.0
79,T79,,Tyrone Van Aswegen,105,69.44,1000,1440,-224.0
80,81,,Ben Crane,86,69.4,862,1242,-194.0
81,82,,Louis Oosthuizen,69,69.39,587,846,-153.0
82,83,,Tom Hoge,54,69.37,487,702,-125.0
83,84,,Martin Laird,83,69.36,849,1224,-230.0
84,85,,J.T. Poston,95,69.33,886,1278,-242.0
85,86,,Spencer Levin,89,69.32,836,1206,-166.0
86,87,,Danny Lee,93,69.15,946,1368,-250.0
87,88,,Mark Hubbard,81,69.13,759,1098,-169.0
88,89,,Pat Perez,93,69.09,883,1278,-234.0
89,90,,Jim Furyk,54,69.03,497,720,-110.0
90,T91,,Smylie Kaufman,76,68.78,780,1134,-207.0
91,T91,,Tag Ridings,67,68.78,619,900,-175.0
92,93,,D.A. Points,68,68.77,718,1044,-156.0
93,94,,Russell Knox,75,68.7,643,936,-156.0
94,95,,Seung-Yul Noh,91,68.67,927,1350,-243.0
95,96,,Michael Kim,94,68.65,1038,1512,-271.0
96,T97,,Julián Etulain,68,68.63,630,918,-147.0
97,T97,,Chris Stroud,67,68.63,593,864,-144.0
98,99,,Adam Scott,58,68.61,494,720,-127.0
99,100,,Sam Saunders,76,68.58,753,1098,-204.0
100,101,,John Huh,92,68.57,938,1368,-217.0
101,102,,Kevin Chappell,95,68.55,839,1224,-231.0
102,103,,Bubba Watson,71,68.52,629,918,-163.0
103,104,,Ian Poulter,72,68.48,678,990,-163.0
104,105,,Brandon Hagy,85,68.44,850,1242,-232.0
105,106,,Ryan Blaum,100,68.43,1010,1476,-252.0
106,107,,Steven Alker,69,68.41,628,918,-148.0
107,108,,Jimmy Walker,68,68.4,591,864,-162.0
108,109,,Brett Stegmaier,78,68.39,714,1044,-157.0
109,T110,,Zac Blair,105,68.38,997,1458,-223.0
110,T110,,Sebastián Muñoz,51,68.38,480,702,-140.0
111,112,,Billy Hurley III,80,68.36,849,1242,-217.0
112,113,,Miguel Angel Carballo,63,68.31,528,773,-111.0
113,114,,Alex Cejka,85,68.28,762,1116,-159.0
114,115,,Jamie Lovemark,98,68.27,934,1368,-276.0
115,116,,Zach Johnson,81,68.23,786,1152,-203.0
116,117,,Mackenzie Hughes,106,68.11,1177,1728,-315.0
117,T118,,Sung Kang,104,68.02,1004,1476,-276.0
118,T118,,Chris Kirk,89,68.02,857,1260,-232.0
119,120,,Robert Streb,98,67.99,1028,1512,-253.0
120,121,,Byeong Hun An,77,67.98,673,990,-175.0
121,122,,Harris English,84,67.97,832,1224,-214.0
122,T123,,Kyle Reifers,96,67.94,905,1332,-183.0
123,T123,,Kevin Tway,96,67.94,905,1332,-253.0
124,125,,Scott Brown,95,67.81,952,1404,-244.0
125,126,,Retief Goosen,52,67.75,500,738,-116.0
126,T127,,Roberto Castro,70,67.74,634,936,-118.0
127,T127,,Geoff Ogilvy,80,67.74,817,1206,-186.0
128,129,,Jason Day,71,67.71,646,954,-216.0
129,130,,Ken Duke,77,67.69,731,1080,-168.0
130,131,,Patrick Rodgers,76,67.68,804,1188,-161.0
131,T132,,Adam Hadwin,98,67.63,913,1350,-244.0
132,T132,,Phil Mickelson,85,67.63,840,1242,-263.0
133,134,,Brian Stuard,93,67.5,814,1206,-195.0
134,135,,Brian Gay,82,67.47,838,1242,-222.0
135,136,,Grayson Murray,94,67.45,1032,1530,-311.0
136,T137,,Fabián Gómez,61,67.43,619,918,-152.0
137,T137,,Matt Jones,64,67.43,619,918,-161.0
138,T139,,Nicholas Lindheim,58,67.42,534,792,-119.0
139,T139,,Hunter Mahan,73,67.42,716,1062,-159.0
140,141,,Daniel Summerhays,100,67.38,946,1404,-255.0
141,142,,Aaron Baddeley,61,67.27,557,828,-141.0
142,143,,Brian Campbell,55,67.21,496,738,-138.0
143,144,,Brad Fritsch,56,67.2,508,756,-114.0
144,145,,Morgan Hoffmann,92,67.05,989,1475,-266.0
145,146,,Jason Bohn,75,67.03,748,1116,-150.0
146,147,,Brian Harman,104,66.94,988,1476,-283.0
147,148,,Rod Pampling,71,66.84,794,1188,-172.0
148,T149,,Patton Kizzire,84,66.82,866,1296,-229.0
149,T149,,Cameron Smith,86,66.82,854,1278,-266.0
150,151,,Cameron Tringale,89,66.75,781,1170,-193.0
151,152,,Derek Fathauer,81,66.67,768,1152,-212.0
152,153,,Brooks Koepka,88,66.58,755,1134,-255.0
153,154,,Patrick Reed,107,66.53,958,1440,-282.0
154,155,,Mark Anderson,54,66.4,502,756,-122.0
155,156,,David Hearn,93,66.35,848,1278,-187.0
156,157,,David Lingmerth,79,66.32,776,1170,-217.0
157,158,,Tim Wilkinson,64,66.3,549,828,-141.0
158,159,,Graeme McDowell,56,66.2,572,864,-155.0
159,160,,Jonathan Randolph,68,66.19,560,846,-140.0
160,161,,Peter Malnati,91,66.13,869,1314,-240.0
161,162,,Michael Thompson,60,66.04,523,792,-121.0
162,163,,Cody Gribble,79,66.03,832,1260,-229.0
163,164,,Kelly Kraft,75,65.9,771,1170,-192.0
164,165,,Brett Drewitt,57,65.76,509,774,-111.0
165,166,,K.J. Choi,72,65.74,639,972,-153.0
166,167,,Ricky Barnes,100,65.73,911,1386,-241.0
167,168,,Whee Kim,74,65.61,685,1044,-170.0
168,169,,J.B. Holmes,83,65.59,673,1026,-204.0
169,170,,Gonzalo Fernandez-Castaño,63,65.28,517,792,-130.0
170,171,,Chad Collins,66,65.12,633,972,-154.0
171,172,,Camilo Villegas,76,65.05,726,1116,-205.0
172,173,,Anirban Lahiri,72,64.69,687,1062,-192.0
173,174,,Charl Schwartzel,63,64.49,534,828,-162.0
174,175,,Dominic Bozzelli,69,64.44,638,990,-169.0
175,176,,Steve Wheatcroft,51,64.17,462,720,-109.0
176,177,,Greg Chalmers,75,64.05,784,1224,-200.0
177,178,,Wesley Bryan,95,63.93,863,1350,-250.0
178,179,,Matt Every,76,63.57,698,1098,-201.0
179,180,,Jonas Blixt,74,63.56,675,1062,-180.0
180,181,,Bryce Molder,74,63.45,731,1152,-163.0
181,T182,,Luke Donald,50,63.31,490,774,-126.0
182,T182,,Ryo Ishikawa,56,63.31,490,774,-116.0
183,184,,Andrew Loupe,55,63.0,533,846,-129.0
184,T185,,Rafa Cabrera Bello,63,62.91,475,755,-125.0
185,T185,,Søren Kjeldsen,58,62.91,385,612,-110.0
186,187,,Si Woo Kim,80,61.81,623,1008,-150.0
187,188,,Carl Pettersson,63,61.54,576,936,-151.0
188,189,,Ernie Els,52,60.61,360,594,-94.0
189,190,,Steven Bowditch,59,56.79,460,810,-88.0
