,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,,Søren Kjeldsen,58,100.0,1.0,1
1,T1,,Andrew Loupe,55,100.0,4.0,4
2,T1,,Trey Mullinax,88,100.0,9.0,9
3,T1,,Adam Scott,58,100.0,2.0,2
4,T1,,Gary Woodland,94,100.0,3.0,3
5,6,,Scott Brown,95,91.67,11.0,12
6,7,,Rickie Fowler,78,90.91,10.0,11
7,8,,Kevin Kisner,105,88.89,8.0,9
8,9,,Brandt Snedeker,53,87.5,7.0,8
9,T10,,Steven Bowditch,59,85.71,6.0,7
10,T10,,Jason Day,71,85.71,6.0,7
11,T10,,Adam Hadwin,98,85.71,6.0,7
12,T10,,Anirban Lahiri,72,85.71,6.0,7
13,T14,,Chad Campbell,97,83.33,5.0,6
14,T14,,J.B. Holmes,83,83.33,5.0,6
15,T14,,Billy Hurley III,80,83.33,5.0,6
16,T14,,Bubba Watson,71,83.33,5.0,6
17,T18,,Brian Campbell,55,80.0,4.0,5
18,T18,,Tom Hoge,54,80.0,4.0,5
19,T18,,Rory McIlroy,51,80.0,4.0,5
20,T18,,Ian Poulter,72,80.0,4.0,5
21,T22,,Alex Cejka,85,77.78,7.0,9
22,T22,,J.J. Spaun,92,77.78,7.0,9
23,T24,,Mark Anderson,54,75.0,3.0,4
24,T24,,Ryan Blaum,100,75.0,6.0,8
25,T24,,Julián Etulain,68,75.0,3.0,4
26,T24,,Sergio Garcia,65,75.0,3.0,4
27,T24,,Brandon Hagy,85,75.0,6.0,8
28,T24,,Billy Horschel,88,75.0,3.0,4
29,T24,,Sebastián Muñoz,51,75.0,3.0,4
30,T24,,Kyle Reifers,96,75.0,6.0,8
31,T24,,Webb Simpson,102,75.0,3.0,4
32,T24,,Kyle Stanley,104,75.0,15.0,20
33,T24,,Camilo Villegas,76,75.0,3.0,4
34,T35,,Justin Rose,66,72.73,8.0,11
35,T35,,Brian Stuard,93,72.73,8.0,11
36,T37,,Dominic Bozzelli,69,71.43,5.0,7
37,T37,,K.J. Choi,72,71.43,5.0,7
38,T37,,Graham DeLaet,82,71.43,5.0,7
39,T37,,Luke Donald,50,71.43,5.0,7
40,T37,,Matt Kuchar,95,71.43,5.0,7
41,T37,,Jamie Lovemark,98,71.43,10.0,14
42,T37,,Seung-Yul Noh,91,71.43,5.0,7
43,T37,,Sean O'Hair,84,71.43,5.0,7
44,T37,,Jonathan Randolph,68,71.43,5.0,7
45,T46,,Harris English,84,70.0,7.0,10
46,T46,,Si Woo Kim,80,70.0,7.0,10
47,T46,,Marc Leishman,94,70.0,7.0,10
48,T46,,Xander Schauffele,96,70.0,7.0,10
49,T46,,Kevin Streelman,90,70.0,7.0,10
50,T46,,Daniel Summerhays,100,70.0,7.0,10
51,T46,,Vaughn Taylor,90,70.0,7.0,10
52,53,,Bryson DeChambeau,91,69.23,9.0,13
53,54,,Charley Hoffman,112,68.42,13.0,19
54,T55,,Wesley Bryan,95,66.67,8.0,12
55,T55,,Lucas Glover,93,66.67,4.0,6
56,T55,,James Hahn,96,66.67,4.0,6
57,T55,,John Huh,92,66.67,8.0,12
58,T55,,Matt Jones,64,66.67,2.0,3
59,T55,,Bryce Molder,74,66.67,4.0,6
60,T55,,Rod Pampling,71,66.67,6.0,9
61,T55,,Cameron Percy,71,66.67,4.0,6
62,T55,,Jhonattan Vegas,95,66.67,2.0,3
63,64,,Harold Varner III,101,64.29,9.0,14
64,T65,,Russell Henley,99,63.64,7.0,11
65,T65,,Chris Kirk,89,63.64,7.0,11
66,T65,,Troy Merritt,82,63.64,7.0,11
67,T65,,Scott Piercy,70,63.64,7.0,11
68,T65,,Charl Schwartzel,63,63.64,7.0,11
69,T70,,Keegan Bradley,104,62.5,5.0,8
70,T70,,Tony Finau,106,62.5,5.0,8
71,T70,,Jason Kokrak,95,62.5,10.0,16
72,T70,,Graeme McDowell,56,62.5,5.0,8
73,T70,,Sam Saunders,76,62.5,5.0,8
74,T75,,Andres Gonzales,73,60.0,3.0,5
75,T75,,Emiliano Grillo,90,60.0,6.0,10
76,T75,,Brian Harman,104,60.0,6.0,10
77,T75,,J.J. Henry,92,60.0,3.0,5
78,T75,,Rick Lamb,54,60.0,6.0,10
79,T75,,Francesco Molinari,75,60.0,3.0,5
80,T75,,Cameron Smith,86,60.0,3.0,5
81,T75,,Tyrone Van Aswegen,105,60.0,3.0,5
82,T83,,Blayne Barber,77,58.33,7.0,12
83,T83,,Mark Hubbard,81,58.33,7.0,12
84,T83,,Sung Kang,104,58.33,7.0,12
85,T83,,David Lingmerth,79,58.33,7.0,12
86,T83,,Scott Stallings,81,58.33,7.0,12
87,T83,,Robert Streb,98,58.33,7.0,12
88,T89,,Steven Alker,69,57.14,4.0,7
89,T89,,Aaron Baddeley,61,57.14,4.0,7
90,T89,,Zac Blair,105,57.14,8.0,14
91,T89,,Charles Howell III,86,57.14,4.0,7
92,T89,,Phil Mickelson,85,57.14,4.0,7
93,T89,,Pat Perez,93,57.14,8.0,14
94,T89,,Tag Ridings,67,57.14,4.0,7
95,T89,,Jordan Spieth,85,57.14,4.0,7
96,T89,,Nick Watney,75,57.14,4.0,7
97,98,,C.T. Pan,88,56.25,9.0,16
