,Driving_Pct._260-280_All_Drives_RANK THIS WEEK,Driving_Pct._260-280_All_Drives_RANK LAST WEEK,Driving_Pct._260-280_All_Drives_PLAYER NAME,Driving_Pct._260-280_All_Drives_ROUNDS,Driving_Pct._260-280_All_Drives_%,Driving_Pct._260-280_All_Drives_TOTAL DRIVES FOR 260-280,Driving_Pct._260-280_All_Drives_TOTAL DRIVES - OVERALL,Driving_Pct._260-280_All_Drives_RELATIVE TO PAR
0,1,,Zac Blair,105,42.05,476,1132,-0.015
1,2,,Jim Furyk,54,41.91,233,556,-0.099
2,3,,Tim Wilkinson,64,40.47,259,640,+0.004
3,4,,Ryan Armour,63,40.23,276,686,-0.014
4,5,,Spencer Levin,89,39.74,372,936,+0.030
5,6,,Ben Crane,86,38.05,366,962,+0.019
6,7,,Graeme McDowell,56,37.72,252,668,-0.020
7,8,,Brian Gay,82,37.66,363,964,-0.011
8,9,,Bryce Molder,74,37.47,335,894,-0.012
9,10,,Brian Stuard,93,37.42,351,938,-0.009
10,11,,Steven Alker,69,36.97,264,714,-0.049
11,12,,Peter Malnati,91,36.37,371,1020,E
12,13,,D.A. Points,68,36.21,294,812,+0.088
13,14,,Ken Duke,77,35.92,301,838,-0.043
14,15,,Luke Donald,50,35.83,215,600,+0.009
15,16,,Billy Hurley III,80,35.74,346,968,-0.017
16,17,,Jason Bohn,75,34.99,303,866,+0.079
17,18,,Søren Kjeldsen,58,33.9,160,472,-0.044
18,19,,Vaughn Taylor,90,33.8,361,1068,+0.008
19,20,,Chad Collins,66,33.69,254,754,+0.039
20,21,,Ryan Blaum,100,33.65,385,1144,+0.073
21,22,,David Hearn,93,33.43,331,990,+0.015
22,23,,K.J. Choi,72,33.42,252,754,+0.032
23,24,,Greg Chalmers,75,33.02,315,954,+0.019
24,25,,Roberto Castro,70,32.55,237,728,+0.068
25,26,,Wesley Bryan,95,32.12,336,1046,-0.024
26,27,,Cameron Tringale,89,31.83,289,908,+0.062
27,28,,Chez Reavie,98,31.76,350,1102,-0.066
28,29,,Carl Pettersson,63,31.54,229,726,+0.153
29,30,,Kyle Reifers,96,31.2,322,1032,+0.047
30,31,,Michael Thompson,60,31.11,191,614,+0.110
31,32,,Kevin Na,86,31.06,269,866,-0.134
32,33,,Brandt Snedeker,53,30.97,166,536,-0.169
33,34,,Ernie Els,52,30.87,142,460,+0.092
34,35,,Johnson Wagner,71,30.65,244,796,+0.033
35,36,,Mark Hubbard,81,30.4,259,852,-0.012
36,37,,Derek Fathauer,81,30.31,271,894,+0.059
37,38,,Ricky Barnes,100,30.11,324,1076,+0.019
38,39,,Alex Cejka,85,30.09,260,864,+0.085
39,40,,Chris Kirk,89,29.96,293,978,+0.031
40,41,,Geoff Ogilvy,80,29.81,279,936,+0.068
41,42,,Chad Campbell,97,29.6,351,1186,+0.020
42,43,,Steve Wheatcroft,51,29.21,163,558,+0.037
43,44,,Camilo Villegas,76,28.92,251,868,+0.028
44,45,,John Huh,92,28.87,306,1060,-0.013
45,46,,Tyrone Van Aswegen,105,28.85,322,1116,+0.016
46,47,,Rafa Cabrera Bello,63,28.74,169,588,+0.059
47,48,,Ian Poulter,72,28.72,220,766,-0.041
48,49,,Webb Simpson,102,28.67,320,1116,+0.003
49,50,,Mark Anderson,54,28.23,166,588,+0.072
50,51,,Michael Kim,94,28.07,329,1172,+0.009
51,52,,Brett Drewitt,57,27.74,167,602,+0.072
52,53,,William McGirt,89,27.62,264,956,-0.030
53,54,,Chris Stroud,67,27.23,183,672,-0.016
54,55,,Matt Kuchar,95,26.92,274,1018,-0.058
55,56,,Jonathan Randolph,68,26.9,177,658,+0.085
56,57,,Brian Harman,104,26.88,308,1146,+0.026
57,58,,Boo Weekley,75,26.76,228,852,+0.088
58,59,,Daniel Summerhays,100,26.7,291,1090,+0.069
59,T60,,Whee Kim,74,26.51,215,811,+0.019
60,T60,,Nick Taylor,97,26.51,307,1158,+0.042
61,62,,Fabián Gómez,61,26.46,190,718,E
62,63,,Miguel Angel Carballo,63,26.41,159,602,+0.176
63,64,,C.T. Pan,88,26.31,272,1034,+0.147
64,65,,Tom Hoge,54,26.19,143,546,+0.084
