,Right_Rough_Tendency_RTP_Score_RANK THIS WEEK,Right_Rough_Tendency_RTP_Score_RANK LAST WEEK,Right_Rough_Tendency_RTP_Score_PLAYER NAME,Right_Rough_Tendency_RTP_Score_ROUNDS,Right_Rough_Tendency_RTP_Score_RTP SCORE
0,1,,Justin Thomas,86,-.113
1,2,,Jason Day,71,-.078
2,3,,Jon Rahm,90,-.063
3,4,,Patrick Cantlay,52,-.041
4,5,,Shane Lowry,52,-.039
5,T6,,Luke List,102,-.037
6,T6,,Boo Weekley,75,-.037
7,8,,Branden Grace,70,-.019
8,9,,Chez Reavie,98,-.016
9,10,,Tony Finau,106,-.014
10,11,,Seamus Power,86,-.012
11,T12,,Harris English,84,-.006
12,T12,,Brandon Hagy,85,-.006
13,T12,,Pat Perez,93,-.006
14,T15,,Rory McIlroy,51,E
15,T15,,Xander Schauffele,96,E
16,17,,Jordan Spieth,85,+.007
17,T18,,Graham DeLaet,82,+.008
18,T18,,Dustin Johnson,77,+.008
19,T20,,Louis Oosthuizen,69,+.011
20,T20,,Kevin Tway,96,+.011
21,22,,Adam Hadwin,98,+.014
22,23,,Rory Sabbatini,71,+.016
23,T24,,Jamie Lovemark,98,+.017
24,T24,,Steve Wheatcroft,51,+.017
25,26,,Seung-Yul Noh,91,+.019
26,27,,Ollie Schniederjans,92,+.022
27,T28,,Zac Blair,105,+.025
28,T28,,James Hahn,96,+.025
29,T28,,Sean O'Hair,84,+.025
30,31,,Andres Gonzales,73,+.027
31,32,,Whee Kim,74,+.029
32,33,,Trey Mullinax,88,+.030
33,34,,Rafa Cabrera Bello,63,+.032
34,T35,,Dominic Bozzelli,69,+.034
35,T35,,Matt Jones,64,+.034
36,T35,,Adam Scott,58,+.034
37,T35,,Gary Woodland,94,+.034
38,T39,,Daniel Berger,91,+.035
39,T39,,Jason Dufner,89,+.035
40,41,,Jhonattan Vegas,95,+.036
41,T42,,Kevin Chappell,95,+.037
42,T42,,Grayson Murray,94,+.037
43,T44,,Charley Hoffman,112,+.038
44,T44,,Michael Kim,94,+.038
45,46,,Chris Kirk,89,+.039
46,T47,,Webb Simpson,102,+.041
47,T47,,Kevin Streelman,90,+.041
48,49,,Camilo Villegas,76,+.042
49,50,,Rickie Fowler,78,+.043
50,51,,Marc Leishman,94,+.044
51,52,,Nick Taylor,97,+.045
52,53,,Kevin Na,86,+.047
53,54,,Tim Wilkinson,64,+.048
54,55,,J.T. Poston,95,+.052
55,56,,Andrew Loupe,55,+.054
56,57,,Brian Campbell,55,+.055
57,T58,,David Lingmerth,79,+.058
58,T58,,Robert Streb,98,+.058
59,T58,,Nick Watney,75,+.058
60,61,,Martin Laird,83,+.059
61,T62,,J.B. Holmes,83,+.061
62,T62,,Kyle Reifers,96,+.061
63,64,,Sam Saunders,76,+.062
64,65,,Hideki Matsuyama,83,+.063
65,66,,Shawn Stefani,72,+.065
66,67,,Aaron Baddeley,61,+.067
67,68,,Bill Haas,92,+.068
68,T69,,Stewart Cink,93,+.069
69,T69,,Bryce Molder,74,+.069
70,T69,,Justin Rose,66,+.069
71,T69,,Charl Schwartzel,63,+.069
72,T73,,Luke Donald,50,+.071
73,T73,,Zach Johnson,81,+.071
74,T73,,Sebastián Muñoz,51,+.071
75,T73,,Cameron Percy,71,+.071
76,77,,Bud Cauley,92,+.072
77,78,,Gonzalo Fernandez-Castaño,63,+.073
78,79,,Scott Brown,95,+.074
