,Accuracy_Rating_RANK THIS WEEK,Accuracy_Rating_RANK LAST WEEK,Accuracy_Rating_PLAYER NAME,Accuracy_Rating_EVENTS,Accuracy_Rating_RATING
0,T1,,Michael Johnson,1,9.0
1,T1,,Joost Luiten,1,9.0
2,3,,Sam Burns,1,8.7
3,4,,Bill Lunde,1,8.3
4,5,,Bernd Wiesberger,4,8.0
5,6,,John Peterson,3,7.9
6,T7,,Jordan L Smith,1,7.8
7,T7,,Boo Weekley,9,7.8
8,T9,,Ryan Armour,9,7.7
9,T9,,Matt Gilchrest,1,7.7
10,T9,,Dustin Johnson,14,7.7
11,T9,,Kyle Stanley,22,7.7
12,T13,,Blayne Barber,12,7.6
13,T13,,Graham DeLaet,15,7.6
14,T13,,Rickie Fowler,14,7.6
15,T13,,Shane Lowry,8,7.6
16,T13,,Scott Piercy,9,7.6
17,T13,,Thomas Pieters,3,7.6
18,T13,,Chez Reavie,17,7.6
19,T13,,Jordan Spieth,15,7.6
20,T21,,Keegan Bradley,20,7.5
21,T21,,Robert Garrigus,11,7.5
22,T21,,Jason Gore,1,7.5
23,T21,,Troy Matteson,1,7.5
24,T21,,Francesco Molinari,14,7.5
25,T21,,Ryan Moore,14,7.5
26,T21,,Steve Stricker,7,7.5
27,T28,,Tommy Fleetwood,5,7.4
28,T28,,Jim Furyk,7,7.4
29,T28,,Lucas Glover,20,7.4
30,T28,,Emiliano Grillo,15,7.4
31,T28,,Kevin Kisner,18,7.4
32,T28,,Hideki Matsuyama,13,7.4
33,T28,,Henrik Norlander,4,7.4
34,T28,,Henrik Stenson,7,7.4
35,T28,,Nick Watney,13,7.4
36,T28,,Fabrizio Zanotti,2,7.4
37,T38,,Chad Campbell,17,7.3
38,T38,,Paul Casey,17,7.3
39,T38,,Jon Curran,5,7.3
40,T38,,Jason Dufner,17,7.3
41,T38,,Sergio Garcia,10,7.3
42,T38,,Russell Knox,10,7.3
43,T38,,Ben Martin,13,7.3
44,T38,,Graeme McDowell,10,7.3
45,T38,,Maverick McNealy,1,7.3
46,T38,,George McNeill,1,7.3
47,T38,,Dicky Pride,3,7.3
48,T38,,Jon Rahm,16,7.3
49,T38,,Brian Stuard,9,7.3
50,T38,,Hudson Swafford,16,7.3
51,T38,,Justin Thomas,12,7.3
52,T38,,David Toms,1,7.3
53,T38,,Peter Uihlein,2,7.3
54,T38,,Gary Woodland,15,7.3
55,T56,,Daniel Berger,15,7.2
56,T56,,Roberto Castro,8,7.2
57,T56,,Ross Fisher,3,7.2
58,T56,,Chesson Hadley,3,7.2
59,T56,,David Hearn,13,7.2
60,T56,,Hiroshi Iwata,2,7.2
61,T56,,Andrew Johnston,3,7.2
62,T56,,Michael Kim,18,7.2
63,T56,,Rick Lamb,5,7.2
64,T56,,Grant Leaver,1,7.2
65,T56,,Danny Lee,14,7.2
66,T56,,Davis Love III,5,7.2
67,T56,,Lee McCoy,3,7.2
68,T56,,Kevin Na,13,7.2
69,T56,,Joaquin Niemann,1,7.2
70,T56,,Ryan Palmer,7,7.2
71,T56,,Justin Rose,13,7.2
72,T56,,Webb Simpson,19,7.2
73,T56,,Brendan Steele,16,7.2
74,T56,,Brett Stegmaier,7,7.2
75,T56,,Kevin Streelman,17,7.2
76,T56,,Vaughn Taylor,17,7.2
77,T56,,Richy Werenski,11,7.2
78,T79,,Jason Bohn,7,7.1
79,T79,,Bud Cauley,17,7.1
80,T79,,Russell Henley,19,7.1
81,T79,,Jim Herman,12,7.1
82,T79,,Billy Horschel,16,7.1
83,T79,,Zach Johnson,14,7.1
84,T79,,Jerry Kelly,1,7.1
85,T79,,Matt Kuchar,16,7.1
86,T79,,William McGirt,13,7.1
87,T79,,John Merrick,3,7.1
88,T79,,John Senden,3,7.1
89,T79,,J.J. Spaun,15,7.1
90,T79,,Harold Varner III,17,7.1
91,T79,,Johnson Wagner,7,7.1
92,T93,,Steven Alker,9,7.0
93,T93,,Robert Allenby,2,7.0
94,T93,,Wesley Bryan,16,7.0
95,T93,,Stewart Cink,18,7.0
96,T93,,Brett Drewitt,7,7.0
97,T93,,Ken Duke,10,7.0
98,T93,,Marcus Fraser,1,7.0
99,T93,,Tommy Gainey,2,7.0
100,T93,,Branden Grace,9,7.0
101,T93,,Charley Hoffman,20,7.0
102,T93,,Martin Kaymer,5,7.0
103,T93,,Martin Laird,14,7.0
104,T93,,Scott Langley,2,7.0
105,T93,,Luke List,17,7.0
106,T93,,Justin Lower,1,7.0
107,T93,,Troy Merritt,11,7.0
108,T93,,Louis Oosthuizen,12,7.0
109,T93,,D.A. Points,11,7.0
110,T93,,Xander Schauffele,14,7.0
111,T93,,Ollie Schniederjans,18,7.0
112,T93,,Chris Stroud,7,7.0
113,T93,,Jimmy Walker,9,7.0
114,T93,,Tim Wilkinson,9,7.0
115,T93,,Aaron Wise,3,7.0
116,T117,,Byeong Hun An,13,6.9
117,T117,,Zac Blair,16,6.9
118,T117,,Rafael Campos,2,6.9
119,T117,,Alex Cejka,10,6.9
120,T117,,Brett Coletta,1,6.9
121,T117,,Tony Finau,22,6.9
122,T117,,Bill Haas,15,6.9
123,T117,,Adam Hadwin,17,6.9
124,T117,,Mike Hendry,1,6.9
125,T117,,Kramer Hickok,1,6.9
126,T117,,Mark Hubbard,10,6.9
127,T117,,Billy Hurley III,13,6.9
128,T117,,Chris Kirk,13,6.9
129,T117,,Kelly Kraft,11,6.9
130,T117,,Justin Leonard,1,6.9
131,T117,,Spencer Levin,9,6.9
132,T117,,Rory McIlroy,8,6.9
133,T117,,Grayson Murray,16,6.9
134,T117,,Geoff Ogilvy,13,6.9
135,T117,,Kyle Reifers,11,6.9
136,T117,,Rory Sabbatini,11,6.9
137,T117,,Cameron Smith,14,6.9
138,T117,,Brandt Snedeker,9,6.9
139,T117,,Tyrone Van Aswegen,15,6.9
140,T141,,Joseph Bramlett,1,6.8
141,T141,,Scott Brown,15,6.8
142,T141,,Kevin Chappell,16,6.8
143,T141,,Joel Dahmen,5,6.8
144,T141,,Bryson DeChambeau,12,6.8
145,T141,,Bob Estes,2,6.8
146,T141,,Brad Fritsch,7,6.8
147,T141,,Dylan Frittelli,1,6.8
148,T141,,James Hahn,17,6.8
149,T141,,J.J. Henry,14,6.8
150,T141,,Patton Kizzire,12,6.8
151,T141,,Brooks Koepka,14,6.8
152,T141,,Jason Kokrak,16,6.8
153,T141,,David Lingmerth,13,6.8
154,T141,,Sean O'Hair,14,6.8
155,T141,,Greg Owen,4,6.8
156,T141,,Ian Poulter,13,6.8
157,T141,,Vijay Singh,4,6.8
158,T141,,Mark Wilson,3,6.8
159,T160,,Stuart Appleby,2,6.7
160,T160,,Arjun Atwal,2,6.7
161,T160,,Rafa Cabrera Bello,8,6.7
162,T160,,Patrick Cantlay,12,6.7
163,T160,,Luke Donald,7,6.7
164,T160,,Harris English,12,6.7
165,T160,,Julián Etulain,9,6.7
166,T160,,Derek Fathauer,11,6.7
167,T160,,Brian Gay,13,6.7
168,T160,,Retief Goosen,5,6.7
169,T160,,Tyrrell Hatton,6,6.7
170,T160,,Tom Hoge,7,6.7
171,T160,,J.B. Holmes,13,6.7
172,T160,,John Huh,14,6.7
173,T160,,Yuta Ikeda,4,6.7
174,T160,,Sung Kang,15,6.7
175,T160,,Smylie Kaufman,10,6.7
176,T160,,Whee Kim,8,6.7
177,T160,,Søren Kjeldsen,6,6.7
178,T160,,Anirban Lahiri,12,6.7
179,T160,,C.T. Pan,13,6.7
