,3-Putt_Avoidance_RANK THIS WEEK,3-Putt_Avoidance_RANK LAST WEEK,3-Putt_Avoidance_PLAYER NAME,3-Putt_Avoidance_ROUNDS,3-Putt_Avoidance_%,3-Putt_Avoidance_TOTAL 3 PUTTS,3-Putt_Avoidance_TOTAL HOLES (OVERALL)
0,1,,Brian Gay,82,1.42,20,1404
1,2,,Ernie Els,52,1.5,14,936
2,3,,Luke Donald,50,1.62,14,864
3,4,,K.J. Choi,72,1.68,20,1188
4,T5,,Patrick Reed,107,1.78,32,1800
5,T5,,Jordan Spieth,85,1.78,25,1404
6,7,,Ricky Barnes,100,1.81,30,1656
7,8,,Chez Reavie,98,1.93,33,1710
8,9,,Brian Harman,104,1.94,35,1800
9,10,,Marc Leishman,94,1.98,32,1620
10,T11,,Chris Kirk,89,2.01,30,1494
11,T11,,Phil Mickelson,85,2.01,29,1440
12,13,,Patrick Cantlay,52,2.08,18,864
13,14,,Charles Howell III,86,2.1,31,1476
14,15,,Aaron Baddeley,61,2.14,22,1026
15,16,,Carl Pettersson,63,2.17,23,1062
16,17,,Wesley Bryan,95,2.2,36,1638
17,18,,Charl Schwartzel,63,2.22,24,1080
18,T19,,Russell Henley,99,2.23,39,1746
19,T19,,J.T. Poston,95,2.23,35,1566
20,T21,,Zach Johnson,81,2.24,31,1386
21,T21,,Whee Kim,74,2.24,29,1296
22,23,,Søren Kjeldsen,58,2.27,20,882
23,24,,Daniel Summerhays,100,2.3,39,1692
24,T25,,Cody Gribble,79,2.31,32,1386
25,T25,,Danny Lee,93,2.31,37,1602
26,27,,Bryce Molder,74,2.33,31,1332
27,28,,Harris English,84,2.34,32,1368
28,29,,Greg Chalmers,75,2.35,30,1278
29,30,,Brian Stuard,93,2.36,37,1566
30,T31,,Trey Mullinax,88,2.37,35,1476
31,T31,,Ian Poulter,72,2.37,29,1224
32,33,,Michael Thompson,60,2.38,24,1008
33,34,,Jim Furyk,54,2.4,22,918
34,T35,,Scott Brown,95,2.44,40,1638
35,T35,,Derek Fathauer,81,2.44,33,1350
36,T35,,David Lingmerth,79,2.44,33,1350
37,38,,Ben Crane,86,2.46,35,1422
38,39,,Hudson Swafford,94,2.47,40,1620
39,40,,Ryo Ishikawa,56,2.48,25,1008
40,41,,Troy Merritt,82,2.49,34,1368
41,T42,,Brian Campbell,55,2.51,23,918
42,T42,,Louis Oosthuizen,69,2.51,28,1116
43,T44,,Bud Cauley,92,2.53,40,1584
44,T44,,Justin Thomas,86,2.53,36,1422
45,T46,,Martin Flores,88,2.54,37,1458
46,T46,,Dustin Johnson,77,2.54,32,1260
47,T48,,Ryan Blaum,100,2.55,44,1728
48,T48,,Adam Hadwin,98,2.55,45,1764
49,T48,,Mark Hubbard,81,2.55,34,1332
50,T48,,Geoff Ogilvy,80,2.55,33,1296
51,T52,,Graham DeLaet,82,2.56,35,1368
52,T52,,Rickie Fowler,78,2.56,35,1368
53,54,,Jason Bohn,75,2.58,33,1278
54,T55,,Paul Casey,94,2.59,42,1620
55,T55,,Pat Perez,93,2.59,42,1620
56,T55,,Kevin Tway,96,2.59,41,1584
57,T58,,Chad Collins,66,2.6,29,1116
58,T58,,Jamie Lovemark,98,2.6,45,1728
59,60,,Martin Laird,83,2.61,39,1494
60,T61,,Chad Campbell,97,2.63,46,1746
61,T61,,Stewart Cink,93,2.63,44,1674
62,63,,Matt Kuchar,95,2.66,44,1656
63,T64,,David Hearn,93,2.68,41,1530
64,T64,,Matt Jones,64,2.68,27,1008
65,T64,,Tim Wilkinson,64,2.68,28,1044
66,67,,Anirban Lahiri,72,2.7,35,1296
67,68,,Brooks Koepka,88,2.71,39,1440
68,69,,Lucas Glover,93,2.72,44,1620
69,70,,Fabián Gómez,61,2.73,29,1062
70,71,,Webb Simpson,102,2.75,49,1782
71,T72,,Daniel Berger,91,2.78,43,1548
72,T72,,Jonas Blixt,74,2.78,35,1260
73,T72,,Michael Kim,94,2.78,45,1620
74,T72,,Kyle Reifers,96,2.78,44,1584
75,T76,,Zac Blair,105,2.81,50,1782
76,T76,,Bill Haas,92,2.81,43,1530
77,T76,,Peter Malnati,91,2.81,43,1530
78,T76,,Ryan Moore,82,2.81,40,1422
79,T76,,Seung-Yul Noh,91,2.81,44,1566
80,T76,,Ollie Schniederjans,92,2.81,44,1566
81,T82,,Charley Hoffman,112,2.83,55,1944
82,T82,,Kevin Kisner,105,2.83,50,1764
83,T84,,John Huh,92,2.84,45,1584
84,T84,,Grayson Murray,94,2.84,46,1620
85,T84,,Vaughn Taylor,90,2.84,43,1512
86,T84,,Steve Wheatcroft,51,2.84,24,846
87,88,,Cameron Smith,86,2.85,42,1476
88,T89,,Jason Day,71,2.86,34,1188
89,T89,,Shawn Stefani,72,2.86,35,1224
90,91,,Rafa Cabrera Bello,63,2.87,31,1080
91,T92,,Gonzalo Fernandez-Castaño,63,2.88,29,1008
92,T92,,Cameron Tringale,89,2.88,43,1494
93,94,,Brandt Snedeker,53,2.89,26,900
94,95,,Xander Schauffele,96,2.9,48,1656
95,T96,,Jonathan Randolph,68,2.91,33,1134
96,T96,,J.J. Spaun,92,2.91,45,1548
97,98,,Richy Werenski,81,2.93,39,1332
