,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
0,1,,Brad Fritsch,56,0.06,3,52
1,2,,Dominic Bozzelli,69,0.05,3,65
2,T3,,Jim Furyk,54,0.04,2,51
3,T3,,Ryo Ishikawa,56,0.04,2,56
4,T3,,Rick Lamb,54,0.04,2,50
5,T3,,Sean O'Hair,84,0.04,3,84
6,T3,,Ryan Palmer,61,0.04,2,53
7,T8,,Byeong Hun An,77,0.03,2,72
8,T8,,Zac Blair,105,0.03,3,99
9,T8,,Rafa Cabrera Bello,63,0.03,2,60
10,T8,,Roberto Castro,70,0.03,2,68
11,T8,,Harris English,84,0.03,2,76
12,T8,,Jamie Lovemark,98,0.03,3,96
13,T8,,Ben Martin,86,0.03,2,79
14,T8,,Tag Ridings,67,0.03,2,59
15,T8,,Rory Sabbatini,71,0.03,2,65
16,T8,,Adam Scott,58,0.03,2,58
17,T8,,Shawn Stefani,72,0.03,2,68
18,T8,,Boo Weekley,75,0.03,2,73
19,T8,,Richy Werenski,81,0.03,2,74
20,T21,,Steven Bowditch,59,0.02,1,55
21,T21,,Scott Brown,95,0.02,2,91
22,T21,,Ernie Els,52,0.02,1,52
23,T21,,Gonzalo Fernandez-Castaño,63,0.02,1,56
24,T21,,Sergio Garcia,65,0.02,1,62
25,T21,,Lucas Glover,93,0.02,2,90
26,T21,,James Hahn,96,0.02,2,96
27,T21,,Russell Henley,99,0.02,2,97
28,T21,,Morgan Hoffmann,92,0.02,2,88
29,T21,,John Huh,92,0.02,2,88
30,T21,,Jason Kokrak,95,0.02,2,95
31,T21,,Nicholas Lindheim,58,0.02,1,56
32,T21,,Luke List,102,0.02,2,98
33,T21,,Shane Lowry,52,0.02,1,49
34,T21,,William McGirt,89,0.02,2,83
35,T21,,Rory McIlroy,51,0.02,1,48
36,T21,,Seung-Yul Noh,91,0.02,2,87
37,T21,,Jonathan Randolph,68,0.02,1,63
38,T21,,Justin Rose,66,0.02,1,64
39,T21,,Webb Simpson,102,0.02,2,99
40,T21,,Brendan Steele,89,0.02,2,84
41,T21,,Robert Streb,98,0.02,2,94
42,T21,,Steve Wheatcroft,51,0.02,1,47
43,T44,,Blayne Barber,77,0.01,1,71
44,T44,,Keegan Bradley,104,0.01,1,102
45,T44,,Chad Campbell,97,0.01,1,97
46,T44,,Bud Cauley,92,0.01,1,88
47,T44,,Stewart Cink,93,0.01,1,93
48,T44,,Ben Crane,86,0.01,1,79
49,T44,,Jason Dufner,89,0.01,1,82
50,T44,,Derek Fathauer,81,0.01,1,75
51,T44,,Rickie Fowler,78,0.01,1,76
52,T44,,Brian Gay,82,0.01,1,78
53,T44,,Andres Gonzales,73,0.01,1,69
54,T44,,Billy Horschel,88,0.01,1,86
55,T44,,Charles Howell III,86,0.01,1,82
56,T44,,Mark Hubbard,81,0.01,1,74
57,T44,,Mackenzie Hughes,106,0.01,1,104
58,T44,,Billy Hurley III,80,0.01,1,80
59,T44,,Smylie Kaufman,76,0.01,1,71
60,T44,,Whee Kim,74,0.01,1,72
61,T44,,Chris Kirk,89,0.01,1,83
62,T44,,Kevin Kisner,105,0.01,1,98
63,T44,,Patton Kizzire,84,0.01,1,76
64,T44,,Russell Knox,75,0.01,1,70
65,T44,,Brooks Koepka,88,0.01,1,80
66,T44,,Kelly Kraft,75,0.01,1,71
67,T44,,Anirban Lahiri,72,0.01,1,72
68,T44,,Danny Lee,93,0.01,1,89
69,T44,,Marc Leishman,94,0.01,1,90
70,T44,,David Lingmerth,79,0.01,1,75
71,T44,,Hideki Matsuyama,83,0.01,1,76
72,T44,,Troy Merritt,82,0.01,1,76
73,T44,,Francesco Molinari,75,0.01,1,72
74,T44,,Trey Mullinax,88,0.01,1,82
75,T44,,Geoff Ogilvy,80,0.01,1,72
76,T44,,Scott Piercy,70,0.01,1,67
77,T44,,J.T. Poston,95,0.01,1,87
78,T44,,Jon Rahm,90,0.01,1,83
79,T44,,Sam Saunders,76,0.01,1,70
80,T44,,Xander Schauffele,96,0.01,1,92
81,T44,,Ollie Schniederjans,92,0.01,1,87
82,T44,,Jordan Spieth,85,0.01,1,78
83,T44,,Kevin Streelman,90,0.01,1,88
84,T44,,Vaughn Taylor,90,0.01,1,84
85,T44,,Cameron Tringale,89,0.01,1,83
86,T44,,Kevin Tway,96,0.01,1,88
87,T44,,Tyrone Van Aswegen,105,0.01,1,97
