,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,,Michael Kim,94,98.2,1167,1146
1,2,,Bryce Molder,74,98.19,886,870
2,3,,Hunter Mahan,73,98.12,849,833
3,4,,Michael Thompson,60,98.07,623,611
4,5,,Brian Harman,104,98.06,1134,1112
5,6,,Julián Etulain,68,98.01,704,690
6,7,,Jonas Blixt,74,97.98,792,776
7,T8,,Brian Gay,82,97.94,969,949
8,T8,,Spencer Levin,89,97.94,971,951
9,10,,Chad Collins,66,97.92,771,755
10,11,,Ricky Barnes,100,97.88,1085,1062
11,12,,Marc Leishman,94,97.82,965,944
12,T13,,Jim Herman,77,97.8,954,933
13,T13,,Patrick Reed,107,97.8,1089,1065
14,15,,Tim Wilkinson,64,97.75,666,651
15,16,,Bud Cauley,92,97.71,1137,1111
16,T17,,Matt Kuchar,95,97.63,1014,990
17,T17,,Chez Reavie,98,97.63,1095,1069
18,T17,,Hudson Swafford,94,97.63,1097,1071
19,T20,,Retief Goosen,52,97.61,587,573
20,T20,,Kevin Kisner,105,97.61,1006,982
21,22,,Louis Oosthuizen,69,97.54,651,635
22,23,,David Lingmerth,79,97.52,887,865
23,24,,Graham DeLaet,82,97.49,996,971
24,25,,Troy Merritt,82,97.48,954,930
25,26,,Wesley Bryan,95,97.47,1028,1002
26,27,,Adam Hadwin,98,97.44,1056,1029
27,28,,Derek Fathauer,81,97.43,895,872
28,29,,James Hahn,96,97.42,1164,1134
29,30,,Daniel Summerhays,100,97.4,1115,1086
30,31,,Sebastián Muñoz,51,97.38,535,521
31,32,,Gonzalo Fernandez-Castaño,63,97.36,605,589
32,33,,Billy Horschel,88,97.35,1094,1065
33,34,,Luke Donald,50,97.34,601,585
34,T35,,Greg Chalmers,75,97.33,938,913
35,T35,,Harris English,84,97.33,935,910
36,37,,Steve Wheatcroft,51,97.29,553,538
37,38,,Charl Schwartzel,63,97.28,662,644
38,T39,,Patrick Cantlay,52,97.26,657,639
39,T39,,Rickie Fowler,78,97.26,803,781
40,T39,,Kelly Kraft,75,97.26,911,886
41,42,,John Huh,92,97.24,1052,1023
42,43,,Billy Hurley III,80,97.22,972,945
43,T44,,Zach Johnson,81,97.21,897,872
44,T44,,Matt Jones,64,97.21,717,697
45,T44,,Peter Malnati,91,97.21,1002,974
46,47,,Rafa Cabrera Bello,63,97.2,571,555
47,48,,Brian Stuard,93,97.15,981,953
48,49,,Phil Mickelson,85,97.13,976,948
49,50,,Carl Pettersson,63,97.11,726,705
50,51,,Xander Schauffele,96,97.07,989,960
51,T52,,Blayne Barber,77,97.06,918,891
52,T52,,Martin Flores,88,97.06,952,924
53,T52,,Graeme McDowell,56,97.06,647,628
54,55,,Ben Martin,86,97.05,982,953
55,56,,Dominic Bozzelli,69,97.03,774,751
56,57,,Geoff Ogilvy,80,97.02,973,944
57,58,,Bill Haas,92,96.97,990,960
58,T59,,Aaron Baddeley,61,96.96,658,638
59,T59,,David Hearn,93,96.96,1020,989
60,T59,,Shawn Stefani,72,96.96,856,830
61,62,,Jim Furyk,54,96.95,557,540
62,63,,Daniel Berger,91,96.93,945,916
63,T64,,Ryan Moore,82,96.89,933,904
64,T64,,Trey Mullinax,88,96.89,932,903
65,T66,,K.J. Choi,72,96.88,769,745
66,T66,,Gary Woodland,94,96.88,930,901
67,T68,,Paul Casey,94,96.87,959,929
68,T68,,Mackenzie Hughes,106,96.87,1342,1300
69,T70,,Andres Gonzales,73,96.86,827,801
70,T70,,William McGirt,89,96.86,988,957
71,T70,,Jon Rahm,90,96.86,891,863
72,T73,,Lucas Glover,93,96.85,1206,1168
73,T73,,Dustin Johnson,77,96.85,826,800
74,T73,,Danny Lee,93,96.85,1049,1016
75,T73,,Ollie Schniederjans,92,96.85,1144,1108
76,T73,,J.J. Spaun,92,96.85,1047,1014
77,T78,,Fabián Gómez,61,96.84,729,706
78,T78,,Brandon Hagy,85,96.84,982,951
79,T80,,Ian Poulter,72,96.83,789,764
80,T80,,Brandt Snedeker,53,96.83,537,520
81,T80,,Vaughn Taylor,90,96.83,1071,1037
82,83,,Kevin Tway,96,96.82,1039,1006
83,T84,,Mark Anderson,54,96.81,595,576
84,T84,,J.T. Poston,95,96.81,1036,1003
85,T86,,Emiliano Grillo,90,96.8,906,877
86,T86,,Johnson Wagner,71,96.8,813,787
87,88,,Charley Hoffman,112,96.77,1238,1198
88,T89,,Tom Hoge,54,96.76,556,538
89,T89,,Cameron Smith,86,96.76,1017,984
90,91,,Seamus Power,86,96.71,972,940
91,T92,,Brian Campbell,55,96.68,573,554
92,T92,,Tyrone Van Aswegen,105,96.68,1146,1108
93,94,,Mark Hubbard,81,96.67,900,870
94,95,,Whee Kim,74,96.65,807,780
95,96,,Jonathan Randolph,68,96.64,654,632
96,T97,,Jamie Lovemark,98,96.61,1093,1056
97,T97,,Sean O'Hair,84,96.61,943,911
98,T97,,Nick Watney,75,96.61,915,884
99,100,,Cameron Percy,71,96.58,789,762
100,101,,Martin Laird,83,96.56,959,926
101,T102,,Bryson DeChambeau,91,96.55,1014,979
102,T102,,Brad Fritsch,56,96.55,608,587
103,T102,,J.J. Henry,92,96.55,1129,1090
104,105,,Ernie Els,52,96.54,463,447
105,106,,Sung Kang,104,96.53,1152,1112
106,107,,Chad Campbell,97,96.5,1257,1213
107,108,,Jordan Spieth,85,96.49,912,880
108,109,,Russell Henley,99,96.48,1136,1096
109,T110,,Kevin Chappell,95,96.46,989,954
110,T110,,Charles Howell III,86,96.46,990,955
111,112,,Patrick Rodgers,76,96.45,959,925
112,113,,Søren Kjeldsen,58,96.41,474,457
113,T114,,Grayson Murray,94,96.36,1209,1165
114,T114,,Nick Taylor,97,96.36,1209,1165
115,116,,Ken Duke,77,96.34,875,843
116,117,,Ben Crane,86,96.33,1009,972
117,118,,Kyle Reifers,96,96.3,1082,1042
118,T119,,Keegan Bradley,104,96.28,1264,1217
119,T119,,Patton Kizzire,84,96.28,1022,984
120,T119,,Jimmy Walker,68,96.28,698,672
121,T122,,Scott Brown,95,96.27,1099,1058
