,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,,Brooks Koepka,88,28.1
1,2,,Justin Rose,66,27.91
2,3,,Daniel Berger,91,27.27
3,4,,Scott Piercy,70,26.48
4,5,,Jordan Spieth,85,25.73
5,6,,Aaron Baddeley,61,25.64
6,7,,Shane Lowry,52,25.53
7,8,,Tom Hoge,54,24.62
8,9,,Tag Ridings,67,24.56
9,10,,Matt Kuchar,95,24.54
10,11,,Mark Anderson,54,24.46
11,T12,,Matt Every,76,24.1
12,T12,,Sam Saunders,76,24.1
13,14,,Justin Thomas,86,24.0
14,15,,Nick Taylor,97,23.81
15,16,,Seung-Yul Noh,91,23.79
16,17,,Tony Finau,106,23.74
17,18,,Grayson Murray,94,23.73
18,19,,Adam Scott,58,23.72
19,20,,Hideki Matsuyama,83,23.63
20,21,,Charl Schwartzel,63,23.6
21,22,,Stewart Cink,93,23.58
22,23,,Luke List,102,23.55
23,T24,,Ben Martin,86,23.5
24,T24,,Jon Rahm,90,23.5
25,26,,Rory McIlroy,51,23.44
26,27,,Webb Simpson,102,23.43
27,28,,Vaughn Taylor,90,23.32
28,29,,Kevin Streelman,90,23.17
29,30,,Martin Flores,88,23.04
30,31,,Paul Casey,94,23.0
31,32,,Patton Kizzire,84,22.98
32,T33,,Gonzalo Fernandez-Castaño,63,22.97
33,T33,,Anirban Lahiri,72,22.97
34,35,,Brandt Snedeker,53,22.95
35,36,,Xander Schauffele,96,22.83
36,37,,Camilo Villegas,76,22.75
37,38,,Zac Blair,105,22.73
38,39,,Kelly Kraft,75,22.59
39,40,,Kevin Tway,96,22.54
40,41,,Michael Kim,94,22.49
41,42,,Kyle Stanley,104,22.47
42,43,,Patrick Cantlay,52,22.43
43,44,,Rory Sabbatini,71,22.4
44,45,,Kevin Na,86,22.37
45,46,,Kevin Kisner,105,22.35
46,47,,Mackenzie Hughes,106,22.33
47,48,,Phil Mickelson,85,22.12
48,49,,Morgan Hoffmann,92,22.05
49,50,,Patrick Reed,107,22.02
50,51,,Francesco Molinari,75,21.93
51,52,,Rickie Fowler,78,21.91
52,T53,,Brad Fritsch,56,21.89
53,T53,,Brendan Steele,89,21.89
54,55,,Bubba Watson,71,21.84
55,56,,Chad Campbell,97,21.82
56,57,,Cody Gribble,79,21.77
57,T58,,Byeong Hun An,77,21.74
58,T58,,Dominic Bozzelli,69,21.74
59,T58,,Kevin Chappell,95,21.74
60,T61,,David Hearn,93,21.72
61,T61,,Martin Laird,83,21.72
62,63,,Russell Knox,75,21.7
63,64,,Robert Streb,98,21.67
