,First_Tee_Early_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Early_Par_4_Scoring_Average_ROUNDS,First_Tee_Early_Par_4_Scoring_Average_AVG,First_Tee_Early_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Early_Par_4_Scoring_Average_TOTAL HOLES
0,T1,,Paul Casey,94,3.89,712,183
1,T1,,Jordan Spieth,85,3.89,587,151
2,3,,Sergio Garcia,65,3.92,796,203
3,T4,,Marc Leishman,94,3.95,1379,349
4,T4,,Rory McIlroy,51,3.95,521,132
5,T4,,Seamus Power,86,3.95,877,222
6,T7,,Jason Day,71,3.96,657,166
7,T7,,Tony Finau,106,3.96,1871,473
8,T7,,Brandon Hagy,85,3.96,1175,297
9,T7,,Francesco Molinari,75,3.96,995,251
10,T7,,Chez Reavie,98,3.96,1319,333
11,T12,,Bud Cauley,92,3.97,1071,270
12,T12,,Rickie Fowler,78,3.97,532,134
13,T12,,Ben Martin,86,3.97,1247,314
14,T12,,Xander Schauffele,96,3.97,1378,347
15,T12,,Brandt Snedeker,53,3.97,302,76
16,T12,,Tyrone Van Aswegen,105,3.97,1367,344
17,T18,,Keegan Bradley,104,3.98,1247,313
18,T18,,Stewart Cink,93,3.98,1452,365
19,T18,,Lucas Glover,93,3.98,1165,293
20,T18,,Emiliano Grillo,90,3.98,1435,361
21,T18,,Kyle Reifers,96,3.98,1070,269
22,T23,,Julián Etulain,68,3.99,894,224
23,T23,,John Huh,92,3.99,1397,350
24,T23,,Dustin Johnson,77,3.99,618,155
25,T23,,Shane Lowry,52,3.99,829,208
26,T23,,Jon Rahm,90,3.99,779,195
27,T23,,Justin Rose,66,3.99,662,166
28,T23,,Webb Simpson,102,3.99,1629,408
29,T23,,Chris Stroud,67,3.99,711,178
30,T31,,Scott Brown,95,4.0,983,246
31,T31,,Graham DeLaet,82,4.0,857,214
32,T31,,Harris English,84,4.0,1201,300
33,T31,,Sung Kang,104,4.0,1597,399
34,T31,,William McGirt,89,4.0,1365,341
35,T31,,Pat Perez,93,4.0,1259,315
36,T31,,Patrick Reed,107,4.0,1213,303
37,T31,,Rory Sabbatini,71,4.0,792,198
38,T31,,Sam Saunders,76,4.0,811,203
39,T31,,J.J. Spaun,92,4.0,1108,277
40,T31,,Shawn Stefani,72,4.0,1184,296
41,T42,,Zach Johnson,81,4.01,995,248
42,T42,,Matt Kuchar,95,4.01,1011,252
43,T42,,Trey Mullinax,88,4.01,879,219
44,T45,,Ryan Armour,63,4.02,611,152
45,T45,,Chad Campbell,97,4.02,1149,286
46,T45,,Patrick Cantlay,52,4.02,643,160
47,T45,,Ben Crane,86,4.02,1145,285
48,T45,,Robert Garrigus,78,4.02,896,223
49,T45,,Andres Gonzales,73,4.02,876,218
50,T45,,Morgan Hoffmann,92,4.02,1151,286
51,T45,,Michael Kim,94,4.02,1495,372
52,T45,,Chris Kirk,89,4.02,1187,295
53,T45,,Russell Knox,75,4.02,841,209
54,T45,,Luke List,102,4.02,1622,403
55,T45,,Jamie Lovemark,98,4.02,1125,280
56,T45,,Kevin Na,86,4.02,1329,331
57,T45,,Ian Poulter,72,4.02,956,238
58,T45,,Vaughn Taylor,90,4.02,1596,397
59,T60,,Jim Furyk,54,4.03,581,144
60,T60,,Bill Haas,92,4.03,1059,263
61,T60,,James Hahn,96,4.03,1607,399
62,T60,,Russell Henley,99,4.03,1355,336
63,T60,,Jim Herman,77,4.03,1440,357
64,T60,,Charley Hoffman,112,4.03,1627,404
65,T60,,J.B. Holmes,83,4.03,1202,298
66,T60,,Hideki Matsuyama,83,4.03,789,196
67,T60,,Louis Oosthuizen,69,4.03,924,229
68,T60,,Cameron Percy,71,4.03,605,150
69,T60,,J.T. Poston,95,4.03,1385,344
70,T60,,Ollie Schniederjans,92,4.03,1290,320
71,T60,,Kyle Stanley,104,4.03,1719,427
72,T60,,Brendan Steele,89,4.03,1216,302
73,T60,,Kevin Tway,96,4.03,1369,340
74,T60,,Harold Varner III,101,4.03,1487,369
75,T60,,Jimmy Walker,68,4.03,709,176
76,T60,,Boo Weekley,75,4.03,1208,300
77,T78,,Aaron Baddeley,61,4.04,884,219
78,T78,,Zac Blair,105,4.04,1309,324
79,T78,,Greg Chalmers,75,4.04,1375,340
80,T78,,K.J. Choi,72,4.04,965,239
81,T78,,Jason Dufner,89,4.04,1172,290
82,T78,,Gonzalo Fernandez-Castaño,63,4.04,598,148
83,T78,,Brian Harman,104,4.04,1484,367
84,T78,,Billy Horschel,88,4.04,1316,326
85,T78,,Billy Hurley III,80,4.04,1421,352
86,T78,,Jason Kokrak,95,4.04,1338,331
87,T78,,Ryan Palmer,61,4.04,509,126
88,T78,,Scott Stallings,81,4.04,1022,253
89,T78,,Hudson Swafford,94,4.04,1450,359
90,T78,,Justin Thomas,86,4.04,469,116
91,T78,,Richy Werenski,81,4.04,825,204
92,T78,,Steve Wheatcroft,51,4.04,505,125
93,T94,,Steven Alker,69,4.05,704,174
94,T94,,Byeong Hun An,77,4.05,1028,254
95,T94,,Mark Anderson,54,4.05,604,149
96,T94,,Ryan Brehm,83,4.05,983,243
97,T94,,Alex Cejka,85,4.05,1153,285
98,T94,,Kevin Chappell,95,4.05,1384,342
99,T94,,Luke Donald,50,4.05,579,143
100,T94,,Matt Jones,64,4.05,709,175
101,T94,,Kevin Kisner,105,4.05,1459,360
102,T94,,Phil Mickelson,85,4.05,891,220
103,T94,,Bryce Molder,74,4.05,1041,257
104,T94,,Patrick Rodgers,76,4.05,944,233
105,T94,,Michael Thompson,60,4.05,866,214
106,T94,,Cameron Tringale,89,4.05,1085,268
107,T94,,Johnson Wagner,71,4.05,750,185
108,T109,,Ricky Barnes,100,4.06,1433,353
109,T109,,Daniel Berger,91,4.06,800,197
110,T109,,Ryan Blaum,100,4.06,1609,396
111,T109,,Bryson DeChambeau,91,4.06,1036,255
112,T109,,Brett Drewitt,57,4.06,873,215
113,T109,,Fabián Gómez,61,4.06,702,173
114,T109,,Retief Goosen,52,4.06,775,191
115,T109,,Mackenzie Hughes,106,4.06,1764,434
116,T109,,Smylie Kaufman,76,4.06,873,215
117,T109,,Patton Kizzire,84,4.06,1352,333
