,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Jonathan Randolph,71,"9' 2""",9.167,1,-1
1,2,2,Ben Crane,65,"13' 4""",13.333,1,-2
2,3,3,Paul Casey,74,"18' 7""",18.583,1,-1
3,4,4,Dustin Johnson,77,"26' 6""",52.917,2,E
4,5,5,Chris Stroud,81,"33' 2""",66.25,2,-1
5,6,6,Fabián Gómez,88,"33' 11""",67.833,2,-2
6,7,7,Vaughn Taylor,83,"40' 1""",80.167,2,-2
7,8,8,C.T. Pan,104,"43' 4""",86.583,2,E
8,9,9,Patrick Rodgers,97,"43' 5""",43.417,1,+1
9,10,10,Bubba Watson,90,"45' 11""",91.833,2,-3
10,11,11,Ricky Barnes,65,"48' 9""",146.333,3,-3
11,12,12,Gary Woodland,96,"50' 5""",100.833,2,-3
12,13,13,Blayne Barber,69,"54' 11""",164.75,3,-3
13,14,14,Hideki Matsuyama,75,"55' 11""",111.75,2,-1
14,15,15,Ollie Schniederjans,91,"56' 7""",113.167,2,E
15,16,16,Justin Rose,70,"56' 11""",170.75,3,-3
16,17,17,Kelly Kraft,94,"57' 9""",231.083,4,-2
17,18,18,Chez Reavie,93,"58' 0""",231.917,4,-1
18,19,19,Jon Rahm,71,"59' 0""",117.917,2,-1
19,20,20,Charl Schwartzel,65,"59' 6""",356.75,6,-1
20,21,21,Seamus Power,86,"59' 9""",59.75,1,E
21,22,22,Francesco Molinari,73,"62' 1""",124.083,2,-1
22,23,23,Ryan Moore,78,"63' 2""",189.583,3,-2
23,24,24,Rickie Fowler,74,"63' 8""",191.0,3,E
24,25,25,J.B. Holmes,77,"63' 10""",63.833,1,E
25,26,26,Graeme McDowell,67,"65' 1""",130.083,2,E
26,27,27,Xander Schauffele,96,"66' 1""",132.167,2,-2
27,28,28,Jason Dufner,71,"66' 3""",132.417,2,-1
28,29,29,Whee Kim,93,"66' 7""",466.333,7,-5
29,30,30,Phil Mickelson,90,"68' 3""",204.667,3,-1
30,31,31,Ben Martin,64,"68' 4""",136.583,2,E
31,32,32,Jonathan Byrd,70,"69' 0""",207.0,3,-1
32,33,33,Denny McCarthy,71,"69' 5""",277.5,4,-3
33,34,34,Aaron Baddeley,84,"72' 5""",362.0,5,-3
34,35,35,Johnson Wagner,75,"73' 3""",146.5,2,-1
35,36,36,Chris Kirk,108,"73' 6""",146.917,2,-2
36,37,37,Kevin Tway,110,"74' 1""",740.8330000000001,10,-6
37,38,38,Martin Flores,92,"74' 7""",372.75,5,-2
38,39,39,Retief Goosen,60,"74' 11""",299.5,4,-3
39,T40,T40,Matt Every,79,"75' 1""",375.333,5,-2
40,T40,T40,Zach Johnson,94,"75' 1""",225.167,3,-3
41,T42,T42,Kiradech Aphibarnrat,51,"75' 3""",75.25,1,-1
42,T42,T42,Tommy Fleetwood,73,"75' 3""",225.75,3,-1
43,44,44,Kevin Na,91,"76' 6""",76.5,1,E
44,45,45,Charles Howell III,104,"76' 11""",384.417,5,-2
45,46,46,Tom Lovelady,87,"77' 8""",699.25,9,-4
46,47,47,Rafa Cabrera Bello,75,"78' 7""",157.167,2,-1
47,48,48,Jamie Lovemark,92,"79' 3""",237.667,3,-1
48,49,49,Scott Stallings,96,"80' 0""",240.083,3,-1
49,50,50,Kyle Thompson,50,"81' 3""",81.25,1,-1
50,51,51,Pat Perez,82,"81' 7""",326.41700000000003,4,-3
51,52,52,Dominic Bozzelli,65,"82' 10""",165.583,2,-3
52,T53,T53,Patrick Cantlay,87,"83' 7""",417.833,5,-2
53,T53,T53,David Hearn,66,"83' 7""",83.583,1,E
54,55,55,Luke List,98,"83' 9""",502.417,6,-2
55,56,56,J.J. Spaun,85,"85' 1""",425.333,5,-1
56,57,57,Martin Laird,73,"85' 3""",340.833,4,-2
57,58,58,Michael Thompson,62,"85' 4""",170.667,2,-1
58,59,59,Jim Furyk,50,"85' 6""",85.5,1,-1
59,T60,T60,Derek Fathauer,84,"85' 7""",256.75,3,-2
60,T60,T60,Adam Schenk,86,"85' 7""",85.583,1,E
61,62,62,Steve Wheatcroft,60,"85' 10""",514.9169999999999,6,E
62,63,63,Corey Conners,97,"85' 11""",257.75,3,-1
63,64,64,Aaron Wise,90,"86' 6""",346.083,4,-2
64,65,65,Branden Grace,67,"86' 9""",347.0,4,+1
65,T66,T66,James Hahn,85,"88' 1""",88.083,1,E
66,T66,T66,Ian Poulter,73,"88' 1""",176.167,2,+1
67,68,68,Peter Malnati,87,"88' 3""",264.66700000000003,3,-1
68,69,69,John Huh,94,"88' 9""",177.417,2,-2
69,70,70,Jonas Blixt,67,"88' 11""",533.25,6,-2
70,T71,T71,Matt Atkins,56,"89' 3""",178.417,2,E
71,T71,T71,Chesson Hadley,103,"89' 3""",178.5,2,-1
72,73,73,Tyler Duncan,97,"89' 6""",447.333,5,-1
73,74,74,Charley Hoffman,87,"89' 8""",717.3330000000001,8,-5
74,75,75,Robert Garrigus,80,"89' 10""",539.1669999999999,6,-1
75,76,76,Sean O'Hair,67,"90' 4""",361.333,4,-2
76,T77,T77,Satoshi Kodaira,51,"90' 5""",361.75,4,+3
77,T77,T77,Richy Werenski,98,"90' 5""",180.833,2,-2
78,79,79,Harold Varner III,91,"90' 6""",723.8330000000001,8,-4
79,80,80,Billy Hurley III,70,"90' 8""",453.417,5,-2
80,81,81,Troy Merritt,89,"90' 9""",181.5,2,-1
81,82,82,Zac Blair,64,"91' 2""",273.41700000000003,3,-3
82,83,83,Patton Kizzire,92,"91' 4""",274.08299999999997,3,-1
83,84,84,Lucas Glover,65,"91' 5""",182.75,2,E
84,85,85,Shawn Stefani,76,"91' 10""",459.25,5,-1
85,86,86,Kevin Chappell,77,"91' 11""",459.667,5,-1
86,87,87,Keith Mitchell,99,"93' 2""",279.58299999999997,3,+1
87,88,88,Andrew Yun,51,"94' 0""",94.0,1,+1
88,89,89,Russell Knox,94,"94' 8""",284.0,3,E
89,90,90,Kevin Streelman,94,"95' 0""",284.91700000000003,3,E
90,91,91,Ryan Blaum,81,"95' 8""",95.667,1,E
91,T92,T92,Alex Cejka,77,"95' 9""",95.75,1,-1
92,T92,T92,J.T. Poston,73,"95' 9""",95.75,1,-1
93,94,94,Henrik Stenson,60,"95' 10""",95.833,1,E
94,T95,T95,Austin Cook,107,"96' 2""",192.333,2,E
95,T95,T95,Alex Noren,67,"96' 2""",96.167,1,-1
96,T95,T95,Nick Taylor,94,"96' 2""",384.667,4,-2
