,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Henrik Stenson,60,73.51,741,1008,-0.26
1,2,2,Sam Ryder,82,72.08,1038,1440,-0.26
2,3,3,Billy Horschel,86,71.75,1059,1476,-0.28
3,4,4,Kevin Streelman,94,71.56,1185,1656,-0.24
4,5,5,C.T. Pan,104,71.2,1256,1764,-0.26
5,6,6,Kyle Stanley,93,71.09,1126,1584,-0.26
6,7,7,Patrick Cantlay,87,70.69,1018,1440,-0.27
7,8,8,Adam Scott,78,70.66,992,1404,-0.25
8,9,9,Dustin Johnson,77,70.57,940,1332,-0.37
9,10,10,J.J. Henry,81,70.52,952,1350,-0.21
10,11,11,Gary Woodland,96,70.51,1155,1638,-0.27
11,T12,T12,Andrew Putnam,97,70.47,1129,1602,-0.24
12,T12,T12,Jordan Spieth,81,70.47,964,1368,-0.29
13,14,14,Jason Kokrak,99,70.37,1254,1782,-0.28
14,15,15,Brett Stegmaier,67,70.31,772,1098,-0.26
15,16,16,Francesco Molinari,73,70.24,885,1260,-0.26
16,17,17,Corey Conners,97,70.19,1175,1674,-0.24
17,18,18,Tony Finau,105,70.18,1238,1764,-0.32
18,19,19,Rafa Cabrera Bello,75,70.16,884,1260,-0.27
19,20,20,Jon Rahm,71,70.12,833,1188,-0.31
20,21,21,Michael Thompson,62,70.11,732,1044,-0.26
21,22,22,Blayne Barber,69,69.98,844,1206,-0.26
22,23,23,Justin Rose,70,69.95,831,1188,-0.32
23,24,24,Scott Piercy,84,69.72,1004,1440,-0.24
24,T25,T25,Bryson DeChambeau,93,69.65,1166,1674,-0.3
25,T25,T25,Tyler Duncan,97,69.65,1166,1674,-0.24
26,27,27,Russell Knox,94,69.57,1127,1620,-0.24
27,28,28,Cameron Percy,56,69.56,626,900,-0.29
28,29,29,Rickie Fowler,74,69.52,926,1332,-0.3
29,30,30,J.J. Spaun,85,69.48,988,1422,-0.28
30,31,31,Keith Mitchell,99,69.42,1212,1746,-0.28
31,32,32,Tommy Fleetwood,73,69.36,824,1188,-0.32
32,33,33,Charles Howell III,104,69.33,1248,1800,-0.26
33,34,34,Hideki Matsuyama,75,69.29,898,1296,-0.3
34,35,35,Brendan Steele,74,69.24,835,1206,-0.24
35,36,36,Keegan Bradley,98,69.18,1158,1674,-0.27
36,37,37,Patton Kizzire,92,69.04,1106,1602,-0.27
37,38,38,Hudson Swafford,73,68.99,832,1206,-0.25
38,39,39,Hunter Mahan,67,68.96,782,1134,-0.28
39,40,40,David Hearn,66,68.89,744,1080,-0.26
40,41,41,Emiliano Grillo,94,68.84,1140,1656,-0.28
41,42,42,Joel Dahmen,93,68.82,1053,1530,-0.26
42,43,43,Aaron Wise,90,68.81,1090,1584,-0.29
43,44,44,Ryan Moore,78,68.8,966,1404,-0.26
44,T45,T45,Russell Henley,77,68.77,916,1332,-0.26
