,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,1,1,Rafa Cabrera Bello,75,100.0,3.0,3
1,2,2,Zac Blair,64,75.0,6.0,8
2,3,3,Nick Taylor,94,63.64,7.0,11
3,4,4,Zecheng Dou,53,62.5,5.0,8
4,5,5,Webb Simpson,95,61.54,8.0,13
5,6,6,Austin Cook,107,60.0,9.0,15
6,7,7,Ryan Armour,109,57.14,8.0,14
7,8,8,Hideki Matsuyama,75,55.56,5.0,9
8,9,9,Bud Cauley,55,54.55,6.0,11
9,10,10,Tom Hoge,101,53.85,7.0,13
10,T11,T11,Daniel Berger,81,53.33,8.0,15
11,T11,T11,Ryan Palmer,69,53.33,8.0,15
12,13,13,William McGirt,84,52.94,9.0,17
13,14,14,Emiliano Grillo,94,52.63,10.0,19
14,T15,T15,Jonas Blixt,67,50.0,4.0,8
15,T15,T15,Jason Day,75,50.0,4.0,8
16,T15,T15,Jason Dufner,71,50.0,5.0,10
17,T15,T15,Peter Malnati,87,50.0,9.0,18
18,T15,T15,Graeme McDowell,67,50.0,4.0,8
19,T15,T15,Harold Varner III,91,50.0,7.0,14
20,T15,T15,Johnson Wagner,75,50.0,5.0,10
21,22,22,Tyrone Van Aswegen,101,46.67,7.0,15
22,T23,T23,Greg Chalmers,56,46.15,6.0,13
23,T23,T23,Stephan Jaeger,81,46.15,6.0,13
24,T25,T25,Ricky Barnes,65,45.45,5.0,11
25,T25,T25,Matt Every,79,45.45,5.0,11
26,T25,T25,Keith Mitchell,99,45.45,5.0,11
27,T28,T28,Matt Atkins,56,44.44,4.0,9
28,T28,T28,Jonathan Byrd,70,44.44,4.0,9
29,T28,T28,Chris Kirk,108,44.44,8.0,18
30,T28,T28,Andrew Landry,82,44.44,4.0,9
31,T28,T28,Jimmy Walker,81,44.44,8.0,18
32,33,33,Kevin Kisner,89,43.75,7.0,16
33,T34,T34,Kiradech Aphibarnrat,51,42.86,3.0,7
34,T34,T34,Scott Brown,102,42.86,6.0,14
35,T34,T34,Roberto Díaz,72,42.86,6.0,14
36,T34,T34,Brandon Harkins,101,42.86,9.0,21
37,T34,T34,Cameron Percy,56,42.86,3.0,7
38,T34,T34,Patrick Rodgers,97,42.86,6.0,14
39,T40,T40,Charles Howell III,104,42.11,8.0,19
40,T40,T40,Ben Martin,64,42.11,8.0,19
41,T40,T40,Andrew Putnam,97,42.11,8.0,19
42,T43,T43,Kevin Chappell,77,41.67,5.0,12
43,T43,T43,Rickie Fowler,74,41.67,5.0,12
44,T45,T45,Bronson Burgoon,69,41.18,7.0,17
45,T45,T45,Brian Gay,103,41.18,7.0,17
46,T45,T45,David Lingmerth,82,41.18,7.0,17
47,T45,T45,C.T. Pan,104,41.18,7.0,17
48,49,49,Harris English,84,40.91,9.0,22
49,T50,T50,Byeong Hun An,86,40.0,4.0,10
50,T50,T50,Wesley Bryan,69,40.0,2.0,5
51,T50,T50,Patrick Cantlay,87,40.0,2.0,5
52,T50,T50,Bryson DeChambeau,93,40.0,4.0,10
53,T50,T50,Louis Oosthuizen,62,40.0,2.0,5
54,T50,T50,Conrad Shindler,60,40.0,4.0,10
55,T50,T50,Cameron Smith,85,40.0,4.0,10
56,T50,T50,Peter Uihlein,83,40.0,4.0,10
57,T58,T58,Martin Flores,92,38.89,7.0,18
58,T58,T58,Brandt Snedeker,84,38.89,7.0,18
59,T60,T60,J.B. Holmes,77,38.46,5.0,13
60,T60,T60,Jonathan Randolph,71,38.46,5.0,13
61,T60,T60,Michael Thompson,62,38.46,5.0,13
62,T60,T60,Aaron Wise,90,38.46,5.0,13
63,64,64,Whee Kim,93,38.1,8.0,21
64,T65,T65,Jim Furyk,50,37.5,3.0,8
65,T65,T65,Robert Garrigus,80,37.5,3.0,8
66,T65,T65,Lanto Griffin,80,37.5,3.0,8
67,T65,T65,Phil Mickelson,90,37.5,6.0,16
68,T65,T65,Pat Perez,82,37.5,3.0,8
69,T65,T65,Scott Piercy,84,37.5,6.0,16
70,T65,T65,Justin Rose,70,37.5,3.0,8
71,72,72,Jamie Lovemark,92,37.04,10.0,27
72,T73,T73,Brian Harman,94,36.36,4.0,11
73,T73,T73,Mackenzie Hughes,80,36.36,4.0,11
74,T73,T73,Martin Laird,73,36.36,4.0,11
75,76,76,Beau Hossler,104,36.0,9.0,25
76,T77,T77,Aaron Baddeley,84,35.71,5.0,14
77,T77,T77,Keegan Bradley,98,35.71,5.0,14
78,T77,T77,Ollie Schniederjans,91,35.71,5.0,14
79,T77,T77,Ethan Tracy,72,35.71,5.0,14
80,T81,T81,Patton Kizzire,92,35.0,7.0,20
81,T81,T81,Nick Watney,94,35.0,7.0,20
82,T83,T83,Tony Finau,105,33.33,7.0,21
83,T83,T83,Lucas Glover,65,33.33,5.0,15
84,T83,T83,Adam Hadwin,92,33.33,6.0,18
85,T83,T83,John Huh,94,33.33,4.0,12
86,T83,T83,Nicholas Lindheim,77,33.33,3.0,9
87,T83,T83,Tom Lovelady,87,33.33,3.0,9
88,T83,T83,Shane Lowry,64,33.33,4.0,12
89,T83,T83,Rory McIlroy,64,33.33,4.0,12
90,T83,T83,Alex Noren,67,33.33,5.0,15
91,T83,T83,Seamus Power,86,33.33,3.0,9
92,T83,T83,Patrick Reed,94,33.33,5.0,15
93,T83,T83,Sam Ryder,82,33.33,4.0,12
94,T83,T83,Sam Saunders,80,33.33,2.0,6
95,T83,T83,Scott Stallings,96,33.33,5.0,15
96,T83,T83,Hudson Swafford,73,33.33,2.0,6
97,98,98,Si Woo Kim,108,31.58,6.0,19
98,T99,T99,Alex Cejka,77,31.25,5.0,16
99,T99,T99,Jason Kokrak,99,31.25,5.0,16
100,T101,T101,Sung Kang,89,30.77,4.0,13
101,T101,T101,Michael Kim,74,30.77,4.0,13
102,T101,T101,Grayson Murray,72,30.77,4.0,13
103,T101,T101,Sean O'Hair,67,30.77,4.0,13
104,T101,T101,Rob Oppenheim,74,30.77,4.0,13
105,T101,T101,Robert Streb,78,30.77,4.0,13
106,T101,T101,Justin Thomas,91,30.77,4.0,13
107,108,108,Kevin Tway,110,30.43,7.0,23
108,T109,T109,Ryan Blaum,81,30.0,6.0,20
109,T109,T109,Retief Goosen,60,30.0,3.0,10
110,T109,T109,Matt Kuchar,88,30.0,3.0,10
111,T109,T109,Ben Silverman,90,30.0,6.0,20
112,T109,T109,Shawn Stefani,76,30.0,3.0,10
113,T109,T109,Bubba Watson,90,30.0,6.0,20
