,Total_Money_Official_and_Unofficial_RANK THIS WEEK,Total_Money_Official_and_Unofficial_RANK LAST WEEK,Total_Money_Official_and_Unofficial_PLAYER NAME,Total_Money_Official_and_Unofficial_EVENTS,Total_Money_Official_and_Unofficial_MONEY
0,1,1,Justin Thomas,24,"$8,809,821"
1,2,2,Dustin Johnson,21,"$8,564,352"
2,3,3,Justin Rose,19,"$8,275,678"
3,4,4,Bryson DeChambeau,26,"$8,094,489"
4,5,5,Brooks Koepka,18,"$7,194,047"
5,6,6,Bubba Watson,25,"$5,883,748"
6,7,7,Tony Finau,29,"$5,728,472"
7,8,8,Tiger Woods,19,"$5,566,341"
8,9,9,Webb Simpson,26,"$5,376,417"
9,10,10,Rickie Fowler,21,"$5,235,237"
10,11,11,Francesco Molinari,21,"$5,200,842"
11,12,12,Patrick Reed,27,"$5,151,267"
12,13,13,Jason Day,20,"$5,087,461"
13,14,14,Phil Mickelson,24,"$4,595,187"
14,15,15,Billy Horschel,29,"$4,452,700"
15,16,16,Rory McIlroy,19,"$4,450,296"
16,17,17,Keegan Bradley,29,"$4,317,797"
17,18,18,Xander Schauffele,28,"$4,157,538"
18,19,19,Tommy Fleetwood,20,"$4,147,647"
19,20,20,Kyle Stanley,27,"$3,999,751"
20,21,21,Jon Rahm,20,"$3,992,678"
21,22,22,Patrick Cantlay,23,"$3,963,962"
22,23,23,Marc Leishman,25,"$3,771,221"
23,24,24,Paul Casey,20,"$3,641,771"
24,25,25,Cameron Smith,24,"$3,622,607"
25,26,26,Kevin Na,26,"$3,578,316"
26,27,27,Patton Kizzire,29,"$3,541,151"
27,28,28,Aaron Wise,29,"$3,486,407"
28,29,29,Gary Woodland,28,"$3,217,240"
29,30,30,Kevin Kisner,27,"$3,161,785"
30,31,31,Pat Perez,24,"$3,117,641"
31,32,32,Jordan Spieth,24,"$3,006,036"
32,33,33,Brian Harman,26,"$2,888,463"
33,34,34,Hideki Matsuyama,22,"$2,832,477"
34,35,35,Alex Noren,19,"$2,808,650"
35,36,36,Henrik Stenson,17,"$2,785,487"
36,37,37,Chesson Hadley,30,"$2,768,863"
37,38,38,Ian Poulter,20,"$2,714,450"
38,39,39,Luke List,29,"$2,710,736"
39,40,40,Chez Reavie,28,"$2,700,018"
40,41,41,Andrew Landry,27,"$2,642,179"
41,42,42,Byeong Hun An,24,"$2,599,264"
42,43,43,Brandt Snedeker,26,"$2,538,970"
