,Club_Head_Speed_RANK THIS WEEK,Club_Head_Speed_RANK LAST WEEK,Club_Head_Speed_PLAYER NAME,Club_Head_Speed_ROUNDS,Club_Head_Speed_AVG.,Club_Head_Speed_TOTAL CLUB HEAD SPEED,Club_Head_Speed_TOTAL ATTEMPTS,Club_Head_Speed_FASTEST SPEED,Club_Head_Speed_SLOWEST SPEED
0,1,1,Keith Mitchell,99,124.83,8738.38,70,129.08,119.46
1,2,2,Peter Uihlein,83,122.9,6267.84,51,128.42,117.19
2,3,3,Gary Woodland,96,122.68,6624.65,54,126.5,117.3
3,4,4,Brooks Koepka,64,122.42,5264.07,43,126.98,116.64
4,5,5,Kevin Tway,110,122.13,9037.69,74,129.02,117.89
5,6,6,Jhonattan Vegas,92,121.87,6215.53,51,127.85,117.6
6,7,7,Tony Finau,105,121.57,8023.86,66,127.26,118.73
7,8,8,Luke List,98,121.44,8379.11,69,126.72,116.18
8,9,9,Rory McIlroy,64,121.42,4978.33,41,125.4,118.73
9,10,10,Dustin Johnson,77,121.38,5340.62,44,126.61,117.59
10,T11,T11,Trey Mullinax,75,121.29,6064.29,50,124.23,114.15
11,T11,T11,Bubba Watson,90,121.29,6428.45,53,125.56,118.02
12,13,13,Adam Scott,78,120.85,6163.13,51,124.53,117.06
13,14,14,J.B. Holmes,77,120.83,7129.13,59,125.99,117.75
14,15,15,Adam Schenk,86,120.59,7717.49,64,123.73,116.98
15,16,16,Tom Lovelady,87,120.53,7713.63,64,126.6,116.05
16,17,17,Tiger Woods,68,120.24,5049.93,42,129.2,116.25
17,18,18,Lanto Griffin,80,119.4,5850.37,49,122.32,115.27
18,19,19,Ollie Schniederjans,91,119.28,7157.09,60,124.94,115.43
19,20,20,Kevin Chappell,77,119.25,5962.36,50,124.59,116.06
20,21,21,Conrad Shindler,60,119.23,3457.65,29,124.46,113.47
21,22,22,Charl Schwartzel,65,118.79,3801.16,32,122.29,115.56
22,23,23,Patrick Rodgers,97,118.75,6768.63,57,122.07,114.89
23,24,24,Seamus Power,86,118.71,7122.38,60,123.52,114.47
24,25,25,Grayson Murray,72,118.59,6403.6,54,125.28,114.1
25,26,26,Jon Rahm,71,118.49,4739.52,40,123.14,115.38
26,27,27,Nick Watney,94,118.45,8883.81,75,121.46,115.03
27,28,28,Hudson Swafford,73,118.29,5323.26,45,122.28,113.12
28,29,29,Jason Kokrak,99,118.14,9450.98,80,124.44,113.77
29,30,30,Matt Jones,70,118.06,5076.47,43,122.61,114.01
30,31,31,Charles Howell III,104,118.01,8142.38,69,121.08,114.16
31,32,32,Bryson DeChambeau,93,117.83,6951.99,59,123.93,112.41
32,33,33,Alex Noren,67,117.78,4357.8,37,122.53,113.17
33,34,34,Xander Schauffele,96,117.61,6938.83,59,122.65,113.81
34,35,35,Talor Gooch,78,117.54,5524.49,47,123.84,113.68
35,36,36,Paul Casey,74,117.34,4106.9,35,122.99,112.01
36,37,37,Justin Thomas,91,117.27,6215.42,53,120.2,114.34
37,T38,T38,Jason Day,75,117.26,4690.55,40,120.64,114.28
38,T38,T38,Patrick Reed,94,117.26,6097.38,52,120.41,113.4
39,40,40,Byeong Hun An,86,117.2,6797.8,58,121.92,113.89
40,41,41,Sam Ryder,82,117.17,7030.41,60,120.34,113.55
41,42,42,Robert Garrigus,80,117.13,6793.82,58,122.06,112.92
42,43,43,Tommy Fleetwood,73,117.09,5034.84,43,120.11,114.68
