,Smash_Factor_RANK THIS WEEK,Smash_Factor_RANK LAST WEEK,Smash_Factor_PLAYER NAME,Smash_Factor_ROUNDS,Smash_Factor_AVG.,Smash_Factor_TOTAL SMASH FACTOR,Smash_Factor_TOTAL ATTEMPTS,Smash_Factor_HIGHEST VALUE,Smash_Factor_LOWEST VALUE
0,T1,T1,Patrick Cantlay,87,1.507,84.39299999999999,56,1.5190000000000001,1.476
1,T1,T1,Branden Grace,67,1.507,48.221000000000004,32,1.518,1.492
2,T1,T1,Nick Watney,94,1.507,113.009,75,1.5190000000000001,1.48
3,T4,T4,Adam Hadwin,92,1.506,78.289,52,1.5190000000000001,1.472
4,T4,T4,Henrik Stenson,60,1.506,25.595,17,1.518,1.4569999999999999
5,6,6,Harris English,84,1.505,96.296,64,1.5190000000000001,1.479
6,T7,T7,Jason Day,75,1.504,60.148999999999994,40,1.518,1.4509999999999998
7,T7,T7,Jason Dufner,71,1.504,66.196,44,1.517,1.4680000000000002
8,T7,T7,Robert Garrigus,80,1.504,87.22399999999999,58,1.5190000000000001,1.449
9,T7,T7,Matt Kuchar,88,1.504,84.23299999999999,56,1.5190000000000001,1.475
10,T7,T7,Grayson Murray,72,1.504,81.19,54,1.526,1.452
11,T7,T7,C.T. Pan,104,1.504,103.771,69,1.516,1.462
12,T7,T7,Sam Saunders,80,1.504,85.708,57,1.518,1.464
13,T7,T7,Ben Silverman,90,1.504,99.23299999999999,66,1.5190000000000001,1.4769999999999999
14,T7,T7,Jimmy Walker,81,1.504,73.71300000000001,49,1.5190000000000001,1.469
15,T16,T16,Byeong Hun An,86,1.5030000000000001,87.18,58,1.517,1.465
16,T16,T16,Chesson Hadley,103,1.5030000000000001,124.772,83,1.517,1.449
17,T16,T16,Richy Werenski,98,1.5030000000000001,97.676,65,1.52,1.469
18,T19,T19,Wesley Bryan,69,1.5019999999999998,58.57899999999999,39,1.517,1.484
19,T19,T19,Bronson Burgoon,69,1.5019999999999998,72.09899999999999,48,1.516,1.443
20,T19,T19,Brice Garnett,99,1.5019999999999998,102.149,68,1.5190000000000001,1.463
21,T19,T19,Kelly Kraft,94,1.5019999999999998,103.624,69,1.517,1.4769999999999999
22,T19,T19,Trey Mullinax,75,1.5019999999999998,75.098,50,1.518,1.462
23,T19,T19,Jordan Spieth,81,1.5019999999999998,88.62299999999999,59,1.518,1.4780000000000002
24,T19,T19,Justin Thomas,91,1.5019999999999998,79.593,53,1.5190000000000001,1.425
25,T19,T19,Aaron Wise,90,1.5019999999999998,96.132,64,1.516,1.444
26,T27,T27,Blayne Barber,69,1.501,76.555,51,1.516,1.484
27,T27,T27,Corey Conners,97,1.501,115.56299999999999,77,1.518,1.452
28,T27,T27,Jason Kokrak,99,1.501,120.10700000000001,80,1.527,1.4469999999999998
29,T27,T27,Marc Leishman,93,1.501,84.02799999999999,56,1.5190000000000001,1.46
30,T31,T31,Brandon Harkins,101,1.5,105.01299999999999,70,1.526,1.444
31,T31,T31,Beau Hossler,104,1.5,118.53,79,1.514,1.449
32,T31,T31,Andrew Landry,82,1.5,97.509,65,1.5190000000000001,1.4569999999999999
33,T31,T31,Shane Lowry,64,1.5,64.509,43,1.518,1.4609999999999999
34,T31,T31,Sean O'Hair,67,1.5,79.505,53,1.518,1.44
35,T31,T31,Tyrone Van Aswegen,101,1.5,105.009,70,1.516,1.463
36,T37,T37,Paul Casey,74,1.499,52.48,35,1.516,1.459
37,T37,T37,Bud Cauley,55,1.499,56.96,38,1.516,1.462
38,T37,T37,Derek Fathauer,84,1.499,89.935,60,1.518,1.42
39,T37,T37,Cody Gribble,71,1.499,65.934,44,1.5190000000000001,1.445
40,T37,T37,Cameron Percy,56,1.499,56.961000000000006,38,1.511,1.456
41,T37,T37,Ian Poulter,73,1.499,62.957,42,1.515,1.463
42,T37,T37,Brian Stuard,103,1.499,119.92200000000001,80,1.518,1.43
43,T44,T44,Abraham Ancer,98,1.4980000000000002,119.816,80,1.5190000000000001,1.4409999999999998
44,T44,T44,Aaron Baddeley,84,1.4980000000000002,89.897,60,1.5190000000000001,1.446
45,T44,T44,Austin Cook,107,1.4980000000000002,124.29299999999999,83,1.524,1.46
46,T44,T44,Rickie Fowler,74,1.4980000000000002,64.434,43,1.518,1.4509999999999998
47,T44,T44,Sung Kang,89,1.4980000000000002,79.406,53,1.518,1.41
48,T44,T44,Francesco Molinari,73,1.4980000000000002,67.417,45,1.5190000000000001,1.45
49,T44,T44,Louis Oosthuizen,62,1.4980000000000002,61.437,41,1.516,1.4609999999999999
50,T44,T44,Cameron Smith,85,1.4980000000000002,70.41199999999999,47,1.514,1.4569999999999999
51,T44,T44,Scott Stallings,96,1.4980000000000002,107.848,72,1.5190000000000001,1.439
52,T53,T53,Keegan Bradley,98,1.4969999999999999,107.786,72,1.517,1.4240000000000002
53,T53,T53,Tommy Fleetwood,73,1.4969999999999999,64.37899999999999,43,1.5119999999999998,1.443
54,T53,T53,David Lingmerth,82,1.4969999999999999,94.304,63,1.518,1.425
55,T53,T53,Seamus Power,86,1.4969999999999999,89.84200000000001,60,1.516,1.4380000000000002
56,T53,T53,Brett Stegmaier,67,1.4969999999999999,65.88,44,1.5190000000000001,1.38
57,T58,T58,Ryan Blaum,81,1.496,92.774,62,1.514,1.439
58,T58,T58,William McGirt,84,1.496,104.691,70,1.5190000000000001,1.415
59,T58,T58,Scott Piercy,84,1.496,74.812,50,1.518,1.42
60,T58,T58,Adam Scott,78,1.496,76.303,51,1.518,1.4569999999999999
61,T62,T62,Jonas Blixt,67,1.495,68.764,46,1.5190000000000001,1.4240000000000002
62,T62,T62,Alex Cejka,77,1.495,82.204,55,1.5190000000000001,1.426
63,T62,T62,Matt Every,79,1.495,79.25,53,1.5190000000000001,1.4280000000000002
64,T62,T62,Tony Finau,105,1.495,98.68,66,1.517,1.423
65,T62,T62,Jim Furyk,50,1.495,49.318999999999996,33,1.518,1.445
66,T62,T62,Lanto Griffin,80,1.495,73.274,49,1.517,1.455
67,T62,T62,Whee Kim,93,1.495,85.20299999999999,57,1.518,1.443
68,T62,T62,Anirban Lahiri,82,1.495,94.214,63,1.5190000000000001,1.4569999999999999
69,T62,T62,Tom Lovelady,87,1.495,95.686,64,1.5390000000000001,1.422
70,T62,T62,Rory McIlroy,64,1.495,61.3,41,1.5190000000000001,1.422
71,T62,T62,Jon Rahm,71,1.495,59.781000000000006,40,1.5190000000000001,1.449
72,T62,T62,Vaughn Taylor,83,1.495,100.179,67,1.5190000000000001,1.431
73,T62,T62,Michael Thompson,62,1.495,79.225,53,1.518,1.4680000000000002
74,T62,T62,Bubba Watson,90,1.495,79.25,53,1.52,1.431
75,T62,T62,Andrew Yun,51,1.495,44.847,30,1.5190000000000001,1.452
76,T77,T77,Chad Campbell,87,1.494,74.718,50,1.5130000000000001,1.4269999999999998
77,T77,T77,Denny McCarthy,71,1.494,61.273,41,1.518,1.4380000000000002
78,T77,T77,Phil Mickelson,90,1.494,73.207,49,1.518,1.443
