,Total_Distance_Efficiency_RANK THIS WEEK,Total_Distance_Efficiency_RANK LAST WEEK,Total_Distance_Efficiency_PLAYER NAME,Total_Distance_Efficiency_ROUNDS,Total_Distance_Efficiency_AVG.,Total_Distance_Efficiency_AVERAGE DISTANCE (YARDS),Total_Distance_Efficiency_AVERAGE CLUB HEAD SPEED,Total_Distance_Efficiency_TOTAL ATTEMPTS,Total_Distance_Efficiency_HIGHEST DIST. EFFICIENCY
0,1,1,Cody Gribble,71,2.695,302.66,112.311,44,3.139
1,2,2,Brett Stegmaier,67,2.6839999999999997,297.529,110.853,44,2.9739999999999998
2,3,3,Beau Hossler,104,2.68,298.745,111.47,79,3.094
3,4,4,Richy Werenski,98,2.678,292.241,109.13799999999999,65,3.0589999999999997
4,5,5,Satoshi Kodaira,51,2.676,296.711,110.866,27,3.111
5,6,6,Rickie Fowler,74,2.675,310.04400000000004,115.88799999999999,43,3.054
6,7,7,Bronson Burgoon,69,2.674,303.068,113.32799999999999,48,3.088
7,8,8,Francesco Molinari,73,2.668,300.807,112.73299999999999,45,3.0669999999999997
8,9,9,Jonas Blixt,67,2.6660000000000004,294.536,110.492,46,3.029
9,10,10,Brian Gay,103,2.6630000000000003,281.684,105.759,80,2.995
10,11,11,Vaughn Taylor,83,2.662,284.884,107.038,67,3.0780000000000003
11,12,12,Bud Cauley,55,2.661,298.872,112.29799999999999,38,2.951
12,T13,T13,Jason Dufner,71,2.66,299.005,112.405,44,2.892
13,T13,T13,Cameron Smith,85,2.66,301.585,113.37100000000001,47,3.1210000000000004
14,15,15,Brian Harman,94,2.659,292.32599999999996,109.927,57,3.074
15,T16,T16,Chad Campbell,87,2.657,290.932,109.50299999999999,50,2.971
16,T16,T16,Cameron Percy,56,2.657,295.185,111.113,38,3.01
17,T16,T16,Brendan Steele,74,2.657,310.536,116.87899999999999,45,3.029
18,19,19,Nick Taylor,94,2.656,291.835,109.884,68,3.022
19,20,20,Brice Garnett,99,2.655,297.884,112.2,68,3.077
20,T21,T21,David Hearn,66,2.653,285.26099999999997,107.535,45,3.0589999999999997
21,T21,T21,Michael Thompson,62,2.653,296.381,111.70200000000001,53,3.1439999999999997
22,23,23,Patrick Cantlay,87,2.647,303.907,114.803,56,3.036
23,24,24,Jon Rahm,71,2.6460000000000004,313.506,118.488,40,2.927
24,T25,T25,Austin Cook,107,2.645,293.457,110.955,83,3.128
25,T25,T25,Harold Varner III,91,2.645,308.83099999999996,116.771,69,2.97
26,T27,T27,Matt Kuchar,88,2.6439999999999997,285.444,107.969,56,3.01
27,T27,T27,Denny McCarthy,71,2.6439999999999997,299.46299999999997,113.27799999999999,41,3.04
28,T29,T29,Danny Lee,88,2.6430000000000002,293.173,110.92399999999999,65,2.998
29,T29,T29,Phil Mickelson,90,2.6430000000000002,307.904,116.48200000000001,49,2.911
30,T29,T29,Martin Piller,79,2.6430000000000002,289.907,109.671,61,2.963
31,T29,T29,Xander Schauffele,96,2.6430000000000002,310.871,117.60700000000001,59,2.9989999999999997
32,33,33,Sean O'Hair,67,2.642,302.46,114.47399999999999,53,3.0389999999999997
33,T34,T34,C.T. Pan,104,2.64,293.894,111.316,69,2.9160000000000004
34,T34,T34,Justin Rose,70,2.64,308.92900000000003,116.99700000000001,39,3.0210000000000004
35,36,36,Jordan Spieth,81,2.639,299.426,113.441,59,3.015
36,37,37,Webb Simpson,95,2.638,292.495,110.88799999999999,70,3.0469999999999997
37,38,38,Rory McIlroy,64,2.637,320.197,121.42299999999999,41,3.097
38,T39,T39,Corey Conners,97,2.636,302.264,114.655,77,2.966
39,T39,T39,Trey Mullinax,75,2.636,319.668,121.286,50,3.032
40,41,41,Kyle Thompson,50,2.635,279.965,106.266,33,3.02
41,42,42,Sam Saunders,80,2.634,298.901,113.46799999999999,57,3.1860000000000004
42,43,43,Blayne Barber,69,2.633,292.639,111.161,51,3.156
43,T44,T44,Harris English,84,2.6319999999999997,307.39599999999996,116.774,64,3.0269999999999997
44,T44,T44,Grayson Murray,72,2.6319999999999997,312.165,118.585,54,2.963
45,46,46,Bryson DeChambeau,93,2.6310000000000002,310.055,117.83,59,2.891
46,T47,T47,Brandon Harkins,101,2.63,307.068,116.76299999999999,70,2.987
47,T47,T47,Chez Reavie,93,2.63,286.207,108.834,46,3.093
48,T49,T49,Abraham Ancer,98,2.6289999999999996,294.093,111.85,80,3.1910000000000003
49,T49,T49,Matt Every,79,2.6289999999999996,297.195,113.06,53,3.0580000000000003
50,51,51,Hideki Matsuyama,75,2.628,307.269,116.93799999999999,41,2.9330000000000003
51,52,52,Ryan Blaum,81,2.627,283.82099999999997,108.052,62,3.003
52,53,53,Retief Goosen,60,2.6260000000000003,294.062,111.98700000000001,37,2.9210000000000003
53,T54,T54,Scott Piercy,84,2.625,295.532,112.59299999999999,50,2.957
54,T54,T54,Justin Thomas,91,2.625,307.834,117.272,53,3.0669999999999997
55,T56,T56,Robert Garrigus,80,2.623,307.241,117.135,58,2.93
56,T56,T56,Whee Kim,93,2.623,287.64799999999997,109.67299999999999,57,3.1010000000000004
57,T56,T56,Anirban Lahiri,82,2.623,293.384,111.85600000000001,63,3.0069999999999997
58,T56,T56,Graeme McDowell,67,2.623,292.276,111.43799999999999,41,3.02
59,T56,T56,D.A. Points,63,2.623,283.097,107.926,42,3.175
60,T61,T61,Zach Johnson,94,2.622,288.39599999999996,109.999,61,2.946
61,T61,T61,Ryan Moore,78,2.622,286.907,109.429,59,2.985
62,63,63,Jason Day,75,2.6210000000000004,307.336,117.264,40,2.96
63,T64,T64,Adam Hadwin,92,2.62,292.626,111.685,52,2.952
64,T64,T64,Andrew Landry,82,2.62,290.462,110.859,65,2.95
65,T66,T66,Jonathan Byrd,70,2.6189999999999998,292.031,111.515,43,2.8539999999999996
66,T66,T66,Brandt Snedeker,84,2.6189999999999998,291.056,111.117,59,3.128
67,T68,T68,Tom Lovelady,87,2.6180000000000003,315.502,120.525,64,2.987
68,T68,T68,Steve Wheatcroft,60,2.6180000000000003,286.421,109.411,41,2.926
69,T70,T70,Fabián Gómez,88,2.617,293.289,112.055,63,2.958
70,T70,T70,Chesson Hadley,103,2.617,299.07,114.259,83,3.0460000000000003
71,72,72,Rory Sabbatini,91,2.616,293.264,112.09299999999999,69,2.9760000000000004
72,73,73,Wesley Bryan,69,2.615,284.509,108.78399999999999,39,2.968
73,74,74,Johnson Wagner,75,2.614,283.918,108.61200000000001,47,3.0660000000000003
74,T75,T75,Rafa Cabrera Bello,75,2.612,292.939,112.166,37,2.8539999999999996
75,T75,T75,Dustin Johnson,77,2.612,317.08,121.37799999999999,44,2.969
76,T75,T75,Jason Kokrak,99,2.612,308.617,118.137,80,2.898
77,T75,T75,Ben Silverman,90,2.612,289.058,110.656,66,3.0660000000000003
78,T75,T75,Brian Stuard,103,2.612,276.514,105.86200000000001,80,2.995
79,T80,T80,J.J. Henry,81,2.611,294.472,112.78,52,2.98
80,T80,T80,Marc Leishman,93,2.611,301.16200000000003,115.336,57,2.99
81,T82,T82,Keegan Bradley,98,2.61,298.589,114.38600000000001,72,2.987
82,T82,T82,Cameron Tringale,67,2.61,290.431,111.27799999999999,46,3.1860000000000004
83,T84,T84,Jim Furyk,50,2.609,274.66,105.272,33,2.877
84,T84,T84,Billy Horschel,86,2.609,298.703,114.475,72,2.9739999999999998
85,T86,T86,Martin Flores,92,2.608,299.681,114.912,64,2.9810000000000003
86,T86,T86,Kyle Stanley,93,2.608,293.747,112.65299999999999,58,2.9960000000000004
