,Presidents_Cup_International_RANK THIS WEEK,Presidents_Cup_International_RANK LAST WEEK,Presidents_Cup_International_PLAYER NAME,Presidents_Cup_International_POINTS
0,1,1,Hideki Matsuyama,40.88
1,2,2,Cameron Smith,34.74
2,3,3,Ashun Wu,28.94
3,4,4,C.T. Pan,21.34
4,5,5,Yuta Ikeda,19.8
5,T6,T6,Sangmoon Bae,16.0
6,T6,T6,Thanyakorn Khrongpha,16.0
7,8,8,Park Sang-eon,15.24
8,9,9,Hideto Tanihara,13.34
9,10,10,Abraham Ancer,13.17
10,11,11,Lucas Herbert,12.0
11,12,12,Emiliano Grillo,11.55
12,13,13,Shugo Imahira,10.85
13,14,14,Nick Voke,10.8
14,15,15,Marc Leishman,10.68
15,16,16,Adam Hadwin,9.35
16,17,17,Justin Harding,9.0
17,18,18,Scott Vincent,8.78
18,19,19,Jason Day,8.7
19,20,20,Byeong Hun An,8.24
20,21,21,Shaun Norris,7.08
21,22,22,Neil Schietekat,7.0
22,23,23,Roger Sloan,6.93
23,24,24,Soomin Lee,6.48
24,25,25,Rattanon Wannasrichan,6.4
25,T26,T26,Nicolas Echavarria,6.0
26,T26,T26,Hiroshi Iwata,6.0
27,T26,T26,Dimi Papadatos,6.0
28,T26,T26,Marcelo Rozo,6.0
29,T26,T26,Md. Shakhawat Sohel,6.0
30,31,31,Roberto Díaz,5.39
31,T32,T32,Cameron Davis,5.28
32,T32,T32,Ben Silverman,5.28
33,34,34,Si Woo Kim,5.11
34,35,35,Hyun-woo Ryu,5.0
35,36,36,Jason Scrivener,4.59
36,37,37,Rikuya Hoshino,4.52
37,T38,T38,,4.5
38,T38,T38,Sung-ho Yun,4.5
39,40,40,Louis Oosthuizen,4.44
40,41,41,Louis de Jager,4.2
41,T42,T42,Darren Fichardt,3.77
42,T42,T42,Phachara Khongwatmai,3.77
43,T42,T42,Charl Schwartzel,3.77
44,45,45,Fabián Gómez,3.71
45,46,46,Dongha Lee,3.69
46,T47,T47,Shariffudin Ariffin,3.6
47,T47,T47,Augusto Núñez,3.6
48,T47,T47,Nitithorn Thippong,3.6
49,50,50,Haydn Porteous,3.37
50,51,51,Adam Scott,3.29
51,T52,T52,Kenichi Kuboya,3.24
52,T52,T52,Hugo León,3.24
53,T52,T52,Doyeob Mun,3.24
54,55,55,Yuki Inamori,3.23
55,56,56,Ryuji Masaoka,3.2
56,T57,T57,Harrison Endycott,3.0
57,T57,T57,Benjamin Follett-Smith,3.0
58,T57,T57,Stuart Smith,3.0
59,60,60,Yuta Kinoshita,2.88
60,T61,T61,Gavin Kyle Green,2.77
61,T61,T61,Jeunghun Wang,2.77
62,T63,T63,Austin Connelly,2.76
63,T63,T63,Erik van Rooyen,2.76
64,65,65,Pieter Moolman,2.72
65,66,66,David Bransdon,2.56
66,67,67,HaoTong Li,2.47
67,T68,T68,Trevor Fisher Jr,2.45
68,T68,T68,Jake Roos,2.45
69,T70,T70,Young-Woon Kim,2.43
70,T70,T70,Curtis Luck,2.43
71,T70,T70,Adam Svensson,2.43
72,T73,T73,Brad Kennedy,2.4
73,T73,T73,Hyungjoon Lee,2.4
74,T75,T75,Branden Grace,2.24
75,T75,T75,K.T. Kim,2.24
76,T77,T77,Dylan Frittelli,2.16
77,T77,T77,Travis Smyth,2.16
78,79,79,Shinichi Mizuno,2.1
79,T80,T80,Adilson da Silva,2.03
80,T80,T80,Prayad Marksaeng,2.03
81,82,82,Richard Sterne,1.98
82,83,83,Fabrizio Zanotti,1.95
83,84,84,Keiichiro Fukabori,1.92
84,85,85,Gaganjeet Bhullar,1.8
85,T86,T86,Seung-taek Lee,1.71
86,T86,T86,Kwon Myung-ho,1.71
87,T86,T86,Donlaphatchai Niyomchon,1.71
88,T86,T86,,1.71
89,90,90,Danny Lee,1.67
90,91,91,Rafael Becker,1.62
91,92,92,Tatsunori Nukaga,1.6
92,93,93,Ben Leong,1.58
93,T94,T94,Jaco Ahlers,1.54
94,T94,T94,Jacques Blaauw,1.54
95,T96,T96,Katsufumi Okino,1.52
96,T96,T96,Wade Ormsby,1.52
97,T98,T98,,1.5
98,T98,T98,Hyowon Park,1.5
99,T98,T98,Miguel Tabuena,1.5
100,T101,T101,Yosuke Asaji,1.44
101,T101,T101,Itthipat Buranatanya,1.44
102,T101,T101,Masatsugu Fujishima,1.44
103,T101,T101,Tae Hee Lee,1.44
104,105,105,George Coetzee,1.42
105,T106,T106,James Marchesani,1.41
106,T106,T106,Max McCardle,1.41
107,T108,T108,Dongkwan Kim,1.4
108,T108,T108,,1.4
109,T108,T108,Cameron Moralee,1.4
110,111,111,Ryuko Tokimatsu,1.36
111,112,112,Christiaan Bezuidenhout,1.35
112,113,113,Brett Coletta,1.28
113,T114,T114,Nick Cullen,1.27
114,T114,T114,Jang Dong-Kyu,1.27
115,T114,T114,Lee Dong-Min,1.27
116,T114,T114,Yoon Jung-ho,1.27
117,118,118,Bio Kim,1.26
