,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Bryson DeChambeau,26,54.5,4360,8000,2.0,2.0
1,2,2,Justin Rose,18,35.75,2860,8000,,3.0
2,3,3,Tiger Woods,18,32.01,2561,8000,1.0,2.0
3,4,4,Billy Horschel,27,31.25,2500,8000,,3.0
4,5,5,Keegan Bradley,27,27.99,2239,8000,1.0,1.0
5,6,6,Tony Finau,28,27.28,2182,8000,,3.0
6,7,7,Cameron Smith,24,20.07,1606,8000,,2.0
7,8,8,Dustin Johnson,20,18.35,1468,8000,,2.0
8,9,9,Hideki Matsuyama,21,16.8,1344,8000,,2.0
9,10,10,Rory McIlroy,18,16.48,989,6000,,2.0
10,11,11,Rickie Fowler,20,16.0,640,4000,,2.0
11,12,12,Justin Thomas,23,12.78,1023,8000,,2.0
12,13,13,Xander Schauffele,27,12.61,1008,8000,,2.0
13,14,14,Webb Simpson,26,12.22,977,8000,,2.0
14,15,15,Tommy Fleetwood,19,10.7,856,8000,,1.0
15,16,16,Brooks Koepka,17,10.54,844,8000,,1.0
16,17,17,Aaron Wise,29,10.36,828,8000,,1.0
17,18,18,Adam Hadwin,25,9.8,588,6000,,
18,19,19,C.T. Pan,30,9.07,544,6000,,1.0
19,20,20,Bubba Watson,24,9.0,720,8000,,1.0
20,21,21,Gary Woodland,27,8.2,656,8000,,
21,22,22,Tyrrell Hatton,16,8.19,492,6000,,
22,23,23,Patrick Cantlay,23,7.92,633,8000,,1.0
23,24,24,Francesco Molinari,20,7.83,470,6000,,1.0
24,25,25,Adam Scott,21,7.62,457,6000,,1.0
25,26,26,Kevin Na,26,7.36,589,8000,,
26,27,27,Kyle Stanley,26,7.23,579,8000,,
27,28,28,Phil Mickelson,24,6.94,555,8000,,
28,29,29,Ryan Palmer,22,6.93,416,6000,,1.0
29,30,30,Daniel Berger,23,6.85,274,4000,,
30,31,31,Bronson Burgoon,24,6.81,272,4000,,
31,32,32,Nick Watney,26,6.73,269,4000,,
32,33,33,Rafa Cabrera Bello,20,6.51,390,6000,,1.0
33,34,34,Jordan Spieth,23,6.3,378,6000,,
34,35,35,Patrick Reed,26,6.28,502,8000,,
35,36,36,Jason Day,20,6.2,496,8000,,
36,37,37,Emiliano Grillo,25,6.16,369,6000,,1.0
37,38,38,Jason Kokrak,29,5.88,353,6000,,
38,39,39,Brian Stuard,32,5.83,233,4000,,
39,40,40,Abraham Ancer,30,5.82,349,6000,,1.0
40,41,41,Marc Leishman,25,5.7,456,8000,,
41,T42,T42,Sean O'Hair,22,5.45,109,2000,,
42,T42,T42,Sam Ryder,26,5.45,109,2000,,
43,44,44,Paul Casey,20,5.41,432,8000,,
44,45,45,Jon Rahm,20,5.4,432,8000,,
45,46,46,Peter Uihlein,26,5.29,318,6000,,
46,47,47,Jhonattan Vegas,27,5.1,204,4000,,
47,48,48,Brice Garnett,30,4.98,299,6000,,
48,49,49,Charley Hoffman,25,4.36,174,4000,,
49,50,50,Byeong Hun An,24,4.28,257,6000,,
50,51,51,Andrew Putnam,28,4.01,241,6000,,
51,52,52,Seamus Power,28,3.9,78,2000,,
52,53,53,Chez Reavie,28,3.87,232,6000,,
53,54,54,Louis Oosthuizen,17,3.78,227,6000,,
54,55,55,Keith Mitchell,29,3.65,219,6000,,
55,56,56,Scott Stallings,30,3.44,137,4000,,
56,57,57,Henrik Stenson,16,3.04,121,4000,,
57,58,58,Alex Noren,18,3.0,180,6000,,
58,59,59,Beau Hossler,28,2.96,177,6000,,
59,60,60,Brandt Snedeker,25,2.79,111,4000,,
60,61,61,Kevin Kisner,25,2.69,161,6000,,
61,62,62,Danny Lee,30,2.66,106,4000,,
62,63,63,Charles Howell III,28,2.61,156,6000,,
63,64,64,Patton Kizzire,29,2.58,206,8000,,
64,65,65,Harold Varner III,27,2.54,51,2000,,
65,66,66,"Ted Potter, Jr.",28,2.42,145,6000,,
66,67,67,Austin Cook,29,2.38,143,6000,,
67,68,68,Zach Johnson,25,2.36,142,6000,,
68,69,69,Si Woo Kim,31,2.22,133,6000,,
69,70,70,Chris Kirk,29,2.21,132,6000,,
70,71,71,Jamie Lovemark,26,2.19,88,4000,,
71,72,72,Andrew Landry,27,1.83,110,6000,,
72,73,73,Ryan Armour,32,1.79,107,6000,,
73,T74,T74,Kevin Chappell,23,1.75,70,4000,,
74,T74,T74,James Hahn,26,1.75,70,4000,,
75,76,76,Kevin Tway,31,1.65,66,4000,,
76,77,77,Matt Kuchar,24,1.51,60,4000,,
77,78,78,Kevin Streelman,27,1.27,51,4000,,
78,79,79,Pat Perez,23,1.23,74,6000,,
79,80,80,Brian Harman,25,1.22,73,6000,,
80,T81,T81,Luke List,29,1.17,70,6000,,
81,T81,T81,Scott Piercy,26,1.17,70,6000,,
82,83,83,J.J. Spaun,27,1.16,70,6000,,
83,84,84,Brian Gay,30,1.14,68,6000,,
84,T85,T85,Alex Cejka,24,1.1,22,2000,,
85,T85,T85,Branden Grace,18,1.1,44,4000,,
86,T85,T85,Russell Knox,27,1.1,44,4000,,
87,T85,T85,Trey Mullinax,24,1.1,22,2000,,
88,89,89,Whee Kim,30,1.03,41,4000,,
89,90,90,Ian Poulter,20,1.0,60,6000,,
90,T91,T91,Brandon Harkins,30,0.82,16,2000,,
91,T91,T91,Sam Saunders,26,0.82,16,2000,,
92,93,93,J.B. Holmes,24,0.71,28,4000,,
93,94,94,Chesson Hadley,30,0.67,40,6000,,
94,95,95,Jimmy Walker,23,0.57,23,4000,,
95,96,96,Martin Laird,22,0.53,11,2000,,
96,97,97,Russell Henley,23,0.51,20,4000,,
97,98,98,Sung Kang,29,0.5,10,2000,,
98,99,99,Stewart Cink,25,0.43,17,4000,,
99,100,100,Tom Hoge,31,0.36,14,4000,,
100,101,101,Anirban Lahiri,24,0.29,11,4000,,
101,T102,T102,Ryan Moore,22,0.28,11,4000,,
102,T102,T102,Brendan Steele,22,0.28,17,6000,,
