,3-Putt_Avoidance_-_Round_3_RANK THIS WEEK,3-Putt_Avoidance_-_Round_3_RANK LAST WEEK,3-Putt_Avoidance_-_Round_3_PLAYER NAME,3-Putt_Avoidance_-_Round_3_%,3-Putt_Avoidance_-_Round_3_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_3_TOTAL HOLES
0,1,1,Brandt Snedeker,0.31,1,324
1,T2,T2,Zac Blair,0.93,2,216
2,T2,T2,Wesley Bryan,0.93,2,216
3,T2,T2,Daniel Summerhays,0.93,1,108
4,5,5,David Lingmerth,1.04,3,288
5,T6,T6,Harris English,1.11,2,180
6,T6,T6,Andrew Landry,1.11,3,270
7,T6,T6,J.T. Poston,1.11,3,270
8,9,9,Ian Poulter,1.19,3,252
9,10,10,Si Woo Kim,1.26,5,396
10,11,11,Trey Mullinax,1.28,3,234
11,12,12,Kevin Kisner,1.31,4,306
12,T13,T13,Chesson Hadley,1.32,5,378
13,T13,T13,Adam Hadwin,1.32,5,378
14,T15,T15,Greg Chalmers,1.39,2,144
15,T15,T15,Jason Day,1.39,4,288
16,T15,T15,Whee Kim,1.39,4,288
17,T15,T15,Ben Martin,1.39,3,216
18,T15,T15,Kyle Thompson,1.39,1,72
19,T20,T20,Bill Haas,1.48,4,270
20,T20,T20,William McGirt,1.48,4,270
21,22,22,Chris Kirk,1.5,7,468
22,23,23,Shane Lowry,1.52,3,198
23,24,24,Matt Kuchar,1.54,5,324
24,25,25,Webb Simpson,1.59,6,378
25,26,26,Ryan Moore,1.63,5,306
26,T27,T27,Ricky Barnes,1.67,3,180
27,T27,T27,Jonathan Randolph,1.67,3,180
28,T27,T27,Kevin Streelman,1.67,6,360
29,T30,T30,Danny Lee,1.74,5,288
30,T30,T30,Johnson Wagner,1.74,5,288
31,32,32,Tom Hoge,1.75,6,342
32,33,33,Keegan Bradley,1.77,7,396
33,T34,T34,Jason Dufner,1.85,4,216
34,T34,T34,J.B. Holmes,1.85,5,270
35,T34,T34,Michael Kim,1.85,3,162
36,T34,T34,Tyrone Van Aswegen,1.85,6,324
37,T38,T38,Martin Flores,1.96,6,306
38,T38,T38,Pat Perez,1.96,6,306
39,T40,T40,Emiliano Grillo,2.02,8,396
40,T40,T40,Sean O'Hair,2.02,4,198
41,42,42,Kevin Na,2.05,7,342
42,T43,T43,Matt Atkins,2.08,3,144
43,T43,T43,Beau Hossler,2.08,9,432
44,T43,T43,Tiger Woods,2.08,6,288
45,T46,T46,Mackenzie Hughes,2.14,5,234
46,T46,T46,Henrik Stenson,2.14,5,234
47,48,48,Bubba Watson,2.16,7,324
48,T49,T49,Jonas Blixt,2.22,4,180
49,T49,T49,Zecheng Dou,2.22,2,90
50,T49,T49,Cody Gribble,2.22,4,180
51,T49,T49,Russell Henley,2.22,6,270
52,T49,T49,Andrew Putnam,2.22,8,360
53,T49,T49,Patrick Reed,2.22,8,360
54,T49,T49,Brian Stuard,2.22,8,360
55,T49,T49,Justin Thomas,2.22,8,360
56,T57,T57,John Huh,2.29,7,306
57,T57,T57,Anirban Lahiri,2.29,7,306
58,T57,T57,Troy Merritt,2.29,7,306
59,T57,T57,Ben Silverman,2.29,7,306
60,T57,T57,Cameron Smith,2.29,7,306
61,T62,T62,Hunter Mahan,2.31,5,216
62,T62,T62,Denny McCarthy,2.31,5,216
63,T64,T64,Dominic Bozzelli,2.38,6,252
64,T64,T64,Lanto Griffin,2.38,6,252
65,T64,T64,Marc Leishman,2.38,9,378
66,T64,T64,Rory McIlroy,2.38,6,252
67,T64,T64,Phil Mickelson,2.38,9,378
68,T64,T64,Seamus Power,2.38,6,252
69,70,70,Ollie Schniederjans,2.47,8,324
70,T71,T71,Bronson Burgoon,2.53,5,198
71,T71,T71,Bud Cauley,2.53,5,198
72,T71,T71,Matt Jones,2.53,5,198
73,T71,T71,Steve Wheatcroft,2.53,5,198
74,75,75,Derek Fathauer,2.56,6,234
75,T76,T76,Paul Casey,2.61,8,306
76,T76,T76,Patton Kizzire,2.61,8,306
77,T76,T76,Kelly Kraft,2.61,8,306
78,T76,T76,Hideki Matsuyama,2.61,8,306
79,T76,T76,Jordan Spieth,2.61,8,306
80,81,81,Kevin Tway,2.66,11,414
81,82,82,Austin Cook,2.67,12,450
82,T83,T83,Abraham Ancer,2.78,10,360
83,T83,T83,Retief Goosen,2.78,4,144
84,T83,T83,James Hahn,2.78,8,288
85,T83,T83,Dustin Johnson,2.78,9,324
86,T83,T83,Graeme McDowell,2.78,6,216
87,T83,T83,Francesco Molinari,2.78,8,288
88,T83,T83,"Ted Potter, Jr.",2.78,8,288
89,T83,T83,J.J. Spaun,2.78,8,288
90,T83,T83,Scott Stallings,2.78,9,324
91,T83,T83,Robert Streb,2.78,5,180
92,T83,T83,Nick Watney,2.78,10,360
93,T94,T94,Ryan Armour,2.9,12,414
94,T94,T94,Tony Finau,2.9,12,414
95,96,96,Gary Woodland,2.91,11,378
96,T97,T97,Scott Brown,2.92,10,342
97,T97,T97,Russell Knox,2.92,10,342
98,T97,T97,Rory Sabbatini,2.92,10,342
99,T97,T97,Jhonattan Vegas,2.92,10,342
100,101,101,Daniel Berger,2.94,9,306
101,T102,T102,Roberto Díaz,2.99,7,234
102,T102,T102,Alex Noren,2.99,7,234
103,T102,T102,Chris Stroud,2.99,7,234
104,T105,T105,Ben Crane,3.03,6,198
105,T105,T105,Michael Thompson,3.03,6,198
106,107,107,Justin Rose,3.13,9,288
107,T108,T108,Aaron Baddeley,3.17,8,252
108,T108,T108,Alex Cejka,3.17,8,252
109,T108,T108,Corey Conners,3.17,12,378
110,T108,T108,Robert Garrigus,3.17,8,252
111,T108,T108,Zach Johnson,3.17,12,378
112,T108,T108,D.A. Points,3.17,4,126
113,T108,T108,Brendan Steele,3.17,8,252
114,T115,T115,Patrick Cantlay,3.22,11,342
115,T115,T115,Kyle Stanley,3.22,11,342
116,T115,T115,Harold Varner III,3.22,11,342
117,118,118,Martin Piller,3.24,7,216
118,T119,T119,Rickie Fowler,3.27,10,306
119,T119,T119,Charley Hoffman,3.27,10,306
120,T119,T119,Chez Reavie,3.27,10,306
121,T119,T119,Jimmy Walker,3.27,10,306
122,T119,T119,Richy Werenski,3.27,10,306
123,124,124,C.T. Pan,3.28,13,396
124,T125,T125,Kiradech Aphibarnrat,3.33,6,180
125,T125,T125,Jim Furyk,3.33,6,180
126,T125,T125,Tom Lovelady,3.33,9,270
127,T125,T125,Jon Rahm,3.33,9,270
128,129,129,Charles Howell III,3.38,14,414
129,130,130,Patrick Rodgers,3.4,11,324
130,T131,T131,Blayne Barber,3.42,8,234
131,T131,T131,J.J. Henry,3.42,8,234
132,T131,T131,Sam Saunders,3.42,8,234
133,T131,T131,Ethan Tracy,3.42,8,234
134,135,135,Xander Schauffele,3.44,13,378
135,T136,T136,Tommy Fleetwood,3.47,10,288
136,T136,T136,Nate Lashley,3.47,5,144
137,T136,T136,Cameron Tringale,3.47,5,144
138,139,139,Rod Pampling,3.54,7,198
139,140,140,Shawn Stefani,3.57,9,252
