,GIR_Putting_-_15-20_RANK THIS WEEK,GIR_Putting_-_15-20_RANK LAST WEEK,GIR_Putting_-_15-20_PLAYER NAME,GIR_Putting_-_15-20_ROUNDS,GIR_Putting_-_15-20_%,GIR_Putting_-_15-20_ATTEMPTS,GIR_Putting_-_15-20_PUTTS MADE
0,1,1,Hideki Matsuyama,75,30.23,86,26
1,2,2,Daniel Summerhays,51,30.0,60,18
2,3,3,Bryson DeChambeau,93,28.03,132,37
3,4,4,Charl Schwartzel,65,27.69,65,18
4,5,5,Kevin Na,91,27.42,124,34
5,6,6,Tiger Woods,68,26.74,86,23
6,7,7,Jonas Blixt,67,26.67,60,16
7,8,8,Martin Laird,73,26.13,111,29
8,9,9,Kevin Chappell,77,25.93,108,28
9,10,10,Ricky Barnes,65,25.71,70,18
10,11,11,J.J. Spaun,85,25.58,129,33
11,12,12,Lucas Glover,65,25.35,71,18
12,13,13,Jon Rahm,71,25.32,79,20
13,T14,T14,Greg Chalmers,56,25.0,56,14
14,T14,T14,Danny Lee,88,25.0,100,25
15,T14,T14,Tom Lovelady,87,25.0,92,23
16,17,17,Adam Hadwin,92,24.53,106,26
17,18,18,Michael Thompson,62,24.39,82,20
18,19,19,Tommy Fleetwood,73,24.36,78,19
19,20,20,Tyrrell Hatton,58,24.14,58,14
20,21,21,Jamie Lovemark,92,24.1,83,20
21,22,22,Zac Blair,64,23.94,71,17
22,23,23,Ryan Blaum,81,23.91,92,22
23,24,24,Sam Saunders,80,23.64,110,26
24,25,25,Jason Day,75,23.61,72,17
25,26,26,Brandt Snedeker,84,23.58,106,25
26,27,27,Ben Silverman,90,23.48,132,31
27,28,28,Kiradech Aphibarnrat,51,23.4,47,11
28,29,29,Billy Horschel,86,23.39,124,29
29,30,30,Nick Watney,94,23.36,137,32
30,31,31,Retief Goosen,60,23.21,56,13
31,32,32,Chesson Hadley,103,22.76,145,33
32,33,33,Vaughn Taylor,83,22.48,129,29
33,34,34,Xander Schauffele,96,22.32,112,25
34,35,35,Sean O'Hair,67,22.11,95,21
35,36,36,Graeme McDowell,67,22.08,77,17
36,T37,T37,Jonathan Byrd,70,21.95,82,18
37,T37,T37,Peter Malnati,87,21.95,123,27
38,T37,T37,Conrad Shindler,60,21.95,82,18
39,40,40,Jimmy Walker,81,21.88,96,21
40,41,41,Bud Cauley,55,21.74,69,15
41,42,42,Billy Hurley III,70,21.69,83,18
42,43,43,Alex Cejka,77,21.65,97,21
43,44,44,Anirban Lahiri,82,21.62,111,24
44,45,45,Matt Kuchar,88,21.6,125,27
45,46,46,Branden Grace,67,21.43,70,15
46,47,47,Kyle Stanley,93,21.3,108,23
47,T48,T48,Webb Simpson,95,21.21,132,28
48,T48,T48,Brett Stegmaier,67,21.21,66,14
49,T50,T50,Jason Kokrak,99,21.15,156,33
50,T50,T50,Ryan Palmer,69,21.15,104,22
51,52,52,Ian Poulter,73,21.11,90,19
52,53,53,Kevin Tway,110,20.9,134,28
53,54,54,Ollie Schniederjans,91,20.87,115,24
54,55,55,Derek Fathauer,84,20.73,82,17
55,56,56,Patrick Rodgers,97,20.54,112,23
56,57,57,Ethan Tracy,72,20.51,78,16
57,58,58,Kelly Kraft,94,20.49,122,25
58,59,59,David Lingmerth,82,20.43,93,19
59,60,60,Lanto Griffin,80,20.41,98,20
60,61,61,Aaron Baddeley,84,20.34,118,24
61,T62,T62,Zach Johnson,94,20.29,138,28
62,T62,T62,Johnson Wagner,75,20.29,69,14
63,64,64,Wesley Bryan,69,20.25,79,16
64,65,65,D.A. Points,63,20.24,84,17
65,T66,T66,Matt Every,79,20.0,80,16
66,T66,T66,Brian Harman,94,20.0,115,23
67,T66,T66,Rob Oppenheim,74,20.0,100,20
68,T66,T66,Chez Reavie,93,20.0,95,19
69,70,70,Brandon Harkins,101,19.86,141,28
70,71,71,Charley Hoffman,87,19.83,121,24
71,72,72,Harris English,84,19.82,111,22
72,73,73,Hudson Swafford,73,19.57,92,18
73,74,74,Pat Perez,82,19.54,87,17
74,75,75,Rickie Fowler,74,19.49,118,23
75,76,76,Phil Mickelson,90,19.39,98,19
76,77,77,Patton Kizzire,92,19.38,129,25
77,78,78,Cody Gribble,71,19.35,93,18
78,79,79,Xinjun Zhang,81,19.28,83,16
79,80,80,Seamus Power,86,19.27,109,21
80,81,81,John Huh,94,19.26,135,26
81,82,82,Matt Jones,70,19.23,78,15
82,83,83,Adam Scott,78,19.19,99,19
83,84,84,Louis Oosthuizen,62,19.12,68,13
84,85,85,Chris Kirk,108,19.08,152,29
85,T86,T86,J.T. Poston,73,19.0,100,19
86,T86,T86,Cameron Smith,85,19.0,100,19
87,88,88,Aaron Wise,90,18.98,137,26
88,T89,T89,Brian Gay,103,18.95,153,29
89,T89,T89,Jhonattan Vegas,92,18.95,95,18
90,91,91,Talor Gooch,78,18.89,90,17
91,92,92,Nicholas Lindheim,77,18.75,96,18
92,93,93,Andrew Landry,82,18.7,123,23
93,94,94,Keegan Bradley,98,18.67,150,28
94,T95,T95,Ryan Armour,109,18.6,172,32
95,T95,T95,Rafa Cabrera Bello,75,18.6,86,16
96,97,97,J.J. Henry,81,18.56,97,18
97,T98,T98,Roberto Díaz,72,18.52,81,15
98,T98,T98,Emiliano Grillo,94,18.52,135,25
99,100,100,Alex Noren,67,18.46,65,12
100,101,101,Chad Campbell,87,18.37,98,18
101,102,102,Scott Stallings,96,18.32,131,24
102,T103,T103,Jason Dufner,71,18.29,82,15
103,T103,T103,Hunter Mahan,67,18.29,82,15
104,T105,T105,James Hahn,85,18.18,99,18
105,T105,T105,Rory McIlroy,64,18.18,77,14
106,T105,T105,Andrew Yun,51,18.18,44,8
107,108,108,Kevin Kisner,89,18.1,116,21
108,109,109,Matt Atkins,56,18.03,61,11
109,110,110,Blayne Barber,69,18.0,100,18
110,111,111,Keith Mitchell,99,17.99,139,25
111,112,112,Sam Ryder,82,17.97,128,23
112,113,113,Jim Furyk,50,17.91,67,12
113,114,114,Denny McCarthy,71,17.86,84,15
114,115,115,Shane Lowry,64,17.81,73,13
115,116,116,Harold Varner III,91,17.74,124,22
116,117,117,Ben Crane,65,17.72,79,14
117,118,118,Russell Henley,77,17.71,96,17
118,119,119,Tyrone Van Aswegen,101,17.69,147,26
119,T120,T120,C.T. Pan,104,17.65,153,27
120,T120,T120,Cameron Percy,56,17.65,68,12
121,122,122,Stephan Jaeger,81,17.59,108,19
122,123,123,Paul Casey,74,17.44,86,15
123,124,124,Mackenzie Hughes,80,17.31,104,18
124,125,125,Brian Stuard,103,17.29,133,23
125,126,126,Grayson Murray,72,17.28,81,14
126,127,127,Whee Kim,93,17.24,116,20
127,T128,T128,Martin Flores,92,17.14,105,18
128,T128,T128,David Hearn,66,17.14,105,18
129,T128,T128,J.B. Holmes,77,17.14,105,18
130,131,131,Rory Sabbatini,91,17.09,117,20
131,132,132,Bronson Burgoon,69,17.07,82,14
132,133,133,Russell Knox,94,17.04,135,23
133,134,134,Gary Woodland,96,16.92,130,22
134,135,135,Sung Kang,89,16.84,95,16
135,T136,T136,Austin Cook,107,16.67,162,27
136,T136,T136,Si Woo Kim,108,16.67,126,21
137,T136,T136,William McGirt,84,16.67,120,20
138,T136,T136,Patrick Reed,94,16.67,96,16
139,T136,T136,Nick Taylor,94,16.67,120,20
140,141,141,"Ted Potter, Jr.",87,16.54,133,22
141,142,142,Francesco Molinari,73,16.53,121,20
142,T143,T143,Tony Finau,105,16.52,115,19
143,T143,T143,Ryan Moore,78,16.52,115,19
144,145,145,Robert Streb,78,16.48,91,15
145,146,146,Michael Kim,74,16.44,73,12
146,147,147,Tom Hoge,101,16.43,140,23
147,148,148,Brice Garnett,99,16.36,110,18
148,T149,T149,Marc Leishman,93,16.22,111,18
149,T149,T149,Jonathan Randolph,71,16.22,74,12
150,151,151,Shawn Stefani,76,16.16,99,16
151,152,152,Scott Piercy,84,16.13,124,20
152,153,153,Robert Garrigus,80,16.07,112,18
153,T154,T154,Stewart Cink,87,16.0,125,20
154,T154,T154,Brooks Koepka,64,16.0,75,12
155,T154,T154,Rod Pampling,62,16.0,75,12
156,157,157,Dustin Johnson,77,15.97,119,19
157,158,158,Scott Brown,102,15.91,132,21
158,159,159,Charles Howell III,104,15.79,114,18
159,160,160,Peter Uihlein,83,15.69,102,16
160,161,161,Ben Martin,64,15.46,97,15
