,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Dustin Johnson,77,3.89,1082,278
1,T1,T1,Justin Thomas,91,3.89,1413,363
2,3,3,Justin Rose,70,3.91,970,248
3,T4,T4,Jason Day,75,3.94,1201,305
4,T4,T4,Zach Johnson,94,3.94,1814,460
5,6,6,Jon Rahm,71,3.95,1176,298
6,T7,T7,Rickie Fowler,74,3.96,1147,290
7,T7,T7,Billy Horschel,86,3.96,1562,394
8,T7,T7,Hunter Mahan,67,3.96,1337,338
9,T7,T7,Scott Piercy,84,3.96,1774,448
10,T7,T7,Chez Reavie,93,3.96,1922,485
11,T7,T7,Jordan Spieth,81,3.96,1689,426
12,T7,T7,Henrik Stenson,60,3.96,1078,272
13,T7,T7,Tiger Woods,68,3.96,1128,285
14,T15,T15,Bryson DeChambeau,93,3.97,2072,522
15,T15,T15,Tony Finau,105,3.97,1762,444
16,T15,T15,Tommy Fleetwood,73,3.97,1281,323
17,T15,T15,John Huh,94,3.97,2116,533
18,T15,T15,Matt Kuchar,88,3.97,1489,375
19,T15,T15,Peter Malnati,87,3.97,2015,507
20,T15,T15,Hideki Matsuyama,75,3.97,1594,402
21,T15,T15,Rory Sabbatini,91,3.97,1971,496
22,T15,T15,Webb Simpson,95,3.97,1718,433
23,T15,T15,Brian Stuard,103,3.97,2015,507
24,T25,T25,Dominic Bozzelli,65,3.98,1534,385
25,T25,T25,Patrick Cantlay,87,3.98,1549,389
26,T25,T25,Stewart Cink,87,3.98,1865,469
27,T25,T25,Tyrrell Hatton,58,3.98,1205,303
28,T25,T25,Luke List,98,3.98,1834,461
29,T25,T25,Louis Oosthuizen,62,3.98,928,233
30,T25,T25,Ryan Palmer,69,3.98,1217,306
31,T25,T25,C.T. Pan,104,3.98,2125,534
32,T25,T25,Seamus Power,86,3.98,1813,455
33,T25,T25,Brandt Snedeker,84,3.98,1752,440
34,T25,T25,Michael Thompson,62,3.98,1279,321
35,T25,T25,Nick Watney,94,3.98,2354,591
36,T37,T37,Rafa Cabrera Bello,75,3.99,1422,356
37,T37,T37,Alex Cejka,77,3.99,1811,454
38,T37,T37,J.B. Holmes,77,3.99,1452,364
39,T37,T37,Beau Hossler,104,3.99,1904,477
40,T37,T37,Nicholas Lindheim,77,3.99,1665,417
41,T37,T37,Denny McCarthy,71,3.99,1228,308
42,T37,T37,Ryan Moore,78,3.99,1522,381
