,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Rory McIlroy,64,64.5,129,2
1,2,2,Dustin Johnson,77,65.33,196,3
2,3,3,Tommy Fleetwood,73,65.5,131,2
3,4,4,Brooks Koepka,64,66.0,66,1
4,5,5,Phil Mickelson,90,66.5,133,2
5,6,6,Patrick Reed,94,67.67,406,6
6,7,7,Jon Rahm,71,68.29,478,7
7,8,8,Jordan Spieth,81,68.33,205,3
8,T9,T9,Tony Finau,105,68.5,548,8
9,T9,T9,Justin Rose,70,68.5,137,2
10,T9,T9,Henrik Stenson,60,68.5,137,2
11,12,12,Rafa Cabrera Bello,75,68.88,551,8
12,13,13,Ryan Moore,78,69.08,829,12
13,14,14,Cameron Percy,56,69.15,899,13
14,15,15,Charles Howell III,104,69.21,1315,19
15,16,16,Kevin Streelman,94,69.22,1246,18
16,17,17,Bronson Burgoon,69,69.25,277,4
17,18,18,Matt Atkins,56,69.29,485,7
18,19,19,J.J. Spaun,85,69.33,1040,15
19,20,20,Patton Kizzire,92,69.38,1110,16
20,21,21,Ben Crane,65,69.44,625,9
21,22,22,Chesson Hadley,103,69.48,1459,21
22,23,23,Byeong Hun An,86,69.5,695,10
23,24,24,Rory Sabbatini,91,69.6,1044,15
24,25,25,Ryan Armour,109,69.61,1601,23
25,26,26,Jamie Lovemark,92,69.62,905,13
26,27,27,Andrew Putnam,97,69.64,1532,22
27,T28,T28,Zach Johnson,94,69.67,836,12
28,T28,T28,Sam Ryder,82,69.67,1045,15
29,30,30,Peter Uihlein,83,69.7,697,10
30,31,31,Kevin Na,91,69.75,837,12
31,T32,T32,Keegan Bradley,98,69.79,977,14
32,T32,T32,Beau Hossler,104,69.79,1326,19
33,T32,T32,Jason Kokrak,99,69.79,977,14
34,T35,T35,Paul Casey,74,69.8,698,10
35,T35,T35,Austin Cook,107,69.8,1047,15
36,37,37,Abraham Ancer,98,69.86,1537,22
37,38,38,Marc Leishman,93,69.91,769,11
38,T39,T39,Stewart Cink,87,69.92,909,13
39,T39,T39,Andrew Landry,82,69.92,839,12
40,T39,T39,Kyle Stanley,93,69.92,839,12
41,T42,T42,Kiradech Aphibarnrat,51,70.0,420,6
42,T42,T42,Zac Blair,64,70.0,700,10
43,T42,T42,Russell Henley,77,70.0,770,11
44,T42,T42,Billy Horschel,86,70.0,630,9
45,T42,T42,Brendan Steele,74,70.0,630,9
46,T42,T42,Vaughn Taylor,83,70.0,1330,19
47,T42,T42,Tiger Woods,68,70.0,70,1
48,49,49,Kevin Tway,110,70.08,911,13
49,50,50,Cameron Smith,85,70.1,701,10
50,51,51,Adam Scott,78,70.11,631,9
51,52,52,Keith Mitchell,99,70.13,1052,15
52,53,53,Tyrrell Hatton,58,70.14,491,7
53,54,54,Aaron Wise,90,70.15,912,13
54,55,55,Webb Simpson,95,70.2,351,5
55,56,56,Ian Poulter,73,70.22,632,9
56,T57,T57,Wesley Bryan,69,70.25,843,12
57,T57,T57,Bill Haas,76,70.25,1405,20
58,T57,T57,Johnson Wagner,75,70.25,562,8
59,60,60,J.B. Holmes,77,70.27,1054,15
60,61,61,Shawn Stefani,76,70.28,1265,18
61,62,62,Retief Goosen,60,70.29,492,7
62,T63,T63,Ben Martin,64,70.31,1125,16
63,T63,T63,Hudson Swafford,73,70.31,1125,16
